gene	Control_#1_T_cell	Control_#1_monocyte	Control_#1_neutrophil	Control_#1_platelet	Control_#1_B_cell	Control_#2_T_cell	Control_#2_monocyte	Control_#2_B_cell	Control_#2_neutrophil	Control_#3_T_cell	Control_#3_neutrophil	Control_#3_erythroid_lineage_cell	Control_#3_monocyte	Control_#3_platelet	Control_#3_B_cell	SARS_CoV2_pos_Mild_T_cell	SARS_CoV2_pos_Mild_neutrophil	SARS_CoV2_pos_Mild_B_cell	SARS_CoV2_pos_Mild_monocyte	SARS_CoV2_pos_Mild_erythroid_lineage_cell	SARS_CoV2_pos_Severe_#1_platelet	SARS_CoV2_pos_Severe_#1_erythroid_lineage_cell	SARS_CoV2_pos_Severe_#1_monocyte	SARS_CoV2_pos_Severe_#1_neutrophil	SARS_CoV2_pos_Severe_#1_T_cell	SARS_CoV2_pos_Severe_#1_B_cell	SARS_CoV2_pos_Severe_#2_monocyte	SARS_CoV2_pos_Severe_#2_neutrophil	SARS_CoV2_pos_Severe_#2_erythroid_lineage_cell	SARS_CoV2_pos_Severe_#2_B_cell	SARS_CoV2_pos_Severe_#2_platelet	SARS_CoV2_pos_Severe_#2_T_cell	SARS_CoV2_pos_Severe_#3_T_cell	SARS_CoV2_pos_Severe_#3_B_cell
RPL28	9254	2211	0	2	274	8010	1950	511	4	7680	35	6	2471	2	626	29603	14	2701	4358	23	7	47	3048	32	14972	2845	3581	276	272	4300	43	20547	2618	494
TSPAN14	294	129	3	1	4	239	100	14	1	146	12	1	129	0	7	743	8	41	196	2	4	0	291	21	494	62	183	58	7	39	14	329	58	10
NUFIP2	218	130	2	0	6	266	104	10	2	155	21	0	82	0	14	489	14	35	157	0	3	3	166	16	284	46	174	78	3	58	3	332	30	3
RPL19	9215	1764	3	1	288	8523	1672	528	1	7150	8	7	1912	2	665	26143	6	2447	3371	8	3	45	2150	8	13731	2986	2341	62	226	4152	40	17378	2367	493
FBXL20	94	37	1	1	4	114	45	8	1	100	9	0	30	0	7	277	5	23	51	0	1	8	58	13	147	15	37	27	24	27	0	104	21	8
KPNB1	300	84	3	0	7	291	78	21	1	154	15	0	58	0	9	655	3	56	132	0	1	3	136	11	469	55	111	49	8	91	13	405	55	6
MED13	126	79	1	0	4	123	42	13	2	92	7	1	49	0	12	256	4	37	77	0	5	9	102	13	199	54	66	68	27	70	15	238	15	3
PFN1	1204	687	5	15	19	1500	567	39	8	891	28	1	565	17	42	3783	8	219	1090	2	87	9	1038	45	3419	263	1397	318	54	380	518	3274	429	56
SLC6A4	168	70	4	1	2	154	54	8	1	110	8	0	44	0	4	304	4	24	76	0	3	0	96	11	227	34	47	43	0	36	17	113	26	5
GOSR1	341	108	0	1	12	308	88	19	0	239	9	0	78	5	19	710	5	69	137	0	10	2	132	14	467	128	84	54	18	126	7	434	47	17
DDX5	2371	864	7	0	82	2271	695	166	16	1564	69	2	652	0	135	4490	28	419	1070	1	4	16	1218	96	3233	857	1031	385	63	1154	14	3293	509	101
RAB5C	126	146	2	1	3	124	115	9	4	92	12	0	99	4	8	272	8	39	200	4	3	6	242	19	304	48	209	99	19	51	29	264	43	7
MLX	627	224	12	0	39	566	197	36	1	347	29	0	151	0	37	1995	14	249	435	1	2	1	488	73	1019	186	163	98	11	125	3	656	250	66
PRKAR1A	202	111	0	1	9	189	105	10	7	157	23	1	80	0	17	370	8	52	175	0	12	1	166	10	410	100	180	102	8	161	45	373	25	9
WSB1	184	239	6	0	14	219	213	26	3	169	14	0	154	0	26	465	14	74	282	2	1	0	231	17	276	77	193	70	8	131	5	232	32	13
OCIAD1	186	53	0	1	5	168	49	10	0	111	1	3	54	2	13	559	4	58	122	4	6	6	74	5	319	44	103	24	22	64	10	277	52	9
UBE2D3	765	295	16	4	18	619	219	43	6	430	60	25	237	2	29	1455	38	115	463	31	13	117	502	80	1205	171	462	312	308	254	54	1387	158	19
ELF2	199	79	4	0	9	202	90	18	6	150	19	0	75	0	12	388	3	47	118	0	3	3	121	20	280	96	124	91	6	86	10	304	37	9
NDUFC1	193	65	1	1	3	154	41	5	1	141	3	1	80	3	8	569	1	34	118	2	9	21	107	1	360	24	97	9	27	50	25	393	59	11
RPL34	13940	2743	0	1	442	12693	2351	718	2	10379	23	3	2760	0	897	39975	9	3615	4753	13	2	56	3012	41	19170	3851	2892	226	404	5571	27	24202	3572	743
FBXW7	96	80	4	0	4	126	92	10	6	108	12	0	74	1	11	264	6	25	129	0	0	3	97	30	199	43	156	84	5	55	0	208	32	6
KLF3	356	138	1	2	9	327	133	13	3	275	10	4	132	0	9	741	10	35	251	4	7	47	241	26	510	71	430	123	176	99	36	589	68	7
KLHL5	165	86	0	5	9	211	69	60	0	123	6	1	63	1	20	442	3	125	119	0	18	0	88	6	305	150	59	39	5	111	51	260	46	16
CTSC	174	186	1	0	1	227	128	3	1	195	8	0	288	1	2	651	2	12	264	0	3	0	365	5	611	15	475	80	0	40	25	499	71	3
ATG2A	320	77	13	0	12	325	67	20	9	177	38	1	67	1	15	519	21	41	100	1	0	15	124	70	413	74	57	173	10	62	4	361	44	10
EHD1	85	56	13	9	0	116	61	5	5	87	17	0	72	3	3	236	4	23	77	0	11	2	215	24	131	17	190	150	8	17	29	133	25	10
PPP6R3	91	51	1	0	6	109	42	7	0	76	5	0	25	0	4	246	2	25	54	0	2	0	69	3	205	31	49	34	5	35	5	142	28	4
CPT1A	221	72	4	1	12	197	57	22	1	134	13	0	55	0	20	754	4	75	162	1	1	13	194	7	499	67	98	27	10	73	10	309	98	28
EIF4G2	420	315	2	6	18	521	250	30	1	299	24	1	207	12	33	909	5	100	353	0	26	8	426	29	747	150	433	149	48	203	131	781	82	21
BIRC2	158	47	1	1	4	160	35	8	2	123	8	3	36	1	5	323	6	17	64	9	2	39	88	5	311	29	71	49	297	35	3	246	21	0
DDX6	597	116	2	0	22	497	76	37	1	405	11	2	109	2	29	1227	6	111	137	3	6	17	161	27	904	164	127	64	55	156	10	803	130	24
CBL	43	29	0	0	2	62	42	7	0	41	6	0	36	1	6	221	3	29	68	0	5	0	83	8	71	30	82	44	0	21	30	87	11	5
HIPK3	75	82	3	3	2	42	75	5	1	41	15	0	82	2	3	151	5	17	129	0	5	1	124	6	69	24	94	53	11	27	10	74	13	1
C11orf58	840	227	1	0	21	773	174	55	3	614	18	2	184	3	54	2010	12	216	413	7	13	24	367	30	1374	284	298	90	73	336	36	1293	218	44
RPS13	6666	1806	0	1	187	6310	1541	370	2	4641	6	6	1835	0	439	19891	3	1845	3107	15	4	57	2756	10	11893	2568	2414	60	226	3166	34	14315	1767	363
CLEC2B	496	131	4	0	12	409	123	15	5	374	36	0	114	0	9	835	37	28	201	0	0	4	223	27	828	45	232	398	19	59	5	1047	88	5
BIN2	333	101	0	22	1	368	89	8	1	236	11	0	105	11	5	878	3	38	139	0	58	2	139	7	494	30	183	73	5	37	256	465	83	4
ATP5F1B	182	176	0	0	5	251	134	8	1	194	3	8	175	0	17	669	3	61	345	8	6	66	257	2	610	63	239	22	211	76	14	580	106	16
PTGES3	366	124	0	2	7	386	95	24	1	311	3	14	153	3	27	1161	0	89	222	9	13	40	199	3	737	66	417	15	203	158	61	865	113	26
RSRC2	586	175	1	1	29	595	116	42	4	354	8	1	128	2	34	912	6	100	210	2	6	7	266	10	1070	277	344	45	65	385	19	1075	66	17
ARPC3	811	833	7	5	48	856	663	89	8	645	46	2	826	5	101	2327	27	396	1452	4	34	20	1174	48	1648	385	1608	468	75	677	138	2051	276	98
ALDH2	1024	685	15	0	41	1005	469	56	13	670	71	1	460	2	82	2387	19	255	786	0	1	9	835	121	1619	340	454	323	27	256	3	1106	187	50
CDKN1B	347	45	0	1	5	312	34	14	0	268	8	0	50	0	21	860	0	52	73	0	0	25	63	7	496	66	86	67	83	111	7	598	67	16
ARHGDIB	1095	407	5	29	27	1243	357	68	15	822	58	0	365	24	48	3275	15	264	642	3	90	3	735	31	2532	242	879	368	28	331	392	2663	361	60
GAPDH	961	1237	3	39	16	1066	865	42	9	836	21	0	926	42	31	3361	9	191	2156	2	158	10	2014	35	3420	207	1911	375	27	251	522	3223	442	53
CHD4	167	50	6	1	13	244	58	24	6	124	25	0	37	4	11	418	6	53	130	0	4	1	101	31	258	92	52	87	4	86	10	223	32	17
TPI1	223	232	0	4	3	245	165	14	1	163	7	1	198	1	9	680	2	47	371	1	26	2	315	6	568	49	371	54	7	73	75	677	81	16
PTPN6	51	127	2	1	5	68	101	15	4	42	11	0	144	1	11	340	5	116	226	0	3	1	259	18	154	62	228	85	1	72	7	150	38	24
COX6A1	344	195	2	0	7	390	166	27	1	282	10	1	155	1	19	1083	5	99	294	3	13	23	330	10	873	148	401	83	69	202	72	1109	121	16
SRSF9	203	201	1	3	6	238	116	15	1	194	6	0	139	1	15	772	5	79	262	3	8	0	258	12	551	77	287	57	4	86	25	591	84	20
FGFR1OP2	119	71	0	3	4	111	44	7	0	90	0	15	37	2	6	503	1	36	87	28	11	102	96	3	295	40	100	34	528	46	72	265	41	5
RIPOR2	560	130	8	42	23	613	80	66	4	375	66	0	72	15	66	2369	54	296	278	1	58	3	230	47	640	160	149	383	9	212	352	716	201	40
RHAG	105	34	6	0	3	119	21	9	2	76	19	0	33	0	9	195	5	14	32	1	0	32	40	13	124	29	23	21	171	16	11	83	11	2
SRSF3	736	276	1	2	26	842	253	57	1	574	9	0	197	1	28	1692	3	151	422	1	5	7	334	15	1255	184	369	56	21	242	37	1409	106	28
PHACTR1	108	380	8	0	9	108	206	33	19	64	59	2	228	1	34	213	46	72	323	1	0	6	421	204	141	173	320	585	10	126	5	121	20	13
FBXO9	81	47	0	0	2	116	23	7	0	62	0	23	41	0	3	304	4	38	79	20	4	172	91	6	120	18	48	21	406	27	12	120	21	2
RPS12	17072	2354	2	3	446	15647	2228	812	5	13017	10	74	2762	3	994	47879	10	3804	4494	121	16	344	2927	15	24781	4503	3074	71	1271	6886	78	33553	4218	845
C6orf62	132	85	4	3	3	149	64	9	4	101	20	3	74	6	10	430	13	47	140	9	9	39	155	22	213	43	96	106	127	47	20	204	44	8
SNX3	155	165	0	15	16	164	131	26	0	135	6	32	164	19	38	512	4	132	275	47	49	157	264	4	304	173	349	102	586	245	472	383	54	29
QKI	156	231	2	2	5	149	202	10	2	88	19	0	167	1	8	252	7	24	297	0	10	1	370	26	162	38	268	148	9	54	34	187	18	8
CCND3	266	80	0	21	3	336	55	6	0	208	2	0	63	10	8	972	5	49	108	1	58	1	109	6	357	53	152	25	7	47	217	514	91	4
COX7A2	589	220	1	2	17	592	161	39	6	475	5	3	232	1	35	1467	5	109	317	1	6	33	313	6	1180	168	445	92	91	260	59	1480	199	33
ERBIN	189	110	4	3	10	196	99	10	1	134	30	1	77	0	11	540	17	41	167	4	15	5	142	11	234	63	85	136	19	79	51	263	36	8
NNT	400	100	0	3	9	417	95	17	0	232	4	0	77	1	18	989	1	106	204	1	5	2	200	15	510	122	82	30	5	97	12	411	65	17
HSPA9	365	153	2	1	8	274	83	22	3	261	21	1	110	0	17	717	8	46	193	1	0	1	192	31	653	125	160	126	11	161	6	690	82	20
IK	268	74	1	1	10	271	53	12	0	198	9	4	47	1	14	739	2	51	112	4	2	20	95	13	421	63	102	41	63	64	4	434	57	11
CERT1	94	100	1	0	6	79	97	13	3	73	7	0	80	0	4	240	1	28	163	0	1	0	192	9	144	32	129	58	4	49	18	121	16	10
CLINT1	140	85	0	7	5	124	51	9	1	122	3	0	62	0	12	368	1	40	123	0	8	2	122	4	253	63	122	17	8	84	35	275	37	3
SUB1	959	356	3	3	22	866	294	52	3	963	31	1	284	3	41	2334	17	211	572	3	11	6	436	24	2318	233	535	150	52	383	65	2466	335	73
LNPEP	211	54	1	2	4	214	56	9	1	136	0	1	52	0	9	630	2	46	115	0	4	0	100	1	271	32	64	19	7	47	8	305	30	7
SKP1	816	213	1	2	21	850	178	35	2	621	18	46	190	6	48	2327	3	157	318	38	48	166	316	13	1248	168	349	84	784	282	93	1494	221	41
MACROH2A1	159	422	1	1	5	182	346	9	3	117	16	0	342	0	11	534	10	44	565	0	2	0	673	19	414	28	627	95	7	40	7	439	46	8
CSNK1A1	320	226	6	7	9	312	185	15	7	228	29	1	171	1	18	879	3	79	309	3	13	20	336	33	618	77	326	138	60	123	38	557	84	5
ATP6V0E1	225	163	1	9	9	290	145	20	4	196	16	0	129	15	10	956	19	88	273	1	43	5	284	19	435	83	365	192	55	103	135	487	96	20
CPEB4	63	87	4	1	4	80	71	5	3	66	28	1	74	1	7	151	17	13	160	1	13	114	216	91	70	33	178	221	499	41	45	113	9	0
SELENOK	468	80	1	0	4	429	79	22	3	305	9	22	82	1	13	565	6	38	147	29	2	98	95	15	688	71	135	80	217	166	19	751	62	10
CRBN	266	79	0	2	5	235	39	8	0	162	1	0	35	4	10	627	4	44	89	0	15	2	92	3	369	46	84	18	17	57	67	428	67	6
RNF7	234	135	0	0	3	228	61	5	0	177	2	0	105	2	14	554	1	40	186	1	7	2	184	5	470	73	217	24	12	75	9	497	55	11
TFDP2	249	39	2	0	5	212	32	13	5	157	3	4	38	1	14	586	2	60	81	1	3	40	89	11	361	53	32	19	173	38	5	309	58	13
XRN1	190	66	2	0	6	181	48	13	1	136	8	5	38	0	12	488	7	34	83	2	1	14	92	13	323	52	69	28	66	83	5	307	42	5
PDCD10	78	50	0	13	5	109	30	7	0	60	5	10	32	1	7	374	3	39	67	16	35	21	85	0	214	37	78	23	205	39	110	209	22	6
ACAP2	259	229	2	1	9	279	151	18	2	184	28	1	141	1	20	612	15	68	309	0	1	1	299	54	293	106	181	210	12	122	11	297	46	14
GNAI2	432	603	7	2	8	500	451	28	13	343	75	1	432	7	27	1385	20	124	888	0	33	2	892	64	818	100	849	365	5	161	77	835	132	34
TFG	121	55	4	1	9	106	39	9	1	91	15	0	35	1	3	289	4	26	64	1	3	1	62	21	204	58	78	93	6	58	11	283	21	0
RPL24	4264	938	0	0	107	3758	829	203	3	3235	2	3	1051	0	254	11834	4	978	1619	4	1	35	1198	7	6507	1116	1470	56	216	1688	36	8608	1127	211
FXR1	195	67	1	0	7	207	60	15	1	135	3	0	62	0	15	508	1	42	134	0	2	7	103	3	346	57	115	29	27	106	6	383	32	11
ABTB1	46	35	6	4	1	64	18	4	4	32	21	4	20	2	4	138	9	16	71	8	13	33	71	25	89	12	38	77	71	23	18	82	18	6
EIF1B	256	115	0	3	20	193	70	38	4	160	11	24	104	4	28	507	6	103	148	66	19	209	161	8	448	239	201	70	710	326	68	463	31	15
KLHL24	236	98	0	0	13	227	68	23	2	202	7	0	68	1	19	417	1	58	93	0	1	0	127	19	350	94	98	68	18	133	7	350	14	9
NKTR	587	200	0	3	12	479	129	19	3	351	9	0	132	0	30	1249	1	100	194	0	1	0	214	9	910	171	237	31	6	169	5	768	84	18
FOXP1	926	123	1	0	45	828	111	96	1	546	12	2	117	1	90	2685	3	282	249	0	0	18	225	7	1196	377	158	33	100	383	12	1105	175	35
SPCS1	600	236	2	1	19	583	181	22	7	462	18	0	187	3	25	1591	7	138	331	1	8	2	318	18	989	147	272	70	13	197	30	1058	174	22
MOB1A	211	197	1	8	15	212	159	20	3	169	11	0	140	13	24	549	9	85	339	0	31	0	346	33	441	136	328	178	8	229	89	433	48	19
ACTR3	271	191	7	3	16	297	163	33	10	196	52	1	174	4	26	1042	16	122	411	3	24	16	360	49	673	126	337	438	121	150	126	592	125	26
SF3B6	215	81	1	0	6	241	56	15	3	161	4	2	89	0	12	581	10	52	151	0	1	6	127	11	500	81	160	109	33	93	26	627	72	14
RPS15	7172	1554	2	1	277	6732	1256	449	1	5653	8	8	1562	1	497	20006	3	2016	2846	26	18	145	1911	18	11951	2252	2298	107	379	3700	68	15437	2013	376
RTN4	152	272	3	7	4	203	186	9	4	126	28	1	179	7	9	494	10	40	419	2	21	0	368	41	319	35	415	184	12	69	117	362	46	12
USP34	250	72	2	0	8	282	51	29	1	189	5	0	51	0	23	583	2	75	108	0	2	9	118	16	395	108	73	44	24	152	17	371	41	13
COQ10B	137	69	0	1	5	142	58	7	4	87	5	0	51	0	4	229	5	26	80	1	2	3	77	17	250	27	91	88	9	40	5	258	22	4
SF3B1	640	264	5	0	16	576	190	48	8	422	21	0	189	0	45	1324	13	122	329	0	5	9	316	29	908	195	307	163	38	235	11	978	105	28
HPCAL1	839	321	11	2	24	911	261	54	17	655	46	0	216	1	39	2029	29	181	470	4	19	5	500	61	1200	209	183	182	15	190	72	804	184	55
ODC1	95	22	0	68	10	136	26	23	0	112	0	16	30	67	12	243	0	61	30	21	122	56	38	0	302	83	32	1	57	141	215	311	37	17
BIRC6	211	87	2	0	3	217	70	8	0	122	2	0	56	0	14	527	5	42	125	0	2	2	128	16	340	80	102	37	3	79	6	296	49	7
PLEKHB2	417	222	3	1	12	376	183	34	1	250	27	1	168	1	30	945	11	126	322	1	6	7	343	48	666	127	231	131	18	107	13	432	97	21
SOS1	649	169	1	0	31	573	132	34	2	398	30	0	140	0	49	1694	17	189	326	1	0	4	361	46	968	161	145	80	12	108	17	686	199	44
WIPF1	494	77	6	13	9	454	89	17	7	332	39	1	95	13	13	940	39	44	211	1	36	0	209	29	658	88	143	189	7	122	108	618	64	13
ORC4	1880	416	8	0	92	1675	328	135	1	1299	27	0	301	0	146	3197	9	380	477	0	0	9	406	51	2003	515	378	112	47	561	5	1708	159	54
PLEK	80	616	18	15	5	124	547	10	48	84	154	3	443	20	12	305	35	54	389	1	105	0	651	261	210	45	762	1541	16	108	480	239	18	11
SUMO1	204	71	0	1	7	263	56	16	1	182	7	0	60	0	6	605	0	48	116	0	5	10	125	7	511	72	162	52	34	83	18	560	71	10
NFE2L2	154	124	4	1	2	210	103	4	7	98	26	1	101	1	11	334	13	30	130	1	3	2	164	28	155	31	162	184	12	45	22	258	23	2
TMEM59	286	157	2	2	8	285	119	10	2	200	13	6	145	2	5	776	11	63	237	11	7	40	257	15	571	50	323	140	220	67	38	686	99	14
STXBP3	76	38	1	3	1	69	31	2	1	51	3	0	24	0	4	214	2	18	70	2	6	5	61	5	97	29	45	44	18	19	27	109	23	5
PARK7	489	232	2	7	15	541	176	23	2	354	10	0	185	18	22	1453	3	124	329	0	68	6	285	16	972	121	353	37	26	194	220	1062	213	46
ELAPOR1	603	241	11	0	21	614	161	40	7	397	59	0	173	1	33	1587	16	142	330	1	1	2	388	78	983	196	179	125	8	148	1	609	187	45
SRSF4	492	266	4	4	24	438	202	24	3	371	12	0	161	0	21	1087	8	87	290	0	1	1	305	17	725	168	250	75	12	183	13	759	92	14
RAP1A	222	175	0	6	2	228	88	16	5	147	25	3	106	3	7	540	10	38	205	3	16	29	197	24	328	35	207	207	79	60	69	400	62	10
CAPZA1	221	187	3	0	16	259	129	22	5	129	19	0	141	5	16	618	10	80	303	0	7	0	278	24	578	91	244	116	5	89	41	412	69	10
SFPQ	900	452	1	0	34	932	324	63	5	565	11	1	293	0	72	1670	7	163	532	0	2	6	545	20	1527	323	466	62	32	520	16	1347	154	39
PRDM2	276	91	2	0	24	279	53	58	2	174	12	0	69	1	52	509	10	101	90	0	0	1	122	17	408	253	81	110	7	376	3	433	40	29
RO60	155	49	0	0	9	163	43	15	0	111	5	0	37	2	4	446	3	32	90	4	5	1	55	4	296	54	61	30	24	73	21	271	43	5
AKT3	522	94	2	0	26	660	100	57	2	415	7	0	79	1	36	1623	1	170	195	0	0	4	144	13	773	177	107	21	20	203	11	632	140	24
CTBS	68	61	4	1	3	75	67	6	1	51	16	0	49	0	5	205	15	12	98	0	1	0	108	20	129	24	108	87	5	31	4	180	10	3
CD46	224	145	13	1	9	241	118	9	17	163	41	0	97	7	11	713	33	55	202	0	3	2	221	66	338	34	202	299	9	55	30	338	44	10
APH1A	98	63	2	0	2	110	43	9	1	63	1	0	44	1	12	231	1	35	92	0	4	0	99	4	174	45	83	15	3	72	10	185	32	5
ATP6V0B	117	288	9	2	7	139	247	20	12	112	44	3	293	2	18	293	18	44	427	1	4	15	462	71	238	58	548	234	42	89	22	296	44	12
TMED5	101	155	1	2	2	107	95	5	4	88	13	0	89	0	8	244	1	27	197	0	3	1	159	6	139	22	168	63	8	70	9	177	19	1
DR1	155	76	0	1	4	158	57	12	1	143	9	0	63	1	7	314	4	36	98	1	5	9	115	3	288	47	86	35	49	44	34	294	31	11
PRRC2C	1201	318	5	3	43	1072	232	91	5	858	30	1	227	5	54	2221	14	225	408	1	13	4	442	37	1944	428	414	184	21	524	31	2036	195	48
PRDX6	188	92	0	24	3	190	72	6	2	119	4	32	64	29	6	543	1	34	136	87	79	200	137	7	331	49	149	21	496	87	251	512	57	14
SYF2	449	175	3	1	27	421	135	27	4	297	11	4	131	2	36	1047	5	116	238	2	6	6	273	23	790	173	269	174	55	232	12	894	105	19
RSRP1	863	132	4	1	17	905	139	52	4	637	12	1	124	0	43	1410	5	109	220	1	0	4	209	21	953	146	187	58	86	231	7	1004	101	12
RCOR3	72	25	1	1	6	80	29	7	0	62	4	2	17	0	3	204	4	21	37	2	9	8	64	10	125	42	48	14	27	23	35	120	8	3
ARID1A	231	99	6	0	9	224	85	18	6	143	16	0	85	1	11	552	6	55	175	0	5	2	168	29	325	77	73	90	11	68	7	251	33	10
CREB1	73	32	4	1	4	80	25	5	0	69	5	0	23	0	13	270	6	40	72	0	2	5	49	6	127	43	22	36	19	48	5	116	19	6
IRAG2	45	39	5	1	7	43	28	14	2	27	18	0	32	1	7	160	6	47	72	0	6	0	59	20	101	76	41	44	0	105	10	55	15	8
SPCS2	224	89	0	0	13	305	71	18	1	265	3	0	72	2	17	836	2	80	126	0	4	1	126	3	519	96	154	20	16	119	11	673	112	15
PHF3	460	138	2	0	18	459	112	28	2	288	11	1	83	1	26	1120	11	101	182	0	1	12	210	10	716	165	152	74	19	188	9	678	76	13
TNFAIP3	2343	198	43	0	7	2385	189	3	58	2059	185	7	163	1	2	1959	41	29	100	1	1	2	126	227	2601	46	149	1268	14	44	11	2444	45	1
MED28	127	81	1	0	9	108	53	10	1	112	9	1	49	1	1	379	4	41	102	3	4	11	101	5	212	45	84	26	21	58	1	220	29	7
MYL12B	861	323	2	5	14	882	252	35	5	706	33	2	311	9	30	2261	22	147	499	6	33	14	471	38	1766	144	678	320	98	259	157	1869	242	26
FOXO3	54	136	6	4	2	57	87	4	13	35	31	17	65	0	1	163	18	18	93	22	4	125	161	49	72	17	138	175	448	19	20	89	9	0
CCNI	975	414	6	6	39	966	381	63	16	664	36	11	410	2	82	2448	26	270	675	33	13	154	607	59	1575	331	637	181	318	558	86	1900	218	48
UBN1	124	73	3	3	1	99	40	3	5	90	12	1	60	2	4	263	4	16	86	2	5	2	78	35	166	20	97	91	17	16	17	153	14	3
CYP20A1	267	122	6	0	6	282	100	20	2	177	12	0	87	1	12	742	3	68	157	0	1	1	206	28	397	90	125	74	3	99	1	361	54	15
UBE2B	419	128	7	3	5	317	90	21	6	262	50	31	135	0	19	845	43	68	186	61	16	111	202	71	672	75	211	369	364	125	58	695	77	8
PTBP3	197	121	2	1	10	218	124	22	3	160	20	1	110	1	8	500	20	49	208	1	1	2	232	22	315	56	184	146	11	92	8	343	45	8
RAD23B	105	88	1	0	6	96	65	13	0	81	11	0	60	0	3	273	6	35	117	0	4	8	132	22	248	45	133	60	28	45	25	273	26	7
SET	716	229	1	3	17	757	172	56	2	468	9	0	178	3	49	1989	4	206	350	0	24	2	347	17	1422	233	255	46	20	342	57	1538	190	71
RAB14	149	55	0	1	6	164	42	9	2	111	3	1	66	0	7	340	1	37	116	0	5	1	107	10	290	63	100	49	12	67	22	332	35	7
VPS4B	190	73	1	1	8	171	57	13	1	135	9	0	65	1	13	424	10	47	112	0	1	1	115	18	317	84	132	94	1	71	8	317	34	6
NPC2	104	390	1	1	8	77	374	9	4	94	5	0	413	4	9	236	6	48	547	0	5	1	650	13	167	65	512	42	3	81	8	144	8	6
YPEL5	1141	189	4	11	27	1012	167	48	7	888	50	3	124	8	53	1060	15	50	209	5	31	24	166	69	1440	197	289	268	129	331	61	1197	45	6
YIPF4	383	131	7	0	11	337	91	28	2	233	41	0	94	0	14	1123	11	113	208	2	3	8	250	29	618	99	154	109	39	89	3	386	99	19
MXI1	132	34	1	1	3	105	19	13	5	89	11	57	25	0	3	210	3	25	34	69	0	247	25	14	201	51	42	47	941	52	3	209	22	1
SMNDC1	104	40	1	0	5	86	56	7	0	62	3	0	27	1	8	199	3	24	65	0	1	0	67	5	161	54	58	44	7	56	10	169	20	5
GNA13	114	95	1	4	5	90	69	10	1	47	7	1	60	1	3	157	13	17	97	0	11	1	158	21	169	52	102	79	8	50	34	160	6	9
DUSP1	1789	836	54	0	41	2891	532	49	158	1229	351	7	754	4	43	2458	232	155	1778	2	0	3	1811	421	1862	146	1252	1199	32	416	7	2111	84	28
ELF1	387	142	0	7	10	371	134	20	3	264	13	0	106	7	28	916	8	77	178	0	49	3	135	20	756	184	182	108	10	256	193	852	59	16
PAIP2	431	163	1	10	13	442	144	24	5	358	12	7	148	10	19	949	7	77	201	4	25	58	243	20	653	125	270	94	189	145	116	813	71	14
SERP1	522	378	1	3	21	483	306	28	9	427	21	1	359	5	34	1367	7	137	627	1	20	3	543	11	925	201	618	131	47	290	73	1211	158	22
LYPLA1	84	91	1	0	4	98	69	8	0	90	6	0	65	0	13	282	2	40	138	0	6	0	131	5	164	41	127	46	1	53	15	194	31	9
ZMYM2	147	54	1	0	4	144	50	13	1	99	6	1	35	0	12	366	2	34	85	1	2	4	84	8	217	41	66	22	11	63	6	225	16	9
TBC1D15	726	171	2	3	22	631	139	43	3	458	33	0	141	1	41	1679	11	169	247	0	15	15	300	34	1278	222	233	272	57	312	39	1524	115	10
KHDRBS1	225	108	4	0	12	245	90	23	1	147	9	1	103	0	19	726	2	75	184	0	1	2	139	10	425	65	185	66	7	135	12	462	62	14
ZNF639	194	56	2	0	8	195	44	7	0	141	6	0	39	1	19	751	7	61	119	1	0	1	113	12	378	83	61	31	6	95	6	294	93	21
GPSM2	409	108	4	0	21	378	110	28	1	244	25	0	87	1	21	1072	9	99	178	0	0	1	172	29	595	123	87	52	18	82	1	452	109	23
GTDC1	316	108	6	1	13	327	80	19	3	213	13	0	87	1	24	955	10	101	156	0	1	1	183	26	549	117	61	48	8	67	8	317	110	44
CXCR4	1841	414	15	0	71	1675	311	141	25	1541	87	0	204	1	75	2907	51	250	378	4	1	5	421	206	3006	409	279	814	26	608	10	3456	108	29
RPL21	11498	2203	2	9	381	11504	2133	646	2	8350	9	51	2270	1	847	32324	7	2982	3759	67	14	433	2846	7	15536	3611	2602	57	1179	5025	61	21699	2889	602
UBL3	111	56	0	1	3	110	52	11	3	97	7	0	56	0	7	281	3	23	101	0	2	2	92	5	232	27	74	50	12	40	6	204	33	3
FYTTD1	79	44	0	1	3	92	35	11	1	67	3	0	32	1	5	289	1	27	78	0	3	1	69	6	164	44	65	16	3	57	19	148	28	3
COPA	486	171	8	1	13	474	155	39	2	351	12	2	99	0	29	815	11	62	236	1	7	3	211	24	785	142	182	111	36	189	6	729	71	13
RBBP6	273	110	0	23	14	264	100	22	1	174	5	0	61	15	21	446	5	41	122	0	30	4	148	14	462	92	156	41	21	130	78	554	31	11
ZC3H7A	187	75	0	0	6	139	52	12	1	111	3	0	46	0	4	318	2	32	70	0	10	0	96	7	272	66	68	37	7	91	24	326	31	6
ANXA11	198	105	3	3	1	211	82	5	6	174	17	3	87	5	12	616	12	44	164	0	14	0	153	18	436	62	173	114	6	71	29	370	75	13
NAA60	137	55	3	1	6	125	40	5	0	87	4	0	51	0	13	427	3	34	74	0	2	3	96	6	234	40	61	20	4	46	7	150	39	6
RPL5	4932	1032	0	0	170	4621	906	259	0	3590	2	2	1118	1	308	13229	0	1212	1574	4	2	33	1260	4	7819	1524	1279	23	140	2144	14	9819	1417	207
