	G3R1_Cortex_3xTgAD	G3R3_Cortex_3xTgAD	G3R4_Cortex_3xTgAD	G3R10_Cortex_WT	G3R7_Cortex_WT	G3R9_Cortex_WT
ENSMUSG00000060890	55	62	72	167	89	118
ENSMUSG00000060899	0	0	1	0	1	0
ENSMUSG00000060904	3004	3080	3168	3307	2981	3426
ENSMUSG00000060913	1	2	0	0	1	0
ENSMUSG00000060918	0	0	0	0	0	0
ENSMUSG00000060923	458	454	435	510	420	472
ENSMUSG00000060924	4458	4595	3713	5249	3517	4447
ENSMUSG00000060935	791	802	841	957	909	895
ENSMUSG00000060938	4343	4857	5002	4995	5522	4536
ENSMUSG00000060950	415	429	387	434	452	453
ENSMUSG00000060956	1	0	0	0	0	0
ENSMUSG00000060961	4133	3884	4124	5802	4756	4740
ENSMUSG00000060962	6	6	4	15	12	8
ENSMUSG00000060967	0	0	0	0	0	0
ENSMUSG00000060969	13	5	8	17	26	6
ENSMUSG00000060974	0	0	0	0	0	0
ENSMUSG00000060981	15	14	14	10	26	25
ENSMUSG00000060985	121	106	88	171	87	161
ENSMUSG00000060988	727	736	650	1167	753	994
ENSMUSG00000060989	0	1	1	2	3	0
ENSMUSG00000060992	1834	1907	1934	1922	2179	1732
ENSMUSG00000061000	0	0	0	0	0	0
ENSMUSG00000061013	790	1316	1447	1391	170	997
ENSMUSG00000061022	0	0	0	0	0	0
ENSMUSG00000061024	329	371	420	356	323	378
ENSMUSG00000061028	3165	3991	3518	3501	4018	3114
ENSMUSG00000061032	7099	8122	7493	7295	7813	7466
ENSMUSG00000061039	5	9	11	12	9	13
ENSMUSG00000061046	2153	2719	2510	2727	2767	2467
ENSMUSG00000061048	1	5	1	1	2	4
ENSMUSG00000061062	52	63	50	53	78	57
ENSMUSG00000061065	0	0	0	1	0	0
ENSMUSG00000061068	1	0	0	0	0	0
ENSMUSG00000061075	0	0	0	0	0	0
ENSMUSG00000061079	436	461	427	536	349	475
ENSMUSG00000061080	9233	7304	7440	11220	10112	8981
ENSMUSG00000061082	0	0	0	2	1	0
ENSMUSG00000061086	111	158	171	172	66	168
ENSMUSG00000061099	1381	1810	1367	1446	1539	1314
ENSMUSG00000061100	1	1	0	1	0	0
ENSMUSG00000061104	0	1	1	0	4	1
ENSMUSG00000061111	1271	1421	1332	1253	1686	1264
ENSMUSG00000061115	0	0	0	1	0	1
ENSMUSG00000061118	652	786	667	735	684	610
ENSMUSG00000061119	487	547	425	589	489	571
ENSMUSG00000061126	0	1	1	0	0	0
ENSMUSG00000061130	3178	3760	3774	4256	3046	4338
ENSMUSG00000061132	182	363	264	279	192	361
ENSMUSG00000061136	1526	1506	1465	2016	1448	1691
ENSMUSG00000061143	342	402	393	419	324	410
ENSMUSG00000061144	0	0	0	0	0	0
ENSMUSG00000061150	0	0	0	0	0	0
ENSMUSG00000061165	0	0	0	0	0	0
ENSMUSG00000061167	13	6	11	14	14	15
ENSMUSG00000061171	85	87	92	178	126	162
ENSMUSG00000061175	669	747	719	861	574	813
ENSMUSG00000061184	1	1	0	1	1	1
ENSMUSG00000061186	202	196	180	151	169	124
ENSMUSG00000061195	0	0	0	0	0	0
ENSMUSG00000061207	1523	1880	1614	1713	1892	1687
ENSMUSG00000061208	0	0	0	0	0	0
ENSMUSG00000061210	0	0	0	0	0	0
ENSMUSG00000061232	518	658	718	720	712	756
ENSMUSG00000061242	2	2	2	5	9	2
ENSMUSG00000061244	1736	1730	1700	2369	1791	2074
ENSMUSG00000061246	0	0	0	0	0	0
ENSMUSG00000061259	2	0	0	0	0	1
ENSMUSG00000061272	1	0	0	0	0	0
ENSMUSG00000061273	1011	904	1045	1201	1033	1230
ENSMUSG00000061286	263	316	306	382	399	311
ENSMUSG00000061288	2096	2488	2370	2281	2401	2232
ENSMUSG00000061292	0	0	0	0	0	0
ENSMUSG00000061295	0	0	0	0	0	0
ENSMUSG00000061296	1	0	0	0	0	0
ENSMUSG00000061298	1427	1541	1363	1730	1385	1386
ENSMUSG00000061305	0	0	0	0	0	0
ENSMUSG00000061306	1952	1971	1827	2197	2491	1982
ENSMUSG00000061311	7	9	9	8	5	8
ENSMUSG00000061313	2713	2957	2743	3125	2631	2892
ENSMUSG00000061315	3418	3525	3755	3657	3868	3556
ENSMUSG00000061322	170	200	175	153	187	132
ENSMUSG00000061330	1	3	4	4	4	5
ENSMUSG00000061331	9	21	21	27	7	27
ENSMUSG00000061336	0	0	0	0	0	0
ENSMUSG00000061342	0	0	0	0	0	0
ENSMUSG00000061353	3648	3828	3283	2259	2099	2193
ENSMUSG00000061356	5	5	10	1	2	5
ENSMUSG00000061360	590	684	779	636	691	678
ENSMUSG00000061361	0	0	0	0	0	0
ENSMUSG00000061367	0	0	0	0	0	0
ENSMUSG00000061371	93	96	104	151	140	153
ENSMUSG00000061374	500	579	536	589	535	546
ENSMUSG00000061376	0	0	0	0	0	0
ENSMUSG00000061387	0	0	0	0	0	0
ENSMUSG00000061388	0	0	0	0	0	0
ENSMUSG00000061390	0	0	0	1	0	1
ENSMUSG00000061392	0	0	0	0	0	0
ENSMUSG00000061393	70	111	62	119	73	142
ENSMUSG00000061397	8	0	0	1	3	0
ENSMUSG00000061410	2879	3064	3195	3328	3430	3266
ENSMUSG00000061411	1327	2060	1618	2132	2825	1907
ENSMUSG00000061414	31	35	26	44	30	60
ENSMUSG00000061436	1021	1303	1095	2831	886	2619
ENSMUSG00000061451	5479	7425	6486	6875	5827	6767
ENSMUSG00000061455	953	1141	957	1257	839	1051
ENSMUSG00000061457	0	0	0	0	0	0
ENSMUSG00000061458	760	750	712	845	756	791
ENSMUSG00000061461	1033	979	1120	1283	1045	1348
ENSMUSG00000061462	327	646	480	714	429	394
ENSMUSG00000061469	0	0	0	0	0	0
ENSMUSG00000061474	358	393	430	432	434	446
ENSMUSG00000061477	3799	4232	4134	4396	4771	4308
ENSMUSG00000061479	1177	1229	1124	1022	1327	1020
ENSMUSG00000061482	1	0	2	4	2	1
ENSMUSG00000061486	0	0	0	0	0	0
ENSMUSG00000061488	0	0	0	1	0	0
ENSMUSG00000061489	0	0	0	0	0	0
ENSMUSG00000061490	0	0	0	0	0	0
ENSMUSG00000061501	0	0	0	0	0	0
ENSMUSG00000061510	5	4	2	2	6	7
ENSMUSG00000061517	243	276	334	343	420	303
ENSMUSG00000061518	3115	3543	3598	3490	4094	3385
ENSMUSG00000061520	0	0	0	1	0	0
ENSMUSG00000061524	242	316	361	307	466	298
ENSMUSG00000061525	0	0	0	0	0	0
ENSMUSG00000061527	9	0	0	2	1	0
ENSMUSG00000061531	8	10	8	15	13	9
ENSMUSG00000061533	238	288	266	262	163	225
ENSMUSG00000061535	42	53	51	42	54	39
ENSMUSG00000061536	1268	1166	1188	1336	1397	1214
ENSMUSG00000061540	14	27	16	28	18	12
ENSMUSG00000061544	98	95	92	112	101	114
ENSMUSG00000061549	0	0	0	0	0	0
ENSMUSG00000061559	1771	1820	1859	1930	1742	1957
ENSMUSG00000061561	0	0	0	0	0	0
ENSMUSG00000061576	8516	7102	7013	7449	9943	6867
ENSMUSG00000061577	9	20	18	7	10	21
ENSMUSG00000061578	2072	2243	2063	2695	2181	2345
ENSMUSG00000061584	3	0	2	2	1	0
ENSMUSG00000061589	4274	5935	5188	4968	4871	5196
ENSMUSG00000061601	5983	6388	5735	9867	5269	10076
ENSMUSG00000061602	0	0	0	0	0	1
ENSMUSG00000061603	4319	4437	4256	8670	3930	8064
ENSMUSG00000061607	680	835	728	866	728	894
ENSMUSG00000061613	1728	2032	1923	1978	1992	2129
ENSMUSG00000061614	0	0	0	0	0	0
ENSMUSG00000061615	25	28	20	34	33	32
ENSMUSG00000061616	0	0	0	0	0	0
ENSMUSG00000061619	0	0	0	0	0	0
ENSMUSG00000061626	0	0	0	0	0	0
ENSMUSG00000061633	1	1	0	1	0	0
ENSMUSG00000061637	0	0	0	0	0	0
ENSMUSG00000061650	858	997	992	1012	1037	1010
ENSMUSG00000061653	0	0	0	0	0	0
ENSMUSG00000061654	0	0	0	0	0	0
ENSMUSG00000061665	978	1205	1177	1540	973	1276
ENSMUSG00000061666	1253	1310	1200	1450	1331	1429
ENSMUSG00000061669	0	1	1	1	0	1
ENSMUSG00000061684	36	34	33	40	40	53
ENSMUSG00000061689	6907	7664	6609	7707	8230	6656
ENSMUSG00000061701	0	0	0	0	0	0
ENSMUSG00000061702	366	438	305	366	778	304
ENSMUSG00000061707	0	0	0	0	0	0
ENSMUSG00000061718	1407	2151	1549	4998	2431	3048
ENSMUSG00000061723	3	3	5	2	3	2
ENSMUSG00000061724	14	16	15	13	18	16
ENSMUSG00000061728	288	394	376	371	330	337
ENSMUSG00000061731	1554	1700	1387	1865	1117	1717
ENSMUSG00000061740	891	1344	1198	1092	1157	1364
ENSMUSG00000061742	21	19	28	25	23	17
ENSMUSG00000061751	19303	28792	25078	31865	13400	31405
ENSMUSG00000061755	1904	1960	1908	3233	1714	3000
ENSMUSG00000061758	453	438	407	461	485	374
ENSMUSG00000061759	551	602	545	683	577	711
ENSMUSG00000061762	171	175	181	685	560	379
ENSMUSG00000061769	0	0	0	0	0	0
ENSMUSG00000061777	0	0	0	0	0	0
ENSMUSG00000061778	703	713	674	858	800	757
ENSMUSG00000061780	0	3	0	0	1	0
ENSMUSG00000061787	2659	2989	3019	2737	3592	3119
ENSMUSG00000061798	0	0	0	0	0	0
ENSMUSG00000061802	26	23	22	48	11	45
ENSMUSG00000061808	90	163	268	191	407	266
ENSMUSG00000061809	0	0	0	0	0	0
ENSMUSG00000061815	0	2	4	3	3	4
ENSMUSG00000061816	55	51	54	62	22	71
ENSMUSG00000061825	0	2	2	1	1	3
ENSMUSG00000061829	0	0	0	0	0	0
ENSMUSG00000061833	30	26	31	3	3	0
ENSMUSG00000061838	606	685	692	651	696	583
ENSMUSG00000061843	0	0	0	0	0	1
ENSMUSG00000061845	0	0	0	0	0	0
ENSMUSG00000061847	0	1	2	0	0	0
ENSMUSG00000061848	0	2	4	2	7	5
ENSMUSG00000061852	0	0	0	0	0	0
ENSMUSG00000061859	318	454	361	462	460	420
ENSMUSG00000061863	2	0	0	1	0	0
ENSMUSG00000061864	373	309	352	500	334	333
ENSMUSG00000061875	0	0	0	0	0	0
ENSMUSG00000061877	0	2	1	2	0	0
ENSMUSG00000061878	54	145	193	102	72	111
ENSMUSG00000061882	408	481	407	605	604	555
ENSMUSG00000061887	2885	3505	2951	3123	3363	2979
ENSMUSG00000061894	187	235	219	235	220	254
ENSMUSG00000061897	1	5	3	0	0	0
ENSMUSG00000061898	528	622	481	604	482	473
ENSMUSG00000061904	8437	9433	9919	9317	9077	8784
ENSMUSG00000061906	0	0	0	1	0	0
ENSMUSG00000061911	6256	6420	6342	8947	5095	7620
ENSMUSG00000061923	0	0	0	0	0	0
ENSMUSG00000061928	1	1	0	3	3	0
ENSMUSG00000061937	0	0	0	0	0	0
ENSMUSG00000061947	7	9	7	10	7	6
ENSMUSG00000061950	1664	2365	2024	2360	1699	2404
ENSMUSG00000061952	0	0	0	0	0	0
ENSMUSG00000061958	0	0	0	0	0	0
ENSMUSG00000061959	0	0	0	0	0	0
ENSMUSG00000061961	0	0	0	0	0	0
ENSMUSG00000061969	1	0	0	1	3	0
ENSMUSG00000061972	0	2	0	0	0	1
ENSMUSG00000061974	11	13	9	23	6	22
ENSMUSG00000061975	0	0	0	0	0	0
ENSMUSG00000061977	0	0	0	0	0	0
ENSMUSG00000061979	724	784	715	741	860	704
ENSMUSG00000061981	3120	3404	3039	3623	3761	3176
ENSMUSG00000061983	3612	3726	3886	4041	4756	3724
ENSMUSG00000061984	0	0	0	0	0	0
ENSMUSG00000061988	0	1	0	1	1	1
ENSMUSG00000061991	19	15	15	21	21	19
ENSMUSG00000061992	0	1	1	0	2	0
ENSMUSG00000062006	2149	2326	2384	2524	2712	2304
ENSMUSG00000062007	9	4	2	2	4	3
ENSMUSG00000062012	523	630	470	489	535	477
ENSMUSG00000062014	4401	4073	4472	4812	4774	4480
ENSMUSG00000062017	6	3	5	2	4	1
ENSMUSG00000062028	14	20	20	29	19	20
ENSMUSG00000062031	202	281	217	189	189	227
ENSMUSG00000062036	0	0	1	0	3	0
ENSMUSG00000062037	0	0	0	0	0	0
ENSMUSG00000062038	0	0	0	0	2	0
ENSMUSG00000062040	602	663	624	689	629	637
ENSMUSG00000062042	0	0	0	0	0	0
ENSMUSG00000062044	8635	9988	8324	10620	11966	8380
ENSMUSG00000062046	0	0	0	0	0	1
ENSMUSG00000062054	425	580	611	408	322	388
ENSMUSG00000062061	0	2	0	0	0	1
ENSMUSG00000062064	0	0	1	1	0	0
ENSMUSG00000062070	9654	10416	9913	10327	9105	10127
ENSMUSG00000062073	3	19	25	17	12	20
ENSMUSG00000062074	49	43	42	63	47	64
ENSMUSG00000062075	905	1146	1017	943	1098	933
ENSMUSG00000062077	9	4	0	6	45	2
ENSMUSG00000062078	7524	7938	8989	9865	7761	9063
ENSMUSG00000062081	1	2	0	0	0	3
ENSMUSG00000062082	12	24	23	63	4	61
ENSMUSG00000062083	0	0	0	0	0	0
ENSMUSG00000062093	171	213	174	158	215	184
ENSMUSG00000062098	5617	5537	6328	6597	5963	7334
ENSMUSG00000062101	99	126	79	104	83	100
ENSMUSG00000062103	0	0	0	0	0	0
ENSMUSG00000062105	0	0	0	0	0	0
ENSMUSG00000062110	588	620	630	735	594	637
ENSMUSG00000062115	3947	4362	3617	4070	5032	3952
ENSMUSG00000062116	316	305	359	297	318	337
ENSMUSG00000062121	0	0	0	0	0	0
ENSMUSG00000062124	0	0	0	0	0	0
ENSMUSG00000062127	856	980	1036	1088	1011	1049
ENSMUSG00000062128	0	0	0	0	0	0
ENSMUSG00000062132	64	67	50	57	103	43
ENSMUSG00000062142	0	0	0	0	0	1
ENSMUSG00000062148	0	0	1	0	0	0
ENSMUSG00000062151	1006	759	707	1855	1956	1127
ENSMUSG00000062152	0	0	0	0	0	0
ENSMUSG00000062154	1	0	0	1	0	0
ENSMUSG00000062157	20	29	34	23	27	42
ENSMUSG00000062162	0	0	0	0	0	0
ENSMUSG00000062165	0	0	0	0	0	0
ENSMUSG00000062168	15	23	11	32	23	19
ENSMUSG00000062169	881	998	1084	1272	1143	1253
ENSMUSG00000062170	0	3	3	3	3	3
ENSMUSG00000062175	178	204	206	190	203	204
ENSMUSG00000062181	0	1	0	0	0	0
ENSMUSG00000062184	1035	868	751	1150	1292	928
ENSMUSG00000062186	0	0	0	0	0	0
ENSMUSG00000062190	1663	1606	1629	2550	2187	2314
ENSMUSG00000062198	435	607	499	631	532	577
ENSMUSG00000062199	0	0	0	0	0	0
ENSMUSG00000062200	6	1	2	6	11	3
ENSMUSG00000062201	0	0	0	0	0	0
ENSMUSG00000062202	3577	3726	3902	3064	2740	2822
ENSMUSG00000062203	1815	1780	1969	2590	1656	2470
ENSMUSG00000062204	0	0	0	0	0	0
ENSMUSG00000062209	2007	1918	1952	3081	2030	2596
ENSMUSG00000062210	480	394	371	357	533	305
ENSMUSG00000062224	0	0	0	0	0	0
ENSMUSG00000062226	0	0	0	0	0	0
ENSMUSG00000062232	4088	4251	3683	5064	3519	4698
ENSMUSG00000062234	3615	4110	3972	4025	3698	3702
ENSMUSG00000062235	0	1	0	1	0	1
ENSMUSG00000062245	0	0	0	0	0	0
ENSMUSG00000062248	19	17	23	15	19	30
ENSMUSG00000062252	56	71	72	77	79	50
ENSMUSG00000062257	6052	6081	6109	7587	5350	6178
ENSMUSG00000062270	9517	9933	9946	10613	10122	10690
ENSMUSG00000062272	0	0	0	0	0	0
ENSMUSG00000062275	1	1	1	8	3	2
ENSMUSG00000062278	1	0	0	0	0	2
ENSMUSG00000062279	0	0	0	0	0	0
ENSMUSG00000062280	0	0	0	0	0	0
ENSMUSG00000062282	2	6	2	3	0	3
ENSMUSG00000062284	48	37	53	58	55	27
ENSMUSG00000062296	17800	24232	18657	26469	17044	24119
ENSMUSG00000062300	183	184	185	179	307	192
ENSMUSG00000062309	303	425	326	394	344	432
ENSMUSG00000062310	5	7	5	16	1	5
ENSMUSG00000062312	64	100	89	99	81	74
ENSMUSG00000062314	0	0	0	0	0	0
ENSMUSG00000062319	44	50	48	81	39	86
ENSMUSG00000062327	4	1	2	4	9	0
ENSMUSG00000062328	4704	5274	5073	4796	5575	4760
ENSMUSG00000062329	7	15	12	15	16	12
ENSMUSG00000062342	0	0	0	0	0	0
ENSMUSG00000062345	2	5	1	0	0	0
ENSMUSG00000062352	686	712	743	809	693	819
ENSMUSG00000062353	0	4	6	4	4	4
ENSMUSG00000062365	0	1	0	1	0	0
ENSMUSG00000062369	0	0	0	0	0	0
ENSMUSG00000062372	1529	1173	612	814	2258	293
ENSMUSG00000062373	2333	2760	2936	3315	2418	3045
ENSMUSG00000062376	763	953	854	761	798	789
ENSMUSG00000062380	6049	6030	6424	8085	7429	6616
ENSMUSG00000062382	0	4	6	6	0	5
ENSMUSG00000062391	18	27	10	6	28	3
ENSMUSG00000062393	43	21	9	27	105	11
ENSMUSG00000062397	4727	4686	5602	5560	5410	5020
ENSMUSG00000062400	0	0	0	0	0	0
ENSMUSG00000062410	62	87	75	57	87	41
ENSMUSG00000062421	1049	1083	1069	1130	1020	1060
ENSMUSG00000062426	0	0	0	0	0	0
ENSMUSG00000062432	4	4	2	2	11	2
ENSMUSG00000062433	0	0	0	0	0	0
ENSMUSG00000062434	0	0	0	0	0	0
ENSMUSG00000062438	92	135	110	155	177	186
ENSMUSG00000062444	6756	7102	6608	6676	7309	6392
ENSMUSG00000062456	7	8	12	12	15	6
ENSMUSG00000062458	2	1	0	0	0	1
ENSMUSG00000062461	7	6	7	22	0	17
ENSMUSG00000062464	21	36	25	21	19	24
ENSMUSG00000062470	138	159	138	164	148	127
ENSMUSG00000062472	0	0	0	0	0	1
ENSMUSG00000062477	0	0	0	0	0	0
ENSMUSG00000062478	272	287	264	314	289	267
ENSMUSG00000062480	1575	1535	1610	1639	1792	1622
ENSMUSG00000062483	0	0	0	0	0	0
ENSMUSG00000062488	226	206	280	220	239	185
ENSMUSG00000062496	4	3	4	8	6	4
ENSMUSG00000062497	0	0	0	0	0	0
ENSMUSG00000062510	33	25	31	25	19	32
ENSMUSG00000062511	0	1	0	0	0	0
ENSMUSG00000062515	0	1	3	0	1	1
ENSMUSG00000062518	9	16	20	14	14	13
ENSMUSG00000062519	289	363	300	523	259	581
ENSMUSG00000062524	0	0	0	0	0	0
ENSMUSG00000062526	1465	1629	1516	2259	2304	1729
ENSMUSG00000062527	0	0	0	0	0	0
ENSMUSG00000062528	0	0	0	0	0	0
ENSMUSG00000062542	271	177	184	197	451	149
ENSMUSG00000062543	0	0	1	0	0	1
ENSMUSG00000062545	24	28	36	28	54	21
ENSMUSG00000062546	0	0	0	0	0	0
ENSMUSG00000062551	0	0	0	0	0	0
ENSMUSG00000062553	0	0	0	0	0	0
ENSMUSG00000062554	0	0	0	0	0	0
ENSMUSG00000062556	0	0	0	0	0	0
ENSMUSG00000062561	61	72	93	87	81	89
ENSMUSG00000062563	397	499	593	523	523	664
ENSMUSG00000062564	2	0	0	1	0	1
ENSMUSG00000062580	1344	1426	1419	1939	1416	1880
ENSMUSG00000062582	0	1	6	0	2	1
ENSMUSG00000062585	7	27	17	19	19	15
ENSMUSG00000062588	121	89	142	119	85	101
ENSMUSG00000062590	1585	1557	1397	1578	1739	1420
ENSMUSG00000062591	14329	14677	17384	17988	14631	15545
ENSMUSG00000062593	39	63	69	34	33	21
ENSMUSG00000062598	0	0	0	0	0	0
ENSMUSG00000062604	7134	7930	7545	8940	6222	8478
ENSMUSG00000062608	0	0	0	0	0	0
ENSMUSG00000062609	1	3	1	0	2	6
ENSMUSG00000062611	0	7	5	32	54	38
ENSMUSG00000062619	33	29	39	65	47	39
ENSMUSG00000062621	0	0	0	0	0	0
ENSMUSG00000062624	1	0	0	0	0	0
ENSMUSG00000062627	1102	1146	1160	1465	1009	1528
ENSMUSG00000062629	0	0	0	0	0	0
ENSMUSG00000062638	0	1	0	1	1	2
ENSMUSG00000062646	469	597	555	557	367	500
ENSMUSG00000062647	4289	4838	4664	4772	4957	4464
ENSMUSG00000062649	0	0	0	0	0	0
ENSMUSG00000062651	1	1	0	0	3	0
ENSMUSG00000062661	9653	10325	9616	10616	12623	9916
ENSMUSG00000062683	1824	2093	2102	2088	2147	1968
ENSMUSG00000062687	0	1	0	0	0	0
ENSMUSG00000062691	434	374	432	336	397	353
ENSMUSG00000062694	2	1	2	2	9	8
ENSMUSG00000062704	4	3	6	4	5	7
ENSMUSG00000062705	0	0	2	0	0	1
ENSMUSG00000062712	0	0	0	1	0	0
ENSMUSG00000062713	9	8	7	7	3	1
ENSMUSG00000062727	89	86	111	100	140	109
ENSMUSG00000062729	1420	1843	1639	1475	1699	1404
ENSMUSG00000062732	0	0	0	0	0	0
ENSMUSG00000062737	0	0	0	0	0	0
ENSMUSG00000062742	0	0	0	0	0	0
ENSMUSG00000062743	70	119	94	142	98	150
ENSMUSG00000062751	4	1	5	10	0	6
ENSMUSG00000062753	606	764	584	639	838	619
ENSMUSG00000062757	0	0	0	0	0	0
ENSMUSG00000062758	0	0	0	0	0	0
ENSMUSG00000062760	1589	1205	1039	1188	2753	1140
ENSMUSG00000062761	1816	1915	1796	2207	1976	1942
ENSMUSG00000062762	2791	3230	3061	3141	3043	2784
ENSMUSG00000062773	2	2	1	3	2	0
ENSMUSG00000062778	110	75	43	91	191	37
ENSMUSG00000062782	0	0	0	0	0	0
ENSMUSG00000062783	0	0	0	0	0	0
ENSMUSG00000062785	3302	3787	4044	4980	3786	5772
ENSMUSG00000062791	0	0	0	1	0	0
ENSMUSG00000062793	0	0	0	0	0	0
ENSMUSG00000062794	115	108	104	151	113	135
ENSMUSG00000062797	670	679	742	798	738	774
ENSMUSG00000062814	0	0	0	0	0	0
ENSMUSG00000062818	0	0	0	0	0	0
ENSMUSG00000062822	612	837	719	897	600	829
ENSMUSG00000062825	20742	20686	20376	21006	24027	18873
ENSMUSG00000062826	0	0	0	0	0	0
ENSMUSG00000062833	0	0	0	0	0	0
ENSMUSG00000062844	0	0	0	0	0	0
ENSMUSG00000062846	1	2	2	1	1	0
ENSMUSG00000062859	28	11	11	11	39	13
ENSMUSG00000062861	440	459	427	538	512	447
ENSMUSG00000062866	878	794	612	881	1401	751
ENSMUSG00000062867	1111	1123	1182	1055	1232	1049
ENSMUSG00000062868	0	0	0	0	0	0
ENSMUSG00000062873	0	0	0	0	0	0
ENSMUSG00000062874	0	0	0	0	0	1
ENSMUSG00000062878	0	0	0	0	0	0
ENSMUSG00000062892	0	0	0	0	0	0
ENSMUSG00000062896	0	0	1	0	0	0
ENSMUSG00000062901	1886	2104	1947	2956	1763	2930
ENSMUSG00000062905	4	6	4	11	3	8
ENSMUSG00000062906	621	899	777	689	680	677
ENSMUSG00000062908	1012	1102	1107	1212	1120	1085
ENSMUSG00000062914	0	0	0	0	0	0
ENSMUSG00000062929	1513	1689	1770	1925	1616	1706
ENSMUSG00000062931	624	778	743	831	609	901
ENSMUSG00000062933	2	2	2	6	1	1
ENSMUSG00000062937	193	194	187	206	234	210
ENSMUSG00000062939	23	39	59	44	30	61
ENSMUSG00000062944	94	95	98	107	75	96
ENSMUSG00000062949	596	696	681	1085	674	950
ENSMUSG00000062952	0	0	0	0	0	0
ENSMUSG00000062960	661	1164	575	537	553	405
ENSMUSG00000062961	490	497	376	542	373	389
ENSMUSG00000062962	0	0	0	0	0	1
ENSMUSG00000062963	1318	1551	1380	1466	1437	1372
ENSMUSG00000062980	133	180	179	181	133	148
ENSMUSG00000062981	743	819	851	885	901	897
ENSMUSG00000062987	0	0	0	0	0	0
ENSMUSG00000062991	116	149	104	214	131	210
ENSMUSG00000062995	1437	1502	1485	4324	2912	4092
ENSMUSG00000062997	2085	2043	2098	2270	2687	2118
ENSMUSG00000063001	0	0	0	0	0	0
ENSMUSG00000063011	49	60	35	45	47	29
ENSMUSG00000063015	5518	6805	6489	7490	5739	6703
ENSMUSG00000063018	251	179	173	213	380	197
ENSMUSG00000063019	1101	1141	1050	1175	1374	1011
ENSMUSG00000063020	0	0	0	0	0	0
ENSMUSG00000063021	1	2	0	2	3	2
ENSMUSG00000063047	213	212	227	276	177	336
ENSMUSG00000063049	533	775	682	735	587	749
ENSMUSG00000063052	2448	2490	2464	2627	2619	2251
ENSMUSG00000063058	0	0	0	0	0	0
ENSMUSG00000063060	48	100	54	63	80	70
ENSMUSG00000063063	6085	5766	5706	6776	6699	5853
ENSMUSG00000063065	4145	3716	3045	3425	6049	2790
ENSMUSG00000063077	21778	25197	19679	31882	18349	32380
ENSMUSG00000063087	391	385	379	561	349	309
ENSMUSG00000063089	0	0	0	1	0	0
ENSMUSG00000063106	1	1	0	0	0	1
ENSMUSG00000063108	736	866	761	1040	721	904
ENSMUSG00000063109	7	4	8	8	16	7
ENSMUSG00000063116	0	0	0	0	0	0
ENSMUSG00000063120	0	0	0	0	0	0
ENSMUSG00000063129	3	1	2	3	1	1
ENSMUSG00000063130	0	0	0	1	0	0
ENSMUSG00000063133	0	0	0	0	0	0
ENSMUSG00000063137	0	0	0	0	0	0
ENSMUSG00000063142	8464	9043	7934	12607	8061	10920
ENSMUSG00000063145	894	1004	831	1133	866	981
ENSMUSG00000063146	4259	4786	4500	5174	4939	4896
ENSMUSG00000063157	0	0	0	0	0	0
ENSMUSG00000063160	3358	3557	3740	3281	4812	3638
ENSMUSG00000063163	1	1	2	1	0	2
ENSMUSG00000063166	1	0	0	0	1	0
ENSMUSG00000063171	160	146	118	270	529	358
ENSMUSG00000063172	184	170	141	220	258	192
ENSMUSG00000063173	0	0	0	0	0	0
ENSMUSG00000063176	0	0	0	0	0	0
ENSMUSG00000063177	0	0	0	0	1	0
ENSMUSG00000063179	794	936	756	1020	785	859
ENSMUSG00000063180	0	0	0	0	0	0
ENSMUSG00000063188	0	0	0	0	0	0
ENSMUSG00000063193	0	4	0	2	3	0
ENSMUSG00000063200	1024	1179	1117	1185	1037	1135
ENSMUSG00000063206	0	0	0	0	0	0
ENSMUSG00000063216	0	0	0	0	0	0
ENSMUSG00000063221	0	0	0	0	0	0
ENSMUSG00000063225	0	0	0	0	0	0
ENSMUSG00000063229	6041	7043	5494	5814	6544	5385
ENSMUSG00000063230	0	0	0	0	0	0
ENSMUSG00000063232	1	0	0	12	6	5
ENSMUSG00000063234	12	11	18	17	16	5
ENSMUSG00000063235	1152	1165	1201	1349	1197	1193
ENSMUSG00000063236	306	369	368	335	369	295
ENSMUSG00000063239	641	849	681	888	878	820
ENSMUSG00000063240	0	0	0	0	0	0
ENSMUSG00000063245	46	46	81	85	58	87
ENSMUSG00000063251	0	0	0	0	0	0
ENSMUSG00000063252	0	0	0	0	0	0
ENSMUSG00000063253	2707	2432	2619	2964	3138	2810
ENSMUSG00000063254	40	43	42	52	33	37
ENSMUSG00000063260	172	97	89	184	126	127
ENSMUSG00000063268	170	241	221	196	212	232
ENSMUSG00000063273	1599	1549	1759	2109	1645	2049
ENSMUSG00000063275	599	651	665	954	691	953
ENSMUSG00000063277	18	3	3	3	3	5
ENSMUSG00000063281	423	372	497	553	504	511
ENSMUSG00000063286	72	51	71	36	32	46
ENSMUSG00000063296	247	273	252	418	257	350
ENSMUSG00000063297	1537	1509	1536	1980	2113	1807
ENSMUSG00000063305	1	1	3	3	4	4
ENSMUSG00000063314	502	468	523	575	535	510
ENSMUSG00000063316	1937	2032	1991	2168	2254	2105
ENSMUSG00000063317	2458	2421	2768	4363	2644	3981
ENSMUSG00000063320	410	470	402	110	66	84
ENSMUSG00000063328	0	0	0	0	0	1
ENSMUSG00000063334	1122	1108	1128	1299	1063	1285
ENSMUSG00000063350	0	0	0	0	0	0
ENSMUSG00000063354	3	2	9	5	2	4
