HOG	OG	Gene Tree Parent Clade	Prokka on dataset 1_ faa	Prokka on dataset 2_ faa	Prokka on dataset 3_ faa	Prokka on dataset 4_ faa
N0.HOG0000516	OG0000473	n0	KBS0714_00417	SA211_00138	AS2_02543	KD33716_02411
N0.HOG0000517	OG0000474	n0	KBS0714_00419	SA211_00140	AS2_02540	KD33716_02409
N0.HOG0000518	OG0000475	n0	KBS0714_00420	SA211_00141	AS2_02539	KD33716_02408
N0.HOG0000519	OG0000476	n0	KBS0714_00421	SA211_00142	AS2_02538	KD33716_02407
N0.HOG0000520	OG0000477	n0	KBS0714_00422	SA211_00143	AS2_02536	KD33716_02406
N0.HOG0000521	OG0000478	n0	KBS0714_00424	SA211_00145	AS2_02533	KD33716_02403
N0.HOG0000522	OG0000479	n0	KBS0714_00425	SA211_00146	AS2_02532	KD33716_02402
N0.HOG0000523	OG0000480	n0	KBS0714_00426	SA211_00147	AS2_02531	KD33716_02401
N0.HOG0000524	OG0000481	n0	KBS0714_00427	SA211_00148	AS2_02530	KD33716_02400
N0.HOG0000525	OG0000482	n0	KBS0714_00428	SA211_00149	AS2_02529	KD33716_02399
N0.HOG0000526	OG0000483	n0	KBS0714_00429	SA211_00150	AS2_02528	KD33716_02398
N0.HOG0000527	OG0000484	n0	KBS0714_00430	SA211_00151	AS2_02527	KD33716_02397
N0.HOG0000528	OG0000485	n0	KBS0714_00432	SA211_00153	AS2_02525	KD33716_02396
N0.HOG0000529	OG0000486	n0	KBS0714_00433	SA211_00154	AS2_02524	KD33716_02395
N0.HOG0000530	OG0000487	n0	KBS0714_00434	SA211_00155	AS2_02523	KD33716_02394
N0.HOG0000531	OG0000488	n0	KBS0714_00435	SA211_00156	AS2_02522	KD33716_02393
N0.HOG0000532	OG0000489	n0	KBS0714_00436	SA211_00157	AS2_02521	KD33716_02392
N0.HOG0000533	OG0000490	n0	KBS0714_00437	SA211_00158	AS2_02520	KD33716_02391
N0.HOG0000534	OG0000491	n0	KBS0714_00438	SA211_00159	AS2_02519	KD33716_02390
N0.HOG0000535	OG0000492	n0	KBS0714_00439	SA211_00160	AS2_02518	KD33716_02389
N0.HOG0000536	OG0000493	n0	KBS0714_00440	SA211_00161	AS2_02517	KD33716_02388
N0.HOG0000537	OG0000494	n0	KBS0714_00441	SA211_00162	AS2_02516	KD33716_02387
N0.HOG0000538	OG0000495	n0	KBS0714_00442	SA211_00163	AS2_02515	KD33716_02386
N0.HOG0000539	OG0000496	n0	KBS0714_00443	SA211_00164	AS2_02514	KD33716_02385
N0.HOG0000540	OG0000497	n0	KBS0714_00444	SA211_00165	AS2_02513	KD33716_02384
N0.HOG0000541	OG0000498	n0	KBS0714_00445	SA211_00166	AS2_02512	KD33716_02383
N0.HOG0000542	OG0000499	n0	KBS0714_00446	SA211_00167	AS2_02511	KD33716_02382
N0.HOG0000543	OG0000500	n0	KBS0714_00447	SA211_00168	AS2_02510	KD33716_02381
N0.HOG0000544	OG0000501	n0	KBS0714_00449	SA211_00170	AS2_02507	KD33716_02379
N0.HOG0000545	OG0000502	n0	KBS0714_00450	SA211_00171	AS2_02506	KD33716_02378
N0.HOG0000546	OG0000503	n0	KBS0714_00451	SA211_00172	AS2_02505	KD33716_02377
N0.HOG0000547	OG0000504	n0	KBS0714_00456	SA211_00174	AS2_02491	KD33716_02375
N0.HOG0000548	OG0000505	n0	KBS0714_00457	SA211_00175	AS2_02490	KD33716_02374
N0.HOG0000549	OG0000506	n0	KBS0714_00458	SA211_00176	AS2_02489	KD33716_02373
N0.HOG0000550	OG0000507	n0	KBS0714_00459	SA211_00177	AS2_02488	KD33716_02372
N0.HOG0000551	OG0000508	n0	KBS0714_00460	SA211_00178	AS2_02487	KD33716_02371
N0.HOG0000552	OG0000509	n0	KBS0714_00461	SA211_00179	AS2_02486	KD33716_02370
N0.HOG0000553	OG0000510	n0	KBS0714_00462	SA211_00180	AS2_02485	KD33716_02369
N0.HOG0000554	OG0000511	n0	KBS0714_00464	SA211_00182	AS2_02483	KD33716_02367
N0.HOG0000555	OG0000512	n0	KBS0714_00465	SA211_00183	AS2_02482	KD33716_02366
N0.HOG0000556	OG0000513	n0	KBS0714_00466	SA211_00184	AS2_02481	KD33716_02365
N0.HOG0000557	OG0000514	n0	KBS0714_00467	SA211_00185	AS2_02480	KD33716_02364
N0.HOG0000558	OG0000515	n0	KBS0714_00468	SA211_00186	AS2_02479	KD33716_02363
N0.HOG0000559	OG0000516	n0	KBS0714_00469	SA211_00187	AS2_02478	KD33716_02362
N0.HOG0000560	OG0000517	n0	KBS0714_00470	SA211_00188	AS2_02477	KD33716_02361
N0.HOG0000561	OG0000518	n0	KBS0714_00471	SA211_00189	AS2_02476	KD33716_02360
N0.HOG0000562	OG0000519	n0	KBS0714_00472	SA211_00190	AS2_02475	KD33716_02359
N0.HOG0000563	OG0000520	n0	KBS0714_00473	SA211_00191	AS2_02474	KD33716_02358
N0.HOG0000564	OG0000521	n0	KBS0714_00474	SA211_00192	AS2_02473	KD33716_02357
N0.HOG0000565	OG0000522	n0	KBS0714_00475	SA211_00193	AS2_02471	KD33716_02356
N0.HOG0000566	OG0000523	n0	KBS0714_00477	SA211_00195	AS2_02470	KD33716_02354
N0.HOG0000567	OG0000524	n0	KBS0714_00478	SA211_00196	AS2_02469	KD33716_02353
N0.HOG0000568	OG0000525	n0	KBS0714_00479	SA211_00197	AS2_02468	KD33716_02352
N0.HOG0000569	OG0000526	n0	KBS0714_00480	SA211_00198	AS2_02467	KD33716_02351
N0.HOG0000570	OG0000527	n0	KBS0714_00481	SA211_00199	AS2_02466	KD33716_02350
N0.HOG0000571	OG0000528	n0	KBS0714_00482	SA211_00200	AS2_02465	KD33716_02349
N0.HOG0000572	OG0000529	n0	KBS0714_00483	SA211_00201	AS2_02464	KD33716_02348
N0.HOG0000573	OG0000530	n0	KBS0714_00484	SA211_00202	AS2_02463	KD33716_02347
N0.HOG0000574	OG0000531	n0	KBS0714_00486	SA211_00205	AS2_02461	KD33716_02344
N0.HOG0000575	OG0000532	n0	KBS0714_00487	SA211_00207	AS2_02459	KD33716_02343
N0.HOG0000576	OG0000533	n0	KBS0714_00489	SA211_00210	AS2_02458	KD33716_02342
N0.HOG0000577	OG0000534	n0	KBS0714_00490	SA211_00211	AS2_02457	KD33716_02341
N0.HOG0000578	OG0000535	n0	KBS0714_00491	SA211_00212	AS2_02456	KD33716_02340
N0.HOG0000579	OG0000536	n0	KBS0714_00492	SA211_00213	AS2_02455	KD33716_02339
N0.HOG0000580	OG0000537	n0	KBS0714_00493	SA211_00214	AS2_02454	KD33716_02338
N0.HOG0000581	OG0000538	n0	KBS0714_00494	SA211_00215	AS2_02453	KD33716_02337
N0.HOG0000582	OG0000539	n0	KBS0714_00497	SA211_00218	AS2_02450	KD33716_02334
N0.HOG0000583	OG0000540	n0	KBS0714_00500	SA211_00221	AS2_02449	KD33716_02333
N0.HOG0000584	OG0000541	n0	KBS0714_00501	SA211_00222	AS2_02448	KD33716_02332
N0.HOG0000585	OG0000542	n0	KBS0714_00503	SA211_00223	AS2_02447	KD33716_02331
N0.HOG0000586	OG0000543	n0	KBS0714_00504	SA211_00224	AS2_02446	KD33716_02330
N0.HOG0000587	OG0000544	n0	KBS0714_00505	SA211_00225	AS2_02445	KD33716_02329
N0.HOG0000588	OG0000545	n0	KBS0714_00506	SA211_00226	AS2_02444	KD33716_02328
N0.HOG0000589	OG0000546	n0	KBS0714_00507	SA211_00227	AS2_02443	KD33716_02327
N0.HOG0000590	OG0000547	n0	KBS0714_00508	SA211_00228	AS2_02442	KD33716_02326
N0.HOG0000591	OG0000548	n0	KBS0714_00511	SA211_00231	AS2_02440	KD33716_02323
N0.HOG0000592	OG0000549	n0	KBS0714_00512	SA211_00232	AS2_02439	KD33716_02322
N0.HOG0000593	OG0000550	n0	KBS0714_00513	SA211_00233	AS2_02438	KD33716_02321
N0.HOG0000594	OG0000551	n0	KBS0714_00516	SA211_00236	AS2_02435	KD33716_02317
N0.HOG0000595	OG0000552	n0	KBS0714_00521	SA211_00243	AS2_02428	KD33716_02311
N0.HOG0000596	OG0000553	n0	KBS0714_00522	SA211_00244	AS2_02427	KD33716_02310
N0.HOG0000597	OG0000554	n0	KBS0714_00526	SA211_00247	AS2_02425	KD33716_02308
N0.HOG0000598	OG0000555	n0	KBS0714_00527	SA211_00248	AS2_02424	KD33716_02307
N0.HOG0000599	OG0000556	n0	KBS0714_00529	SA211_00250	AS2_02423	KD33716_02305
N0.HOG0000600	OG0000557	n0	KBS0714_00530	SA211_00251	AS2_02422	KD33716_02304
N0.HOG0000601	OG0000558	n0	KBS0714_00531	SA211_00252	AS2_02421	KD33716_02303
N0.HOG0000602	OG0000559	n0	KBS0714_00532	SA211_00253	AS2_02420	KD33716_02302
N0.HOG0000603	OG0000560	n0	KBS0714_00533	SA211_00254	AS2_02419	KD33716_02301
N0.HOG0000604	OG0000561	n0	KBS0714_00534	SA211_00258	AS2_02415	KD33716_02297
N0.HOG0000605	OG0000562	n0	KBS0714_00535	SA211_00259	AS2_02414	KD33716_02296
N0.HOG0000606	OG0000563	n0	KBS0714_00537	SA211_00261	AS2_02412	KD33716_02294
N0.HOG0000607	OG0000564	n0	KBS0714_00538	SA211_00262	AS2_02411	KD33716_02293
N0.HOG0000608	OG0000565	n0	KBS0714_00539	SA211_00263	AS2_02410	KD33716_02292
N0.HOG0000609	OG0000566	n0	KBS0714_00540	SA211_00264	AS2_02409	KD33716_02291
N0.HOG0000610	OG0000567	n0	KBS0714_00541	SA211_00265	AS2_02408	KD33716_02290
N0.HOG0000611	OG0000568	n0	KBS0714_00543	SA211_00268	AS2_02404	KD33716_02287
N0.HOG0000612	OG0000569	n0	KBS0714_00544	SA211_00269	AS2_02403	KD33716_02286
N0.HOG0000613	OG0000570	n0	KBS0714_00545	SA211_00270	AS2_02402	KD33716_02285
N0.HOG0000614	OG0000571	n0	KBS0714_00546	SA211_00271	AS2_02401	KD33716_02284
N0.HOG0000615	OG0000572	n0	KBS0714_00548	SA211_00273	AS2_02398	KD33716_02282
N0.HOG0000616	OG0000573	n0	KBS0714_00549	SA211_00274	AS2_02397	KD33716_02281
N0.HOG0000617	OG0000574	n0	KBS0714_00550	SA211_00275	AS2_02396	KD33716_02280
N0.HOG0000618	OG0000575	n0	KBS0714_00552	SA211_00277	AS2_02393	KD33716_02278
N0.HOG0000619	OG0000576	n0	KBS0714_00553	SA211_00278	AS2_02392	KD33716_02277
N0.HOG0000620	OG0000577	n0	KBS0714_00554	SA211_00279	AS2_02391	KD33716_02275
N0.HOG0000621	OG0000578	n0	KBS0714_00555	SA211_00280	AS2_02390	KD33716_02273
N0.HOG0000622	OG0000579	n0	KBS0714_00556	SA211_00281	AS2_02389	KD33716_02272
N0.HOG0000623	OG0000580	n0	KBS0714_00557	SA211_00282	AS2_02388	KD33716_02271
N0.HOG0000624	OG0000581	n0	KBS0714_00558	SA211_00283	AS2_02385	KD33716_02269
N0.HOG0000625	OG0000582	n0	KBS0714_00559	SA211_00284	AS2_02384	KD33716_02268
N0.HOG0000626	OG0000583	n0	KBS0714_00560	SA211_00285	AS2_02383	KD33716_02267
N0.HOG0000627	OG0000584	n0	KBS0714_00561	SA211_00286	AS2_02382	KD33716_02266
N0.HOG0000628	OG0000585	n0	KBS0714_00562	SA211_00287	AS2_02381	KD33716_02265
N0.HOG0000629	OG0000586	n0	KBS0714_00564	SA211_00289	AS2_02379	KD33716_02263
N0.HOG0000630	OG0000587	n0	KBS0714_00565	SA211_00290	AS2_02378	KD33716_02262
N0.HOG0000631	OG0000588	n0	KBS0714_00566	SA211_00291	AS2_02377	KD33716_02261
N0.HOG0000632	OG0000589	n0	KBS0714_00567	SA211_00292	AS2_02376	KD33716_02260
N0.HOG0000633	OG0000590	n0	KBS0714_00570	SA211_00294	AS2_02375	KD33716_02254
N0.HOG0000634	OG0000591	n0	KBS0714_00572	SA211_00296	AS2_02373	KD33716_02253
N0.HOG0000635	OG0000592	n0	KBS0714_00573	SA211_00305	AS2_02360	KD33716_02251
N0.HOG0000636	OG0000593	n0	KBS0714_00574	SA211_00306	AS2_02359	KD33716_02250
N0.HOG0000637	OG0000594	n0	KBS0714_00579	SA211_00311	AS2_02354	KD33716_02248
N0.HOG0000638	OG0000595	n0	KBS0714_00580	SA211_00313	AS2_02353	KD33716_02247
N0.HOG0000639	OG0000596	n0	KBS0714_00583	SA211_00316	AS2_02351	KD33716_02246
N0.HOG0000640	OG0000597	n0	KBS0714_00584	SA211_00317	AS2_02350	KD33716_02245
N0.HOG0000641	OG0000598	n0	KBS0714_00625		AS2_00746, AS2_00749, AS2_00734	
N0.HOG0000642	OG0000599	n0	KBS0714_00634		AS2_00753, AS2_00406	KD33716_02195
N0.HOG0000643	OG0000600	n0	KBS0714_00636		AS2_00408	KD33716_02192, KD33716_02193
N0.HOG0000644	OG0000601	n0	KBS0714_00637		AS2_01994, AS2_00756	KD33716_02191
N0.HOG0000645	OG0000602	n0	KBS0714_00641	SA211_00378	AS2_02321	KD33716_02184
N0.HOG0000646	OG0000603	n0	KBS0714_00643	SA211_00380	AS2_00385	KD33716_02182
N0.HOG0000647	OG0000604	n0	KBS0714_00645	SA211_00382	AS2_02318	KD33716_02177
N0.HOG0000648	OG0000605	n0	KBS0714_00647	SA211_00384	AS2_02316	KD33716_02175
N0.HOG0000649	OG0000606	n0	KBS0714_00651	SA211_00388	AS2_02312	KD33716_02169
N0.HOG0000650	OG0000607	n0	KBS0714_00652	SA211_00389	AS2_02311	KD33716_02168
N0.HOG0000651	OG0000608	n0	KBS0714_00653	SA211_00390	AS2_02310	KD33716_02167
N0.HOG0000652	OG0000609	n0	KBS0714_00654	SA211_00391	AS2_02309	KD33716_02166
N0.HOG0000653	OG0000610	n0	KBS0714_00655	SA211_00392	AS2_02308	KD33716_02165
N0.HOG0000654	OG0000611	n0	KBS0714_00657	SA211_00394	AS2_02306	KD33716_02163
N0.HOG0000655	OG0000612	n0	KBS0714_00658	SA211_00395	AS2_02305	KD33716_02161
N0.HOG0000656	OG0000613	n0	KBS0714_00659	SA211_00396	AS2_02304	KD33716_02160
N0.HOG0000657	OG0000614	n0	KBS0714_00660	SA211_00397	AS2_02303	KD33716_02159
N0.HOG0000658	OG0000615	n0	KBS0714_00661	SA211_00398	AS2_02302	KD33716_02158
N0.HOG0000659	OG0000616	n0	KBS0714_00662	SA211_00399	AS2_02301	KD33716_02157
N0.HOG0000660	OG0000617	n0	KBS0714_00664	SA211_00401	AS2_01220, AS2_02299	
N0.HOG0000661	OG0000618	n0	KBS0714_00668	SA211_00405	AS2_02294	KD33716_02156
N0.HOG0000662	OG0000619	n0	KBS0714_00669	SA211_00406	AS2_02293	KD33716_02155
N0.HOG0000663	OG0000620	n0	KBS0714_00670	SA211_00407	AS2_02292	KD33716_02154
N0.HOG0000664	OG0000621	n0	KBS0714_00671	SA211_00408	AS2_02291	KD33716_02153
N0.HOG0000665	OG0000622	n0	KBS0714_00672	SA211_00409	AS2_02290	KD33716_02152
N0.HOG0000666	OG0000623	n0	KBS0714_00673	SA211_00410	AS2_02289	KD33716_02151
N0.HOG0000667	OG0000624	n0	KBS0714_00674	SA211_00411	AS2_02288	KD33716_02150
N0.HOG0000668	OG0000625	n0	KBS0714_00675	SA211_00412	AS2_02287	KD33716_02149
N0.HOG0000669	OG0000626	n0	KBS0714_00676	SA211_00413	AS2_02286	KD33716_02148
N0.HOG0000670	OG0000627	n0	KBS0714_00677	SA211_00414	AS2_02285	KD33716_02147
N0.HOG0000671	OG0000628	n0	KBS0714_00679	SA211_00416	AS2_02284	KD33716_02145
N0.HOG0000672	OG0000629	n0	KBS0714_00680	SA211_00417	AS2_02283	KD33716_02144
N0.HOG0000673	OG0000630	n0	KBS0714_00681	SA211_00418	AS2_02282	KD33716_02143
N0.HOG0000674	OG0000631	n0	KBS0714_00682	SA211_00419	AS2_02281	KD33716_02142
N0.HOG0000675	OG0000632	n0	KBS0714_00683	SA211_00420	AS2_02280	KD33716_02141
N0.HOG0000676	OG0000633	n0	KBS0714_00684	SA211_00421	AS2_02279	KD33716_02140
N0.HOG0000677	OG0000634	n0	KBS0714_00685	SA211_00422	AS2_02278	KD33716_02139
N0.HOG0000678	OG0000635	n0	KBS0714_00687	SA211_00424	AS2_02270	KD33716_02137
N0.HOG0000679	OG0000636	n0	KBS0714_00688	SA211_00425	AS2_02269	KD33716_02136
N0.HOG0000680	OG0000637	n0	KBS0714_00689	SA211_00426	AS2_02266	KD33716_02135
N0.HOG0000681	OG0000638	n0	KBS0714_00690	SA211_00427	AS2_02265	KD33716_02133
N0.HOG0000682	OG0000639	n0	KBS0714_00691	SA211_00428	AS2_02264	KD33716_02132
N0.HOG0000683	OG0000640	n0	KBS0714_00693	SA211_00430	AS2_02261	KD33716_02131
N0.HOG0000684	OG0000641	n0	KBS0714_00694	SA211_00431	AS2_02260	KD33716_00464
N0.HOG0000685	OG0000642	n0	KBS0714_00695	SA211_00432	AS2_02259	KD33716_02130
N0.HOG0000686	OG0000643	n0	KBS0714_00696	SA211_00433	AS2_02258	KD33716_02129
N0.HOG0000687	OG0000644	n0	KBS0714_00697	SA211_00434	AS2_02257	KD33716_02128
N0.HOG0000688	OG0000645	n0	KBS0714_00699	SA211_00436	AS2_02255	KD33716_02127
N0.HOG0000689	OG0000646	n0	KBS0714_00700	SA211_00437	AS2_02254	KD33716_02126
N0.HOG0000690	OG0000647	n0	KBS0714_00704	SA211_00438	AS2_02253	KD33716_02125
N0.HOG0000691	OG0000648	n0	KBS0714_00705	SA211_00439	AS2_02252	KD33716_02124
N0.HOG0000692	OG0000649	n0	KBS0714_00706	SA211_00440	AS2_02251	KD33716_02123
N0.HOG0000693	OG0000650	n0	KBS0714_00707	SA211_00441	AS2_02250	KD33716_02122
N0.HOG0000694	OG0000651	n0	KBS0714_00708	SA211_00442	AS2_02249	KD33716_02121
N0.HOG0000695	OG0000652	n0	KBS0714_00709	SA211_00443	AS2_02246	KD33716_02119
N0.HOG0000696	OG0000653	n0	KBS0714_00710	SA211_00444	AS2_02245	KD33716_02118
N0.HOG0000697	OG0000654	n0	KBS0714_00714	SA211_00445	AS2_02244	KD33716_02116
N0.HOG0000698	OG0000655	n0	KBS0714_00715	SA211_00446	AS2_02243	KD33716_02115
N0.HOG0000699	OG0000656	n0	KBS0714_00716	SA211_00447	AS2_02242	KD33716_02114
N0.HOG0000700	OG0000657	n0	KBS0714_00717	SA211_00448	AS2_02241	KD33716_02113
N0.HOG0000701	OG0000658	n0	KBS0714_00718	SA211_00449	AS2_02240	KD33716_02112
N0.HOG0000702	OG0000659	n0	KBS0714_00719	SA211_00450	AS2_02239	KD33716_02111
N0.HOG0000703	OG0000660	n0	KBS0714_00720	SA211_00451	AS2_02238	KD33716_02110
N0.HOG0000704	OG0000661	n0	KBS0714_00721	SA211_00452	AS2_02237	KD33716_02109
N0.HOG0000705	OG0000662	n0	KBS0714_00722	SA211_00453	AS2_02236	KD33716_02108
N0.HOG0000706	OG0000663	n0	KBS0714_00723	SA211_00454	AS2_02235	KD33716_02107
N0.HOG0000707	OG0000664	n0	KBS0714_00724	SA211_00455	AS2_02234	KD33716_02106
N0.HOG0000708	OG0000665	n0	KBS0714_00725	SA211_00456	AS2_02233	KD33716_02105
N0.HOG0000709	OG0000666	n0	KBS0714_00726	SA211_00457	AS2_02232	KD33716_02104
N0.HOG0000710	OG0000667	n0	KBS0714_00727	SA211_00458	AS2_02231	KD33716_02103
N0.HOG0000711	OG0000668	n0	KBS0714_00728	SA211_00459	AS2_02229	KD33716_02102
N0.HOG0000712	OG0000669	n0	KBS0714_00729	SA211_00460	AS2_02226	KD33716_02100
N0.HOG0000713	OG0000670	n0	KBS0714_00730	SA211_00461	AS2_02223	KD33716_02099
N0.HOG0000714	OG0000671	n0	KBS0714_00732	SA211_00463	AS2_02221	KD33716_02097
N0.HOG0000715	OG0000672	n0	KBS0714_00733	SA211_00464	AS2_02220	KD33716_02096
N0.HOG0000716	OG0000673	n0	KBS0714_00734	SA211_00465	AS2_02219	KD33716_02095
N0.HOG0000717	OG0000674	n0	KBS0714_00735	SA211_00466	AS2_02195	KD33716_02094
N0.HOG0000718	OG0000675	n0	KBS0714_00736	SA211_00467	AS2_02194	KD33716_02093
N0.HOG0000719	OG0000676	n0	KBS0714_00737	SA211_00468	AS2_02193	KD33716_02092
N0.HOG0000720	OG0000677	n0	KBS0714_00738	SA211_00469	AS2_02192	KD33716_02091
N0.HOG0000721	OG0000678	n0	KBS0714_00740	SA211_00471	AS2_02189	KD33716_02087
N0.HOG0000722	OG0000679	n0	KBS0714_00741	SA211_00472	AS2_02188	KD33716_02086
N0.HOG0000723	OG0000680	n0	KBS0714_00742	SA211_00473	AS2_02187	KD33716_02085
N0.HOG0000724	OG0000681	n0	KBS0714_00743	SA211_00474	AS2_02186	KD33716_02084
N0.HOG0000725	OG0000682	n0	KBS0714_00744	SA211_00475	AS2_02185	KD33716_02083
N0.HOG0000726	OG0000683	n0	KBS0714_00745	SA211_00476	AS2_02184	KD33716_02082
N0.HOG0000727	OG0000684	n0	KBS0714_00749	SA211_00479	AS2_02181	KD33716_02076
N0.HOG0000728	OG0000685	n0	KBS0714_00750	SA211_00480	AS2_02180	KD33716_02075
N0.HOG0000729	OG0000686	n0	KBS0714_00751	SA211_00481	AS2_02179	KD33716_02074
N0.HOG0000730	OG0000687	n0	KBS0714_00752	SA211_00482	AS2_02178	KD33716_02073
N0.HOG0000731	OG0000688	n0	KBS0714_00753	SA211_00483	AS2_02177	KD33716_02072
N0.HOG0000732	OG0000689	n0	KBS0714_00754	SA211_00484	AS2_02176	KD33716_02071
N0.HOG0000733	OG0000690	n0	KBS0714_00755	SA211_00485	AS2_02175	KD33716_02070
N0.HOG0000734	OG0000691	n0	KBS0714_00756	SA211_00486	AS2_02174	KD33716_02069
N0.HOG0000735	OG0000692	n0	KBS0714_00757	SA211_00487	AS2_02173	KD33716_02068
N0.HOG0000736	OG0000693	n0	KBS0714_00758	SA211_00488	AS2_02172	KD33716_02067
N0.HOG0000737	OG0000694	n0	KBS0714_00759	SA211_00489	AS2_02171	KD33716_02066
N0.HOG0000738	OG0000695	n0	KBS0714_00760	SA211_00490	AS2_02170	KD33716_02065
N0.HOG0000739	OG0000696	n0	KBS0714_00761	SA211_00491	AS2_02169	KD33716_02064
N0.HOG0000740	OG0000697	n0	KBS0714_00762	SA211_00492	AS2_02168	KD33716_02063
N0.HOG0000741	OG0000698	n0	KBS0714_00763	SA211_00493	AS2_02167	KD33716_02062
N0.HOG0000742	OG0000699	n0	KBS0714_00764	SA211_00494	AS2_02165	KD33716_02061
N0.HOG0000743	OG0000700	n0	KBS0714_00765	SA211_00495	AS2_02164	KD33716_02060
N0.HOG0000744	OG0000701	n0	KBS0714_00766	SA211_00496	AS2_02163	KD33716_02059
N0.HOG0000745	OG0000702	n0	KBS0714_00767	SA211_00497	AS2_02162	KD33716_02058
N0.HOG0000746	OG0000703	n0	KBS0714_00770	SA211_00501	AS2_02160	KD33716_02056
N0.HOG0000747	OG0000704	n0	KBS0714_00771	SA211_00502	AS2_02159	KD33716_02054
N0.HOG0000748	OG0000705	n0	KBS0714_00772	SA211_00503	AS2_02158	KD33716_02053
N0.HOG0000749	OG0000706	n0	KBS0714_00773	SA211_00504	AS2_02157	KD33716_02052
N0.HOG0000750	OG0000707	n0	KBS0714_00775	SA211_00506	AS2_02155	KD33716_02050
N0.HOG0000751	OG0000708	n0	KBS0714_00776	SA211_00507	AS2_02154	KD33716_02049
N0.HOG0000752	OG0000709	n0	KBS0714_00777	SA211_00508	AS2_02153	KD33716_02048
N0.HOG0000753	OG0000710	n0	KBS0714_00778	SA211_00509	AS2_02152	KD33716_02047
N0.HOG0000754	OG0000711	n0	KBS0714_00779	SA211_00510	AS2_02151	KD33716_02046
N0.HOG0000755	OG0000712	n0	KBS0714_00780	SA211_00511	AS2_02150	KD33716_02044
N0.HOG0000756	OG0000713	n0	KBS0714_00781	SA211_00512	AS2_02149	KD33716_02043
N0.HOG0000757	OG0000714	n0	KBS0714_00782	SA211_00513	AS2_02148	KD33716_02042
N0.HOG0000758	OG0000715	n0	KBS0714_00783	SA211_00514	AS2_02147	KD33716_02041
N0.HOG0000759	OG0000716	n0	KBS0714_00784	SA211_00515	AS2_02146	KD33716_02040
N0.HOG0000760	OG0000717	n0	KBS0714_00785	SA211_00516	AS2_02145	KD33716_02039
N0.HOG0000761	OG0000718	n0	KBS0714_00786	SA211_00517	AS2_02144	KD33716_02038
N0.HOG0000762	OG0000719	n0	KBS0714_00788	SA211_00519	AS2_02143	KD33716_02036
N0.HOG0000763	OG0000720	n0	KBS0714_00789	SA211_00520	AS2_02142	KD33716_02035
N0.HOG0000764	OG0000721	n0	KBS0714_00790	SA211_00521	AS2_02141	KD33716_02034
N0.HOG0000765	OG0000722	n0	KBS0714_00791	SA211_00522	AS2_02140	KD33716_02033
N0.HOG0000766	OG0000723	n0	KBS0714_00792	SA211_00523	AS2_02139	KD33716_02032
N0.HOG0000767	OG0000724	n0	KBS0714_00793	SA211_00524	AS2_02138	KD33716_02031
N0.HOG0000768	OG0000725	n0	KBS0714_00794	SA211_00525	AS2_02137	KD33716_02030
N0.HOG0000769	OG0000726	n0	KBS0714_00795	SA211_00526	AS2_02136	KD33716_02029
N0.HOG0000770	OG0000727	n0	KBS0714_00796	SA211_00527	AS2_02135	KD33716_02028
N0.HOG0000771	OG0000728	n0	KBS0714_00797	SA211_00528	AS2_02134	KD33716_02027
N0.HOG0000772	OG0000729	n0	KBS0714_00798	SA211_00529	AS2_02133	KD33716_02026
N0.HOG0000773	OG0000730	n0	KBS0714_00799	SA211_00530	AS2_02132	KD33716_02025
N0.HOG0000774	OG0000731	n0	KBS0714_00800	SA211_00531	AS2_02130	KD33716_02023
N0.HOG0000775	OG0000732	n0	KBS0714_00801	SA211_00532	AS2_02129	KD33716_02022
N0.HOG0000776	OG0000733	n0	KBS0714_00802	SA211_00533	AS2_02128	KD33716_02021
N0.HOG0000777	OG0000734	n0	KBS0714_00803	SA211_00534	AS2_02127	KD33716_02020
N0.HOG0000778	OG0000735	n0	KBS0714_00804	SA211_00535	AS2_02126	KD33716_02019
N0.HOG0000779	OG0000736	n0	KBS0714_00806	SA211_00537	AS2_02124	KD33716_02017
N0.HOG0000780	OG0000737	n0	KBS0714_00807	SA211_00538	AS2_02123	KD33716_02016
N0.HOG0000781	OG0000738	n0	KBS0714_00809	SA211_00541	AS2_02121	KD33716_02012
N0.HOG0000782	OG0000739	n0	KBS0714_00810	SA211_00542	AS2_02120	KD33716_02011
N0.HOG0000783	OG0000740	n0	KBS0714_00811	SA211_00543	AS2_02119	KD33716_02010
N0.HOG0000784	OG0000741	n0	KBS0714_00812	SA211_00544	AS2_02118	KD33716_02009
N0.HOG0000785	OG0000742	n0	KBS0714_00813	SA211_00545	AS2_02117	KD33716_02008
N0.HOG0000786	OG0000743	n0	KBS0714_00814	SA211_00546	AS2_02116	KD33716_02007
N0.HOG0000787	OG0000744	n0	KBS0714_00815	SA211_00547	AS2_02115	KD33716_02006
N0.HOG0000788	OG0000745	n0	KBS0714_00816	SA211_00548	AS2_02114	KD33716_02005
N0.HOG0000789	OG0000746	n0	KBS0714_00817	SA211_00549	AS2_02113	KD33716_02004
N0.HOG0000790	OG0000747	n0	KBS0714_00818	SA211_00550	AS2_02112	KD33716_02003
N0.HOG0000791	OG0000748	n0	KBS0714_00820	SA211_00552	AS2_02110	KD33716_02001
N0.HOG0000792	OG0000749	n0	KBS0714_00821	SA211_00553	AS2_02109	KD33716_02000
N0.HOG0000793	OG0000750	n0	KBS0714_00822	SA211_00554	AS2_02108	KD33716_01999
