gene	Control_#1_B_cell	Control_#2_B_cell	Control_#3_B_cell	SARS_CoV2_pos_Mild_B_cell	SARS_CoV2_pos_Severe_#1_B_cell	SARS_CoV2_pos_Severe_#2_B_cell	SARS_CoV2_pos_Severe_#3_B_cell	Control_#1_T_cell	Control_#2_T_cell	Control_#3_T_cell	SARS_CoV2_pos_Mild_T_cell	SARS_CoV2_pos_Severe_#1_T_cell	SARS_CoV2_pos_Severe_#2_T_cell	SARS_CoV2_pos_Severe_#3_T_cell	Control_#3_erythroid_lineage_cell	SARS_CoV2_pos_Mild_erythroid_lineage_cell	SARS_CoV2_pos_Severe_#1_erythroid_lineage_cell	SARS_CoV2_pos_Severe_#2_erythroid_lineage_cell	Control_#1_monocyte	Control_#2_monocyte	Control_#3_monocyte	SARS_CoV2_pos_Mild_monocyte	SARS_CoV2_pos_Severe_#1_monocyte	SARS_CoV2_pos_Severe_#2_monocyte	Control_#1_neutrophil	Control_#2_neutrophil	Control_#3_neutrophil	SARS_CoV2_pos_Mild_neutrophil	SARS_CoV2_pos_Severe_#1_neutrophil	SARS_CoV2_pos_Severe_#2_neutrophil	Control_#1_platelet	Control_#3_platelet	SARS_CoV2_pos_Severe_#1_platelet	SARS_CoV2_pos_Severe_#2_platelet
ELAPOR1	21	40	33	142	196	148	45	603	614	397	1587	983	609	187	0	1	2	8	241	161	173	330	388	179	11	7	59	16	78	125	0	1	1	1
ELAVL1	13	22	18	63	91	83	16	256	255	198	648	415	339	62	0	0	2	5	83	77	77	176	181	83	0	0	8	5	15	27	0	2	2	8
ELF1	10	20	28	77	184	256	16	387	371	264	916	756	852	59	0	0	3	10	142	134	106	178	135	182	0	3	13	8	20	108	7	7	49	193
ELF2	9	18	12	47	96	86	9	199	202	150	388	280	304	37	0	0	3	6	79	90	75	118	121	124	4	6	19	3	20	91	0	0	3	10
ELMO1	8	13	6	41	34	53	9	136	127	86	352	220	182	32	0	1	0	2	25	39	26	75	42	33	0	0	6	3	7	13	1	0	2	6
ELOB	15	25	25	103	122	183	32	537	551	390	1366	1015	1310	163	36	39	220	441	361	270	313	508	497	616	2	12	27	4	20	203	5	4	21	86
EMC10	6	16	16	76	75	63	27	242	224	165	878	408	292	116	0	0	1	7	106	68	86	236	287	88	0	3	5	5	10	31	1	1	3	8
EMC3	5	7	14	28	35	30	7	106	110	96	274	194	223	31	17	37	133	394	54	48	48	87	108	115	0	2	5	5	12	42	12	18	48	197
EMD	1	7	6	15	24	51	2	98	116	90	197	187	196	17	0	0	0	3	47	31	34	64	54	80	2	0	7	2	6	38	3	1	13	46
EMP3	20	88	49	173	295	1142	59	588	746	511	1954	1152	1517	268	1	2	2	20	715	567	688	1121	1205	1931	4	7	10	29	27	161	14	8	39	237
ENO1	3	14	15	52	73	110	26	368	380	301	1082	867	1163	132	0	0	1	6	354	239	291	452	552	594	1	0	2	0	3	41	6	10	30	115
ENSA	8	18	16	66	78	138	17	250	221	151	502	451	495	44	0	1	7	21	83	71	74	101	112	128	0	4	3	3	12	30	2	1	13	28
EP300	11	15	8	34	65	75	11	169	186	135	355	261	229	25	1	2	15	83	177	139	131	175	246	208	13	5	24	11	44	209	0	0	3	8
EPB41	10	24	28	106	106	135	14	461	544	386	1496	771	653	148	60	73	356	984	59	53	46	108	145	62	3	2	18	10	31	86	7	3	14	67
EPN1	4	8	13	30	59	46	11	153	155	92	308	261	154	33	0	4	8	15	84	85	70	117	138	123	2	2	9	5	13	30	0	0	4	8
EPS15	6	15	8	61	100	95	14	172	176	166	349	318	260	34	0	0	0	9	80	66	74	92	104	98	0	0	9	6	6	35	0	3	2	19
ERBIN	10	10	11	41	63	79	8	189	196	134	540	234	263	36	1	4	5	19	110	99	77	167	142	85	4	1	30	17	11	136	3	0	15	51
ERICH1	5	15	8	65	52	80	9	130	126	104	408	208	257	35	0	0	0	2	90	54	86	116	136	98	0	1	2	2	8	32	1	1	9	39
ERN1	10	12	10	22	44	34	7	318	360	231	637	561	457	61	0	1	1	2	113	97	95	118	166	126	7	2	27	7	37	102	0	0	3	5
ETV6	4	6	7	17	27	23	4	83	47	35	154	90	102	18	0	0	0	1	79	63	73	135	115	80	2	1	7	2	5	31	1	1	4	17
EVI2B	10	47	54	210	152	240	23	267	227	187	959	464	512	97	1	0	0	12	472	363	405	638	777	653	10	14	76	58	100	434	0	1	0	6
EWSR1	9	15	15	48	79	96	12	214	217	133	419	375	371	35	0	0	2	10	148	111	106	164	184	159	0	1	9	1	9	22	0	0	2	5
EXOC7	4	7	7	23	21	21	6	110	76	64	260	147	94	12	0	1	5	8	31	27	26	50	59	47	0	1	4	4	4	14	0	0	2	7
FAAP20	7	9	8	45	49	57	13	132	130	81	368	250	284	41	0	1	1	3	61	50	41	119	104	67	0	0	5	1	5	17	0	1	3	15
FAM107B	19	47	53	144	138	304	22	497	583	442	1476	955	1111	141	0	0	1	20	129	89	83	95	194	243	1	2	27	8	24	186	1	0	3	19
FAM120AOS	20	31	18	91	154	156	29	403	377	242	933	664	548	90	0	1	6	16	159	93	108	213	230	136	2	1	17	14	33	78	0	1	0	12
FAM133B	22	29	51	161	225	271	40	661	597	452	1540	1146	1053	117	1	1	7	27	324	248	247	423	477	375	8	4	33	4	52	155	0	0	1	5
FAM177A1	7	11	34	79	101	99	12	432	397	319	619	626	586	63	1	0	2	10	51	56	54	116	90	73	5	2	15	4	17	113	1	2	15	40
FAM204A	5	10	19	48	63	89	9	161	151	104	409	300	346	49	1	2	10	38	75	46	58	105	120	152	0	3	3	1	1	14	2	1	6	25
FAM241A	10	30	23	123	149	127	18	462	449	280	959	543	429	49	0	1	1	12	144	127	111	195	187	163	6	9	33	12	30	104	0	0	2	2
FAM32A	4	5	5	18	29	36	4	74	87	60	230	154	186	26	0	0	0	5	67	37	39	77	118	169	0	1	6	3	6	30	2	4	3	14
FAM50A	2	4	7	18	19	23	6	108	96	72	212	151	186	30	0	0	3	15	47	42	43	73	70	106	0	1	0	2	3	8	1	1	4	20
FAM89B	2	2	4	17	20	24	2	111	96	59	268	186	189	43	1	0	5	33	36	38	44	87	82	150	1	1	4	0	3	22	2	5	10	34
FAU	208	372	473	1796	2074	3296	350	5428	5054	4222	15326	8661	11547	1570	11	14	70	296	1553	1345	1541	2745	2041	2485	10	19	65	37	100	684	7	3	23	112
FAUP4	4	6	21	47	53	32	3	193	175	126	476	255	187	42	0	1	4	0	75	45	46	86	115	59	1	2	18	6	20	45	1	0	0	7
FAXC	10	30	20	91	100	74	32	400	366	266	876	607	392	96	0	0	0	6	169	121	114	240	284	120	10	3	32	20	31	66	0	1	0	1
FBRS	6	4	5	31	43	46	4	88	69	58	174	110	141	13	0	0	4	9	37	42	25	51	64	50	1	0	5	2	16	35	3	1	4	12
FBXL20	4	8	7	23	15	27	8	94	114	100	277	147	104	21	0	0	8	24	37	45	30	51	58	37	1	1	9	5	13	27	1	0	1	0
FBXL3	5	9	6	21	41	39	3	92	97	66	182	147	146	11	0	0	0	19	43	22	49	43	52	80	1	2	2	2	9	41	0	0	3	8
FBXO11	2	7	5	31	33	53	6	119	105	92	225	144	177	23	0	0	2	9	67	50	53	112	108	97	2	0	6	7	4	48	0	0	4	11
FBXO48	37	53	44	252	251	286	87	875	783	570	2706	1436	1034	297	1	0	5	21	251	257	198	506	482	290	15	17	43	33	59	203	1	5	0	10
FBXO7	2	3	9	24	53	81	7	160	124	74	280	271	244	24	55	68	351	704	70	45	45	79	98	72	0	0	2	1	3	23	1	0	4	19
FBXO9	2	7	3	38	18	27	2	81	116	62	304	120	120	21	23	20	172	406	47	23	41	79	91	48	0	0	0	4	6	21	0	0	4	12
FBXW7	4	10	11	25	43	55	6	96	126	108	264	199	208	32	0	0	3	5	80	92	74	129	97	156	4	6	12	6	30	84	0	1	0	0
FEM1A	50	74	78	296	365	271	52	1227	1030	814	2636	1659	1142	245	1	0	15	35	431	286	256	553	633	291	11	7	48	25	75	220	0	1	1	3
FERMT3	1	4	1	25	24	20	6	89	137	69	325	226	204	30	0	0	0	14	125	90	68	205	245	190	2	1	8	2	24	68	58	60	205	609
FGFR1OP2	4	7	6	36	40	46	5	119	111	90	503	295	265	41	15	28	102	528	71	44	37	87	96	100	0	0	0	1	3	34	3	2	11	72
FIS1	4	9	16	56	52	78	15	224	207	174	553	313	461	49	14	20	153	459	87	81	67	116	101	120	0	1	5	2	5	22	0	1	8	31
FKBP1A	6	14	11	60	69	67	20	196	168	164	553	426	446	84	1	0	0	19	358	277	282	457	591	569	2	8	21	13	22	182	18	24	91	253
FKBP8	4	10	15	29	42	52	10	182	182	143	497	339	378	47	98	121	579	1527	70	57	67	131	147	120	2	4	14	18	24	96	9	27	49	118
FLNA	5	9	13	37	38	68	8	379	414	347	804	692	600	99	0	1	2	10	308	245	293	467	548	385	1	2	7	1	15	46	37	46	134	241
FLOT2	1	3	8	22	33	23	7	66	80	55	177	119	113	19	0	0	6	16	37	27	32	51	66	40	3	1	13	3	6	55	0	1	3	1
FMN1	31	41	37	174	196	145	32	604	554	421	1674	931	635	137	1	0	5	12	178	171	184	308	317	173	5	7	44	20	51	93	0	1	0	3
FMNL1	9	18	13	55	76	117	15	302	281	192	646	492	348	40	0	2	0	9	346	227	254	371	410	369	18	8	49	37	75	301	0	2	0	2
FNBP1	11	37	25	112	114	251	31	419	520	316	1154	701	639	98	0	0	1	9	142	113	140	220	201	198	1	2	9	6	13	89	0	0	0	6
FNIP1	3	13	14	34	68	108	14	86	113	65	219	174	234	23	0	0	1	11	86	82	67	134	161	153	2	2	17	6	39	145	0	0	0	14
FOS	26	39	21	60	142	526	12	2265	2657	1495	3135	2778	3963	164	0	4	13	60	915	520	450	1982	1818	779	19	47	116	129	206	484	1	1	1	17
FOSB	17	35	25	49	46	136	8	602	1039	403	830	371	481	23	0	2	2	5	278	325	151	422	418	109	11	20	52	22	35	113	1	0	0	2
FOXN3	5	18	15	29	70	89	8	249	272	142	480	310	283	36	1	0	9	15	123	120	77	156	129	94	1	0	14	1	11	31	0	2	0	7
FOXO3	2	4	1	18	17	19	0	54	57	35	163	72	89	9	17	22	125	448	136	87	65	93	161	138	6	13	31	18	49	175	4	0	4	20
FOXP1	45	96	90	282	377	383	35	926	828	546	2685	1196	1105	175	2	0	18	100	123	111	117	249	225	158	1	1	12	3	7	33	0	1	0	12
FTH1	90	186	194	668	1196	1828	163	3622	3591	2478	6412	6085	6925	625	69	204	941	2954	9843	8862	9374	10953	13876	18485	155	375	2022	686	1938	14216	330	366	1338	4459
FTL	135	228	231	986	1085	1730	184	2526	3067	2221	7550	3881	6322	862	117	226	1187	2953	7552	7164	8353	13307	15293	17588	57	204	736	451	1106	5846	111	157	444	1973
FUS	36	53	67	176	283	355	47	1046	1244	646	2234	1477	1605	164	1	0	3	22	226	175	190	279	400	355	1	3	21	14	21	162	1	0	0	9
FXR1	7	15	15	42	57	106	11	195	207	135	508	346	383	32	0	0	7	27	67	60	62	134	103	115	1	1	3	1	3	29	0	0	2	6
FXR2	10	10	8	24	28	41	3	272	239	162	356	279	164	28	0	0	2	5	26	19	17	37	46	30	2	1	3	2	9	14	0	1	0	2
FXYD5	11	18	29	87	67	113	12	491	410	362	1431	786	1071	179	1	2	1	9	187	162	194	335	276	310	1	0	1	1	3	25	4	0	37	93
FYTTD1	3	11	5	27	44	57	3	79	92	67	289	164	148	28	0	0	1	3	44	35	32	78	69	65	0	1	3	1	6	16	1	1	3	19
G3BP2	19	24	23	76	108	221	24	499	455	281	904	810	892	101	1	1	5	19	93	68	65	176	159	138	3	1	12	5	15	61	4	6	17	67
GABARAP	7	11	10	62	83	136	19	146	148	89	522	299	388	66	17	17	101	196	649	497	473	908	866	702	6	13	53	27	69	319	0	0	16	31
GABARAPL2	10	24	14	62	75	105	8	204	181	178	538	336	352	54	98	83	486	1700	91	69	71	159	127	140	0	1	20	9	24	178	10	10	46	147
GABRD	8	21	11	39	59	50	6	202	155	135	381	304	164	28	0	0	0	1	77	43	49	87	70	41	2	1	5	1	8	16	1	0	1	1
GALNT1	1	12	7	23	39	49	8	107	95	70	257	159	172	19	0	0	2	7	57	54	51	136	93	107	0	2	3	1	3	32	0	1	4	16
GAPDH	16	42	31	191	207	251	53	961	1066	836	3361	3420	3223	442	0	2	10	27	1237	865	926	2156	2014	1911	3	9	21	9	35	375	39	42	158	522
GAPVD1	2	5	2	12	19	33	3	71	63	34	180	118	129	16	1	1	34	129	44	33	27	65	64	47	0	1	4	0	7	21	0	1	2	13
GASK1A	172	348	304	1086	1385	1800	135	4374	4135	3160	10618	5998	5870	628	3	1	35	276	710	836	673	1263	1150	1175	14	4	72	39	117	423	0	3	6	11
GATAD2A	4	7	7	35	27	42	4	127	144	107	353	224	222	25	0	0	6	8	83	43	44	93	115	84	1	1	10	5	16	64	5	4	7	18
GATD1	13	17	30	96	95	79	26	438	355	272	769	543	328	63	1	0	3	6	175	134	108	167	213	95	4	6	44	14	40	100	0	1	0	0
GBF1	7	16	32	79	86	77	11	260	268	200	641	391	281	67	0	1	2	3	105	82	70	160	187	98	4	4	7	4	25	64	0	0	0	7
GCC2	27	36	30	138	213	318	21	907	763	444	1714	1577	1439	173	1	1	4	45	131	85	63	176	176	181	2	4	10	8	28	72	1	0	3	9
GGNBP2	10	17	12	67	106	154	9	192	230	155	477	348	385	26	0	0	0	3	125	72	92	163	144	185	2	2	6	1	5	33	0	0	2	6
GHITM	5	20	17	55	68	80	20	309	296	226	820	524	557	93	16	17	77	213	173	116	121	207	199	200	0	1	7	3	11	33	5	1	11	20
GIT2	6	4	7	33	24	26	3	67	75	61	249	177	127	26	0	0	0	2	48	22	38	96	75	44	1	4	6	4	13	49	3	1	0	0
GLRX5	1	6	4	17	22	18	1	85	100	79	296	201	265	31	124	241	604	2863	30	41	34	55	55	62	0	0	3	2	0	12	4	1	7	31
GLTP	5	9	6	24	61	49	5	143	131	100	357	250	184	46	0	0	0	2	142	111	95	147	168	197	3	4	5	4	20	92	0	0	2	1
GMFG	8	25	31	116	97	164	16	695	746	558	2156	1499	1949	243	2	0	2	19	382	291	392	583	569	861	8	12	97	54	68	718	6	6	21	98
GNA13	5	10	3	17	52	50	9	114	90	47	157	169	160	6	1	0	1	8	95	69	60	97	158	102	1	1	7	13	21	79	4	1	11	34
GNAI2	8	28	27	124	100	161	34	432	500	343	1385	818	835	132	1	0	2	5	603	451	432	888	892	849	7	13	75	20	64	365	2	7	33	77
GNAI3	4	14	12	50	43	86	9	130	138	125	365	258	261	40	0	0	4	17	120	99	109	167	169	220	3	6	35	9	18	191	0	1	4	18
GNAS	72	95	106	374	646	1056	91	1455	1425	968	3308	2723	3048	305	13	23	198	526	523	419	387	671	769	781	2	3	28	14	49	286	76	108	295	884
GNB1	8	6	11	42	51	97	8	221	266	152	459	322	402	28	0	0	0	13	175	124	146	259	235	265	3	4	9	5	21	128	1	2	12	39
GNB2	4	11	11	34	37	49	4	125	133	108	328	223	278	32	0	7	11	37	232	159	185	292	376	352	8	4	55	11	45	159	3	1	4	32
GNB5	21	37	28	133	149	165	20	522	444	359	1008	667	485	71	0	0	0	9	129	131	77	148	177	109	5	3	17	3	45	56	3	3	13	42
GNG5	9	15	8	63	60	123	23	244	235	176	753	479	689	109	3	2	12	129	326	260	249	505	509	821	0	2	21	14	15	391	4	8	9	60
GNL3L	21	45	29	101	127	129	15	460	423	361	1002	665	511	75	1	0	7	12	144	118	105	194	219	120	6	4	14	13	34	83	2	0	2	5
GNPTG	9	13	9	58	67	45	5	272	298	212	611	378	271	67	0	1	2	5	143	86	79	132	128	114	4	4	12	7	18	51	1	0	1	4
GOLGA2	4	10	6	39	46	28	7	103	100	75	358	200	172	42	0	0	0	5	59	29	31	82	69	61	4	1	8	6	27	62	0	1	10	40
GOLGA4	10	14	13	83	165	132	10	439	442	352	715	575	611	47	0	1	16	43	116	82	65	148	122	146	1	1	4	4	14	39	0	0	2	4
GOLGB1	25	44	34	145	226	308	16	688	782	648	1217	1012	954	104	0	0	8	25	214	171	160	272	266	245	13	7	38	14	53	186	0	0	4	16
GOLM2	7	6	7	24	43	42	4	102	94	74	217	158	178	19	0	0	0	2	42	28	31	59	80	71	0	0	7	4	9	93	0	2	2	9
GOSR1	12	19	19	69	128	126	17	341	308	239	710	467	434	47	0	0	2	18	108	88	78	137	132	84	0	0	9	5	14	54	1	5	10	7
GPATCH2L	2	21	12	32	46	30	2	112	88	100	304	195	134	23	1	1	1	6	61	50	55	84	86	84	3	1	15	1	14	57	0	0	3	9
GPBP1	13	30	29	86	173	265	18	436	359	321	879	616	749	83	1	2	3	32	103	81	74	137	129	143	2	1	12	3	24	74	2	0	3	23
GPBP1L1	5	6	7	30	42	50	5	78	110	74	250	170	145	11	0	3	16	37	49	36	48	67	76	83	0	0	7	2	5	16	2	1	2	4
GPCPD1	4	10	12	26	40	41	4	115	86	73	184	197	191	12	1	0	12	107	475	319	278	292	485	356	4	2	29	5	37	98	0	0	1	16
GPSM2	21	28	21	99	123	82	23	409	378	244	1072	595	452	109	0	0	1	18	108	110	87	178	172	87	4	1	25	9	29	52	0	1	0	1
GPX1	4	12	11	67	55	110	18	104	117	106	356	212	350	41	81	59	428	2230	736	583	505	883	1285	1143	0	0	4	4	11	82	236	279	999	3214
GPX4	12	12	18	85	82	128	29	353	311	217	876	469	579	89	16	7	7	128	243	213	236	330	371	413	1	1	5	2	6	23	48	36	154	605
GRB2	13	26	49	111	174	208	30	168	201	137	580	320	351	48	1	1	3	9	317	189	180	392	498	384	5	8	33	13	42	186	0	5	12	33
GRIPAP1	7	18	19	62	87	81	8	266	246	164	547	407	291	35	0	0	2	8	154	76	99	169	194	92	2	0	14	6	17	50	3	1	0	5
GRK2	6	4	12	54	50	45	8	181	137	106	457	310	214	40	2	0	0	4	158	99	92	213	199	134	3	3	9	7	13	61	1	0	1	10
GRK3	14	35	15	132	115	110	33	199	152	114	806	412	255	109	0	0	1	4	124	118	102	268	290	116	2	2	8	5	7	31	1	1	5	9
GRK6	6	9	10	41	29	46	9	133	123	84	361	207	230	47	2	3	8	15	89	60	40	86	116	118	0	2	6	2	5	26	0	1	7	13
GSK3B	0	5	6	29	30	41	5	102	114	68	293	143	130	14	0	1	0	7	44	36	34	79	81	65	1	0	8	7	12	25	1	0	3	7
GSPT1	3	4	6	21	35	56	6	150	191	108	424	453	421	41	61	66	315	1397	37	26	25	52	44	41	0	2	0	2	1	1	0	0	4	5
GSTK1	3	28	15	64	38	95	8	429	386	346	1139	808	837	158	1	4	7	8	143	92	108	222	181	200	1	0	1	1	3	28	2	3	3	20
GSTO1	3	3	4	19	24	21	7	90	101	72	340	250	196	38	0	0	15	39	233	211	185	378	321	408	1	1	3	3	2	31	54	21	146	700
GTDC1	13	19	24	101	117	67	44	316	327	213	955	549	317	110	0	0	1	8	108	80	87	156	183	61	6	3	13	10	26	48	1	1	1	8
GTF2I	4	9	17	53	35	44	10	100	95	60	297	162	122	16	1	1	14	12	37	47	34	118	117	43	1	1	9	1	13	37	1	0	4	3
GTPBP4	38	54	40	175	211	241	32	853	718	586	1873	1221	915	159	3	2	2	17	381	261	259	398	552	311	7	7	65	21	88	292	0	0	0	6
GUK1	3	15	12	38	55	128	15	391	477	360	945	855	970	132	111	222	705	1611	153	116	141	231	233	305	1	4	7	8	17	55	2	1	13	52
GYPC	10	10	12	51	62	81	9	323	361	227	960	763	1189	167	106	205	703	1787	40	22	31	54	62	76	0	6	3	7	4	11	0	0	7	17
H1-2	1	6	6	36	51	180	8	72	89	49	299	453	639	45	3	9	36	1130	20	9	18	20	79	181	0	0	2	2	1	14	12	8	40	229
H2AC18	3	2	4	48	25	71	2	92	57	27	141	186	339	24	0	0	0	170	147	61	73	96	182	375	18	18	127	49	276	1304	67	7	40	263
H2AC19	3	2	4	48	25	71	2	105	57	27	141	186	339	24	0	0	0	170	147	61	73	96	182	375	18	18	127	49	302	1310	29	7	40	263
H2AZ1	2	13	15	60	68	69	8	330	361	264	973	1058	980	85	0	2	1	13	137	116	132	214	208	268	4	8	21	7	16	141	2	3	18	48
H2AZ2	2	16	24	79	76	79	9	465	453	380	1055	1094	1063	91	1	0	7	19	104	94	100	172	206	209	1	2	8	9	6	59	0	0	2	6
H3-3A	97	145	164	607	641	897	104	1744	1860	1348	5049	3248	4368	488	6	19	59	753	2175	1588	1713	2771	2867	4058	34	92	439	240	475	4388	258	223	712	2251
H3-3B	39	135	106	361	584	1424	135	2236	2304	1449	3996	5496	7438	490	1	4	13	118	1036	776	852	1442	1687	1846	43	92	382	194	335	1748	12	18	49	135
HADHB	4	5	4	23	18	17	5	57	57	57	235	136	113	23	1	0	7	37	71	43	57	93	109	82	0	1	4	4	3	20	0	0	2	12
HAPSTR1	6	23	14	41	78	107	8	223	214	149	329	315	292	27	0	1	3	14	181	119	104	219	213	214	7	4	61	9	49	157	0	1	3	7
HAT1	2	6	3	21	19	21	6	55	66	52	191	135	161	15	0	0	0	1	25	29	23	50	46	39	0	1	3	2	6	24	1	0	1	5
HBA1	7	12	23	255	339	484	132	336	907	1949	5869	2033	9601	776	45863	66024	244837	929017	59	43	140	338	792	1244	0	863	253	1415	931	3845	7	18	1369	4363
HBA2	8	33	111	657	1159	762	177	541	2018	5132	15717	7071	12072	888	96140	112113	450645	725036	154	188	469	1334	2902	1994	3	2142	763	3676	2914	4142	4	12	3676	4234
HBB	17	29	130	1012	2004	1310	425	638	3198	9295	23366	7451	19849	2517	161218	189278	572811	1895218	218	163	656	1421	2965	4166	9	2357	1204	5136	5068	10813	7	29	4331	13172
HBP1	8	11	9	36	76	93	6	269	201	153	363	385	386	19	0	0	10	62	104	66	54	70	98	139	4	5	27	8	27	92	2	0	3	16
HCLS1	4	16	15	81	82	90	15	300	342	226	792	544	537	98	3	1	1	10	228	228	191	361	315	272	1	8	48	15	37	202	0	0	0	6
HCST	2	3	0	30	16	38	5	910	1287	816	3295	1587	1741	292	0	1	0	13	310	283	251	533	365	329	0	4	4	5	3	45	1	6	17	126
HDGF	2	3	0	12	20	21	6	84	106	75	244	188	185	26	8	14	64	172	88	52	63	75	114	86	2	0	2	0	4	11	1	2	25	54
HECTD1	9	14	23	68	90	106	18	214	255	203	586	470	343	43	1	1	6	10	90	56	67	145	177	132	1	2	5	1	6	17	1	0	0	6
HELZ	5	9	9	29	46	62	6	192	207	137	405	388	324	28	0	0	8	27	85	70	55	123	145	69	1	1	4	3	2	12	0	2	5	3
HERC1	7	8	10	30	53	54	4	157	186	94	409	280	287	26	2	3	24	68	39	61	44	63	91	49	0	0	1	1	4	19	2	1	4	21
HIF1A	15	15	16	44	73	97	6	139	109	83	263	277	299	21	1	0	0	12	264	154	164	247	468	460	12	16	77	40	113	746	3	0	5	16
HINT1	35	61	60	260	327	580	55	1266	1130	941	3260	2490	2744	287	0	4	4	36	251	171	178	412	295	305	1	1	4	2	3	51	0	0	1	30
HIPK1	1	4	10	22	18	37	1	225	220	137	306	272	288	37	5	4	32	75	72	60	43	88	84	63	1	1	8	3	7	39	2	0	2	15
HIPK3	2	5	3	17	24	27	1	75	42	41	151	69	74	13	0	0	1	11	82	75	82	129	124	94	3	1	15	5	6	53	3	2	5	10
HLA-A-3	31	36	65	517	408	175	29	1302	998	1155	6340	3798	1236	219	2	5	19	51	502	166	363	1500	977	317	8	13	56	102	103	194	17	20	146	225
HLA-A-6	31	36	65	517	408	175	29	1302	998	1155	6467	3798	1236	219	2	5	19	51	502	166	363	1566	977	317	8	13	56	102	103	194	17	20	146	225
HLA-B-1	14	101	48	372	109	199	12	687	1655	709	3540	701	1219	63	0	1	0	2	132	653	329	1111	285	211	13	16	39	61	22	151	7	10	18	44
HLA-B-2	36	8	82	289	457	156	10	1588	117	1484	3009	2772	645	63	2	2	1	5	772	23	603	995	1285	289	10	1	67	46	99	170	5	17	81	82
HLA-B-3	43	4	82	280	503	120	6	1296	65	1008	2855	3135	551	53	2	2	1	5	603	10	416	839	1225	228	10	1	69	46	109	154	5	17	89	70
HLA-B-5	47	28	51	292	79	186	6	2123	734	629	2737	644	875	88	0	1	0	2	1216	198	298	903	243	251	13	13	37	56	25	151	18	10	17	50
HLA-DQA1-2	121	229	76	226	368	1126	127	1175	963	700	2266	1562	1109	154	1	0	6	28	685	694	261	457	577	506	3	1	17	5	53	86	2	0	3	1
HLA-DQA1-4	4	10	65	213	336	92	4	1042	812	684	2237	1533	968	145	1	0	6	28	235	98	261	435	524	281	3	1	17	5	48	86	2	0	3	1
HLA-E	18	33	27	115	84	208	11	747	570	516	1298	686	996	68	1	0	1	14	224	124	154	186	212	253	8	8	48	33	84	342	19	33	52	191
HLA-E-1	24	81	73	356	359	346	56	1121	1703	1026	3658	2557	1865	354	1	0	1	15	365	491	340	731	865	851	8	12	54	46	104	404	23	43	197	292
HLA-E-2	20	33	27	147	90	228	13	915	737	596	1543	777	1133	82	1	0	1	14	292	136	186	271	227	374	8	8	48	36	87	347	19	33	58	194
HMGB1	52	106	71	384	483	640	73	1387	1471	1028	4257	3737	3270	411	1	3	14	57	534	467	385	803	811	616	2	8	27	34	37	231	37	56	161	270
HMGB1P6	3	10	5	44	47	31	4	127	161	113	471	498	359	37	1	2	2	9	61	66	50	105	121	61	0	0	4	4	5	22	5	12	39	45
HMGB2	6	12	6	37	38	95	9	227	269	202	881	1289	1142	59	0	0	8	70	88	69	77	138	106	61	1	2	3	5	7	114	0	1	1	5
HMGN1	15	40	38	186	203	286	41	472	505	344	1572	1008	1093	206	0	0	0	6	100	97	112	155	139	90	1	3	1	4	2	9	7	10	64	90
HMGN2	16	33	28	140	142	238	32	413	534	382	1625	1244	1460	138	1	1	3	26	166	153	137	377	237	255	0	2	4	6	4	22	0	0	4	7
HNRNPA2B1	70	121	121	403	550	824	76	1846	1729	1128	3960	2821	3210	385	2	2	19	126	556	465	392	799	892	902	9	3	28	12	42	192	8	8	48	167
HNRNPA3	36	56	58	186	338	571	34	971	929	697	2075	1673	2050	228	0	1	11	39	391	316	276	546	461	449	4	1	23	6	48	118	2	0	4	26
HNRNPC	32	47	50	143	246	440	29	763	817	632	1584	1375	1745	128	1	0	11	63	307	229	240	420	445	474	6	9	34	22	31	243	2	3	6	35
HNRNPD	16	26	21	76	125	152	19	339	398	253	941	808	750	82	0	1	5	9	186	143	138	262	238	200	1	1	11	1	10	35	0	0	1	6
HNRNPDL	27	53	40	181	257	368	58	747	900	587	1937	1463	1676	214	0	1	1	19	255	246	254	383	395	440	1	2	4	2	4	34	0	1	0	5
HNRNPF	6	12	10	73	57	45	9	189	227	141	854	503	476	79	1	0	3	12	107	70	78	151	125	143	1	1	5	4	9	27	2	1	4	15
HNRNPH2	5	8	5	21	22	38	5	96	82	82	206	170	190	8	0	0	0	9	81	48	59	98	105	116	1	0	15	13	18	57	1	0	7	15
HNRNPH3	14	20	14	52	112	171	10	280	293	218	627	581	626	54	0	0	2	10	95	88	75	150	171	167	0	3	4	5	16	72	0	0	10	21
HNRNPK	27	34	33	145	211	285	32	703	610	428	1599	1147	1221	172	16	3	56	201	428	277	228	544	496	453	3	5	27	14	32	162	6	4	26	79
HNRNPM	20	19	9	75	90	121	11	359	302	248	818	598	677	93	0	0	4	15	158	111	98	172	188	174	2	2	5	0	6	20	0	0	2	6
HNRNPU	24	40	53	222	277	455	43	892	776	562	2122	1381	1683	209	0	2	5	15	356	308	237	584	498	445	3	4	39	14	27	189	3	0	2	17
HNRNPUL1	28	54	53	170	255	207	41	901	724	571	1627	1263	1011	121	0	1	6	17	287	205	187	344	394	223	5	7	36	17	60	172	0	4	3	12
HOOK3	5	10	8	34	62	66	4	127	158	93	388	240	198	21	0	0	0	2	115	102	101	173	149	130	1	0	10	1	6	41	1	2	4	27
