BSS01294	Muscle	muscle_of_arm_female_embryo_(98_days)		ARM MUSCLE			embryonic	98	day	female	tissue	#C2655D	Tissue	Roadmap (New)	ENCDO837QWL	muscle of arm female embryo (98 days)
BSS01295	Muscle	muscle_of_arm_male_embryo_(101_day)		ARM MUSCLE			embryonic	101	day	male	tissue	#C2655D	Tissue	Roadmap (New)	ENCDO148CGW	muscle of arm male embryo (101 day)
BSS01296	Muscle	muscle_of_arm_male_embryo_(104_days)		ARM MUSCLE			embryonic	104	day	male	tissue	#C2655D	Tissue	Roadmap (New)	ENCDO024JHT	muscle of arm male embryo (104 days)
BSS01297	Muscle	muscle_of_arm_male_embryo_(105_days)		ARM MUSCLE			embryonic	105	day	male	tissue	#C2655D	Tissue	Roadmap (New)	ENCDO171HMD	muscle of arm male embryo (105 days)
BSS01298	Muscle	muscle_of_arm_male_embryo_(113_days)		ARM MUSCLE			embryonic	113	day	male	tissue	#C2655D	Tissue	Roadmap (New)	ENCDO204QQF	muscle of arm male embryo (113 days)
BSS01299	Muscle	muscle_of_arm_male_embryo_(115_days)		ARM MUSCLE			embryonic	115	day	male	tissue	#C2655D	Tissue	Roadmap (New)	ENCDO999JZG	muscle of arm male embryo (115 days)
BSS01300	Muscle	muscle_of_arm_male_embryo_(120_days)		ARM MUSCLE			embryonic	120	day	male	tissue	#C2655D	Tissue	Roadmap (New)	ENCDO249ZDZ	muscle of arm male embryo (120 days)
BSS01301	Muscle	muscle_of_arm_male_embryo_(127_days)		ARM MUSCLE			embryonic	127	day	male	tissue	#C2655D	Tissue	Roadmap (New)	ENCDO859GXV	muscle of arm male embryo (127 days)
BSS01303	Muscle	muscle_of_arm_male_embryo_(96_days)		ARM MUSCLE			embryonic	96	day	male	tissue	#C2655D	Tissue	Roadmap (New)	ENCDO220PYT,ENCDO817EKT	muscle of arm male embryo (96 days)
BSS01304	Muscle	muscle_of_arm_male_embryo_(97_days)		ARM MUSCLE			embryonic	97	day	male	tissue	#C2655D	Tissue	Roadmap (New)	ENCDO576LXR,ENCDO597UXW	muscle of arm male embryo (97 days)
BSS01305	Muscle	muscle_of_back_female_embryo_(105_days)		BACK MUSCLE			embryonic	105	day	female	tissue	#C2655D	Tissue	Roadmap (New)	ENCDO766MZV,ENCDO863KZW	muscle of back female embryo (105 days)
BSS01306	Muscle	muscle_of_back_female_embryo_(113_days)		BACK MUSCLE			embryonic	113	day	female	tissue	#C2655D	Tissue	Roadmap (New)	ENCDO676JUB	muscle of back female embryo (113 days)
BSS01307	Muscle	muscle_of_back_female_embryo_(115_days)		BACK MUSCLE			embryonic	115	day	female	tissue	#C2655D	Tissue	Roadmap (New)	ENCDO594VTA	muscle of back female embryo (115 days)
BSS01308	Muscle	muscle_of_back_female_embryo_(85_days)		BACK MUSCLE			embryonic	85	day	female	tissue	#C2655D	Tissue	Roadmap (New)	ENCDO527XLA	muscle of back female embryo (85 days)
BSS01309	Muscle	muscle_of_back_female_embryo_(98_days)		BACK MUSCLE			embryonic	98	day	female	tissue	#C2655D	Tissue	Roadmap (New)	ENCDO837QWL	muscle of back female embryo (98 days)
BSS01310	Muscle	muscle_of_back_male_embryo_(101_day)		BACK MUSCLE			embryonic	101	day	male	tissue	#C2655D	Tissue	Roadmap (New)	ENCDO148CGW	muscle of back male embryo (101 day)
BSS01311	Muscle	muscle_of_back_male_embryo_(104_days)		BACK MUSCLE			embryonic	104	day	male	tissue	#C2655D	Tissue	Roadmap (New)	ENCDO024JHT	muscle of back male embryo (104 days)
BSS01312	Muscle	muscle_of_back_male_embryo_(105_days)		BACK MUSCLE			embryonic	105	day	male	tissue	#C2655D	Tissue	Roadmap (New)	ENCDO171HMD	muscle of back male embryo (105 days)
BSS01313	Muscle	muscle_of_back_male_embryo_(108_days)		BACK MUSCLE			embryonic	108	day	male	tissue	#C2655D	Tissue	Roadmap (New)	ENCDO119ASK	muscle of back male embryo (108 days)
BSS01314	Muscle	muscle_of_back_male_embryo_(127_days)		BACK MUSCLE			embryonic	127	day	male	tissue	#C2655D	Tissue	Roadmap (New)	ENCDO859GXV	muscle of back male embryo (127 days)
BSS01315	Muscle	muscle_of_back_male_embryo_(91_day)		BACK MUSCLE			embryonic	91	day	male	tissue	#C2655D	Tissue	Roadmap (New)	ENCDO375VTO	muscle of back male embryo (91 day)
BSS01316	Muscle	muscle_of_back_male_embryo_(96_days)		BACK MUSCLE			embryonic	96	day	male	tissue	#C2655D	Tissue	Roadmap (New)	ENCDO220PYT,ENCDO817EKT	muscle of back male embryo (96 days)
BSS01317	Muscle	muscle_of_back_male_embryo_(97_days)		BACK MUSCLE			embryonic	97	day	male	tissue	#C2655D	Tissue	Roadmap (New)	ENCDO597UXW	muscle of back male embryo (97 days)
BSS01318	Muscle	muscle_of_leg_female_embryo_(105_days)		LEG MUSCLE			embryonic	105	day	female	tissue	#C2655D	Tissue	Roadmap (New)	ENCDO863KZW	muscle of leg female embryo (105 days)
BSS01319	Muscle	muscle_of_leg_female_embryo_(110_days)		LEG MUSCLE			embryonic	110	day	female	tissue	#C2655D	Tissue	Roadmap 2015	ENCDO711IWZ	muscle of leg female embryo (110 days)
BSS01320	Muscle	muscle_of_leg_female_embryo_(113_days)		LEG MUSCLE			embryonic	113	day	female	tissue	#C2655D	Tissue	Roadmap 2015	ENCDO676JUB	muscle of leg female embryo (113 days)
BSS01321	Muscle	muscle_of_leg_female_embryo_(115_days)		LEG MUSCLE			embryonic	115	day	female	tissue	#C2655D	Tissue	Roadmap 2015	ENCDO594VTA	muscle of leg female embryo (115 days)
BSS01322	Muscle	muscle_of_leg_female_embryo_(85_days)		LEG MUSCLE			embryonic	85	day	female	tissue	#C2655D	Tissue	Roadmap (New)	ENCDO527XLA	muscle of leg female embryo (85 days)
BSS01323	Muscle	muscle_of_leg_male_embryo_(101_day)		LEG MUSCLE			embryonic	101	day	male	tissue	#C2655D	Tissue	Roadmap 2015	ENCDO148CGW	muscle of leg male embryo (101 day)
BSS01324	Muscle	muscle_of_leg_male_embryo_(104_days)		LEG MUSCLE			embryonic	104	day	male	tissue	#C2655D	Tissue	Roadmap 2015	ENCDO024JHT	muscle of leg male embryo (104 days)
BSS01325	Muscle	muscle_of_leg_male_embryo_(105_days)		LEG MUSCLE			embryonic	105	day	male	tissue	#C2655D	Tissue	Roadmap 2015	ENCDO171HMD	muscle of leg male embryo (105 days)
BSS01327	Muscle	muscle_of_leg_male_embryo_(115_days)		LEG MUSCLE			embryonic	115	day	male	tissue	#C2655D	Tissue	Roadmap 2015	ENCDO999JZG	muscle of leg male embryo (115 days)
BSS01328	Muscle	muscle_of_leg_male_embryo_(127_days)		LEG MUSCLE			embryonic	127	day	male	tissue	#C2655D	Tissue	Roadmap 2015	ENCDO859GXV	muscle of leg male embryo (127 days)
BSS01329	Muscle	muscle_of_leg_male_embryo_(96_days)		LEG MUSCLE			embryonic	96	day	male	tissue	#C2655D	Tissue	Roadmap 2015	ENCDO220PYT,ENCDO817EKT	muscle of leg male embryo (96 days)
BSS01330	Muscle	muscle_of_leg_male_embryo_(97_days)		LEG MUSCLE			embryonic	97	day	male	tissue	#C2655D	Tissue	Roadmap 2015	ENCDO576LXR,ENCDO597UXW	muscle of leg male embryo (97 days)
BSS01331	Muscle	muscle_of_trunk_female_embryo_(113_days)		TRUNK MUSCLE			embryonic	113	day	female	tissue	#C2655D	Tissue	Roadmap 2015	ENCDO676JUB	muscle of trunk female embryo (113 days)
BSS01332	Muscle	muscle_of_trunk_female_embryo_(115_days)		TRUNK MUSCLE			embryonic	115	day	female	tissue	#C2655D	Tissue	Roadmap 2015	ENCDO708NQU	muscle of trunk female embryo (115 days)
BSS01333	Muscle	muscle_of_trunk_female_embryo_(120_days)		TRUNK MUSCLE			embryonic	120	day	female	tissue	#C2655D	Tissue	Roadmap 2015	ENCDO555CMC	muscle of trunk female embryo (120 days)
BSS01334	Muscle	muscle_of_trunk_female_embryo_(121_day)		TRUNK MUSCLE			embryonic	121	day	female	tissue	#C2655D	Tissue	Roadmap 2015	ENCDO920LST	muscle of trunk female embryo (121 day)
BSS01340	Epithelial	myoepithelial_cell_of_mammary_gland_female_adult_(33_years)		MAMMARY MYOEPITHELIAL CELL			adult	33	year	female	primary cell	#FF9D0C	Primary Cell	Roadmap 2015	ENCDO819SJC	myoepithelial cell of mammary gland female adult (33 years)
BSS01341	Epithelial	myoepithelial_cell_of_mammary_gland_female_adult_(36_years)		MAMMARY MYOEPITHELIAL CELL			adult	36	year	female	primary cell	#FF9D0C	Primary Cell	Roadmap 2015	ENCDO261FUX	myoepithelial cell of mammary gland female adult (36 years)
BSS01346	Blood & T-cell	naive_thymus-derived_CD4-positive,_alpha-beta_T_cell		NAIVE T CELL			unknown/mixed	unknown		unknown/mixed	primary cell	#678C69	Immune	Roadmap 2015	ENCDO173AAA,ENCDO194EHQ,ENCDO688UWB,ENCDO779YRY,ENCDO922CEJ	naive thymus-derived CD4-positive, alpha-beta T cell
BSS01353	HSC & B-cell	natural_killer_cell_female_adult_(34_years)		NK CELL			adult	34	year	female	primary cell	#55A354	Immune	Roadmap (New)	ENCDO579CCQ	natural killer cell female adult (34 years)
BSS01354	HSC & B-cell	natural_killer_cell_male_adult_(21_year)		NK CELL			adult	21	year	male	primary cell	#55A354	Immune	Roadmap 2015	ENCDO190HXC	natural killer cell male adult (21 year)
BSS01355	HSC & B-cell	natural_killer_cell_male_adult_(37_years)		NK CELL			adult	37	year	male	primary cell	#55A354	Immune	Roadmap 2015	ENCDO028NGF	natural killer cell male adult (37 years)
BSS01366	ES-deriv	neural_cell_originated_from_H1-hESC	Brain	NEURAL DERIV			embryonic	unknown		male	in vitro differentiated cells	#4178AE	Stem-like	ENCODE (New)	ENCDO000AAW	neural cell originated from H1-hESC
BSS01370	ES-deriv	neural_progenitor_cell_originated_from_H9	Brain	NEURAL PROGENITOR DERIV			embryonic	5	day	female	in vitro differentiated cells	#4178AE	Stem-like	ENCODE (New)	ENCDO222AAA	neural progenitor cell originated from H9
BSS01371	ES-deriv	neural_stem_progenitor_cell_originated_from_H1-hESC	Brain	NEURAL PROGENITOR DERIV			embryonic	unknown		male	in vitro differentiated cells	#4178AE	Stem-like	Roadmap 2015	ENCDO000AAW	neural stem progenitor cell originated from H1-hESC
BSS01372	ES-deriv	neural_stem_progenitor_cell_originated_from_H9	Brain	NEURAL PROGENITOR DERIV			embryonic	5	day	female	in vitro differentiated cells	#4178AE	Stem-like	Roadmap 2015	ENCDO222AAA	neural stem progenitor cell originated from H9
BSS01375	ES-deriv	neuron_originated_from_H9	Brain	NEURON DERIV			embryonic	5	day	female	in vitro differentiated cells	#4178AE	Stem-like	Roadmap 2015	ENCDO222AAA	neuron originated from H9
BSS01377	Neurosph	neurosphere_embryo_(15_weeks)_originated_from_ganglionic_eminence		NEUROSPHERE			embryonic	15	week	unknown/mixed	primary cell	#FFD924	Neural	Roadmap (New)	ENCDO280TXL,ENCDO594MAO	neurosphere embryo (15 weeks) originated from ganglionic eminence
BSS01378	Neurosph	neurosphere_female_embryo_(17_weeks)_originated_from_cortex		NEUROSPHERE			embryonic	17	week	female	primary cell	#FFD924	Neural	Roadmap 2015	ENCDO030VWZ,ENCDO981EWY	neurosphere female embryo (17 weeks) originated from cortex
BSS01379	Neurosph	neurosphere_female_embryo_(17_weeks)_originated_from_ganglionic_eminence		NEUROSPHERE			embryonic	17	week	female	primary cell	#FFD924	Neural	Roadmap 2015	ENCDO030VWZ,ENCDO981EWY	neurosphere female embryo (17 weeks) originated from ganglionic eminence
BSS01381	HSC & B-cell	neutrophil_male		NEUTROPHIL			unknown/mixed	unknown		male	primary cell	#55A354	Immune	Roadmap 2015	ENCDO978TAT	neutrophil male
BSS01388	Brain	occipital_lobe_male_adult_(84_years)		OCCIPITAL LOBE			adult	84	year	male	tissue	#C5912B	Neural	ENCODE (New)	ENCDO240JUB	occipital lobe male adult (84 years)
BSS01399	Endocrine	ovary_female_adult_(30_years)	Reproductive	OVARY			adult	30	year	female	tissue	#99C1FF	Tissue	Roadmap 2015	ENCDO424HVB	ovary female adult (30 years)
BSS01403	Endocrine	ovary_female_embryo	Reproductive	OVARY			embryonic	unknown		female	tissue	#99C1FF	Tissue	Roadmap (New)	ENCDO927DEI	ovary female embryo
BSS01406	Pancreas	pancreas_female_adult_(30_years)		PANCREAS			adult	30	year	female	tissue	#87A3E1	Tissue	Roadmap (New)	ENCDO424HVB	pancreas female adult (30 years)
BSS01407	Pancreas	pancreas_male_adult_(34_years)		PANCREAS			adult	34	year	male	tissue	#87A3E1	Tissue	Roadmap 2015	ENCDO058AAA	pancreas male adult (34 years)
BSS01419	Blood & T-cell	peripheral_blood_mononuclear_cell_female_adult_(28_years)		MONONUCLEAR CELL			adult	28	year	female	primary cell	#678C69	Immune	Roadmap 2015	ENCDO839WKQ	peripheral blood mononuclear cell female adult (28 years)
BSS01420	Blood & T-cell	peripheral_blood_mononuclear_cell_male_adult_(27_years)		MONONUCLEAR CELL			adult	27	year	male	primary cell	#678C69	Immune	Roadmap 2015	ENCDO250QGI	peripheral blood mononuclear cell male adult (27 years)
BSS01421	Blood & T-cell	peripheral_blood_mononuclear_cell_male_adult_(28_years)		MONONUCLEAR CELL			adult	28	year	male	primary cell	#678C69	Immune	Roadmap 2015	ENCDO273TST	peripheral blood mononuclear cell male adult (28 years)
BSS01423	Blood & T-cell	peripheral_blood_mononuclear_cell_male_adult_(32_years)		MONONUCLEAR CELL			adult	32	year	male	primary cell	#678C69	Immune	Roadmap 2015	ENCDO688UPE	peripheral blood mononuclear cell male adult (32 years)
BSS01424	Blood & T-cell	peripheral_blood_mononuclear_cell_male_adult_(39_years)		MONONUCLEAR CELL			adult	39	year	male	primary cell	#678C69	Immune	Roadmap (New)	ENCDO424KSR	peripheral blood mononuclear cell male adult (39 years)
BSS01431	Placenta & EEM	placenta_embryo_(16_weeks)		PLACENTA			embryonic	16	week	unknown/mixed	tissue	#E10000	Tissue	Roadmap (New)	ENCDO918HJM	placenta embryo (16 weeks)
BSS01436	Placenta & EEM	placenta_female_embryo_(105_days)		PLACENTA			embryonic	105	day	female	tissue	#E10000	Tissue	Roadmap (New)	ENCDO863KZW	placenta female embryo (105 days)
BSS01437	Placenta & EEM	placenta_female_embryo_(108_days)		PLACENTA			embryonic	108	day	female	tissue	#E10000	Tissue	Roadmap 2015	ENCDO012PVK	placenta female embryo (108 days)
BSS01438	Placenta & EEM	placenta_female_embryo_(113_days)		PLACENTA			embryonic	113	day	female	tissue	#E10000	Tissue	Roadmap 2015	ENCDO022PVU,ENCDO676JUB	placenta female embryo (113 days)
BSS01440	Placenta & EEM	placenta_female_embryo_(85_days)		PLACENTA			embryonic	85	day	female	tissue	#E10000	Tissue	Roadmap 2015	ENCDO527XLA	placenta female embryo (85 days)
BSS01441	Placenta & EEM	placenta_male_embryo_(16_weeks)		PLACENTA			embryonic	16	week	male	tissue	#E10000	Tissue	Roadmap (New)	ENCDO150YZC	placenta male embryo (16 weeks)
BSS01443	Placenta & EEM	placenta_male_embryo_(85_days)		PLACENTA			embryonic	85	day	male	tissue	#E10000	Tissue	Roadmap (New)	ENCDO342PFI	placenta male embryo (85 days)
BSS01444	Placenta & EEM	placenta_male_embryo_(91_day)		PLACENTA			embryonic	91	day	male	tissue	#E10000	Tissue	Roadmap 2015	ENCDO375VTO	placenta male embryo (91 day)
BSS01446	Placenta & EEM	placental_basal_plate_female_embryo_(40_weeks)		PLACENTA			embryonic	40	week	female	tissue	#E10000	Tissue	Roadmap (New)	ENCDO651ROT	placental basal plate female embryo (40 weeks)
BSS01448	Placenta & EEM	placental_basal_plate_male_embryo_(38_weeks)		PLACENTA			embryonic	38	week	male	tissue	#E10000	Tissue	Roadmap (New)	ENCDO974LFM	placental basal plate male embryo (38 weeks)
BSS01451	Brain	pons_male_adult_(78_years)		PONS			adult	78	year	male	tissue	#C5912B	Neural	ENCODE (New)	ENCDO317XRR	pons male adult (78 years)
BSS01452	Brain	posterior_cingulate_cortex_male_adult_(20_years)		POSTERIOR CINGULATE CORTEX			adult	20	year	male	tissue	#C5912B	Neural	ENCODE (New)	ENCDO377OGA	posterior cingulate cortex male adult (20 years)
BSS01460	Muscle	psoas_muscle_female_adult_(30_years)		PSOAS MUSCLE			adult	30	year	female	tissue	#C2655D	Tissue	Roadmap (New)	ENCDO424HVB	psoas muscle female adult (30 years)
BSS01462	Muscle	psoas_muscle_male_adult_(34_years)		PSOAS MUSCLE			adult	34	year	male	tissue	#C2655D	Tissue	Roadmap 2015	ENCDO058AAA	psoas muscle male adult (34 years)
BSS01463	Muscle	psoas_muscle_male_child_(3_years)		PSOAS MUSCLE			child	3	year	male	tissue	#C2655D	Tissue	Roadmap 2015	ENCDO478OMA	psoas muscle male child (3 years)
BSS01469	Brain	putamen_male_adult_(78_years)		PUTAMEN			adult	78	year	male	tissue	#C5912B	Neural	ENCODE (New)	ENCDO317XRR	putamen male adult (78 years)
BSS01475	Sm. Muscle	rectal_smooth_muscle_tissue_female_adult_(50_years)	Digestive	RECTUM MUSCLE			adult	50	year	female	tissue	#F182BC	Tissue	Roadmap 2015	ENCDO026NQC	rectal smooth muscle tissue female adult (50 years)
BSS01480	Blood & T-cell	regulatory_T_cell_originated_from_blood_cell		TREG CELL			unknown/mixed	unknown		unknown/mixed	primary cell	#678C69	Immune	Roadmap (New)	ENCDO966YSM	regulatory T cell originated from blood cell
BSS01482	Kidney	renal_cortex_interstitium_female_embryo_(103_days)		RENAL CORTEX INTERSTITIUM			embryonic	103	day	female	tissue	#660000	Tissue	Roadmap (New)	ENCDO380HQH	renal cortex interstitium female embryo (103 days)
BSS01483	Kidney	renal_cortex_interstitium_female_embryo_(120_days)		RENAL CORTEX INTERSTITIUM			embryonic	120	day	female	tissue	#660000	Tissue	Roadmap (New)	ENCDO555CMC	renal cortex interstitium female embryo (120 days)
BSS01484	Kidney	renal_cortex_interstitium_female_embryo_(89_days)		RENAL CORTEX INTERSTITIUM			embryonic	89	day	female	tissue	#660000	Tissue	Roadmap (New)	ENCDO076OLG	renal cortex interstitium female embryo (89 days)
BSS01485	Kidney	renal_cortex_interstitium_female_embryo_(96_days)		RENAL CORTEX INTERSTITIUM			embryonic	96	day	female	tissue	#660000	Tissue	Roadmap (New)	ENCDO613NXA,ENCDO870OBN	renal cortex interstitium female embryo (96 days)
BSS01486	Kidney	renal_cortex_interstitium_male_embryo_(108_days)		RENAL CORTEX INTERSTITIUM			embryonic	108	day	male	tissue	#660000	Tissue	Roadmap (New)	ENCDO014CNM,ENCDO132ASK	renal cortex interstitium male embryo (108 days)
BSS01487	Kidney	renal_cortex_interstitium_male_embryo_(113_days)		RENAL CORTEX INTERSTITIUM			embryonic	113	day	male	tissue	#660000	Tissue	Roadmap (New)	ENCDO608XKS	renal cortex interstitium male embryo (113 days)
BSS01488	Kidney	renal_cortex_interstitium_male_embryo_(127_days)		RENAL CORTEX INTERSTITIUM			embryonic	127	day	male	tissue	#660000	Tissue	Roadmap (New)	ENCDO859GXV	renal cortex interstitium male embryo (127 days)
BSS01489	Kidney	renal_cortex_interstitium_male_embryo_(91_day)		RENAL CORTEX INTERSTITIUM			embryonic	91	day	male	tissue	#660000	Tissue	Roadmap (New)	ENCDO375VTO	renal cortex interstitium male embryo (91 day)
BSS01490	Kidney	renal_cortex_interstitium_male_embryo_(97_days)		RENAL CORTEX INTERSTITIUM			embryonic	97	day	male	tissue	#660000	Tissue	Roadmap (New)	ENCDO576LXR	renal cortex interstitium male embryo (97 days)
BSS01493	Kidney	renal_pelvis_female_embryo_(103_days)		RENAL PELVIS			embryonic	103	day	female	tissue	#660000	Tissue	Roadmap (New)	ENCDO380HQH	renal pelvis female embryo (103 days)
BSS01494	Kidney	renal_pelvis_female_embryo_(105_days)		RENAL PELVIS			embryonic	105	day	female	tissue	#660000	Tissue	Roadmap (New)	ENCDO766MZV	renal pelvis female embryo (105 days)
BSS01495	Kidney	renal_pelvis_female_embryo_(89_days)		RENAL PELVIS			embryonic	89	day	female	tissue	#660000	Tissue	Roadmap (New)	ENCDO076OLG	renal pelvis female embryo (89 days)
BSS01496	Kidney	renal_pelvis_female_embryo_(96_days)		RENAL PELVIS			embryonic	96	day	female	tissue	#660000	Tissue	Roadmap (New)	ENCDO613NXA,ENCDO870OBN	renal pelvis female embryo (96 days)
BSS01497	Kidney	renal_pelvis_male_embryo_(108_days)		RENAL PELVIS			embryonic	108	day	male	tissue	#660000	Tissue	Roadmap (New)	ENCDO014CNM	renal pelvis male embryo (108 days)
BSS01498	Kidney	renal_pelvis_male_embryo_(113_days)		RENAL PELVIS			embryonic	113	day	male	tissue	#660000	Tissue	Roadmap (New)	ENCDO608XKS	renal pelvis male embryo (113 days)
BSS01499	Kidney	renal_pelvis_male_embryo_(127_days)		RENAL PELVIS			embryonic	127	day	male	tissue	#660000	Tissue	Roadmap (New)	ENCDO859GXV	renal pelvis male embryo (127 days)
BSS01500	Kidney	renal_pelvis_male_embryo_(91_day)		RENAL PELVIS			embryonic	91	day	male	tissue	#660000	Tissue	Roadmap (New)	ENCDO375VTO	renal pelvis male embryo (91 day)
BSS01501	Kidney	renal_pelvis_male_embryo_(97_days)		RENAL PELVIS			embryonic	97	day	male	tissue	#660000	Tissue	Roadmap (New)	ENCDO576LXR	renal pelvis male embryo (97 days)
BSS01508	Heart	right_cardiac_atrium_male_adult_(34_years)		HEART RIGHT ATRIUM			adult	34	year	male	tissue	#D56F80	Tissue	Roadmap 2015	ENCDO058AAA	right cardiac atrium male adult (34 years)
BSS01509	Kidney	right_kidney_female_embryo_(107_days)		KIDNEY			embryonic	107	day	female	tissue	#660000	Tissue	Roadmap (New)	ENCDO607LOS	right kidney female embryo (107 days)
BSS01510	Kidney	right_kidney_female_embryo_(117_days)		KIDNEY			embryonic	117	day	female	tissue	#660000	Tissue	Roadmap (New)	ENCDO453STB	right kidney female embryo (117 days)
BSS01511	Kidney	right_kidney_female_embryo_(147_days)		KIDNEY			embryonic	147	day	female	tissue	#660000	Tissue	Roadmap (New)	ENCDO863JOG	right kidney female embryo (147 days)
BSS01512	Kidney	right_kidney_female_embryo_(87_days)		KIDNEY			embryonic	87	day	female	tissue	#660000	Tissue	Roadmap (New)	ENCDO814BQX	right kidney female embryo (87 days)
BSS01513	Kidney	right_kidney_female_embryo_(98_days)		KIDNEY			embryonic	98	day	female	tissue	#660000	Tissue	Roadmap (New)	ENCDO633IHH	right kidney female embryo (98 days)
BSS01514	Kidney	right_kidney_male_embryo_(108_days)		KIDNEY			embryonic	108	day	male	tissue	#660000	Tissue	Roadmap (New)	ENCDO119ASK	right kidney male embryo (108 days)
BSS01515	Kidney	right_kidney_male_embryo_(115_days)		KIDNEY			embryonic	115	day	male	tissue	#660000	Tissue	Roadmap (New)	ENCDO816OTW	right kidney male embryo (115 days)
BSS01516	Kidney	right_kidney_male_embryo_(87_days)		KIDNEY			embryonic	87	day	male	tissue	#660000	Tissue	Roadmap (New)	ENCDO126IGB	right kidney male embryo (87 days)
BSS01518	Kidney	right_kidney_male_embryo_(96_days)		KIDNEY			embryonic	96	day	male	tissue	#660000	Tissue	Roadmap (New)	ENCDO817EKT	right kidney male embryo (96 days)
BSS01519	Liver	right_lobe_of_liver_female_adult_(53_years)		LIVER			adult	53	year	female	tissue	#5151E7	Tissue	ENCODE (New)	ENCDO793LXB	right lobe of liver female adult (53 years)
BSS01520	Lung	right_lung_female_embryo_(105_days)		LUNG			embryonic	105	day	female	tissue	#D9D2E9	Tissue	Roadmap (New)	ENCDO766MZV	right lung female embryo (105 days)
BSS01521	Lung	right_lung_female_embryo_(107_days)		LUNG			embryonic	107	day	female	tissue	#D9D2E9	Tissue	Roadmap (New)	ENCDO607LOS	right lung female embryo (107 days)
BSS01522	Lung	right_lung_female_embryo_(108_days)		LUNG			embryonic	108	day	female	tissue	#D9D2E9	Tissue	Roadmap (New)	ENCDO012PVK	right lung female embryo (108 days)
BSS01523	Lung	right_lung_female_embryo_(110_days)		LUNG			embryonic	110	day	female	tissue	#D9D2E9	Tissue	Roadmap (New)	ENCDO087TLK	right lung female embryo (110 days)
BSS01524	Lung	right_lung_female_embryo_(117_days)		LUNG			embryonic	117	day	female	tissue	#D9D2E9	Tissue	Roadmap (New)	ENCDO453STB	right lung female embryo (117 days)
BSS01525	Lung	right_lung_female_embryo_(91_day)		LUNG			embryonic	91	day	female	tissue	#D9D2E9	Tissue	Roadmap (New)	ENCDO605ZCF	right lung female embryo (91 day)
BSS01526	Lung	right_lung_female_embryo_(98_days)		LUNG			embryonic	98	day	female	tissue	#D9D2E9	Tissue	Roadmap (New)	ENCDO837QWL	right lung female embryo (98 days)
BSS01527	Lung	right_lung_male_embryo_(105_days)		LUNG			embryonic	105	day	male	tissue	#D9D2E9	Tissue	Roadmap (New)	ENCDO171HMD	right lung male embryo (105 days)
BSS01528	Lung	right_lung_male_embryo_(115_days)		LUNG			embryonic	115	day	male	tissue	#D9D2E9	Tissue	Roadmap (New)	ENCDO816OTW	right lung male embryo (115 days)
BSS01529	Lung	right_lung_male_embryo_(87_days)		LUNG			embryonic	87	day	male	tissue	#D9D2E9	Tissue	Roadmap (New)	ENCDO126IGB	right lung male embryo (87 days)
BSS01530	Lung	right_lung_male_embryo_(96_days)		LUNG			embryonic	96	day	male	tissue	#D9D2E9	Tissue	Roadmap (New)	ENCDO817EKT	right lung male embryo (96 days)
BSS01531	Kidney	right_renal_cortex_interstitium_male_embryo_(105_days)		RENAL CORTEX INTERSTITIUM			embryonic	105	day	male	tissue	#660000	Tissue	Roadmap (New)	ENCDO378UAU,ENCDO513BVP	right renal cortex interstitium male embryo (105 days)
BSS01532	Kidney	right_renal_cortex_interstitium_male_embryo_(120_days)		RENAL CORTEX INTERSTITIUM			embryonic	120	day	male	tissue	#660000	Tissue	Roadmap (New)	ENCDO327QNA	right renal cortex interstitium male embryo (120 days)
BSS01533	Kidney	right_renal_pelvis_male_embryo_(105_days)		RENAL PELVIS			embryonic	105	day	male	tissue	#660000	Tissue	Roadmap (New)	ENCDO171HMD,ENCDO378UAU,ENCDO513BVP	right renal pelvis male embryo (105 days)
BSS01534	Kidney	right_renal_pelvis_male_embryo_(120_days)		RENAL PELVIS			embryonic	120	day	male	tissue	#660000	Tissue	Roadmap (New)	ENCDO327QNA	right renal pelvis male embryo (120 days)
BSS01545	Digestive	sigmoid_colon_male_adult_(34_years)		SIGMOID COLON			adult	34	year	male	tissue	#C58DAA	Tissue	Roadmap 2015	ENCDO058AAA	sigmoid colon male adult (34 years)
BSS01548	Digestive	sigmoid_colon_male_child_(3_years)		SIGMOID COLON			child	3	year	male	tissue	#C58DAA	Tissue	Roadmap 2015	ENCDO478OMA	sigmoid colon male child (3 years)
BSS01554	Cancer	SK-N-DZ	Brain	NEUROBLASTOMA			child	2	year	female	cell line	#000000	Other	ENCODE (New)	ENCDO340AAA	SK-N-DZ
BSS01558	Cancer	SK-N-DZ_treated_with_dimethyl_sulfoxide_for_72_hours	Brain	NEUROBLASTOMA	SK-N-DZ	dimethyl_sulfoxide_for_72_hours	child	2	year	female	cell line	#000000	Other	ENCODE (New)	ENCDO340AAA	SK-N-DZ treated with dimethyl sulfoxide for 72 hours
BSS01559	Cancer	SK-N-MC	Brain	NEUROEPITHELIOMA			child	14	year	female	cell line	#000000	Other	ENCODE (New)	ENCDO000ABC	SK-N-MC
BSS01562	Cancer	SK-N-SH	Brain	NEUROBLASTOMA			child	4	year	female	cell line	#000000	Other	ENCODE (New)	ENCDO000ABD	SK-N-SH
