FBC	20	26.19	24.13	24.04	25.64	0.00	0.00
FBC	21	25.75	24.33	24.29	25.62	0.00	0.00
FBC	22	25.88	24.23	24.16	25.73	0.00	0.00
FBC	23	25.58	24.46	24.34	25.62	0.00	0.00
FBC	24	25.82	24.16	24.23	25.79	0.00	0.00
FBC	25	25.88	24.25	24.27	25.61	0.00	0.00
FBC	26	25.82	24.25	24.28	25.65	0.00	0.00
FBC	27	25.94	24.16	24.11	25.79	0.00	0.00
FBC	28	25.85	24.07	24.20	25.88	0.01	0.00
FBC	29	26.08	23.97	23.88	26.07	0.00	0.00
FBC	30	26.20	23.94	23.97	25.90	0.00	0.00
FBC	31	25.84	24.07	24.15	25.94	0.00	0.00
FBC	32	26.25	23.91	23.70	26.15	0.00	0.00
FBC	33	26.02	23.94	24.11	25.93	0.00	0.00
FBC	34	26.19	24.06	23.89	25.85	0.00	0.00
FBC	35	26.14	24.00	23.88	25.98	0.00	0.00
FBC	36	26.38	23.69	23.95	25.98	0.00	0.00
FBC	37	26.02	23.99	24.03	25.96	0.01	0.00
FBC	38	26.17	23.75	23.92	26.16	0.01	0.00
FBC	39	26.32	23.74	23.87	26.07	0.00	0.00
FBC	40	26.37	23.87	23.77	25.99	0.00	0.00
FBC	41	26.21	23.77	23.94	26.08	0.00	0.00
FBC	42	26.43	23.86	23.84	25.87	0.00	0.00
FBC	43	26.00	23.97	24.02	26.02	0.00	0.00
FBC	44	26.33	23.61	23.89	26.17	0.00	0.00
FBC	45	26.01	24.05	23.73	26.21	0.00	0.00
FBC	46	26.37	23.76	23.83	26.05	0.00	0.00
FBC	47	26.42	23.76	23.63	26.20	0.00	0.00
FBC	48	26.28	23.88	23.78	26.06	0.00	0.00
FBC	49	26.15	23.99	23.72	26.14	0.00	0.00
FBC	50	26.10	23.96	23.78	26.15	0.00	0.00
FBC	51	26.22	24.02	23.77	25.99	0.00	0.00
FBC	52	26.26	23.87	23.87	26.00	0.01	0.00
FBC	53	26.22	23.97	23.91	25.91	0.00	0.00
FBC	54	26.28	23.74	23.93	26.04	0.00	0.00
FBC	55	26.16	23.86	23.81	26.18	0.00	0.00
FBC	56	26.22	23.94	23.93	25.91	0.00	0.00
FBC	57	26.27	23.73	23.74	26.26	0.00	0.00
FBC	58	26.25	23.86	23.95	25.95	0.00	0.00
FBC	59	26.39	23.79	23.56	26.27	0.00	0.00
FBC	60	26.29	23.80	23.68	26.23	0.01	0.00
FBC	61	26.15	23.93	24.01	25.91	0.00	0.00
FBC	62	26.29	23.73	23.85	26.14	0.01	0.00
FBC	63	26.22	23.77	23.85	26.16	0.00	0.00
FBC	64	26.21	23.90	23.86	26.03	0.00	0.00
FBC	65	26.19	23.84	23.86	26.11	0.01	0.00
FBC	66	26.16	24.00	23.99	25.85	0.01	0.00
FBC	67	26.16	23.91	24.00	25.93	0.01	0.00
FBC	68	26.40	23.83	23.61	26.16	0.01	0.00
FBC	69	26.07	23.87	23.90	26.16	0.00	0.00
FBC	70	26.11	24.04	23.92	25.93	0.00	0.00
FBC	71	26.18	24.07	23.78	25.97	0.00	0.00
FBC	72	26.38	23.84	23.66	26.12	0.00	0.00
FBC	73	25.90	24.06	23.91	26.13	0.00	0.00
FBC	74	26.24	23.83	23.89	26.04	0.00	0.00
FBC	75	26.04	24.02	23.93	26.00	0.00	0.00
FBC	76	26.14	23.85	24.03	25.97	0.00	0.00
FBC	77	26.28	23.73	23.90	26.09	0.00	0.00
FBC	78	26.23	23.82	23.78	26.17	0.00	0.00
FBC	79	26.24	23.83	23.86	26.07	0.00	0.00
FBC	80	26.24	23.81	23.93	26.02	0.00	0.00
FBC	81	26.12	23.90	23.89	26.08	0.00	0.00
FBC	82	26.31	23.73	23.83	26.13	0.00	0.00
FBC	83	26.22	23.80	23.87	26.10	0.00	0.00
FBC	84	26.17	23.87	23.88	26.08	0.00	0.00
FBC	85	26.14	24.13	23.77	25.96	0.00	0.00
FBC	86	26.20	23.84	23.95	26.01	0.00	0.00
FBC	87	26.23	23.80	23.99	25.98	0.00	0.00
FBC	88	26.11	23.74	24.07	26.07	0.00	0.00
FBC	89	26.32	23.78	23.99	25.91	0.00	0.00
FBC	90	26.19	23.72	23.83	26.26	0.00	0.00
FBC	91	26.17	23.96	24.00	25.87	0.00	0.00
FBC	92	26.28	23.79	23.76	26.17	0.00	0.00
FBC	93	26.24	24.02	23.90	25.83	0.00	0.00
FBC	94	25.64	24.42	24.49	25.46	3.92	0.00
FBC	95	26.20	23.86	23.90	26.03	0.00	0.00
FBC	96	26.14	23.84	24.06	25.96	0.00	0.00
FBC	97	26.32	23.77	23.89	26.03	0.00	0.00
FBC	98	26.17	23.92	23.84	26.06	0.00	0.00
FBC	99	26.19	23.93	24.00	25.88	0.00	0.00
FBC	100	26.21	23.89	23.92	25.98	0.00	0.00
FBC	101	26.34	23.87	23.73	26.06	0.00	0.00
FBC	102	26.20	23.82	23.85	26.13	0.01	0.00
FBC	103	26.30	23.90	23.90	25.90	0.00	0.00
FBC	104	26.26	23.82	23.83	26.09	0.00	0.00
FBC	105	26.23	23.80	23.82	26.14	0.00	0.00
FBC	106	26.19	23.80	23.85	26.15	0.00	0.00
FBC	107	26.24	23.87	23.72	26.16	0.00	0.00
FBC	108	26.17	23.79	23.92	26.13	0.00	0.00
FBC	109	26.19	23.95	23.92	25.95	0.00	0.00
FBC	110	26.28	23.88	23.89	25.95	0.00	0.00
FBC	111	26.09	23.74	23.91	26.25	0.00	0.00
FBC	112	26.18	23.77	23.98	26.07	0.00	0.00
FBC	113	26.26	23.60	23.88	26.25	0.00	0.00
FBC	114	26.34	23.75	23.80	26.10	0.00	0.00
FBC	115	26.19	23.75	23.76	26.30	0.00	0.00
FBC	116	26.25	23.79	23.86	26.10	0.00	0.00
FBC	117	26.16	23.86	23.95	26.03	0.00	0.00
FBC	118	26.26	23.77	23.92	26.04	0.00	0.00
FBC	119	26.32	23.75	23.79	26.14	0.00	0.00
FBC	120	26.22	23.80	23.88	26.10	0.00	0.00
FBC	121	26.27	23.76	23.90	26.08	0.00	0.00
FBC	122	26.22	23.91	23.72	26.16	0.00	0.00
FBC	123	26.22	23.89	23.79	26.10	0.00	0.00
FBC	124	26.33	23.69	23.80	26.19	0.01	0.00
FBC	125	26.26	23.84	23.79	26.11	0.01	0.00
FBC	126	26.41	23.87	23.64	26.09	0.00	0.00
FBC	127	26.29	23.93	23.63	26.15	0.00	0.00
FBC	128	26.20	23.88	23.93	25.99	0.00	0.00
FBC	129	26.20	23.72	23.82	26.26	0.00	0.00
FBC	130	26.14	23.83	23.73	26.30	0.00	0.00
FBC	131	26.24	23.98	23.58	26.19	0.00	0.00
FBC	132	26.23	23.78	24.00	25.99	0.00	0.00
FBC	133	26.26	23.86	23.81	26.07	0.00	0.00
FBC	134	25.95	24.04	23.93	26.07	0.00	0.00
FBC	135	26.20	23.77	23.87	26.16	0.00	0.00
FBC	136	26.25	23.84	23.93	25.98	0.00	0.00
FBC	137	26.20	24.04	23.81	25.96	0.00	0.00
FBC	138	26.22	23.86	23.79	26.14	0.00	0.00
FBC	139	26.09	24.00	23.84	26.06	0.00	0.00
FBC	140	26.00	23.94	23.92	26.14	0.00	0.00
FBC	141	26.17	23.69	23.92	26.22	0.00	0.00
FBC	142	26.03	23.98	24.01	25.99	0.00	0.00
FBC	143	26.12	24.07	23.81	26.01	0.00	0.00
FBC	144	26.13	23.85	24.05	25.97	0.00	0.00
FBC	145	26.11	23.90	23.98	26.00	0.00	0.00
FBC	146	26.15	23.90	23.91	26.04	0.00	0.00
FBC	147	26.08	23.90	23.96	26.05	0.00	0.00
FBC	148	26.08	23.93	23.91	26.08	0.00	0.00
FBC	149	26.59	23.45	23.51	26.45	0.00	0.00
FBC	150	27.61	22.38	22.43	27.58	0.00	0.00
FBC	151	33.35	16.55	16.73	33.36	0.00	0.00
# ACGT raw counters for first fragments. Use `grep ^FTC | cut -f 2-` to extract this part. The columns are: A,C,G,T,N base counters
FTC	15631852	14537554	14537814	15556410	16234
# ACGT content per cycle for last fragments. Use `grep ^LBC | cut -f 2-` to extract this part. The columns are: cycle; A,C,G,T base counts as a percentage of all A/C/G/T bases [%]; and N and O counts as a percentage of all A/C/G/T bases [%]
# ACGT raw counters for last fragments. Use `grep ^LTC | cut -f 2-` to extract this part. The columns are: A,C,G,T,N base counters
LTC	0	0	0	0	0
# Insert sizes. Use `grep ^IS | cut -f 2-` to extract this part. The columns are: insert size, pairs total, inward oriented pairs, outward oriented pairs, other pairs
# Read lengths. Use `grep ^RL | cut -f 2-` to extract this part. The columns are: read length, count
RL	16	5
RL	19	1
RL	20	1
RL	22	2
RL	23	1
RL	24	1
RL	25	4
RL	26	2
RL	27	20
RL	28	18
RL	29	15
RL	30	16
RL	31	17
RL	32	24
RL	33	33
RL	34	42
RL	35	65
RL	36	70
RL	37	112
RL	38	146
RL	39	134
RL	40	135
RL	41	123
RL	42	140
RL	43	170
RL	44	205
RL	45	238
RL	46	239
RL	47	222
RL	48	244
RL	49	276
RL	50	266
RL	51	244
RL	52	278
RL	53	308
RL	54	290
RL	55	316
RL	56	347
RL	57	414
RL	58	359
RL	59	339
RL	60	346
RL	61	354
RL	62	371
RL	63	400
RL	64	461
RL	65	488
RL	66	499
RL	67	497
RL	68	495
RL	69	510
RL	70	462
RL	71	536
RL	72	535
RL	73	559
RL	74	550
RL	75	597
RL	76	597
RL	77	663
RL	78	656
RL	79	684
RL	80	661
RL	81	654
RL	82	700
RL	83	715
RL	84	741
RL	85	760
RL	86	793
RL	87	871
RL	88	909
RL	89	901
RL	90	935
RL	91	944
RL	92	859
RL	93	1533
RL	94	998
RL	95	979
RL	96	1005
RL	97	1016
RL	98	1058
RL	99	1043
RL	100	1129
RL	101	1146
RL	102	1122
RL	103	1168
RL	104	1111
RL	105	1262
RL	106	1205
RL	107	1379
RL	108	1345
RL	109	1451
RL	110	1437
RL	111	1453
RL	112	1428
RL	113	1493
RL	114	1495
RL	115	1595
RL	116	1621
RL	117	1638
RL	118	1760
RL	119	1790
RL	120	1771
RL	121	1814
RL	122	1875
RL	123	1802
RL	124	1827
RL	125	1931
RL	126	2041
RL	127	1971
RL	128	2044
RL	129	2200
RL	130	2119
RL	131	2155
RL	132	2179
RL	133	2246
RL	134	2295
RL	135	2374
RL	136	2490
RL	137	2376
RL	138	2546
RL	139	2530
RL	140	2622
RL	141	2662
RL	142	2583
RL	143	2476
RL	144	2665
RL	145	2673
RL	146	2799
RL	147	4037
RL	148	9728
RL	149	23654
RL	150	73558
RL	151	197108
# Read lengths - first fragments. Use `grep ^FRL | cut -f 2-` to extract this part. The columns are: read length, count
FRL	16	5
FRL	19	1
FRL	20	1
FRL	22	2
FRL	23	1
FRL	24	1
FRL	25	4
FRL	26	2
FRL	27	20
FRL	28	18
FRL	29	15
FRL	30	16
FRL	31	17
FRL	32	24
FRL	33	33
FRL	34	42
FRL	35	65
FRL	36	70
FRL	37	112
FRL	38	146
FRL	39	134
FRL	40	135
FRL	41	123
FRL	42	140
FRL	43	170
FRL	44	205
FRL	45	238
FRL	46	239
FRL	47	222
FRL	48	244
FRL	49	276
FRL	50	266
FRL	51	244
FRL	52	278
FRL	53	308
FRL	54	290
FRL	55	316
FRL	56	347
FRL	57	414
FRL	58	359
FRL	59	339
FRL	60	346
FRL	61	354
FRL	62	371
FRL	63	400
FRL	64	461
FRL	65	488
FRL	66	499
FRL	67	497
FRL	68	495
FRL	69	510
FRL	70	462
FRL	71	536
FRL	72	535
FRL	73	559
FRL	74	550
FRL	75	597
FRL	76	597
FRL	77	663
FRL	78	656
FRL	79	684
FRL	80	661
FRL	81	654
FRL	82	700
FRL	83	715
FRL	84	741
FRL	85	760
FRL	86	793
FRL	87	871
FRL	88	909
FRL	89	901
FRL	90	935
FRL	91	944
FRL	92	859
FRL	93	1533
FRL	94	998
FRL	95	979
FRL	96	1005
FRL	97	1016
FRL	98	1058
FRL	99	1043
FRL	100	1129
FRL	101	1146
FRL	102	1122
FRL	103	1168
FRL	104	1111
FRL	105	1262
FRL	106	1205
FRL	107	1379
FRL	108	1345
FRL	109	1451
FRL	110	1437
FRL	111	1453
FRL	112	1428
FRL	113	1493
FRL	114	1495
FRL	115	1595
FRL	116	1621
FRL	117	1638
FRL	118	1760
FRL	119	1790
FRL	120	1771
FRL	121	1814
FRL	122	1875
FRL	123	1802
FRL	124	1827
FRL	125	1931
FRL	126	2041
FRL	127	1971
FRL	128	2044
FRL	129	2200
FRL	130	2119
FRL	131	2155
FRL	132	2179
FRL	133	2246
FRL	134	2295
FRL	135	2374
FRL	136	2490
FRL	137	2376
FRL	138	2546
FRL	139	2530
FRL	140	2622
FRL	141	2662
FRL	142	2583
FRL	143	2476
FRL	144	2665
FRL	145	2673
FRL	146	2799
FRL	147	4037
FRL	148	9728
FRL	149	23654
FRL	150	73558
FRL	151	197108
# Read lengths - last fragments. Use `grep ^LRL | cut -f 2-` to extract this part. The columns are: read length, count
# Mapping qualities for reads !(UNMAP|SECOND|SUPPL|QCFAIL|DUP). Use `grep ^MAPQ | cut -f 2-` to extract this part. The columns are: mapq, count
MAPQ	0	5568
MAPQ	1	3650
MAPQ	2	314
MAPQ	3	327
MAPQ	4	378
MAPQ	5	388
MAPQ	6	347
MAPQ	7	252
MAPQ	8	221
MAPQ	9	240
MAPQ	10	321
MAPQ	11	346
MAPQ	12	404
MAPQ	13	411
MAPQ	14	328
MAPQ	15	366
MAPQ	16	329
MAPQ	17	334
MAPQ	18	361
MAPQ	19	299
MAPQ	20	348
MAPQ	21	349
MAPQ	22	338
MAPQ	23	424
MAPQ	24	435
MAPQ	25	469
MAPQ	26	447
MAPQ	27	487
MAPQ	28	485
MAPQ	29	444
MAPQ	30	468
MAPQ	31	427
MAPQ	32	454
MAPQ	33	445
MAPQ	34	452
MAPQ	35	519
MAPQ	36	539
MAPQ	37	521
MAPQ	38	573
MAPQ	39	524
MAPQ	40	625
MAPQ	41	581
MAPQ	42	600
MAPQ	43	597
MAPQ	44	612
MAPQ	45	582
MAPQ	46	582
MAPQ	47	550
MAPQ	48	615
MAPQ	49	590
MAPQ	50	557
MAPQ	51	577
MAPQ	52	610
MAPQ	53	655
MAPQ	54	621
MAPQ	55	627
MAPQ	56	637
MAPQ	57	606
MAPQ	58	678
MAPQ	59	648
MAPQ	60	390407
# Indel distribution. Use `grep ^ID | cut -f 2-` to extract this part. The columns are: length, number of insertions, number of deletions
ID	1	2475	3178
ID	2	750	1294
ID	3	366	638
ID	4	535	937
ID	5	73	146
ID	6	70	151
ID	7	22	35
ID	8	47	72
ID	9	17	26
ID	10	20	32
ID	11	10	19
ID	12	23	107
ID	13	1	15
ID	14	5	9
ID	15	5	18
ID	16	7	14
ID	17	9	5
ID	18	4	8
ID	19	0	6
ID	20	8	23
ID	21	2	5
ID	22	4	4
ID	23	0	6
ID	24	3	5
ID	25	0	2
ID	26	3	9
ID	27	0	2
ID	28	2	2
ID	30	0	2
ID	31	2	3
ID	32	0	2
ID	33	0	1
ID	34	2	15
ID	35	0	1
ID	36	0	19
ID	37	0	10
ID	38	0	28
ID	39	1	5
ID	40	0	2
ID	41	0	5
ID	42	1	11
ID	43	0	1
ID	44	0	23
ID	45	0	2
ID	46	0	2
ID	47	0	1
ID	48	0	1
ID	58	0	1
ID	68	0	1
ID	78	0	4
ID	80	0	2
ID	82	0	1
# Indels per cycle. Use `grep ^IC | cut -f 2-` to extract this part. The columns are: cycle, number of insertions (fwd), .. (rev) , number of deletions (fwd), .. (rev)
IC	3	0	0	14	0
IC	4	5	0	5	0
IC	5	10	0	20	0
IC	6	12	0	21	0
IC	7	12	0	20	0
IC	8	8	0	28	0
IC	9	8	0	29	0
IC	10	20	0	32	0
IC	11	9	0	19	0
IC	12	12	0	23	0
IC	13	9	0	27	0
IC	14	39	0	37	0
IC	15	22	0	45	0
IC	16	26	0	33	0
IC	17	29	0	50	0
IC	18	27	0	40	0
IC	19	31	0	44	0
IC	20	24	0	43	0
IC	21	29	0	40	0
IC	22	30	0	36	0
IC	23	21	0	29	0
IC	24	21	0	40	0
IC	25	27	0	53	0
IC	26	39	0	47	0
IC	27	18	0	84	0
IC	28	40	0	44	0
IC	29	34	0	46	0
IC	30	53	0	66	0
IC	31	41	0	54	0
IC	32	39	0	66	0
IC	33	42	0	58	0
IC	34	28	0	58	0
IC	35	44	0	70	0
IC	36	43	0	62	0
IC	37	35	0	71	0
IC	38	65	0	60	0
IC	39	39	0	66	0
IC	40	42	0	50	0
IC	41	38	0	57	0
IC	42	57	0	84	0
IC	43	35	0	74	0
IC	44	43	0	66	0
IC	45	50	0	61	0
IC	46	37	0	63	0
IC	47	21	0	70	0
IC	48	43	0	53	0
IC	49	33	0	72	0
IC	50	37	0	64	0
IC	51	40	0	70	0
IC	52	44	0	71	0
IC	53	49	0	53	0
IC	54	50	0	48	0
IC	55	61	0	66	0
IC	56	37	0	62	0
IC	57	45	0	75	0
IC	58	58	0	67	0
IC	59	49	0	56	0
IC	60	46	0	58	0
IC	61	44	0	63	0
IC	62	34	0	55	0
IC	63	48	0	62	0
IC	64	40	0	55	0
IC	65	34	0	72	0
IC	66	36	0	62	0
IC	67	37	0	63	0
IC	68	33	0	66	0
IC	69	38	0	97	0
IC	70	44	0	57	0
IC	71	39	0	58	0
IC	72	43	0	71	0
IC	73	46	0	45	0
IC	74	37	0	58	0
IC	75	40	0	48	0
IC	76	40	0	55	0
IC	77	40	0	55	0
IC	78	27	0	53	0
IC	79	28	0	54	0
IC	80	31	0	74	0
IC	81	39	0	71	0
IC	82	44	0	68	0
IC	83	44	0	37	0
IC	84	30	0	41	0
IC	85	31	0	74	0
IC	86	43	0	52	0
IC	87	32	0	57	0
IC	88	36	0	50	0
IC	89	28	0	49	0
IC	90	36	0	53	0
IC	91	39	0	57	0
IC	92	40	0	50	0
IC	93	40	0	51	0
IC	94	70	0	45	0
IC	95	23	0	63	0
IC	96	31	0	49	0
IC	97	31	0	58	0
IC	98	44	0	49	0
IC	99	25	0	56	0
IC	100	28	0	48	0
IC	101	41	0	40	0
IC	102	36	0	50	0
IC	103	30	0	55	0
IC	104	29	0	57	0
IC	105	31	0	58	0
IC	106	30	0	32	0
IC	107	28	0	48	0
IC	108	24	0	47	0
IC	109	37	0	30	0
IC	110	21	0	35	0
IC	111	16	0	43	0
IC	112	20	0	53	0
IC	113	24	0	31	0
IC	114	25	0	46	0
IC	115	25	0	51	0
IC	116	25	0	39	0
IC	117	19	0	36	0
IC	118	28	0	37	0
IC	119	28	0	39	0
IC	120	31	0	28	0
IC	121	25	0	45	0
IC	122	28	0	39	0
IC	123	25	0	34	0
IC	124	25	0	40	0
IC	125	26	0	57	0
IC	126	15	0	45	0
IC	127	24	0	33	0
IC	128	22	0	41	0
IC	129	29	0	36	0
IC	130	30	0	36	0
IC	131	23	0	29	0
IC	132	16	0	30	0
IC	133	28	0	31	0
IC	134	17	0	32	0
IC	135	16	0	31	0
IC	136	10	0	25	0
IC	137	16	0	30	0
IC	138	13	0	32	0
IC	139	14	0	25	0
IC	140	12	0	27	0
IC	141	14	0	19	0
IC	142	18	0	31	0
IC	143	7	0	22	0
IC	144	10	0	13	0
IC	145	14	0	15	0
IC	146	20	0	17	0
IC	147	13	0	15	0
IC	148	10	0	5	0
# Coverage distribution. Use `grep ^COV | cut -f 2-` to extract this part.
COV	[1-1]	1	11179092
COV	[2-2]	2	2943929
COV	[3-3]	3	721123
COV	[4-4]	4	234579
COV	[5-5]	5	126723
COV	[6-6]	6	98676
COV	[7-7]	7	84239
COV	[8-8]	8	73728
COV	[9-9]	9	66230
COV	[10-10]	10	62296
COV	[11-11]	11	56581
COV	[12-12]	12	52480
COV	[13-13]	13	48889
COV	[14-14]	14	47120
COV	[15-15]	15	44709
COV	[16-16]	16	42393
COV	[17-17]	17	39414
COV	[18-18]	18	37553
COV	[19-19]	19	36419
COV	[20-20]	20	33178
COV	[21-21]	21	31718
COV	[22-22]	22	30225
COV	[23-23]	23	29288
COV	[24-24]	24	27153
COV	[25-25]	25	25479
COV	[26-26]	26	24067
COV	[27-27]	27	22547
COV	[28-28]	28	20781
COV	[29-29]	29	20567
COV	[30-30]	30	19237
COV	[31-31]	31	17250
COV	[32-32]	32	16667
COV	[33-33]	33	15725
COV	[34-34]	34	14829
COV	[35-35]	35	14078
COV	[36-36]	36	12860
COV	[37-37]	37	13142
COV	[38-38]	38	11952
COV	[39-39]	39	11620
COV	[40-40]	40	11239
COV	[41-41]	41	10921
COV	[42-42]	42	10044
COV	[43-43]	43	9566
COV	[44-44]	44	9261
COV	[45-45]	45	8948
COV	[46-46]	46	8566
COV	[47-47]	47	7804
COV	[48-48]	48	7757
COV	[49-49]	49	7318
COV	[50-50]	50	7209
COV	[51-51]	51	6646
COV	[52-52]	52	6662
COV	[53-53]	53	6213
COV	[54-54]	54	5987
COV	[55-55]	55	5689
COV	[56-56]	56	5600
COV	[57-57]	57	5265
COV	[58-58]	58	5242
COV	[59-59]	59	4624
COV	[60-60]	60	4748
COV	[61-61]	61	4667
COV	[62-62]	62	4429
COV	[63-63]	63	4198
COV	[64-64]	64	4258
COV	[65-65]	65	3970
COV	[66-66]	66	3623
COV	[67-67]	67	3843
COV	[68-68]	68	3239
COV	[69-69]	69	3081
COV	[70-70]	70	3299
COV	[71-71]	71	3094
COV	[72-72]	72	3030
COV	[73-73]	73	2745
COV	[74-74]	74	2644
COV	[75-75]	75	2699
COV	[76-76]	76	2490
COV	[77-77]	77	2447
COV	[78-78]	78	2533
COV	[79-79]	79	2383
COV	[80-80]	80	2318
COV	[81-81]	81	2131
COV	[82-82]	82	2201
COV	[83-83]	83	2097
COV	[84-84]	84	1992
COV	[85-85]	85	1880
COV	[86-86]	86	1799
COV	[87-87]	87	1733
COV	[88-88]	88	1635
COV	[89-89]	89	1634
COV	[90-90]	90	1629
COV	[91-91]	91	1613
COV	[92-92]	92	1496
COV	[93-93]	93	1422
COV	[94-94]	94	1407
COV	[95-95]	95	1329
COV	[96-96]	96	1235
COV	[97-97]	97	1414
COV	[98-98]	98	1165
COV	[99-99]	99	1176
COV	[100-100]	100	1072
COV	[101-101]	101	1022
COV	[102-102]	102	1067
COV	[103-103]	103	1025
COV	[104-104]	104	926
COV	[105-105]	105	844
COV	[106-106]	106	794
COV	[107-107]	107	741
COV	[108-108]	108	922
COV	[109-109]	109	822
COV	[110-110]	110	725
COV	[111-111]	111	661
COV	[112-112]	112	652
COV	[113-113]	113	651
COV	[114-114]	114	617
COV	[115-115]	115	667
COV	[116-116]	116	589
COV	[117-117]	117	521
COV	[118-118]	118	543
COV	[119-119]	119	526
COV	[120-120]	120	515
COV	[121-121]	121	514
COV	[122-122]	122	391
COV	[123-123]	123	358
COV	[124-124]	124	392
COV	[125-125]	125	331
COV	[126-126]	126	336
COV	[127-127]	127	308
COV	[128-128]	128	382
COV	[129-129]	129	341
COV	[130-130]	130	383
COV	[131-131]	131	316
COV	[132-132]	132	372
COV	[133-133]	133	314
COV	[134-134]	134	255
COV	[135-135]	135	207
COV	[136-136]	136	251
COV	[137-137]	137	219
COV	[138-138]	138	218
COV	[139-139]	139	207
COV	[140-140]	140	235
COV	[141-141]	141	215
COV	[142-142]	142	216
COV	[143-143]	143	218
COV	[144-144]	144	164
COV	[145-145]	145	160
COV	[146-146]	146	145
COV	[147-147]	147	142
COV	[148-148]	148	158
COV	[149-149]	149	143
COV	[150-150]	150	127
COV	[151-151]	151	105
COV	[152-152]	152	117
COV	[153-153]	153	140
COV	[154-154]	154	114
COV	[155-155]	155	93
COV	[156-156]	156	93
COV	[157-157]	157	104
COV	[158-158]	158	80
COV	[159-159]	159	68
COV	[160-160]	160	50
COV	[161-161]	161	64
COV	[162-162]	162	75
COV	[163-163]	163	105
COV	[164-164]	164	96
COV	[165-165]	165	86
COV	[166-166]	166	68
COV	[167-167]	167	78
COV	[168-168]	168	63
COV	[169-169]	169	70
COV	[170-170]	170	58
COV	[171-171]	171	55
COV	[172-172]	172	47
COV	[173-173]	173	17
COV	[174-174]	174	44
COV	[175-175]	175	39
COV	[176-176]	176	61
COV	[177-177]	177	30
COV	[178-178]	178	32
COV	[179-179]	179	40
COV	[180-180]	180	57
COV	[181-181]	181	34
COV	[182-182]	182	26
COV	[183-183]	183	17
COV	[184-184]	184	32
COV	[185-185]	185	23
COV	[186-186]	186	32
COV	[187-187]	187	28
COV	[188-188]	188	29
COV	[189-189]	189	17
COV	[190-190]	190	38
COV	[191-191]	191	33
COV	[192-192]	192	24
COV	[193-193]	193	27
COV	[194-194]	194	19
COV	[195-195]	195	25
COV	[196-196]	196	25
COV	[197-197]	197	15
COV	[198-198]	198	18
COV	[199-199]	199	12
COV	[200-200]	200	5
COV	[201-201]	201	10
COV	[202-202]	202	4
COV	[203-203]	203	6
COV	[204-204]	204	12
COV	[205-205]	205	27
COV	[206-206]	206	9
COV	[207-207]	207	7
COV	[208-208]	208	4
COV	[209-209]	209	6
COV	[210-210]	210	3
COV	[211-211]	211	15
COV	[212-212]	212	7
COV	[213-213]	213	8
COV	[214-214]	214	8
COV	[215-215]	215	7
COV	[216-216]	216	12
COV	[217-217]	217	4
COV	[218-218]	218	6
COV	[219-219]	219	10
COV	[220-220]	220	10
COV	[221-221]	221	15
COV	[222-222]	222	8
COV	[223-223]	223	2
COV	[224-224]	224	2
COV	[225-225]	225	7
COV	[226-226]	226	6
COV	[227-227]	227	8
COV	[228-228]	228	6
COV	[229-229]	229	6
COV	[230-230]	230	3
COV	[231-231]	231	11
COV	[232-232]	232	9
COV	[233-233]	233	26
COV	[234-234]	234	12
COV	[235-235]	235	8
COV	[236-236]	236	11
COV	[237-237]	237	9
COV	[238-238]	238	8
COV	[239-239]	239	14
COV	[240-240]	240	10
COV	[241-241]	241	8
COV	[242-242]	242	8
COV	[243-243]	243	12
COV	[244-244]	244	11
COV	[245-245]	245	3
COV	[246-246]	246	3
COV	[247-247]	247	7
COV	[248-248]	248	10
COV	[249-249]	249	4
COV	[250-250]	250	3
COV	[251-251]	251	5
COV	[252-252]	252	4
COV	[253-253]	253	9
COV	[254-254]	254	3
COV	[255-255]	255	6
COV	[256-256]	256	10
COV	[257-257]	257	14
COV	[258-258]	258	11
COV	[259-259]	259	9
COV	[260-260]	260	14
COV	[261-261]	261	6
COV	[262-262]	262	7
COV	[263-263]	263	5
COV	[264-264]	264	7
COV	[265-265]	265	5
COV	[266-266]	266	11
COV	[267-267]	267	6
COV	[268-268]	268	12
COV	[269-269]	269	11
COV	[270-270]	270	6
COV	[271-271]	271	3
COV	[272-272]	272	6
COV	[273-273]	273	3
COV	[274-274]	274	6
COV	[275-275]	275	8
COV	[276-276]	276	4
COV	[277-277]	277	16
COV	[278-278]	278	6
COV	[279-279]	279	5
COV	[280-280]	280	5
COV	[281-281]	281	2
COV	[282-282]	282	1
COV	[284-284]	284	1
COV	[285-285]	285	4
COV	[286-286]	286	11
COV	[287-287]	287	6
COV	[288-288]	288	8
COV	[289-289]	289	5
COV	[290-290]	290	6
COV	[291-291]	291	4
COV	[292-292]	292	10
COV	[293-293]	293	11
COV	[294-294]	294	2
COV	[295-295]	295	8
COV	[296-296]	296	3
COV	[297-297]	297	1
COV	[298-298]	298	4
COV	[299-299]	299	1
COV	[300-300]	300	2
COV	[302-302]	302	1
COV	[303-303]	303	1
COV	[304-304]	304	1
COV	[305-305]	305	3
COV	[306-306]	306	2
COV	[308-308]	308	1
COV	[309-309]	309	2
COV	[310-310]	310	2
COV	[313-313]	313	1
COV	[314-314]	314	1
COV	[317-317]	317	2
COV	[320-320]	320	1
COV	[321-321]	321	1
COV	[323-323]	323	4
COV	[324-324]	324	2
COV	[326-326]	326	1
COV	[329-329]	329	1
COV	[330-330]	330	3
COV	[331-331]	331	1
