FBC	20	26.19	24.12	24.05	25.64	0.00	0.00
FBC	21	25.76	24.33	24.29	25.62	0.00	0.00
FBC	22	25.87	24.23	24.17	25.73	0.00	0.00
FBC	23	25.58	24.46	24.34	25.62	0.00	0.00
FBC	24	25.82	24.16	24.23	25.79	0.00	0.00
FBC	25	25.87	24.23	24.29	25.61	0.00	0.00
FBC	26	25.82	24.26	24.28	25.64	0.00	0.00
FBC	27	25.94	24.16	24.12	25.78	0.00	0.00
FBC	28	25.85	24.07	24.20	25.88	0.01	0.00
FBC	29	26.09	23.98	23.87	26.06	0.00	0.00
FBC	30	26.20	23.93	23.97	25.90	0.00	0.00
FBC	31	25.86	24.05	24.16	25.93	0.00	0.00
FBC	32	26.25	23.91	23.69	26.15	0.00	0.00
FBC	33	26.01	23.94	24.11	25.94	0.00	0.00
FBC	34	26.20	24.05	23.90	25.85	0.00	0.00
FBC	35	26.15	23.99	23.88	25.98	0.00	0.00
FBC	36	26.38	23.70	23.94	25.98	0.00	0.00
FBC	37	26.01	23.99	24.03	25.97	0.01	0.00
FBC	38	26.16	23.75	23.91	26.18	0.01	0.00
FBC	39	26.31	23.73	23.88	26.08	0.00	0.00
FBC	40	26.36	23.89	23.76	25.99	0.00	0.00
FBC	41	26.21	23.77	23.95	26.08	0.00	0.00
FBC	42	26.43	23.86	23.84	25.88	0.00	0.00
FBC	43	26.00	23.97	24.02	26.01	0.00	0.00
FBC	44	26.34	23.62	23.88	26.17	0.00	0.00
FBC	45	26.01	24.05	23.73	26.20	0.00	0.00
FBC	46	26.38	23.75	23.84	26.03	0.00	0.00
FBC	47	26.42	23.76	23.63	26.20	0.00	0.00
FBC	48	26.28	23.88	23.79	26.06	0.00	0.00
FBC	49	26.15	23.98	23.73	26.14	0.00	0.00
FBC	50	26.10	23.95	23.79	26.16	0.00	0.00
FBC	51	26.22	24.01	23.78	25.99	0.00	0.00
FBC	52	26.26	23.87	23.86	26.01	0.01	0.00
FBC	53	26.24	23.98	23.90	25.88	0.00	0.00
FBC	54	26.29	23.74	23.93	26.04	0.00	0.00
FBC	55	26.17	23.85	23.81	26.17	0.00	0.00
FBC	56	26.22	23.95	23.92	25.91	0.00	0.00
FBC	57	26.28	23.73	23.74	26.25	0.00	0.00
FBC	58	26.26	23.86	23.95	25.94	0.00	0.00
FBC	59	26.39	23.77	23.57	26.27	0.00	0.00
FBC	60	26.28	23.81	23.67	26.23	0.01	0.00
FBC	61	26.16	23.92	24.01	25.91	0.00	0.00
FBC	62	26.29	23.73	23.84	26.13	0.01	0.00
FBC	63	26.23	23.77	23.85	26.15	0.00	0.00
FBC	64	26.23	23.89	23.87	26.01	0.00	0.00
FBC	65	26.19	23.83	23.88	26.11	0.01	0.00
FBC	66	26.17	23.99	24.00	25.84	0.01	0.00
FBC	67	26.17	23.90	24.01	25.92	0.01	0.00
FBC	68	26.38	23.82	23.62	26.18	0.01	0.00
FBC	69	26.08	23.87	23.90	26.15	0.00	0.00
FBC	70	26.11	24.04	23.92	25.92	0.00	0.00
FBC	71	26.18	24.07	23.78	25.98	0.00	0.00
FBC	72	26.38	23.84	23.66	26.13	0.00	0.00
FBC	73	25.91	24.07	23.91	26.12	0.00	0.00
FBC	74	26.24	23.83	23.89	26.04	0.00	0.00
FBC	75	26.04	24.03	23.93	26.00	0.00	0.00
FBC	76	26.15	23.85	24.03	25.97	0.00	0.00
FBC	77	26.27	23.73	23.90	26.10	0.00	0.00
FBC	78	26.24	23.82	23.78	26.16	0.00	0.00
FBC	79	26.23	23.83	23.86	26.07	0.00	0.00
FBC	80	26.24	23.82	23.92	26.02	0.00	0.00
FBC	81	26.13	23.89	23.90	26.08	0.00	0.00
FBC	82	26.30	23.73	23.84	26.13	0.00	0.00
FBC	83	26.23	23.80	23.87	26.10	0.00	0.00
FBC	84	26.16	23.86	23.89	26.09	0.00	0.00
FBC	85	26.13	24.13	23.78	25.97	0.00	0.00
FBC	86	26.19	23.84	23.96	26.01	0.00	0.00
FBC	87	26.23	23.79	24.00	25.98	0.00	0.00
FBC	88	26.11	23.74	24.08	26.08	0.00	0.00
FBC	89	26.33	23.79	23.98	25.90	0.00	0.00
FBC	90	26.20	23.72	23.84	26.25	0.00	0.00
FBC	91	26.17	23.96	24.01	25.87	0.00	0.00
FBC	92	26.28	23.79	23.76	26.17	0.00	0.00
FBC	93	26.25	24.01	23.92	25.83	0.00	0.00
FBC	94	25.65	24.42	24.49	25.44	3.92	0.00
FBC	95	26.21	23.87	23.90	26.03	0.00	0.00
FBC	96	26.14	23.84	24.06	25.96	0.00	0.00
FBC	97	26.31	23.76	23.90	26.03	0.00	0.00
FBC	98	26.18	23.92	23.84	26.06	0.00	0.00
FBC	99	26.18	23.92	24.01	25.89	0.00	0.00
FBC	100	26.19	23.89	23.92	26.00	0.00	0.00
FBC	101	26.35	23.88	23.72	26.06	0.00	0.00
FBC	102	26.19	23.83	23.84	26.14	0.01	0.00
FBC	103	26.29	23.91	23.90	25.90	0.00	0.00
FBC	104	26.26	23.82	23.82	26.10	0.00	0.00
FBC	105	26.23	23.81	23.81	26.15	0.00	0.00
FBC	106	26.20	23.82	23.83	26.15	0.00	0.00
FBC	107	26.24	23.88	23.72	26.16	0.00	0.00
FBC	108	26.16	23.78	23.93	26.14	0.00	0.00
FBC	109	26.18	23.94	23.93	25.95	0.00	0.00
FBC	110	26.28	23.89	23.89	25.95	0.00	0.00
FBC	111	26.10	23.75	23.91	26.25	0.00	0.00
FBC	112	26.17	23.77	23.97	26.08	0.00	0.00
FBC	113	26.26	23.61	23.88	26.25	0.00	0.00
FBC	114	26.34	23.75	23.80	26.10	0.00	0.00
FBC	115	26.20	23.74	23.77	26.30	0.00	0.00
FBC	116	26.25	23.79	23.86	26.10	0.00	0.00
FBC	117	26.16	23.86	23.95	26.03	0.00	0.00
FBC	118	26.26	23.77	23.92	26.05	0.00	0.00
FBC	119	26.32	23.75	23.79	26.14	0.00	0.00
FBC	120	26.22	23.81	23.87	26.10	0.00	0.00
FBC	121	26.28	23.76	23.90	26.06	0.00	0.00
FBC	122	26.21	23.91	23.72	26.16	0.00	0.00
FBC	123	26.22	23.89	23.80	26.10	0.00	0.00
FBC	124	26.33	23.67	23.81	26.19	0.01	0.00
FBC	125	26.26	23.85	23.78	26.12	0.01	0.00
FBC	126	26.42	23.88	23.62	26.08	0.00	0.00
FBC	127	26.28	23.93	23.63	26.16	0.00	0.00
FBC	128	26.19	23.87	23.94	26.00	0.00	0.00
FBC	129	26.20	23.70	23.84	26.26	0.00	0.00
FBC	130	26.16	23.82	23.74	26.28	0.00	0.00
FBC	131	26.25	23.98	23.59	26.19	0.00	0.00
FBC	132	26.24	23.79	23.99	25.98	0.00	0.00
FBC	133	26.24	23.87	23.80	26.09	0.00	0.00
FBC	134	25.95	24.05	23.93	26.07	0.00	0.00
FBC	135	26.20	23.77	23.86	26.16	0.00	0.00
FBC	136	26.26	23.86	23.91	25.97	0.00	0.00
FBC	137	26.19	24.04	23.81	25.97	0.00	0.00
FBC	138	26.22	23.85	23.79	26.14	0.00	0.00
FBC	139	26.11	24.01	23.83	26.05	0.00	0.00
FBC	140	25.98	23.94	23.91	26.16	0.00	0.00
FBC	141	26.16	23.68	23.93	26.23	0.00	0.00
FBC	142	26.03	23.97	24.01	25.99	0.00	0.00
FBC	143	26.11	24.07	23.81	26.01	0.00	0.00
FBC	144	26.13	23.86	24.04	25.97	0.00	0.00
FBC	145	26.11	23.91	23.98	26.01	0.00	0.00
FBC	146	26.14	23.91	23.91	26.05	0.00	0.00
FBC	147	26.08	23.90	23.96	26.05	0.00	0.00
FBC	148	26.09	23.94	23.90	26.08	0.00	0.00
FBC	149	26.58	23.44	23.52	26.46	0.00	0.00
FBC	150	27.60	22.37	22.44	27.59	0.00	0.00
FBC	151	33.36	16.54	16.74	33.36	0.00	0.00
# ACGT raw counters for first fragments. Use `grep ^FTC | cut -f 2-` to extract this part. The columns are: A,C,G,T,N base counters
FTC	15632145	14536993	14538375	15556117	16234
# ACGT content per cycle for last fragments. Use `grep ^LBC | cut -f 2-` to extract this part. The columns are: cycle; A,C,G,T base counts as a percentage of all A/C/G/T bases [%]; and N and O counts as a percentage of all A/C/G/T bases [%]
# ACGT raw counters for last fragments. Use `grep ^LTC | cut -f 2-` to extract this part. The columns are: A,C,G,T,N base counters
LTC	0	0	0	0	0
# Insert sizes. Use `grep ^IS | cut -f 2-` to extract this part. The columns are: insert size, pairs total, inward oriented pairs, outward oriented pairs, other pairs
# Read lengths. Use `grep ^RL | cut -f 2-` to extract this part. The columns are: read length, count
RL	16	5
RL	19	1
RL	20	1
RL	22	2
RL	23	1
RL	24	1
RL	25	4
RL	26	2
RL	27	20
RL	28	18
RL	29	15
RL	30	16
RL	31	17
RL	32	24
RL	33	33
RL	34	42
RL	35	65
RL	36	70
RL	37	112
RL	38	146
RL	39	134
RL	40	135
RL	41	123
RL	42	140
RL	43	170
RL	44	205
RL	45	238
RL	46	239
RL	47	222
RL	48	244
RL	49	276
RL	50	266
RL	51	244
RL	52	278
RL	53	308
RL	54	290
RL	55	316
RL	56	347
RL	57	414
RL	58	359
RL	59	339
RL	60	346
RL	61	354
RL	62	371
RL	63	400
RL	64	461
RL	65	488
RL	66	499
RL	67	497
RL	68	495
RL	69	510
RL	70	462
RL	71	536
RL	72	535
RL	73	559
RL	74	550
RL	75	597
RL	76	597
RL	77	663
RL	78	656
RL	79	684
RL	80	661
RL	81	654
RL	82	700
RL	83	715
RL	84	741
RL	85	760
RL	86	793
RL	87	871
RL	88	909
RL	89	901
RL	90	935
RL	91	944
RL	92	859
RL	93	1533
RL	94	998
RL	95	979
RL	96	1005
RL	97	1016
RL	98	1058
RL	99	1043
RL	100	1129
RL	101	1146
RL	102	1122
RL	103	1168
RL	104	1111
RL	105	1262
RL	106	1205
RL	107	1379
RL	108	1345
RL	109	1451
RL	110	1437
RL	111	1453
RL	112	1428
RL	113	1493
RL	114	1495
RL	115	1595
RL	116	1621
RL	117	1638
RL	118	1760
RL	119	1790
RL	120	1771
RL	121	1814
RL	122	1875
RL	123	1802
RL	124	1827
RL	125	1931
RL	126	2041
RL	127	1971
RL	128	2044
RL	129	2200
RL	130	2119
RL	131	2155
RL	132	2179
RL	133	2246
RL	134	2295
RL	135	2374
RL	136	2490
RL	137	2376
RL	138	2546
RL	139	2530
RL	140	2622
RL	141	2662
RL	142	2583
RL	143	2476
RL	144	2665
RL	145	2673
RL	146	2799
RL	147	4037
RL	148	9728
RL	149	23654
RL	150	73558
RL	151	197108
# Read lengths - first fragments. Use `grep ^FRL | cut -f 2-` to extract this part. The columns are: read length, count
FRL	16	5
FRL	19	1
FRL	20	1
FRL	22	2
FRL	23	1
FRL	24	1
FRL	25	4
FRL	26	2
FRL	27	20
FRL	28	18
FRL	29	15
FRL	30	16
FRL	31	17
FRL	32	24
FRL	33	33
FRL	34	42
FRL	35	65
FRL	36	70
FRL	37	112
FRL	38	146
FRL	39	134
FRL	40	135
FRL	41	123
FRL	42	140
FRL	43	170
FRL	44	205
FRL	45	238
FRL	46	239
FRL	47	222
FRL	48	244
FRL	49	276
FRL	50	266
FRL	51	244
FRL	52	278
FRL	53	308
FRL	54	290
FRL	55	316
FRL	56	347
FRL	57	414
FRL	58	359
FRL	59	339
FRL	60	346
FRL	61	354
FRL	62	371
FRL	63	400
FRL	64	461
FRL	65	488
FRL	66	499
FRL	67	497
FRL	68	495
FRL	69	510
FRL	70	462
FRL	71	536
FRL	72	535
FRL	73	559
FRL	74	550
FRL	75	597
FRL	76	597
FRL	77	663
FRL	78	656
FRL	79	684
FRL	80	661
FRL	81	654
FRL	82	700
FRL	83	715
FRL	84	741
FRL	85	760
FRL	86	793
FRL	87	871
FRL	88	909
FRL	89	901
FRL	90	935
FRL	91	944
FRL	92	859
FRL	93	1533
FRL	94	998
FRL	95	979
FRL	96	1005
FRL	97	1016
FRL	98	1058
FRL	99	1043
FRL	100	1129
FRL	101	1146
FRL	102	1122
FRL	103	1168
FRL	104	1111
FRL	105	1262
FRL	106	1205
FRL	107	1379
FRL	108	1345
FRL	109	1451
FRL	110	1437
FRL	111	1453
FRL	112	1428
FRL	113	1493
FRL	114	1495
FRL	115	1595
FRL	116	1621
FRL	117	1638
FRL	118	1760
FRL	119	1790
FRL	120	1771
FRL	121	1814
FRL	122	1875
FRL	123	1802
FRL	124	1827
FRL	125	1931
FRL	126	2041
FRL	127	1971
FRL	128	2044
FRL	129	2200
FRL	130	2119
FRL	131	2155
FRL	132	2179
FRL	133	2246
FRL	134	2295
FRL	135	2374
FRL	136	2490
FRL	137	2376
FRL	138	2546
FRL	139	2530
FRL	140	2622
FRL	141	2662
FRL	142	2583
FRL	143	2476
FRL	144	2665
FRL	145	2673
FRL	146	2799
FRL	147	4037
FRL	148	9728
FRL	149	23654
FRL	150	73558
FRL	151	197108
# Read lengths - last fragments. Use `grep ^LRL | cut -f 2-` to extract this part. The columns are: read length, count
# Mapping qualities for reads !(UNMAP|SECOND|SUPPL|QCFAIL|DUP). Use `grep ^MAPQ | cut -f 2-` to extract this part. The columns are: mapq, count
MAPQ	0	7449
MAPQ	1	3670
MAPQ	2	318
MAPQ	3	332
MAPQ	4	372
MAPQ	5	382
MAPQ	6	336
MAPQ	7	245
MAPQ	8	229
MAPQ	9	232
MAPQ	10	309
MAPQ	11	348
MAPQ	12	399
MAPQ	13	416
MAPQ	14	331
MAPQ	15	360
MAPQ	16	350
MAPQ	17	336
MAPQ	18	362
MAPQ	19	285
MAPQ	20	336
MAPQ	21	335
MAPQ	22	339
MAPQ	23	423
MAPQ	24	450
MAPQ	25	468
MAPQ	26	450
MAPQ	27	495
MAPQ	28	491
MAPQ	29	443
MAPQ	30	473
MAPQ	31	430
MAPQ	32	450
MAPQ	33	454
MAPQ	34	457
MAPQ	35	518
MAPQ	36	520
MAPQ	37	523
MAPQ	38	581
MAPQ	39	525
MAPQ	40	611
MAPQ	41	607
MAPQ	42	593
MAPQ	43	602
MAPQ	44	605
MAPQ	45	588
MAPQ	46	579
MAPQ	47	562
MAPQ	48	608
MAPQ	49	589
MAPQ	50	557
MAPQ	51	581
MAPQ	52	610
MAPQ	53	661
MAPQ	54	618
MAPQ	55	636
MAPQ	56	643
MAPQ	57	603
MAPQ	58	684
MAPQ	59	648
MAPQ	60	388584
# Indel distribution. Use `grep ^ID | cut -f 2-` to extract this part. The columns are: length, number of insertions, number of deletions
ID	1	2462	3141
ID	2	736	1281
ID	3	370	630
ID	4	539	936
ID	5	74	142
ID	6	65	155
ID	7	21	38
ID	8	42	69
ID	9	17	26
ID	10	20	29
ID	11	9	19
ID	12	25	106
ID	13	0	12
ID	14	5	9
ID	15	5	17
ID	16	7	14
ID	17	9	7
ID	18	4	8
ID	19	0	6
ID	20	7	23
ID	21	2	5
ID	22	4	4
ID	23	0	6
ID	24	3	5
ID	25	0	2
ID	26	4	9
ID	27	0	2
ID	28	2	2
ID	30	0	2
ID	31	2	2
ID	32	0	2
ID	33	0	1
ID	34	2	15
ID	35	0	1
ID	36	1	19
ID	37	0	10
ID	38	0	27
ID	39	1	5
ID	40	0	2
ID	41	0	5
ID	42	1	11
ID	43	0	1
ID	44	0	23
ID	45	0	2
ID	46	0	1
ID	47	0	1
ID	48	0	1
ID	58	0	1
ID	68	0	1
ID	78	0	4
ID	80	0	2
ID	82	0	1
# Indels per cycle. Use `grep ^IC | cut -f 2-` to extract this part. The columns are: cycle, number of insertions (fwd), .. (rev) , number of deletions (fwd), .. (rev)
IC	3	0	0	15	0
IC	4	4	0	6	0
IC	5	8	0	17	0
IC	6	12	0	24	0
IC	7	12	0	20	0
IC	8	7	0	29	0
IC	9	9	0	28	0
IC	10	20	0	31	0
IC	11	11	0	17	0
IC	12	12	0	24	0
IC	13	9	0	27	0
IC	14	38	0	36	0
IC	15	23	0	44	0
IC	16	26	0	32	0
IC	17	28	0	50	0
IC	18	25	0	40	0
IC	19	29	0	44	0
IC	20	25	0	41	0
IC	21	29	0	40	0
IC	22	30	0	35	0
IC	23	21	0	29	0
IC	24	22	0	39	0
IC	25	26	0	51	0
IC	26	40	0	48	0
IC	27	18	0	85	0
IC	28	43	0	44	0
IC	29	32	0	47	0
IC	30	54	0	65	0
IC	31	37	0	53	0
IC	32	37	0	66	0
IC	33	43	0	56	0
IC	34	28	0	55	0
IC	35	41	0	67	0
IC	36	42	0	62	0
IC	37	36	0	73	0
IC	38	61	0	60	0
IC	39	38	0	68	0
IC	40	42	0	47	0
IC	41	39	0	55	0
IC	42	56	0	85	0
IC	43	38	0	75	0
IC	44	43	0	66	0
IC	45	50	0	61	0
IC	46	35	0	61	0
IC	47	21	0	70	0
IC	48	43	0	54	0
IC	49	33	0	69	0
IC	50	37	0	62	0
IC	51	39	0	67	0
IC	52	45	0	72	0
IC	53	50	0	53	0
IC	54	50	0	47	0
IC	55	63	0	63	0
IC	56	37	0	61	0
IC	57	43	0	74	0
IC	58	58	0	64	0
IC	59	49	0	57	0
IC	60	48	0	60	0
IC	61	44	0	63	0
IC	62	35	0	54	0
IC	63	49	0	61	0
IC	64	40	0	54	0
IC	65	30	0	71	0
IC	66	37	0	62	0
IC	67	39	0	61	0
IC	68	30	0	65	0
IC	69	36	0	97	0
IC	70	45	0	57	0
IC	71	39	0	60	0
IC	72	42	0	69	0
IC	73	44	0	44	0
IC	74	34	0	57	0
IC	75	38	0	47	0
IC	76	40	0	54	0
IC	77	39	0	53	0
IC	78	27	0	52	0
IC	79	26	0	54	0
IC	80	32	0	72	0
IC	81	38	0	69	0
IC	82	45	0	66	0
IC	83	44	0	37	0
IC	84	30	0	42	0
IC	85	32	0	73	0
IC	86	42	0	53	0
IC	87	32	0	54	0
IC	88	35	0	45	0
IC	89	28	0	50	0
IC	90	35	0	54	0
IC	91	39	0	56	0
IC	92	41	0	49	0
IC	93	40	0	50	0
IC	94	69	0	46	0
IC	95	26	0	63	0
IC	96	30	0	49	0
IC	97	31	0	58	0
IC	98	42	0	49	0
IC	99	25	0	55	0
IC	100	28	0	47	0
IC	101	42	0	43	0
IC	102	36	0	50	0
IC	103	30	0	56	0
IC	104	28	0	57	0
IC	105	30	0	56	0
IC	106	30	0	31	0
IC	107	28	0	47	0
IC	108	25	0	44	0
IC	109	37	0	30	0
IC	110	20	0	34	0
IC	111	15	0	43	0
IC	112	19	0	53	0
IC	113	24	0	30	0
IC	114	25	0	47	0
IC	115	24	0	51	0
IC	116	25	0	41	0
IC	117	19	0	36	0
IC	118	28	0	37	0
IC	119	28	0	38	0
IC	120	31	0	29	0
IC	121	25	0	45	0
IC	122	28	0	38	0
IC	123	25	0	34	0
IC	124	25	0	41	0
IC	125	27	0	56	0
IC	126	15	0	44	0
IC	127	24	0	33	0
IC	128	22	0	40	0
IC	129	28	0	37	0
IC	130	30	0	36	0
IC	131	23	0	29	0
IC	132	17	0	30	0
IC	133	28	0	31	0
IC	134	18	0	32	0
IC	135	15	0	31	0
IC	136	9	0	25	0
IC	137	17	0	29	0
IC	138	14	0	30	0
IC	139	14	0	24	0
IC	140	12	0	27	0
IC	141	14	0	20	0
IC	142	17	0	32	0
IC	143	7	0	22	0
IC	144	10	0	11	0
IC	145	14	0	15	0
IC	146	21	0	15	0
IC	147	13	0	15	0
IC	148	10	0	5	0
# Coverage distribution. Use `grep ^COV | cut -f 2-` to extract this part.
COV	[1-1]	1	11229732
COV	[2-2]	2	2935443
COV	[3-3]	3	718734
COV	[4-4]	4	234312
COV	[5-5]	5	125446
COV	[6-6]	6	98575
COV	[7-7]	7	84259
COV	[8-8]	8	73375
COV	[9-9]	9	66985
COV	[10-10]	10	62679
COV	[11-11]	11	57097
COV	[12-12]	12	52710
COV	[13-13]	13	48831
COV	[14-14]	14	47186
COV	[15-15]	15	44632
COV	[16-16]	16	42375
COV	[17-17]	17	39340
COV	[18-18]	18	37697
COV	[19-19]	19	36604
COV	[20-20]	20	33321
COV	[21-21]	21	31769
COV	[22-22]	22	30328
COV	[23-23]	23	29441
COV	[24-24]	24	27269
COV	[25-25]	25	25500
COV	[26-26]	26	24176
COV	[27-27]	27	22585
COV	[28-28]	28	20881
COV	[29-29]	29	20701
COV	[30-30]	30	19226
COV	[31-31]	31	17369
COV	[32-32]	32	16824
COV	[33-33]	33	15928
COV	[34-34]	34	14834
COV	[35-35]	35	14167
COV	[36-36]	36	12878
COV	[37-37]	37	13180
COV	[38-38]	38	11976
COV	[39-39]	39	11632
COV	[40-40]	40	11249
COV	[41-41]	41	10899
COV	[42-42]	42	9998
COV	[43-43]	43	9585
COV	[44-44]	44	9292
COV	[45-45]	45	8947
COV	[46-46]	46	8583
COV	[47-47]	47	7793
COV	[48-48]	48	7854
COV	[49-49]	49	7271
COV	[50-50]	50	7169
COV	[51-51]	51	6692
COV	[52-52]	52	6671
COV	[53-53]	53	6225
COV	[54-54]	54	6002
COV	[55-55]	55	5664
COV	[56-56]	56	5578
COV	[57-57]	57	5271
COV	[58-58]	58	5293
COV	[59-59]	59	4641
COV	[60-60]	60	4747
COV	[61-61]	61	4709
COV	[62-62]	62	4469
COV	[63-63]	63	4152
COV	[64-64]	64	4169
COV	[65-65]	65	3939
COV	[66-66]	66	3643
COV	[67-67]	67	3865
COV	[68-68]	68	3266
COV	[69-69]	69	3097
COV	[70-70]	70	3308
COV	[71-71]	71	3038
COV	[72-72]	72	3046
COV	[73-73]	73	2708
COV	[74-74]	74	2606
COV	[75-75]	75	2686
COV	[76-76]	76	2487
COV	[77-77]	77	2449
COV	[78-78]	78	2516
COV	[79-79]	79	2370
COV	[80-80]	80	2289
COV	[81-81]	81	2158
COV	[82-82]	82	2220
COV	[83-83]	83	2097
COV	[84-84]	84	1985
COV	[85-85]	85	1906
COV	[86-86]	86	1766
COV	[87-87]	87	1739
COV	[88-88]	88	1615
COV	[89-89]	89	1636
COV	[90-90]	90	1614
COV	[91-91]	91	1595
COV	[92-92]	92	1487
COV	[93-93]	93	1414
COV	[94-94]	94	1393
COV	[95-95]	95	1305
COV	[96-96]	96	1226
COV	[97-97]	97	1398
COV	[98-98]	98	1147
COV	[99-99]	99	1162
COV	[100-100]	100	1072
COV	[101-101]	101	1007
COV	[102-102]	102	1028
COV	[103-103]	103	1030
COV	[104-104]	104	914
COV	[105-105]	105	843
COV	[106-106]	106	786
COV	[107-107]	107	730
COV	[108-108]	108	901
COV	[109-109]	109	804
COV	[110-110]	110	739
COV	[111-111]	111	674
COV	[112-112]	112	666
COV	[113-113]	113	646
COV	[114-114]	114	597
COV	[115-115]	115	644
COV	[116-116]	116	585
COV	[117-117]	117	518
COV	[118-118]	118	537
COV	[119-119]	119	510
COV	[120-120]	120	518
COV	[121-121]	121	474
COV	[122-122]	122	380
COV	[123-123]	123	355
COV	[124-124]	124	395
COV	[125-125]	125	343
COV	[126-126]	126	323
COV	[127-127]	127	298
COV	[128-128]	128	368
COV	[129-129]	129	329
COV	[130-130]	130	368
COV	[131-131]	131	310
COV	[132-132]	132	355
COV	[133-133]	133	306
COV	[134-134]	134	239
COV	[135-135]	135	198
COV	[136-136]	136	229
COV	[137-137]	137	215
COV	[138-138]	138	187
COV	[139-139]	139	198
COV	[140-140]	140	218
COV	[141-141]	141	219
COV	[142-142]	142	223
COV	[143-143]	143	217
COV	[144-144]	144	159
COV	[145-145]	145	172
COV	[146-146]	146	139
COV	[147-147]	147	119
COV	[148-148]	148	158
COV	[149-149]	149	143
COV	[150-150]	150	132
COV	[151-151]	151	111
COV	[152-152]	152	145
COV	[153-153]	153	134
COV	[154-154]	154	114
COV	[155-155]	155	88
COV	[156-156]	156	92
COV	[157-157]	157	88
COV	[158-158]	158	76
COV	[159-159]	159	78
COV	[160-160]	160	83
COV	[161-161]	161	104
COV	[162-162]	162	84
COV	[163-163]	163	75
COV	[164-164]	164	72
COV	[165-165]	165	73
COV	[166-166]	166	56
COV	[167-167]	167	80
COV	[168-168]	168	66
COV	[169-169]	169	49
COV	[170-170]	170	44
COV	[171-171]	171	40
COV	[172-172]	172	43
COV	[173-173]	173	27
COV	[174-174]	174	49
COV	[175-175]	175	36
COV	[176-176]	176	60
COV	[177-177]	177	37
COV	[178-178]	178	53
COV	[179-179]	179	46
COV	[180-180]	180	54
COV	[181-181]	181	32
COV	[182-182]	182	24
COV	[183-183]	183	24
COV	[184-184]	184	46
COV	[185-185]	185	25
COV	[186-186]	186	26
COV	[187-187]	187	33
COV	[188-188]	188	25
COV	[189-189]	189	21
COV	[190-190]	190	32
COV	[191-191]	191	33
COV	[192-192]	192	18
COV	[193-193]	193	29
COV	[194-194]	194	18
COV	[195-195]	195	25
COV	[196-196]	196	27
COV	[197-197]	197	20
COV	[198-198]	198	24
COV	[199-199]	199	10
COV	[200-200]	200	4
COV	[201-201]	201	7
COV	[202-202]	202	4
COV	[203-203]	203	6
COV	[204-204]	204	10
COV	[205-205]	205	20
COV	[206-206]	206	10
COV	[207-207]	207	5
COV	[208-208]	208	5
COV	[209-209]	209	8
COV	[210-210]	210	8
COV	[211-211]	211	9
COV	[212-212]	212	11
COV	[213-213]	213	6
COV	[214-214]	214	5
COV	[215-215]	215	6
COV	[216-216]	216	11
COV	[217-217]	217	5
COV	[218-218]	218	5
COV	[219-219]	219	11
COV	[220-220]	220	8
COV	[221-221]	221	17
COV	[222-222]	222	8
COV	[223-223]	223	2
COV	[224-224]	224	1
COV	[225-225]	225	6
COV	[226-226]	226	7
COV	[227-227]	227	4
COV	[228-228]	228	9
COV	[229-229]	229	6
COV	[230-230]	230	2
COV	[231-231]	231	9
COV	[232-232]	232	10
COV	[233-233]	233	26
COV	[234-234]	234	13
COV	[235-235]	235	11
COV	[236-236]	236	10
COV	[237-237]	237	8
COV	[238-238]	238	5
COV	[239-239]	239	14
COV	[240-240]	240	9
COV	[241-241]	241	4
COV	[242-242]	242	7
COV	[243-243]	243	10
COV	[244-244]	244	5
COV	[245-245]	245	8
COV	[246-246]	246	3
COV	[247-247]	247	4
COV	[248-248]	248	14
COV	[249-249]	249	7
COV	[250-250]	250	5
COV	[251-251]	251	4
COV	[252-252]	252	7
COV	[253-253]	253	9
COV	[254-254]	254	4
COV	[255-255]	255	4
COV	[256-256]	256	4
COV	[257-257]	257	10
COV	[258-258]	258	14
COV	[259-259]	259	5
COV	[260-260]	260	20
COV	[261-261]	261	5
COV	[262-262]	262	6
COV	[263-263]	263	9
COV	[264-264]	264	5
COV	[265-265]	265	8
COV	[266-266]	266	10
COV	[267-267]	267	9
COV	[268-268]	268	13
COV	[269-269]	269	15
COV	[270-270]	270	6
COV	[271-271]	271	4
COV	[272-272]	272	5
COV	[273-273]	273	4
COV	[274-274]	274	2
COV	[275-275]	275	5
COV	[276-276]	276	8
COV	[277-277]	277	13
COV	[278-278]	278	11
COV	[279-279]	279	6
COV	[280-280]	280	3
COV	[281-281]	281	4
COV	[282-282]	282	1
COV	[285-285]	285	5
COV	[286-286]	286	11
COV	[287-287]	287	4
COV	[288-288]	288	10
COV	[289-289]	289	5
COV	[290-290]	290	6
COV	[291-291]	291	4
COV	[292-292]	292	10
COV	[293-293]	293	11
COV	[294-294]	294	2
COV	[295-295]	295	8
COV	[296-296]	296	3
COV	[297-297]	297	1
COV	[298-298]	298	4
COV	[299-299]	299	2
COV	[300-300]	300	3
COV	[302-302]	302	2
COV	[303-303]	303	2
COV	[305-305]	305	2
COV	[306-306]	306	1
COV	[310-310]	310	2
COV	[311-311]	311	3
COV	[314-314]	314	2
COV	[315-315]	315	1
COV	[318-318]	318	1
COV	[320-320]	320	3
COV	[321-321]	321	3
COV	[322-322]	322	1
COV	[326-326]	326	1
COV	[327-327]	327	3
COV	[330-330]	330	1
COV	[331-331]	331	1
COV	[332-332]	332	2
COV	[333-333]	333	3
COV	[336-336]	336	1
COV	[338-338]	338	1
