Supplementary Table 1. Characterization of immunophenotypes. 	Unnamed: 1	Unnamed: 2	Unnamed: 3	Unnamed: 4
MFI	Myeloid cell	Red.780.60.MDSC.trait10	CD45 on CD33br HLA DR+ CD14-  	GCST90002042
MFI	Myeloid cell	Red.780.60.MDSC.trait11	CD45 on CD33br HLA DR+ CD14dim  	GCST90002043
MFI	Myeloid cell	Red.780.60.MDSC.trait13	CD45 on CD33dim HLA DR+ CD11b-  	GCST90002044
MFI	Myeloid cell	Red.780.60.MDSC.trait14	CD45 on CD33- HLA DR- 	GCST90002045
MFI	Myeloid cell	Red.780.60.MDSC.trait15	CD45 on CD33- HLA DR+  	GCST90002046
MFI	Myeloid cell	Red.780.60.MDSC.trait16	CD45 on Gr MDSC 	GCST90002047
MFI	Myeloid cell	Red.780.60.MDSC.trait3	CD45 on CD66b++ myelod cell  	GCST90002048
MFI	Myeloid cell	Red.780.60.MDSC.trait4	CD45 on Mo MDSC  	GCST90002049
MFI	Myeloid cell	Red.780.60.MDSC.trait5	CD45 on CD33dim HLA DR- 	GCST90002050
MFI	Myeloid cell	Red.780.60.MDSC.trait7	CD45 on basophil	GCST90002051
MFI	Myeloid cell	Red.780.60.MDSC.trait8	CD45 on Im MDSC  	GCST90002052
MFI	Myeloid cell	Red.780.60.MDSC.trait9	CD45 on CD33br HLA DR+  	GCST90002053
MFI	Maturation stages of T cell	Red.780.60.MT.trait2	CD8 on CM CD8br 	GCST90002054
MFI	Maturation stages of T cell	Red.780.60.MT.trait3	CD8 on naive CD8br	GCST90002055
MFI	Maturation stages of T cell	Red.780.60.MT.trait4	CD8 on EM CD8br  	GCST90002056
MFI	Maturation stages of T cell	Red.780.60.MT.trait5	CD8 on TD CD8br	GCST90002057
MFI	TBNK	Red.780.60.TBNK.trait1	CD8 on  CD8br	GCST90002058
MFI	TBNK	Red.780.60.TBNK.trait2	CD8 on NKT	GCST90002059
MFI	TBNK	Red.780.60.TBNK.trait3	CD8 on HLA DR+ CD8br	GCST90002060
MFI	Treg	Red.780.60.Treg.trait15	CD4 on CD39+ CD4+   	GCST90002061
MFI	Treg	Red.780.60.Treg.trait16	CD4 on CD28+ CD4+  	GCST90002062
MFI	Treg	Red.780.60.Treg.trait2	CD4 on CD4 Treg	GCST90002063
MFI	Treg	Red.780.60.Treg.trait3	CD4 on resting Treg 	GCST90002064
MFI	Treg	Red.780.60.Treg.trait4	CD4 on CD39+ resting Treg 	GCST90002065
MFI	Treg	Red.780.60.Treg.trait5	CD4 on activated Treg 	GCST90002066
MFI	Treg	Red.780.60.Treg.trait6	CD4 on CD39+ activated Treg 	GCST90002067
MFI	Treg	Red.780.60.Treg.trait7	CD4 on secreting Treg  	GCST90002068
MFI	Treg	Red.780.60.Treg.trait8	CD4 on CD39+ secreting Treg 	GCST90002069
MFI	Treg	Red.780.60.Treg.trait9	CD4 on activated & secreting Treg  	GCST90002070
Morphological parameter	cDC	SSC.cDC.trait2	SSC-A on myeloid DC 	GCST90002071
Morphological parameter	cDC	SSC.cDC.trait3	SSC-A on plasmacytoid DC	GCST90002072
Morphological parameter	cDC	SSC.cDC.trait4	SSC-A on monocyte	GCST90002073
Morphological parameter	TBNK	SSC.TBNK.trait1	SSC-A on CD14+ monocyte	GCST90002074
Morphological parameter	TBNK	SSC.TBNK.trait10	SSC-A on B cell	GCST90002075
Morphological parameter	TBNK	SSC.TBNK.trait11	SSC-A on NK	GCST90002076
Morphological parameter	TBNK	SSC.TBNK.trait12	SSC-A on HLA DR+ NK	GCST90002077
Morphological parameter	TBNK	SSC.TBNK.trait13	SSC-A on granulocyte	GCST90002078
Morphological parameter	TBNK	SSC.TBNK.trait2	SSC-A on lymphocyte	GCST90002079
Morphological parameter	TBNK	SSC.TBNK.trait3	SSC-A on T cell	GCST90002080
Morphological parameter	TBNK	SSC.TBNK.trait4	SSC-A on CD4+	GCST90002081
Morphological parameter	TBNK	SSC.TBNK.trait5	SSC-A on CD8br	GCST90002082
Morphological parameter	TBNK	SSC.TBNK.trait6	SSC-A on HLA DR+ T cell	GCST90002083
Morphological parameter	TBNK	SSC.TBNK.trait7	SSC-A on NKT 	GCST90002084
Morphological parameter	TBNK	SSC.TBNK.trait8	SSC-A on HLA DR+ CD4+	GCST90002085
Morphological parameter	TBNK	SSC.TBNK.trait9	SSC-A on HLA DR+ CD8br	GCST90002086
MFI	cDC	Violet.450.50.cDC.trait1	CD11c on myeloid DC	GCST90002087
MFI	cDC	Violet.450.50.cDC.trait2	CD11c on CD62L+ myeloid DC	GCST90002088
MFI	cDC	Violet.450.50.cDC.trait3	CD11c on monocyte 	GCST90002089
MFI	cDC	Violet.450.50.cDC.trait4	CD11c on granulocyte 	GCST90002090
MFI	Myeloid cell	Violet.450.50.MDSC.trait1	CD11b on CD14+ monocyte	GCST90002091
MFI	Myeloid cell	Violet.450.50.MDSC.trait13	CD11b on Gr MDSC  	GCST90002092
MFI	Myeloid cell	Violet.450.50.MDSC.trait2	CD11b on CD66b++ myeloid cell  	GCST90002093
MFI	Myeloid cell	Violet.450.50.MDSC.trait3	CD11b on Mo MDSC 	GCST90002094
MFI	Myeloid cell	Violet.450.50.MDSC.trait4	CD11b on CD33dim HLA DR-  	GCST90002095
MFI	Myeloid cell	Violet.450.50.MDSC.trait6	CD11b on basophil	GCST90002096
MFI	Myeloid cell	Violet.450.50.MDSC.trait9	CD11b on CD33br HLA DR+ CD14dim  	GCST90002097
MFI	Maturation stages of T cell	Violet.450.50.MT.trait1	CD45RA on naive CD4+ 	GCST90002098
MFI	Maturation stages of T cell	Violet.450.50.MT.trait2	CD4RA on TD CD4+ 	GCST90002099
MFI	Maturation stages of T cell	Violet.450.50.MT.trait3	CD45RA on naive CD8br	GCST90002100
MFI	Maturation stages of T cell	Violet.450.50.MT.trait4	CD45RA on TD CD8br	GCST90002101
MFI	Treg	Violet.450.50.Treg.trait2	CD45RA on resting Treg 	GCST90002102
MFI	Treg	Violet.450.50.Treg.trait3	CD45RA on CD39+ resting Treg 	GCST90002103
MFI	cDC	Violet.510.50.cDC.trait2	HLA DR on myeloid DC	GCST90002104
MFI	cDC	Violet.510.50.cDC.trait3	HLA DR on plasmacytoid DC	GCST90002105
MFI	cDC	Violet.510.50.cDC.trait4	HLA DR on DC	GCST90002106
MFI	Myeloid cell	Violet.510.50.MDSC.trait1	HLA DR on HSC	GCST90002107
MFI	Myeloid cell	Violet.510.50.MDSC.trait3	HLA DR on CD33br HLA DR+ CD14- 	GCST90002108
MFI	Myeloid cell	Violet.510.50.MDSC.trait4	HLA DR on CD33br HLA DR+ CD14dim 	GCST90002109
MFI	Myeloid cell	Violet.510.50.MDSC.trait5	HLA DR on CD33dim HLA DR+ CD11b+ 	GCST90002110
MFI	Myeloid cell	Violet.510.50.MDSC.trait6	HLA DR on CD33dim HLA DR+ CD11b- 	GCST90002111
MFI	Myeloid cell	Violet.510.50.MDSC.trait7	HLA DR on CD33- HLA DR+ 	GCST90002112
MFI	TBNK	Violet.510.50.TBNK.trait2	HLA DR on  HLA DR+ T cell	GCST90002113
MFI	TBNK	Violet.510.50.TBNK.trait3	HLA DR on  HLA DR+ CD4+	GCST90002114
MFI	TBNK	Violet.510.50.TBNK.trait4	HLA DR on  HLA DR+ CD8br	GCST90002115
MFI	TBNK	Violet.510.50.TBNK.trait5	HLA DR on B cell	GCST90002116
MFI	TBNK	Violet.510.50.TBNK.trait6	HLA DR on HLA DR+ NK  	GCST90002117
MFI	Treg	Violet.510.50.Treg.trait2	CD8 on CD28+ CD45RA- CD8br  	GCST90002118
MFI	Treg	Violet.510.50.Treg.trait3	CD8 on CD28+ CD45RA+ CD8br 	GCST90002119
MFI	Treg	Violet.510.50.Treg.trait4	CD8 on CD28- CD8br 	GCST90002120
MFI	Treg	Violet.510.50.Treg.trait5	CD8 on CD39+ CD8br 	GCST90002121
