Supplementary Table 8. Pharmacological implication of the coincident associations.	Unnamed: 1	Unnamed: 2	Unnamed: 3	Unnamed: 4	Unnamed: 5	Unnamed: 6	Unnamed: 7	Unnamed: 8	Unnamed: 9	Unnamed: 10	Unnamed: 11	Unnamed: 12	Unnamed: 13
170	CCDC32	IgD on IgD+  (especially IgD+ CD38dim)	pQTL	IgD, CD19/CD20	IgD	pQTL	Strep throat	increase	not tested	inhibition		MRPL42P5(+):::RP11-111A22.1(+):::FAM82A2(-):::RMDN3(-):::CCDC32,MRPL42P5:::CCDC32:::NA:::U6(+):::BAHD1(-):::RNU6-516P(+,-):::ZFYVE19(-):::RAD51-AS1(+):::CASC5(-):::RAD51(+):::CCDC32(+,-):::RP11-64K12.8:::LINC00984(-):::GCHFR	MRPL42P5(+):::RP11-111A22.1(+):::FAM82A2(-):::RMDN3(-):::CCDC32,MRPL42P5:::CCDC32:::NA:::U6(+):::BAHD1(-):::RNU6-516P(+):::ZFYVE19(-):::RAD51-AS1(+):::CASC5(-):::RAD51(+):::CCDC32(+,-):::LINC00984(-):::GCHFR
173	BCL2A1	CD33dim HLA DR+ CD11b- AC	AC, RC	CD33, HLA DR	CD33, HLA DR	Count	Primary sclerosing cholangitis	decrease	not tested	activation		CYP4F22:::MEG3:::BCL2A1(+)	CYP4F22:::MEG3:::BCL2A1(+)
173	BCL2A1	HLA DR+ NK %NK	RC, AC	HLA DR, CD56/CD57	HLA DR, CD56/CD57	Count	Primary sclerosing cholangitis	decrease	not tested	activation		CYP4F22:::MEG3:::BCL2A1(+)	CYP4F22:::MEG3:::BCL2A1(+)
173	BCL2A1	CD14- CD16+ monocyte %monocyte	RC	CD16, HLA DR	CD16, HLA DR	Count	Primary sclerosing cholangitis	decrease	not tested	activation		CYP4F22:::MEG3:::BCL2A1(+)	CYP4F22:::MEG3:::BCL2A1(+)
177	MIR548X,LINC01177	HLA DR on myeloid DC	pQTL	CD33, CD11c, CD141 or CD1c	HLA DR	pQTL	Laryngeal squamous cell carcinoma	decrease	not tested	activation			
178	TVP23A,CIITA	HLA DR on  HLA DR+ T cell (especially CD4+)	pQTL	HLA DR, CD4, CD3	HLA DR	pQTL	Celiac Disease	decrease	not tested	activation		CIITA(+,-):::CIITA,DEXI(+)	CIITA(+,-):::CIITA,DEXI(+)
178	TVP23A,CIITA	HLA DR on  HLA DR+ T cell (especially CD4+)	pQTL	HLA DR, CD4, CD3	HLA DR	pQTL	Nasopharyngeal carcinoma	decrease	not tested	activation		CIITA(+,-):::CIITA,DEXI(+)	CIITA(+,-):::CIITA,DEXI(+)
179	ITGAM,ITGAX	CD11c on myeloid DC	pQTL	CD33, CD11c, CD141 or CD1c	CD11c	pQTL	IgA nephropathy	decrease	not tested	activation	SLE	RP11-2C24.5(+):::RP11-388M20.6(+):::AC093520.4///ITGAX(+):::C16orf58(+):::ITGAM:::BCKDK:::PYCARD:::RP11-347C12.10(-):::SEPT1:::RP11-146F11.1	RP11-2C24.5(+):::RP11-388M20.6(+):::AC093520.4///ITGAX(+):::C16orf58(+):::ITGAM:::BCKDK:::PYCARD:::RP11-146F11.1:::RP11-347C12.10(-)
179	ITGAM,ITGAX	CD11c on myeloid DC	pQTL	CD33, CD11c, CD141 or CD1c	CD11c	pQTL	Systemic lupus erythematosus	increase	no	inhibition	IgAN	RP11-2C24.5(-):::C16orf58(-):::ITGAM:::BCKDK:::PYCARD:::RP11-347C12.10(+):::SEPT1:::RP11-146F11.1	RP11-2C24.5(-):::C16orf58(-):::ITGAM:::BCKDK:::PYCARD:::RP11-146F11.1:::RP11-347C12.10(+)
179	ATP2A1	CD19 on B cell (especially sw mem IgD-CD27+)	pQTL	CD27, CD19/CD20	CD19	pQTL	Inflammatory bowel disease	decrease	?	activation	T1D	AC138894.2-3(+):::EIF3S8:::ATP2A1(+):::SH2B1(-):::SPNS1(+):::ATXN2L,RP11-24N18.1(-):::ENST00000328423///IL27(+):::IL27(+):::APOB48R:::XPO6:::CCDC101:::RP11-1348G14.6(+):::RP11-1348G14.4(+,-):::LOC643031(+):::TUFM,MIR4721(+):::RP11-22P6.2(-):::EIF3C(+):::SPNS1///LAT(+):::SPNS1,RP11-264B17.4,RP11-264B17.3(+):::CLN3(+):::RP11-22P6.3(-):::NPIPB7(-):::NPIPB6:::NPIPB9(-):::RABEP2(-):::SPIN1:::EIF3CL(+):::RP11-435I10.3(+):::SPNS1,LAT,RP11-264B17.3(+):::APOBR(-):::NUPR1:::SULT1A1:::SULT1A2(+):::NFATC2IP(+):::RP11-264B17.4(-):::SBK1(-):::RP11-435I10.5(-):::ATXN2L(-):::CDC37P1(+):::A-575C2.4(+):::ATP2A1,RP11-22P6.3(+):::LAT(+):::EIF3CL///EIF3S8(-):::SPNS1,RP11-264B17.3(+):::TUFM(+)	AC138894.2-3(+):::EIF3S8:::ATP2A1(+):::SH2B1(-):::SPNS1(+):::ATXN2L,RP11-24N18.1(-):::ENST00000328423///IL27(+):::IL27:::APOB48R:::XPO6:::CCDC101:::RP11-1348G14.6(+):::RP11-1348G14.4(+,-):::LOC643031(+):::SBK1(-):::RP11-22P6.2(-):::EIF3C(+):::SPNS1///LAT(+):::SPNS1,RP11-264B17.4,RP11-264B17.3(+):::CLN3(+):::RP11-22P6.3(-):::NPIPB7(-):::NPIPB6:::NPIPB9(-):::RABEP2(-):::SPIN1:::EIF3CL(+):::SPNS1,LAT,RP11-264B17.3(+):::NUPR1:::SULT1A1:::SULT1A2(+):::NFATC2IP(+):::RP11-264B17.4(-):::RP11-435I10.3(+):::RP11-435I10.5(-):::ATXN2L(-):::TUFM,MIR4721(+):::CDC37P1(+):::A-575C2.4(+):::ATP2A1,RP11-22P6.3(+):::LAT(+):::EIF3CL///EIF3S8(-):::SPNS1,RP11-264B17.3(+):::TUFM(+)
179	ATP2A1	CD19 on B cell (especially sw mem IgD-CD27+)	pQTL	CD27, CD19/CD20	CD19	pQTL	Crohn's Disease	decrease	?	activation	T1D	AC138894.2-3(+):::EIF3S8:::ATP2A1(+):::SH2B1(-):::SPNS1(+):::ATXN2L,RP11-24N18.1(-):::ENST00000328423///IL27(+):::IL27(+):::APOB48R:::XPO6:::CCDC101:::RP11-1348G14.6(+):::RP11-1348G14.4(+,-):::LOC643031(+):::TUFM,MIR4721(+):::RP11-22P6.2(-):::EIF3C(+):::SPNS1///LAT(+):::SPNS1,RP11-264B17.4,RP11-264B17.3(+):::CLN3(+):::RP11-22P6.3(-):::NPIPB7(-):::NPIPB6:::NPIPB9(-):::RABEP2(-):::SPIN1:::EIF3CL(+):::RP11-435I10.3(+):::SPNS1,LAT,RP11-264B17.3(+):::APOBR(-):::NUPR1:::SULT1A1:::SULT1A2(+):::NFATC2IP(+):::RP11-264B17.4(-):::SBK1(-):::RP11-435I10.5(-):::ATXN2L(-):::CDC37P1(+):::A-575C2.4(+):::ATP2A1,RP11-22P6.3(+):::LAT(+):::EIF3CL///EIF3S8(-):::SPNS1,RP11-264B17.3(+):::TUFM(+)	AC138894.2-3(+):::EIF3S8:::ATP2A1(+):::SH2B1(-):::SPNS1(+):::ATXN2L,RP11-24N18.1(-):::ENST00000328423///IL27(+):::IL27:::APOB48R:::XPO6:::CCDC101:::RP11-1348G14.6(+):::RP11-1348G14.4(+,-):::LOC643031(+):::SBK1(-):::RP11-22P6.2(-):::EIF3C(+):::SPNS1///LAT(+):::SPNS1,RP11-264B17.4,RP11-264B17.3(+):::CLN3(+):::RP11-22P6.3(-):::NPIPB7(-):::NPIPB6:::NPIPB9(-):::RABEP2(-):::SPIN1:::EIF3CL(+):::SPNS1,LAT,RP11-264B17.3(+):::NUPR1:::SULT1A1:::SULT1A2(+):::NFATC2IP(+):::RP11-264B17.4(-):::RP11-435I10.3(+):::RP11-435I10.5(-):::ATXN2L(-):::TUFM,MIR4721(+):::CDC37P1(+):::A-575C2.4(+):::ATP2A1,RP11-22P6.3(+):::LAT(+):::EIF3CL///EIF3S8(-):::SPNS1,RP11-264B17.3(+):::TUFM(+)
179	ATP2A1	CD19 on B cell (especially sw mem IgD-CD27+)	pQTL	CD27, CD19/CD20	CD19	pQTL	Obesity	decrease	not tested	activation	T1D	AC138894.2-3(+):::EIF3S8:::ATP2A1(+):::SH2B1(-):::SPNS1(+):::ATXN2L,RP11-24N18.1(-):::ENST00000328423///IL27(+):::IL27(+):::APOB48R:::XPO6:::CCDC101:::RP11-1348G14.6(+):::RP11-1348G14.4(+,-):::LOC643031(+):::TUFM,MIR4721(+):::RP11-22P6.2(-):::EIF3C(+):::SPNS1///LAT(+):::SPNS1,RP11-264B17.4,RP11-264B17.3(+):::CLN3(+):::RP11-22P6.3(-):::NPIPB7(-):::NPIPB6:::NPIPB9(-):::RABEP2(-):::SPIN1:::EIF3CL(+):::RP11-435I10.3(+):::SPNS1,LAT,RP11-264B17.3(+):::APOBR(-):::NUPR1:::SULT1A1:::SULT1A2(+):::NFATC2IP(+):::RP11-264B17.4(-):::SBK1(-):::RP11-435I10.5(-):::ATXN2L(-):::CDC37P1(+):::A-575C2.4(+):::ATP2A1,RP11-22P6.3(+):::LAT(+):::EIF3CL///EIF3S8(-):::SPNS1,RP11-264B17.3(+):::TUFM(+)	AC138894.2-3(+):::EIF3S8:::ATP2A1(+):::SH2B1(-):::SPNS1(+):::ATXN2L,RP11-24N18.1(-):::ENST00000328423///IL27(+):::IL27:::APOB48R:::XPO6:::CCDC101:::RP11-1348G14.6(+):::RP11-1348G14.4(+,-):::LOC643031(+):::SBK1(-):::RP11-22P6.2(-):::EIF3C(+):::SPNS1///LAT(+):::SPNS1,RP11-264B17.4,RP11-264B17.3(+):::CLN3(+):::RP11-22P6.3(-):::NPIPB7(-):::NPIPB6:::NPIPB9(-):::RABEP2(-):::SPIN1:::EIF3CL(+):::SPNS1,LAT,RP11-264B17.3(+):::NUPR1:::SULT1A1:::SULT1A2(+):::NFATC2IP(+):::RP11-264B17.4(-):::RP11-435I10.3(+):::RP11-435I10.5(-):::ATXN2L(-):::TUFM,MIR4721(+):::CDC37P1(+):::A-575C2.4(+):::ATP2A1,RP11-22P6.3(+):::LAT(+):::EIF3CL///EIF3S8(-):::SPNS1,RP11-264B17.3(+):::TUFM(+)
179	ATP2A1	CD19 on B cell (especially sw mem IgD-CD27+)	pQTL	CD27, CD19/CD20	CD19	pQTL	Type 1 diabetes	increase	no	inhibition	CRO, IBD, Ob	AC138894.2-3(-):::EIF3S8:::ATP2A1(-):::SH2B1(+):::SPNS1(-):::ATXN2L,RP11-24N18.1(+):::ENST00000328423///IL27(-):::IL27(-):::APOB48R:::XPO6:::CCDC101:::RP11-1348G14.6(-):::RP11-1348G14.4(+,-):::LOC643031(-):::TUFM,MIR4721(-):::RP11-22P6.2(+):::EIF3C(-):::SPNS1///LAT(-):::SPNS1,RP11-264B17.4,RP11-264B17.3(-):::CLN3(-):::RP11-22P6.3(+):::NPIPB7(+):::NPIPB6:::NPIPB9(+):::RABEP2(+):::SPIN1:::EIF3CL(-):::RP11-435I10.3(-):::SPNS1,LAT,RP11-264B17.3(-):::APOBR(+):::NUPR1:::SULT1A1:::SULT1A2(-):::NFATC2IP(-):::RP11-264B17.4(+):::SBK1(+):::RP11-435I10.5(+):::ATXN2L(+):::CDC37P1(-):::A-575C2.4(-):::ATP2A1,RP11-22P6.3(-):::LAT(-):::EIF3CL///EIF3S8(+):::SPNS1,RP11-264B17.3(-):::TUFM(-)	AC138894.2-3(-):::EIF3S8:::ATP2A1(-):::SH2B1(+):::SPNS1(-):::ATXN2L,RP11-24N18.1(+):::ENST00000328423///IL27(-):::IL27:::APOB48R:::XPO6:::CCDC101:::RP11-1348G14.6(-):::RP11-1348G14.4(+,-):::LOC643031(-):::SBK1(+):::RP11-22P6.2(+):::EIF3C(-):::SPNS1///LAT(-):::SPNS1,RP11-264B17.4,RP11-264B17.3(-):::CLN3(-):::RP11-22P6.3(+):::NPIPB7(+):::NPIPB6:::NPIPB9(+):::RABEP2(+):::SPIN1:::EIF3CL(-):::SPNS1,LAT,RP11-264B17.3(-):::NUPR1:::SULT1A1:::SULT1A2(-):::NFATC2IP(-):::RP11-264B17.4(+):::RP11-435I10.3(-):::RP11-435I10.5(+):::ATXN2L(+):::TUFM,MIR4721(-):::CDC37P1(-):::A-575C2.4(-):::ATP2A1,RP11-22P6.3(-):::LAT(-):::EIF3CL///EIF3S8(+):::SPNS1,RP11-264B17.3(-):::TUFM(-)
185	PLCG2	CD25 on IgD- CD24-	pQTL	CD19/CD20	CD25	pQTL	Inflammatory bowel disease	increase	no	inhibition			
193	ZPBP2,GSDMB	IgD+ AC	AC	IgD, CD19/CD20	IgD, CD19/CD20	Count	Asthma	increase	not tested	inhibition	CC, CRO, PBC, RA, T1D, UC, Bronchial hyperresponsiveness in asthma, Selective IgA deficiency, Liver biliary cirrhosis	GSDML:::ORMDL3(+,-):::GSDMA(+):::GSDMB(+,-):::PSMD3(+):::RP11-387H17.4:::PNMT(+):::GRB7:::RP11-94L15.2(-):::IKZF3(-):::ZPBP2(-)	GSDML:::ORMDL3(+,-):::GSDMB(+):::PSMD3(+):::RP11-387H17.4:::PNMT(+):::GRB7:::RP11-94L15.2(-):::IKZF3(-):::ZPBP2(-)
193	ZPBP2,GSDMB	IgD+ AC	AC	IgD, CD19/CD20	IgD, CD19/CD20	Count	Allergy	increase	yes	inhibition	CC, CRO, PBC, RA, T1D, UC, Bronchial hyperresponsiveness in asthma, Selective IgA deficiency, Liver biliary cirrhosis	GSDML:::ORMDL3(+,-):::GSDMA(+):::GSDMB(+,-):::PSMD3(+):::RP11-387H17.4:::PNMT(+):::GRB7:::RP11-94L15.2(-):::IKZF3(-):::ZPBP2(-)	GSDML:::ORMDL3(+,-):::GSDMB(+):::PSMD3(+):::RP11-387H17.4:::PNMT(+):::GRB7:::RP11-94L15.2(-):::IKZF3(-):::ZPBP2(-)
193	ZPBP2,GSDMB	IgD+ AC	AC	IgD, CD19/CD20	IgD, CD19/CD20	Count	Cervical cancer	decrease	not tested	activation	Allergy, Asthma, ALL, AM	GSDML:::ORMDL3(+,-):::GSDMA(-):::GSDMB(+,-):::PSMD3(-):::RP11-387H17.4:::PNMT(-):::GRB7:::RP11-94L15.2(+):::IKZF3(+):::ZPBP2(+)	GSDML:::ORMDL3(+,-):::GSDMB(-):::PSMD3(-):::RP11-387H17.4:::PNMT(-):::GRB7:::RP11-94L15.2(+):::IKZF3(+):::ZPBP2(+)
193	ZPBP2,GSDMB	IgD+ AC	AC	IgD, CD19/CD20	IgD, CD19/CD20	Count	Crohn's Disease	decrease	yes	activation	Allergy, Asthma, ALL, AM	GSDML:::ORMDL3(+,-):::GSDMA(-):::GSDMB(+,-):::PSMD3(-):::RP11-387H17.4:::PNMT(-):::GRB7:::RP11-94L15.2(+):::IKZF3(+):::ZPBP2(+)	GSDML:::ORMDL3(+,-):::GSDMB(-):::PSMD3(-):::RP11-387H17.4:::PNMT(-):::GRB7:::RP11-94L15.2(+):::IKZF3(+):::ZPBP2(+)
193	ZPBP2,GSDMB	IgD+ AC	AC	IgD, CD19/CD20	IgD, CD19/CD20	Count	Primary biliary cirrhosis	decrease	not tested	activation	Allergy, Asthma, ALL, AM	GSDML:::ORMDL3(+,-):::GSDMA(-):::GSDMB(+,-):::PSMD3(-):::RP11-387H17.4:::PNMT(-):::GRB7:::RP11-94L15.2(+):::IKZF3(+):::ZPBP2(+)	GSDML:::ORMDL3(+,-):::GSDMB(-):::PSMD3(-):::RP11-387H17.4:::PNMT(-):::GRB7:::RP11-94L15.2(+):::IKZF3(+):::ZPBP2(+)
193	ZPBP2,GSDMB	IgD+ AC	AC	IgD, CD19/CD20	IgD, CD19/CD20	Count	Rheumatoid arthritis	decrease	yes	activation	Allergy, Asthma, ALL, AM	GSDML:::ORMDL3(+,-):::GSDMA(-):::GSDMB(+,-):::PSMD3(-):::RP11-387H17.4:::PNMT(-):::GRB7:::RP11-94L15.2(+):::IKZF3(+):::ZPBP2(+)	GSDML:::ORMDL3(+,-):::GSDMB(-):::PSMD3(-):::RP11-387H17.4:::PNMT(-):::GRB7:::RP11-94L15.2(+):::IKZF3(+):::ZPBP2(+)
193	ZPBP2,GSDMB	IgD+ AC	AC	IgD, CD19/CD20	IgD, CD19/CD20	Count	Type 1 diabetes	decrease	not tested	activation	Allergy, Asthma, ALL, AM	GSDML:::ORMDL3(+,-):::GSDMA(-):::GSDMB(+,-):::PSMD3(-):::RP11-387H17.4:::PNMT(-):::GRB7:::RP11-94L15.2(+):::IKZF3(+):::ZPBP2(+)	GSDML:::ORMDL3(+,-):::GSDMB(-):::PSMD3(-):::RP11-387H17.4:::PNMT(-):::GRB7:::RP11-94L15.2(+):::IKZF3(+):::ZPBP2(+)
193	ZPBP2,GSDMB	IgD+ AC	AC	IgD, CD19/CD20	IgD, CD19/CD20	Count	Ulcerative colitis	decrease	yes	activation	Allergy, Asthma, ALL, AM	GSDML:::ORMDL3(+,-):::GSDMA(-):::GSDMB(+,-):::PSMD3(-):::RP11-387H17.4:::PNMT(-):::GRB7:::RP11-94L15.2(+):::IKZF3(+):::ZPBP2(+)	GSDML:::ORMDL3(+,-):::GSDMB(-):::PSMD3(-):::RP11-387H17.4:::PNMT(-):::GRB7:::RP11-94L15.2(+):::IKZF3(+):::ZPBP2(+)
193	ZPBP2,GSDMB	IgD+ AC	AC	IgD, CD19/CD20	IgD, CD19/CD20	Count	Acute lymphoblastic leukemia (childhood)	increase	not tested	inhibition	CC, CRO, PBC, RA, T1D, UC, Bronchial hyperresponsiveness in asthma, Selective IgA deficiency, Liver biliary cirrhosis	GSDML:::ORMDL3(+,-):::GSDMA(+):::GSDMB(+,-):::PSMD3(+):::RP11-387H17.4:::PNMT(+):::GRB7:::RP11-94L15.2(-):::IKZF3(-):::ZPBP2(-)	GSDML:::ORMDL3(+,-):::GSDMB(+):::PSMD3(+):::RP11-387H17.4:::PNMT(+):::GRB7:::RP11-94L15.2(-):::IKZF3(-):::ZPBP2(-)
193	ZPBP2,GSDMB	IgD+ AC	AC	IgD, CD19/CD20	IgD, CD19/CD20	Count	Atopic march	increase	not tested	inhibition	CC, CRO, PBC, RA, T1D, UC, Bronchial hyperresponsiveness in asthma, Selective IgA deficiency, Liver biliary cirrhosis	GSDML:::ORMDL3(+,-):::GSDMA(+):::GSDMB(+,-):::PSMD3(+):::RP11-387H17.4:::PNMT(+):::GRB7:::RP11-94L15.2(-):::IKZF3(-):::ZPBP2(-)	GSDML:::ORMDL3(+,-):::GSDMB(+):::PSMD3(+):::RP11-387H17.4:::PNMT(+):::GRB7:::RP11-94L15.2(-):::IKZF3(-):::ZPBP2(-)
193	ZPBP2,GSDMB	IgD+ AC	AC	IgD, CD19/CD20	IgD, CD19/CD20	Count	Bronchial hyperresponsiveness in asthma	decrease	not tested	activation	Allergy, Asthma, ALL, AM	GSDML:::ORMDL3(+,-):::GSDMA(-):::GSDMB(+,-):::PSMD3(-):::RP11-387H17.4:::PNMT(-):::GRB7:::RP11-94L15.2(+):::IKZF3(+):::ZPBP2(+)	GSDML:::ORMDL3(+,-):::GSDMB(-):::PSMD3(-):::RP11-387H17.4:::PNMT(-):::GRB7:::RP11-94L15.2(+):::IKZF3(+):::ZPBP2(+)
193	ZPBP2,GSDMB	IgD+ AC	AC	IgD, CD19/CD20	IgD, CD19/CD20	Count	Selective IgA deficiency	decrease	not tested	activation	Allergy, Asthma, ALL, AM	GSDML:::ORMDL3(+,-):::GSDMA(-):::GSDMB(+,-):::PSMD3(-):::RP11-387H17.4:::PNMT(-):::GRB7:::RP11-94L15.2(+):::IKZF3(+):::ZPBP2(+)	GSDML:::ORMDL3(+,-):::GSDMB(-):::PSMD3(-):::RP11-387H17.4:::PNMT(-):::GRB7:::RP11-94L15.2(+):::IKZF3(+):::ZPBP2(+)
193	ZPBP2,GSDMB	IgD+ AC	AC	IgD, CD19/CD20	IgD, CD19/CD20	Count	Liver biliary cirrhosis	decrease	not tested	activation	Allergy, Asthma, ALL, AM	GSDML:::ORMDL3(+,-):::GSDMA(-):::GSDMB(+,-):::PSMD3(-):::RP11-387H17.4:::PNMT(-):::GRB7:::RP11-94L15.2(+):::IKZF3(+):::ZPBP2(+)	GSDML:::ORMDL3(+,-):::GSDMB(-):::PSMD3(-):::RP11-387H17.4:::PNMT(-):::GRB7:::RP11-94L15.2(+):::IKZF3(+):::ZPBP2(+)
193	CCR7,SMARCE1	Central memory CD4+%CD4+	RC	CCR7, CD45RO, CD4, CD3	CCR7, CD45RO, CD4, CD3	Count	Allergic disease	increase	?	inhibition		CCR7(+)	
209	CCDC155	CD19 on CD20- CD38- 	pQTL	CD19	CD19	pQTL	Multiple Sclerosis	decrease	uncertain	activation		TEAD2(-):::AC011450.4(-):::MYH14(-):::TBC1D17:::TEAD2,CD37,CTC-301O7.4(-):::CD37(-):::FLJ32658:::DKKL1(-):::CCDC155(-):::CTB-33G10.1:::AC011450.4,CD37(-):::CD37///AC011450.4(-):::AC010524.2(-):::SLC6A16(+)	TEAD2(-):::AC011450.4(-):::MYH14(-):::TBC1D17:::TEAD2,CD37,CTC-301O7.4(-):::CD37(-):::FLJ32658:::DKKL1(-):::CCDC155(-):::CTB-33G10.1:::AC011450.4,CD37(-):::CD37///AC011450.4(-):::AC010524.2(-):::SLC6A16(+)
210	CD33	CD33 on myeloid cell (especially CD14+ monocyte)	pQTL	CD14, HLA DR	CD33	pQTL	Alzheimer's Disease	increase	?	inhibition		SIGLEC22P(+,-):::CD33(+)	SIGLEC22P(+,-):::CD33(+)
210	CD33	CD33+ AC (expecially basophils CD33dim, CD11b, HLA DR-, CD66b- )	AC	CD33, CD11b	CD33, CD11b	Count	Alzheimer's Disease	increase	not tested	inhibition		SIGLEC22P(+,-):::CD33(+)	SIGLEC22P(+,-):::CD33(+)
211	NCOA5,CD40	Unsw Mem (IgD+CD27+) %lymphocyte	RC	IgD, CD27, CD19/CD20	IgD, CD27, CD19/CD20	Count	Chronic hepatitis B infection	increase	not tested	inhibition	 RA, Depression, KD	CD40(-)	CD40(-)
211	NCOA5,CD40	Unsw Mem (IgD+CD27+) %lymphocyte	RC	IgD, CD27, CD19/CD20	IgD, CD27, CD19/CD20	Count	Crohn's Disease	increase	yes	inhibition	 RA, Depression, KD	CD40(-)	CD40(-)
211	NCOA5,CD40	Unsw Mem (IgD+CD27+) %lymphocyte	RC	IgD, CD27, CD19/CD20	IgD, CD27, CD19/CD20	Count	Inflammatory bowel disease	increase	yes	inhibition	 RA, Depression, KD	CD40(-)	CD40(-)
211	NCOA5,CD40	Unsw Mem (IgD+CD27+) %lymphocyte	RC	IgD, CD27, CD19/CD20	IgD, CD27, CD19/CD20	Count	Multiple Sclerosis	increase	yes	inhibition	 RA, Depression, KD	CD40(-)	CD40(-)
211	NCOA5,CD40	Unsw Mem (IgD+CD27+) %lymphocyte	RC	IgD, CD27, CD19/CD20	IgD, CD27, CD19/CD20	Count	Rheumatoid arthritis	decrease	yes	activation	HBVI, CRO, IBD, MS, SLE	CD40(+)	CD40(+)
211	NCOA5,CD40	Unsw Mem (IgD+CD27+) %lymphocyte	RC	IgD, CD27, CD19/CD20	IgD, CD27, CD19/CD20	Count	Depression	decrease	not tested	activation	HBVI, CRO, IBD, MS, SLE	CD40(+)	CD40(+)
211	NCOA5,CD40	Unsw Mem (IgD+CD27+) %lymphocyte	RC	IgD, CD27, CD19/CD20	IgD, CD27, CD19/CD20	Count	Kawasaki disease	decrease	not tested	activation	HBVI, CRO, IBD, MS, SLE	CD40(+)	CD40(+)
211	NCOA5,CD40	Unsw Mem (IgD+CD27+) %lymphocyte	RC	IgD, CD27, CD19/CD20	IgD, CD27, CD19/CD20	Count	Systemic lupus erythematosus	increase	no	inhibition	 RA, Depression, KD	CD40(-)	CD40(-)
211	CD40	CD27 on memory B cell (especially IgD-CD38dim)	pQTL	CD27, CD19/CD20	CD27 	pQTL	Chronic hepatitis B infection	increase	not tested	inhibition	RA, KD	CD40(-)	CD40(-)
211	CD40	CD27 on memory B cell (especially IgD-CD38dim)	pQTL	CD27, CD19/CD20	CD27 	pQTL	Crohn's Disease	increase	yes	inhibition	RA, KD	CD40(-)	CD40(-)
211	CD40	CD27 on memory B cell (especially IgD-CD38dim)	pQTL	CD27, CD19/CD20	CD27 	pQTL	Inflammatory bowel disease	increase	yes	inhibition	RA, KD	CD40(-)	CD40(-)
211	CD40	CD27 on memory B cell (especially IgD-CD38dim)	pQTL	CD27, CD19/CD20	CD27 	pQTL	Multiple Sclerosis	increase	yes	inhibition	RA, KD	CD40(-)	CD40(-)
211	CD40	CD27 on memory B cell (especially IgD-CD38dim)	pQTL	CD27, CD19/CD20	CD27 	pQTL	Rheumatoid arthritis	decrease	yes	activation	HBVI, CRO, IBD, MS, SLE	CD40(+)	CD40(+)
211	CD40	CD27 on memory B cell (especially IgD-CD38dim)	pQTL	CD27, CD19/CD20	CD27 	pQTL	Systemic lupus erythematosus	increase	no	inhibition	RA, KD	CD40(-)	CD40(-)
211	CD40	CD27 on memory B cell (especially IgD-CD38dim)	pQTL	CD27, CD19/CD20	CD27 	pQTL	Kawasaki disease	decrease	not tested	activation	HBVI, CRO, IBD, MS, SLE	CD40(+)	CD40(+)
211	CD40	CD40 on B cell (especially IgD-CD27-)	pQTL	 CD19/CD20	CD40	pQTL	Chronic hepatitis B infection	decrease	not tested	activation	RA, KD	CD40(-)	CD40(-)
211	CD40	CD40 on B cell (especially IgD-CD27-)	pQTL	 CD19/CD20	CD40	pQTL	Crohn's Disease	decrease	yes	activation	RA, KD	CD40(-)	CD40(-)
211	CD40	CD40 on B cell (especially IgD-CD27-)	pQTL	 CD19/CD20	CD40	pQTL	Inflammatory bowel disease	decrease	yes	activation	RA, KD	CD40(-)	CD40(-)
211	CD40	CD40 on B cell (especially IgD-CD27-)	pQTL	 CD19/CD20	CD40	pQTL	Multiple Sclerosis	decrease	yes	activation	RA, KD	CD40(-)	CD40(-)
211	CD40	CD40 on B cell (especially IgD-CD27-)	pQTL	 CD19/CD20	CD40	pQTL	Rheumatoid arthritis	increase	yes	inhibition	HBVI, CRO, IBD, MS, SLE	CD40(+)	CD40(+)
211	CD40	CD40 on B cell (especially IgD-CD27-)	pQTL	 CD19/CD20	CD40	pQTL	Systemic lupus erythematosus	decrease	no	activation	RA, KD	CD40(-)	CD40(-)
211	CD40	CD40 on B cell (especially IgD-CD27-)	pQTL	 CD19/CD20	CD40	pQTL	Kawasaki disease	increase	not tested	inhibition	HBVI, CRO, IBD, MS, SLE	CD40(+)	CD40(+)
211	CD40	CD25 on IgD- CD27-	pQTL	 CD19/CD20	CD25	pQTL	Chronic hepatitis B infection	decrease	not tested	activation	RA, KD	CD40(-)	CD40(-)
211	CD40	CD25 on IgD- CD27-	pQTL	 CD19/CD20	CD25	pQTL	Crohn's Disease	decrease	yes	activation	RA, KD	CD40(-)	CD40(-)
211	CD40	CD25 on IgD- CD27-	pQTL	 CD19/CD20	CD25	pQTL	Inflammatory bowel disease	decrease	yes	activation	RA, KD	CD40(-)	CD40(-)
211	CD40	CD25 on IgD- CD27-	pQTL	 CD19/CD20	CD25	pQTL	Multiple Sclerosis	decrease	yes	activation	RA, KD	CD40(-)	CD40(-)
211	CD40	CD25 on IgD- CD27-	pQTL	 CD19/CD20	CD25	pQTL	Rheumatoid arthritis	increase	yes	inhibition	HBVI, CRO, IBD, MS, SLE	CD40(+)	CD40(+)
211	CD40	CD25 on IgD- CD27-	pQTL	 CD19/CD20	CD25	pQTL	Systemic lupus erythematosus	decrease	no	activation	RA, KD	CD40(-)	CD40(-)
211	CD40	CD25 on IgD- CD27-	pQTL	 CD19/CD20	CD25	pQTL	Kawasaki disease	increase	not tested	inhibition	HBVI, CRO, IBD, MS, SLE	CD40(+)	CD40(+)
