Geneid	https://zenodo.org/records/14056162/files/SRR5085169.tabular_SRR5085169	https://zenodo.org/records/14056162/files/SRR5085170.tabular_SRR5085170	https://zenodo.org/records/14056162/files/SRR5085167.tabular_SRR5085167	https://zenodo.org/records/14056162/files/SRR5085168.tabular_SRR5085168
YNL139C	43	22	24	23
YNL141W	74	23	11	26
YNL145W	18	12	14	9
YNL151C	12	7	3	10
YNL153C	14	18	7	10
YNL154C	55	34	27	31
YNL155W	24	12	17	5
YNL156C	45	31	17	31
YNL160W	38	28	8	20
YNL161W	22	12	8	13
YNL162W	158	104	86	106
YNL163C	42	19	22	26
YNL166C	8	11	6	16
YNL168C	23	15	12	10
YNL169C	18	9	10	10
YNL172W	14	16	8	15
YNL175C	58	26	19	47
YNL177C	20	13	5	7
YNL178W	1135	783	649	745
YNL180C	17	7	4	10
YNL181W	19	7	13	3
YNL182C	20	12	11	9
YNL183C	19	14	8	13
YNL186W	22	13	12	11
YNL189W	99	76	42	55
YNL190W	24	13	11	13
YNL192W	27	30	18	21
YNL201C	29	12	13	19
YNL207W	39	20	22	23
YNL208W	30	18	14	31
YNL209W	246	146	149	200
YNL212W	32	24	11	19
YNL216W	26	15	7	20
YNL217W	20	12	12	22
YNL219C	23	13	15	18
YNL220W	92	54	56	63
YNL221C	25	11	10	18
YNL227C	20	8	7	11
YNL229C	24	11	16	8
YNL231C	21	16	11	14
YNL233W	15	10	5	8
YNL238W	22	21	13	23
YNL239W	44	33	31	37
YNL241C	51	23	37	51
YNL243W	56	44	25	34
YNL244C	52	16	23	24
YNL247W	66	57	42	54
YNL248C	39	28	32	30
YNL251C	23	22	9	14
YNL255C	386	255	212	306
YNL256W	20	13	11	18
YNL257C	29	17	23	19
YNL258C	27	11	10	13
YNL259C	20	7	10	12
YNL261W	21	12	6	12
YNL262W	26	19	7	16
YNL263C	31	14	16	19
YNL267W	35	14	12	24
YNL268W	28	16	13	13
YNL271C	26	16	19	28
YNL273W	15	7	7	15
YNL280C	42	16	20	14
YNL281W	58	35	25	29
YNL287W	114	54	67	86
YNL288W	14	9	11	12
YNL290W	41	20	20	64
YNL291C	23	13	9	12
YNL294C	11	12	10	10
YNL297C	26	15	16	30
YNL299W	21	14	13	15
YNL301C	108	73	56	65
YNL302C	146	83	72	111
YNL306W	15	17	7	8
YNL307C	29	24	19	21
YNL308C	32	17	14	15
YNL310C	19	11	4	10
YNL311C	20	12	9	13
YNL313C	41	25	18	27
YNL322C	18	10	16	8
YNL323W	25	13	8	13
YNL327W	66	51	34	39
YNL330C	33	6	13	21
YNR001C	22	15	14	13
YNR011C	18	10	3	4
YNR013C	18	15	11	11
YNR015W	28	14	17	18
YNR016C	344	221	161	209
YNR017W	16	10	5	10
YNR021W	107	62	44	50
YNR028W	37	18	12	31
YNR029C	12	4	10	5
YNR030W	17	13	14	12
YNR031C	30	21	21	26
YNR033W	10	11	9	12
YNR035C	29	15	10	18
YNR038W	32	6	11	18
YNR043W	20	18	13	22
YNR050C	67	38	36	45
YNR051C	42	27	27	20
YNR052C	17	8	9	10
YNR053C	68	33	37	46
YNR054C	26	15	4	11
YNR055C	21	16	12	17
YNR067C	38	20	17	32
YOL002C	16	13	6	13
YOL004W	39	20	27	28
YOL005C	29	13	6	16
YOL006C	30	21	14	16
YOL010W	14	10	8	9
YOL013C	13	7	10	14
YOL016C	19	11	13	11
YOL018C	23	5	10	4
YOL020W	25	15	13	16
YOL021C	41	22	24	28
YOL022C	39	14	18	22
YOL030W	34	25	24	46
YOL031C	16	10	6	8
YOL036W	14	12	7	16
YOL038W	29	17	28	23
YOL039W	131	88	76	88
YOL040C	205	134	117	141
YOL041C	35	18	19	14
YOL045W	15	10	7	5
YOL049W	30	28	20	31
YOL051W	15	7	6	11
YOL052C	16	12	3	7
YOL056W	28	8	7	13
YOL057W	47	33	16	35
YOL059W	31	16	11	22
YOL060C	14	5	13	16
YOL061W	35	16	18	21
YOL062C	26	15	14	13
YOL063C	15	6	9	11
YOL064C	19	8	11	12
YOL065C	10	6	7	14
YOL066C	14	5	7	10
YOL068C	34	19	19	23
YOL070C	13	14	10	11
YOL076W	25	17	17	23
YOL077C	65	33	28	32
YOL077W-A	10	11	9	4
YOL078W	21	13	11	8
YOL080C	10	10	9	5
YOL081W	71	27	29	35
YOL086C	2073	1294	1155	1349
YOL088C	41	31	13	23
YOL089C	12	9	4	11
YOL090W	33	24	11	29
YOL092W	28	9	11	11
YOL096C	19	11	4	8
YOL097C	79	41	37	42
YOL098C	89	64	30	48
YOL103W	23	23	13	20
YOL105C	10	16	9	7
YOL109W	126	72	52	49
YOL112W	16	16	10	9
YOL115W	17	9	7	10
YOL120C	1187	712	716	775
YOL121C	122	88	54	96
YOL122C	23	15	10	7
YOL123W	36	30	17	32
YOL124C	18	6	11	10
YOL125W	22	14	6	13
YOL126C	34	26	21	32
YOL127W	451	257	226	239
YOL129W	21	20	13	8
YOL130W	19	15	14	19
YOL139C	137	93	69	94
YOL143C	32	19	17	25
YOL144W	16	15	11	9
YOL145C	50	23	19	29
YOL151W	25	11	14	12
YOL158C	23	15	14	19
YOR001W	21	13	10	12
YOR002W	29	17	25	21
YOR007C	151	95	85	120
YOR014W	31	22	22	30
YOR020C	65	46	27	52
YOR021C	73	52	26	42
YOR027W	45	21	18	28
YOR033C	17	7	5	14
YOR034C	14	8	4	11
YOR038C	11	11	8	8
YOR039W	45	29	29	23
YOR042W	22	16	7	19
YOR043W	28	12	18	11
YOR046C	32	24	21	20
YOR048C	44	27	28	31
YOR051C	85	53	37	61
YOR052C	19	14	4	8
YOR056C	24	13	15	11
YOR057W	15	12	6	4
YOR061W	36	25	16	21
YOR063W	2050	1237	1127	1364
YOR067C	15	12	10	16
YOR069W	14	4	5	12
YOR073W	10	12	6	11
YOR074C	13	6	7	17
YOR076C	14	8	7	10
YOR078W	25	20	13	13
YOR080W	16	10	6	17
YOR086C	72	39	35	55
YOR087W	25	14	8	7
YOR091W	25	12	8	13
YOR093C	15	9	9	11
YOR094W	11	10	6	6
YOR095C	41	34	26	29
YOR096W	440	267	245	237
YOR098C	12	9	11	23
YOR099W	125	98	85	103
YOR101W	24	13	7	16
YOR108W	50	21	32	50
YOR109W	50	30	20	36
YOR110W	16	8	9	10
YOR112W	22	13	5	2
YOR115C	14	11	10	13
YOR116C	78	41	41	48
YOR117W	84	50	35	47
YOR118W	21	10	6	13
YOR119C	32	15	5	17
YOR122C	44	27	22	26
YOR123C	25	25	5	11
YOR124C	34	22	22	24
YOR127W	16	13	16	20
YOR128C	58	32	41	42
YOR131C	17	14	7	11
YOR133W	43	26	23	29
YOR136W	37	38	27	27
YOR138C	15	11	6	14
YOR141C	26	18	12	17
YOR142W	21	16	16	11
YOR145C	42	28	25	29
YOR147W	12	4	4	10
YOR150W	16	11	2	7
YOR151C	210	124	103	143
YOR153W	84	58	56	66
YOR155C	28	12	9	18
YOR157C	36	24	12	38
YOR160W	16	5	14	10
YOR164C	39	37	25	26
YOR165W	31	22	13	25
YOR167C	521	307	318	314
YOR168W	147	100	85	101
YOR171C	19	11	8	12
YOR172W	11	6	13	9
YOR175C	59	44	24	31
YOR176W	16	15	14	14
YOR182C	39	20	13	14
YOR184W	43	25	19	35
YOR187W	61	39	19	34
YOR188W	20	17	13	15
YOR191W	28	12	8	18
YOR194C	20	10	11	6
YOR195W	29	21	20	20
YOR196C	14	6	13	10
YOR197W	29	12	17	19
YOR198C	67	34	31	38
YOR204W	68	52	53	90
YOR206W	58	28	30	26
YOR207C	69	36	35	48
YOR209C	68	48	39	48
YOR211C	14	10	4	6
YOR212W	23	18	13	21
YOR216C	40	27	8	29
YOR217W	39	16	13	23
YOR219C	16	11	4	11
YOR222W	25	11	4	10
YOR227W	26	12	16	17
YOR230W	88	62	51	55
YOR231W	11	8	5	10
YOR232W	70	36	48	42
YOR234C	96	58	33	61
YOR239W	36	14	12	29
YOR241W	17	9	9	12
YOR243C	78	58	49	70
YOR246C	40	18	28	39
YOR251C	14	6	10	11
YOR254C	77	57	46	60
YOR256C	28	22	24	18
YOR259C	55	34	24	40
YOR260W	36	17	26	22
YOR261C	225	177	135	205
YOR262W	10	10	3	7
YOR270C	195	140	91	136
YOR271C	44	28	25	24
YOR272W	43	27	22	23
YOR276W	48	21	28	25
YOR281C	13	13	10	9
YOR283W	37	22	17	19
YOR285W	14	10	1	4
YOR287C	12	10	3	1
YOR290C	24	17	12	20
YOR291W	15	15	13	13
YOR293W	165	79	92	94
YOR296W	18	20	8	9
YOR298C-A	35	15	23	22
YOR299W	14	9	8	26
YOR301W	19	11	8	16
YOR303W	47	14	21	18
YOR304W	30	28	12	17
YOR310C	210	147	120	211
YOR312C	428	257	243	285
YOR315W	22	12	14	12
YOR316C	13	5	9	10
YOR317W	35	32	13	15
YOR321W	11	4	10	10
YOR322C	14	12	14	14
YOR323C	65	26	34	43
YOR326W	149	82	47	70
YOR329C	16	10	8	10
YOR330C	14	16	15	14
YOR332W	60	50	38	55
YOR335C	134	93	68	100
YOR336W	20	5	19	24
YOR337W	19	16	12	15
YOR340C	22	17	13	22
YOR341W	215	108	114	145
YOR344C	26	25	16	23
YOR346W	41	25	21	26
YOR354C	21	14	4	10
YOR355W	28	20	13	17
YOR356W	28	20	16	21
YOR357C	15	15	4	4
YOR360C	14	7	11	9
YOR361C	247	125	128	195
YOR362C	28	23	17	20
YOR369C	662	409	384	455
YOR370C	29	12	10	11
YOR371C	11	3	6	11
YOR375C	63	39	80	96
YPL004C	62	60	47	57
YPL006W	12	12	6	8
YPL009C	33	22	15	29
YPL010W	52	30	23	19
YPL012W	66	45	23	31
YPL013C	23	14	7	18
YPL015C	13	14	8	16
YPL019C	101	81	151	194
YPL020C	8	13	6	11
YPL022W	34	24	19	26
YPL028W	136	88	70	98
YPL031C	16	10	5	8
YPL032C	17	20	14	15
YPL037C	87	59	42	56
YPL040C	11	14	8	7
YPL043W	59	40	27	42
YPL045W	43	37	23	34
YPL048W	62	49	34	35
YPL050C	31	21	14	13
YPL053C	37	31	19	22
YPL058C	45	20	12	21
YPL061W	159	128	73	117
YPL063W	38	27	18	27
YPL075W	25	15	10	10
YPL078C	47	30	17	23
YPL079W	240	145	115	159
YPL081W	96	63	49	46
YPL082C	37	26	25	34
YPL085W	25	14	9	10
YPL086C	81	30	35	47
YPL090C	460	317	235	362
YPL091W	64	40	40	54
YPL093W	61	49	47	60
YPL094C	22	11	12	12
YPL101W	24	16	5	13
YPL105C	33	17	15	23
YPL106C	208	104	106	154
YPL111W	26	13	15	16
YPL112C	23	10	6	9
YPL115C	18	14	9	12
YPL117C	26	8	11	17
YPL118W	19	12	15	20
YPL125W	31	23	14	30
YPL126W	97	60	49	62
YPL128C	11	4	2	12
YPL129W	18	12	8	12
YPL131W	304	191	156	218
YPL135W	18	16	10	11
YPL137C	14	4	11	14
YPL143W	232	150	165	194
YPL144W	15	10	6	6
YPL145C	46	12	19	26
YPL146C	51	34	16	19
YPL150W	14	12	6	9
YPL154C	55	31	17	39
YPL155C	14	10	9	9
YPL157W	32	30	22	24
YPL160W	213	134	119	120
YPL163C	32	13	17	16
YPL169C	13	10	7	23
YPL170W	21	10	10	9
YPL175W	28	18	15	35
YPL176C	45	25	16	38
YPL177C	16	14	1	5
YPL178W	15	14	7	13
YPL179W	15	14	4	7
YPL183C	57	23	45	48
YPL184C	28	15	13	26
YPL188W	21	10	4	8
YPL190C	25	23	6	14
YPL195W	35	18	21	30
YPL198W	74	53	57	88
YPL199C	24	12	8	11
YPL206C	16	16	14	21
YPL207W	61	31	20	37
YPL210C	54	27	25	29
YPL211W	25	18	11	12
YPL212C	30	17	9	19
YPL217C	52	33	27	50
YPL218W	87	62	46	63
YPL220W	92	55	65	92
YPL221W	28	13	11	28
YPL225W	49	34	24	36
YPL226W	156	124	85	148
YPL227C	15	11	6	13
YPL228W	19	12	9	6
YPL231W	251	139	130	183
YPL232W	35	24	20	28
YPL234C	49	40	29	35
YPL235W	30	6	8	18
YPL237W	106	54	44	66
YPL239W	33	16	8	22
YPL240C	94	52	34	62
YPL241C	15	9	7	10
YPL242C	95	52	38	64
YPL243W	57	31	32	48
YPL244C	17	7	14	10
YPL245W	42	24	26	52
YPL246C	17	12	11	9
YPL249C	14	5	6	12
YPL249C-A	160	98	67	81
YPL254W	10	9	2	13
YPL256C	23	36	23	22
YPL259C	19	8	10	11
YPL260W	37	14	16	20
YPL262W	29	21	27	26
YPL263C	37	16	16	23
YPL266W	22	14	16	13
YPL268W	21	13	8	14
YPL270W	15	12	15	16
YPL273W	41	29	30	25
YPL274W	17	7	6	10
YPR004C	14	11	11	10
YPR009W	11	10	3	5
YPR010C	189	95	77	105
YPR016C	45	23	15	24
YPR019W	22	10	12	20
YPR021C	27	14	9	12
YPR023C	19	12	5	15
YPR024W	53	33	25	26
YPR028W	55	35	34	36
YPR029C	53	33	33	27
YPR031W	29	17	9	20
YPR033C	57	46	38	29
YPR035W	148	135	116	156
YPR036W	212	155	105	220
YPR037C	24	8	11	13
YPR041W	213	163	116	147
YPR043W	127	83	85	93
YPR048W	22	17	8	14
YPR055W	14	13	14	6
YPR058W	27	14	9	15
YPR060C	15	8	8	12
YPR062W	30	16	13	17
YPR069C	44	20	25	34
YPR070W	14	9	4	12
YPR072W	26	12	15	14
YPR073C	15	11	3	4
YPR074C	183	126	89	147
YPR080W	156	108	77	91
YPR086W	25	18	14	17
YPR088C	42	21	14	22
YPR089W	34	7	12	8
YPR095C	11	11	10	13
YPR097W	26	12	8	22
YPR102C	72	57	41	49
YPR103W	50	41	24	40
YPR104C	22	17	5	17
YPR105C	47	41	25	23
YPR106W	11	1	4	11
YPR108W	32	29	15	16
YPR110C	63	40	31	38
YPR112C	56	32	25	30
YPR113W	26	21	21	24
YPR114W	11	10	8	11
YPR115W	10	11	11	11
YPR117W	22	14	7	8
YPR118W	56	47	33	51
YPR119W	14	12	6	16
YPR122W	25	25	15	13
YPR124W	20	16	9	17
YPR125W	16	12	8	12
YPR129W	15	5	6	12
YPR132W	222	142	114	136
YPR133C	46	32	18	33
YPR133W-A	19	12	16	7
YPR137W	29	20	9	19
YPR139C	17	12	10	17
YPR144C	62	29	29	64
YPR145W	280	154	173	223
YPR148C	45	24	14	24
YPR149W	88	42	21	45
YPR156C	13	14	11	6
YPR159W	63	38	19	23
YPR160W	20	22	4	11
YPR161C	13	13	4	8
YPR163C	100	76	71	61
YPR164W	23	18	11	14
YPR165W	53	29	26	27
YPR166C	22	5	10	7
YPR169W	30	15	20	38
YPR171W	11	8	8	12
YPR173C	33	17	11	29
YPR175W	11	10	4	2
YPR176C	13	8	8	10
YPR181C	50	39	35	38
YPR182W	18	7	6	11
YPR183W	32	31	18	28
YPR185W	23	11	16	28
YPR187W	50	23	29	13
YPR189W	24	20	16	30
YPR190C	19	13	15	17
YPR191W	17	11	8	15
YPR198W	11	4	5	10
snR11	15	13	6	29
snR128	101	64	56	50
snR13	19	11	12	11
snR18	56	35	28	26
snR19	35	32	29	47
snR190	30	22	16	25
snR24	22	16	16	23
snR30	12	7	12	8
snR35	25	17	14	11
snR38	10	5	2	13
snR39	13	11	17	11
snR39B	28	20	14	13
snR4	12	12	5	5
snR40	97	74	51	55
snR44	30	16	21	20
snR45	28	14	22	22
snR47	66	33	24	35
snR48	27	17	17	13
snR52	115	125	67	125
snR54	187	107	190	370
snR58	20	16	14	15
snR61	36	33	15	24
snR63	11	12	12	19
snR64	94	45	53	57
snR67	31	24	11	16
snR68	13	14	6	13
snR77	23	16	12	14
snR9	16	11	2	19
tG(GCC)D2	109	126	105	54
tQ(CUG)M	13	9	9	11
