	SRR5085169	SRR5085170	SRR5085167	SRR5085168
YKL130C	14	11	8	8
YKL064W	28	13	11	14
YKR026C	15	8	5	13
YKL196C	22	23	11	24
YKL109W	24	12	9	9
YKR071C	10	5	10	14
YKR036C	16	11	5	8
YKR084C	27	11	10	23
YKL216W	171	72	111	120
YKL020C	24	10	7	7
YKL067W	38	18	30	23
YKR031C	13	10	7	11
YKL151C	18	16	11	12
YKL105C	10	15	6	16
YKL082C	14	22	11	20
YKR070W	20	9	4	16
YKR016W	15	13	9	10
YKR059W	59	31	44	60
YKL142W	49	30	18	33
YKL160W	26	9	12	11
YKR043C	27	18	10	18
YKL019W	13	13	10	11
YKL184W	22	29	10	22
YKL176C	35	20	12	28
YKL033W-A	54	26	25	24
YKL010C	39	20	8	14
YKL175W	15	6	10	16
YKL120W	59	27	30	27
YKL068W	21	8	3	18
YKR028W	33	24	17	20
YKL152C	2080	1257	1023	1161
YKL080W	70	46	50	59
YKL185W	19	9	6	15
YKR081C	24	13	7	18
YKL101W	28	15	10	15
YKR008W	28	13	9	16
YKL056C	592	338	344	448
YKL156W	52	27	17	22
YKL204W	9	12	3	11
YKL190W	14	8	11	10
YKL211C	46	27	38	23
YKL127W	16	13	11	18
YKL205W	40	12	19	30
YKR003W	19	12	11	4
YKL028W	24	15	12	14
YKL193C	27	11	16	9
YKL212W	75	49	55	68
YKL054C	47	23	22	26
snR38	10	5	2	13
YKR096W	10	5	4	11
YKL164C	51	35	19	30
YKL079W	18	14	3	10
YKL012W	37	18	19	23
YKL106W	18	11	6	12
YKR065C	24	13	4	16
YKL045W	10	11	5	20
YKR060W	21	15	5	7
YKL085W	34	29	20	26
YKL165C	12	18	10	15
snR64	94	45	53	57
YKL046C	30	24	21	19
YKL058W	14	2	10	14
YKL060C	2824	1748	1437	1602
YKL215C	6	10	11	8
YKL033W	23	18	7	11
YKR023W	19	4	6	10
YKR067W	17	12	10	12
YKL114C	27	15	15	18
YKL145W	147	87	74	78
YKL057C	35	28	18	23
YKL128C	48	20	14	27
YKL008C	32	19	24	22
YKL029C	62	37	34	31
YKL119C	13	20	9	12
YER056C-A	160	103	80	111
YEL054C	146	73	68	89
YEL047C	50	27	26	29
YER172C	42	15	17	25
YEL032W	24	17	24	16
YEL040W	255	162	198	212
YER105C	65	34	20	44
YEL053C	12	10	9	10
YEL046C	40	22	32	41
YER013W	11	14	12	14
YEL036C	57	34	21	36
YER094C	99	72	55	63
YEL034W	406	232	213	248
YER131W	48	28	23	19
YER145C	32	27	20	16
YER176W	25	23	8	17
YER177W	276	202	161	171
YER043C	157	104	95	111
YER141W	16	14	14	10
YER080W	33	27	17	19
YER052C	17	16	17	15
YER070W	96	59	58	71
YEL007W	18	15	10	4
YEL026W	82	47	50	57
YER040W	13	4	3	10
YER012W	21	5	8	10
YEL060C	10	10	10	8
YER081W	41	26	14	12
YER072W	24	16	26	38
YER178W	91	48	41	56
YER030W	15	12	9	10
YER003C	52	24	32	44
YEL065W	15	7	13	17
YEL055C	68	32	21	30
YER089C	26	17	15	16
YER166W	47	32	23	44
YER082C	30	12	10	16
YER125W	27	31	18	16
YER122C	45	32	23	25
YEL033W	19	6	10	27
YER006W	89	40	31	34
YEL002C	87	54	37	62
YER103W	54	35	22	20
YER007C-A	21	13	14	9
YER120W	34	27	22	25
YER164W	0	0	12	27
snR52	115	125	67	125
YEL042W	44	30	13	20
YER008C	18	13	18	21
YER114C	19	12	7	12
YER143W	18	6	2	13
YER048C	63	33	20	27
YER155C	48	39	36	38
snR4	12	12	5	5
YER031C	36	21	19	25
YEL006W	27	15	16	20
YER100W	12	11	8	6
YER129W	28	16	14	19
YER048W-A	12	15	5	7
YER171W	19	10	12	12
YER078C	11	6	5	10
YEL017C-A	26	10	12	17
YER133W	91	66	49	39
YER186C	19	12	16	5
YER022W	14	12	10	7
YER157W	27	18	31	24
YEL038W	19	8	13	8
YER063W	31	15	9	12
YER127W	28	26	18	25
YEL071W	60	34	39	44
YEL043W	21	12	10	17
YER017C	7	10	5	14
YER009W	105	65	70	77
SCR1	108	69	65	38
YER019C-A	13	15	5	8
YEL050C	23	19	13	12
YER062C	42	27	14	17
YER016W	14	10	4	5
YEL025C	25	16	11	27
YER023W	47	27	18	25
YER136W	36	16	24	25
YER151C	30	15	13	14
YER064C	16	17	20	6
YER130C	32	22	21	22
YEL015W	25	18	14	12
YER113C	14	18	9	13
YER005W	39	30	18	35
YER102W	212	156	128	144
YEL031W	99	62	81	102
YER073W	47	27	22	23
YEL027W	179	95	103	92
YER049W	74	42	34	43
YEL037C	37	24	20	23
YER088C	12	10	8	3
YER021W	106	56	54	63
YER004W	15	15	7	15
YER117W	246	167	155	177
YER168C	23	9	5	11
YER124C	93	42	20	33
YER086W	53	42	41	49
YER148W	23	16	14	11
YEL022W	40	21	21	25
YEL001C	33	22	14	22
YER056C	59	38	26	43
YER087C-B	21	10	6	18
YEL013W	21	16	13	25
YER074W	177	95	93	110
YEL051W	49	24	22	36
YEL061C	22	17	8	22
YER036C	143	77	87	108
YEL009C	171	98	109	144
YER156C	52	29	21	39
YER090W	61	23	27	40
snR67	31	24	11	16
YER026C	17	12	12	11
YER025W	66	32	31	45
YER126C	12	11	7	16
YER165W	192	121	105	162
YEL058W	42	31	29	38
YEL020W-A	17	16	10	13
YER077C	16	14	8	4
YER110C	119	65	58	57
YER001W	48	28	22	43
YER087W	12	7	5	10
YER055C	147	95	103	109
YER091C	86	54	38	51
YHR094C	33	10	6	4
YHR045W	39	21	17	21
YHR206W	21	9	5	10
YHR005C-A	28	25	11	14
YHR007C	216	133	146	161
YHR132C	31	16	12	19
YHR025W	43	28	28	36
YHR073W	25	17	11	16
YHR064C	161	100	88	114
YHR143W	34	17	10	23
YHR003C	28	19	13	20
YHR154W	21	11	16	14
YHR031C	12	8	9	13
YHR186C	18	3	9	11
YHR039C-A	92	42	52	55
YHR165C	39	30	18	28
YHL025W	21	17	6	19
YHR079C	14	10	8	19
YHR065C	27	20	20	16
YHR056C	12	7	7	11
YHR135C	29	15	15	19
YHR086W	11	11	11	5
YHR146W	23	14	6	6
YHR195W	12	17	8	7
YHR119W	13	4	11	13
YHL039W	35	27	16	22
YHR026W	109	74	57	68
YHR113W	19	21	12	9
YHR208W	86	60	64	95
YHR001W	16	17	10	11
YHR131C	7	11	21	17
YHR141C	195	167	126	212
YHR170W	198	110	92	133
YHR161C	10	10	3	6
YHR074W	29	16	14	21
YHR164C	20	10	4	11
YHR163W	42	32	27	31
YHR021C	86	37	41	39
YHL034C	48	26	16	33
YHR190W	98	68	54	67
YHR117W	34	27	19	26
YHL015W	457	291	252	289
YHR108W	27	7	14	14
YHR092C	41	39	14	11
YHL003C	35	30	23	24
YHR070W	15	15	5	13
YHR133C	22	7	14	9
YHR098C	47	30	19	44
YHR120W	17	10	6	5
YHL030W	59	52	23	42
YHR203C	274	161	118	189
YHR168W	23	7	5	15
YHR050W	22	12	16	16
YHR027C	97	90	52	71
YHR188C	30	21	18	17
YHR099W	53	28	30	32
YHR196W	32	33	32	16
YHR174W	4173	2638	2415	3266
YHR179W	78	57	72	105
YHR121W	13	14	12	6
YHR063C	30	18	11	16
YHL017W	38	18	16	13
YHL035C	13	6	11	11
YHR115C	27	14	18	16
YHL007C	21	17	5	9
YHR018C	45	21	23	25
YHR068W	82	43	47	62
YHR037W	26	15	7	15
YHR077C	48	24	18	25
YHR052W	38	21	18	19
YHR123W	15	13	11	11
YHR009C	16	19	8	19
YHR072W-A	34	18	14	13
YHR019C	183	116	112	175
YHR104W	14	12	9	10
YHR083W	14	19	15	12
YHR032W	26	27	18	26
YHR008C	24	17	7	12
YHL038C	14	12	7	8
YHL033C	173	119	96	134
YHR066W	34	29	14	21
YHR201C	29	27	9	30
YHR103W	35	23	17	23
YHR082C	28	12	11	16
YHR020W	102	49	52	51
YHR128W	35	19	20	21
YHR047C	71	40	16	19
YHR197W	29	11	15	13
YHR028C	74	45	33	39
YHR137W	19	16	19	17
YHR158C	17	9	16	10
YHR042W	45	25	21	37
YHR069C	12	7	12	6
YHR200W	25	22	23	18
YHR114W	26	15	10	11
YHR039C	23	3	25	14
YHL011C	123	60	68	79
YHR199C	22	18	6	16
YHR193C	50	22	32	30
YHR030C	15	10	10	10
YHR162W	97	61	63	44
YHR089C	22	11	12	14
YHR010W	190	121	87	121
YHR005C	80	53	38	81
YHR183W	113	95	81	138
YHR049W	32	6	12	15
YHR072W	26	15	23	17
YHR107C	22	13	12	12
YHR143W-A	41	19	19	27
YHR023W	81	43	34	39
YHR136C	13	10	22	26
YHL001W	35	22	12	24
YHR181W	18	2	9	10
YIL050W	11	11	5	9
YIL126W	29	32	24	29
YIL026C	18	11	15	21
YIL068C	15	11	6	10
YIL009W	26	12	15	23
YIR004W	17	13	5	11
YIR022W	25	12	12	16
YIL133C	144	101	82	77
YIL123W	30	20	20	39
YIR002C	13	7	11	15
YIL067C	14	10	19	11
YIL110W	25	18	13	12
YIL128W	23	15	7	10
YIL064W	20	11	5	16
YIL147C	26	22	13	19
YIL149C	38	30	19	27
YIR033W	44	33	11	22
YIL105C	18	6	10	14
YIL070C	22	14	7	7
YIL051C	50	26	23	26
YIL118W	18	17	14	19
YIR034C	17	7	6	12
YIL109C	63	28	39	56
YIL039W	33	18	11	11
YIL074C	47	27	26	34
YIL022W	23	17	10	10
YIL030C	41	16	32	35
YIL014W	20	13	13	11
YIL137C	19	21	22	20
YIR037W	15	12	11	16
YIL143C	13	10	6	9
YIR008C	21	11	4	10
YIL129C	38	20	20	22
YIL124W	25	29	15	20
YIL115C	45	21	23	27
YIL035C	44	22	22	34
YIL094C	63	37	31	43
YIL103W	5	11	5	12
YIL002C	30	13	11	18
YIR012W	25	11	10	20
YIL112W	26	13	9	12
YIL075C	113	63	55	80
YIL018W	997	645	564	588
YIL085C	39	30	33	24
snR68	13	14	6	13
YIL076W	40	25	22	25
YIL053W	255	154	140	192
YIL062C	51	39	31	27
YIL019W	14	5	2	10
YIL093C	13	8	6	18
YIL020C	23	12	15	9
YIL023C	13	12	8	9
YIL142W	89	65	50	73
YIL034C	14	15	7	6
YIL091C	38	25	17	29
YIL078W	417	264	217	234
YIL052C	292	187	162	156
YIL125W	17	16	13	17
YIL138C	17	10	7	12
YIL130W	30	14	12	12
YIL043C	92	44	53	51
YIL021W	32	19	18	18
YIL038C	29	18	20	29
YIL157C	10	12	4	8
YIL121W	27	10	8	13
YIL088C	33	16	23	30
YIL148W	456	298	275	266
YIL145C	57	26	45	64
YIR006C	36	23	10	22
YIR035C	10	7	11	3
YIL036W	19	23	11	12
YIL033C	36	28	17	10
YIL041W	39	35	22	48
YIL090W	26	7	15	10
YIL069C	66	37	27	33
YIL047C	51	30	28	45
YIL015W	40	28	18	31
YIL116W	12	10	8	7
YCR031C	124	67	44	82
YCL011C	86	58	63	54
YCL040W	70	70	36	48
YCR052W	20	15	8	6
YCL024W	15	5	6	12
YCR036W	24	12	13	12
YCR092C	8	14	10	8
YCL034W	28	23	18	32
YCR094W	10	10	3	7
YCL028W	11	7	6	16
YCR011C	53	36	24	37
YCL057W	50	28	33	37
YCR002C	26	21	12	18
YCR035C	39	29	20	16
YCR032W	13	8	11	15
YCL059C	18	20	14	13
YCR017C	42	20	22	22
YCR043C	23	9	10	10
YCL009C	85	50	39	69
YCL045C	63	40	26	46
YCR088W	32	24	15	31
YCR037C	16	12	6	13
YCR077C	22	12	12	16
YCR009C	27	26	12	20
YCR053W	135	83	81	96
YCR072C	22	5	11	26
YCR057C	45	20	16	38
YCL030C	161	103	46	94
YCR008W	20	13	10	6
YCR042C	41	30	13	26
YCL055W	12	10	5	6
YCL031C	26	14	16	10
YCR033W	14	7	10	11
YCR024C-B	92	62	57	83
YCR034W	28	18	12	15
YCL052C	14	15	8	18
YCR004C	33	16	17	29
YCR059C	11	6	7	10
YCR028C-A	21	19	10	11
YCL064C	50	32	29	29
YCR028C	13	10	5	8
YCR084C	40	25	16	22
YCL017C	15	4	5	15
YCL014W	21	11	7	14
YCL050C	52	41	25	32
YCR067C	22	9	9	13
YCR047C	21	13	7	14
YCR026C	12	12	9	13
YCR093W	51	28	14	21
YCR012W	1830	1258	911	1140
YCL043C	331	181	177	249
YCL025C	16	3	11	11
YCR023C	10	7	11	8
YCR030C	20	13	9	21
YCR016W	20	9	7	14
YCL054W	53	31	25	31
YCR024C-A	31	24	10	22
YFL026W	174	116	79	85
YFR052W	26	15	13	13
YFL018C	26	27	19	32
YFR006W	45	32	10	13
YFL024C	30	19	17	20
YFL013C	17	9	3	11
YFL046W	27	4	8	14
YFR055W	23	12	19	7
YFR013W	17	17	14	11
YFR044C	55	33	24	18
YFR009W	64	34	27	39
YFL045C	98	57	65	64
YFL047W	29	22	14	27
YFR032C-A	58	29	24	19
YFR024C-A	37	29	26	37
YFR002W	48	37	18	25
YFL033C	19	15	5	10
YFL008W	44	24	20	25
YFR005C	11	10	2	2
YFL022C	47	29	34	46
YFL028C	27	14	22	23
YFL002C	22	16	9	19
YFR001W	16	11	6	11
YFR031C-A	294	149	130	169
YFL010C	21	11	7	7
YFR030W	22	14	4	8
YFL039C	364	218	228	291
YFR040W	19	15	7	10
YFL036W	18	11	6	15
YFR053C	24	28	9	11
YFL048C	36	20	25	24
YFL037W	124	71	62	90
YFL034C-A	24	16	20	35
YFR010W	36	12	25	13
YFR038W	23	13	9	14
YFL031W	84	43	42	60
YFL005W	64	30	35	31
YFR019W	22	12	10	17
YFR050C	20	17	17	13
YFL038C	159	115	68	92
YFR015C	11	14	1	3
YFR051C	26	11	8	11
YFR016C	26	18	13	18
YFR037C	37	21	24	30
YFR033C	21	7	9	20
YFR031C	40	20	15	14
YFL007W	119	71	48	69
YFL004W	67	30	41	66
YFL009W	20	21	8	19
YFR004W	30	22	26	30
YAL016W	117	70	54	95
YAL003W	284	178	186	233
YAL053W	20	5	10	22
YAL019W	21	15	3	9
YAL025C	18	9	13	8
YAL023C	63	40	38	52
YAL026C	43	26	18	25
YAL042W	46	31	22	43
YAL038W	2854	1688	1609	2118
YAR003W	19	10	8	15
YAR007C	21	13	9	16
YAL060W	20	15	10	11
YAL017W	11	18	8	10
snR18	56	35	28	26
YAL001C	27	19	17	12
YAL056W	34	14	12	28
YAL059W	16	15	9	12
YAL005C	155	109	69	82
YAL035W	145	82	82	138
YAR014C	24	18	9	21
YAL036C	38	21	9	25
YAL002W	13	13	3	10
YAL021C	16	12	4	17
YAR002C-A	47	53	26	45
YAL029C	53	45	27	20
YAR015W	135	85	68	104
YAL041W	24	9	9	14
YAR042W	23	13	5	9
YAL043C	12	11	4	6
YAL044C	45	25	20	17
YAL058W	16	8	6	13
YAL012W	134	92	69	135
YAL007C	20	20	12	13
