gene	Control_#1_B_cell	Control_#1_T_cell	Control_#1_monocyte	Control_#1_neutrophil	Control_#1_platelet	Control_#2_B_cell	Control_#2_T_cell	Control_#2_monocyte	Control_#2_neutrophil	Control_#3_B_cell	Control_#3_T_cell	Control_#3_erythroid_lineage_cell	Control_#3_monocyte	Control_#3_neutrophil	Control_#3_platelet	SARS_CoV2_pos_Mild_B_cell	SARS_CoV2_pos_Mild_T_cell	SARS_CoV2_pos_Mild_erythroid_lineage_cell	SARS_CoV2_pos_Mild_monocyte	SARS_CoV2_pos_Mild_neutrophil	SARS_CoV2_pos_Severe_#1_B_cell	SARS_CoV2_pos_Severe_#1_T_cell	SARS_CoV2_pos_Severe_#1_erythroid_lineage_cell	SARS_CoV2_pos_Severe_#1_monocyte	SARS_CoV2_pos_Severe_#1_neutrophil	SARS_CoV2_pos_Severe_#1_platelet	SARS_CoV2_pos_Severe_#2_B_cell	SARS_CoV2_pos_Severe_#2_T_cell	SARS_CoV2_pos_Severe_#2_erythroid_lineage_cell	SARS_CoV2_pos_Severe_#2_monocyte	SARS_CoV2_pos_Severe_#2_neutrophil	SARS_CoV2_pos_Severe_#2_platelet	SARS_CoV2_pos_Severe_#3_B_cell	SARS_CoV2_pos_Severe_#3_T_cell
ELAPOR1	21	603	241	11	0	40	614	161	7	33	397	0	173	59	1	142	1587	1	330	16	196	983	2	388	78	1	148	609	8	179	125	1	45	187
ELAVL1	13	256	83	0	0	22	255	77	0	18	198	0	77	8	2	63	648	0	176	5	91	415	2	181	15	2	83	339	5	83	27	8	16	62
ELF1	10	387	142	0	7	20	371	134	3	28	264	0	106	13	7	77	916	0	178	8	184	756	3	135	20	49	256	852	10	182	108	193	16	59
ELF2	9	199	79	4	0	18	202	90	6	12	150	0	75	19	0	47	388	0	118	3	96	280	3	121	20	3	86	304	6	124	91	10	9	37
ELMO1	8	136	25	0	1	13	127	39	0	6	86	0	26	6	0	41	352	1	75	3	34	220	0	42	7	2	53	182	2	33	13	6	9	32
ELOB	15	537	361	2	5	25	551	270	12	25	390	36	313	27	4	103	1366	39	508	4	122	1015	220	497	20	21	183	1310	441	616	203	86	32	163
EMC10	6	242	106	0	1	16	224	68	3	16	165	0	86	5	1	76	878	0	236	5	75	408	1	287	10	3	63	292	7	88	31	8	27	116
EMC3	5	106	54	0	12	7	110	48	2	14	96	17	48	5	18	28	274	37	87	5	35	194	133	108	12	48	30	223	394	115	42	197	7	31
EMD	1	98	47	2	3	7	116	31	0	6	90	0	34	7	1	15	197	0	64	2	24	187	0	54	6	13	51	196	3	80	38	46	2	17
EMP3	20	588	715	4	14	88	746	567	7	49	511	1	688	10	8	173	1954	2	1121	29	295	1152	2	1205	27	39	1142	1517	20	1931	161	237	59	268
ENO1	3	368	354	1	6	14	380	239	0	15	301	0	291	2	10	52	1082	0	452	0	73	867	1	552	3	30	110	1163	6	594	41	115	26	132
ENSA	8	250	83	0	2	18	221	71	4	16	151	0	74	3	1	66	502	1	101	3	78	451	7	112	12	13	138	495	21	128	30	28	17	44
EP300	11	169	177	13	0	15	186	139	5	8	135	1	131	24	0	34	355	2	175	11	65	261	15	246	44	3	75	229	83	208	209	8	11	25
EPB41	10	461	59	3	7	24	544	53	2	28	386	60	46	18	3	106	1496	73	108	10	106	771	356	145	31	14	135	653	984	62	86	67	14	148
EPN1	4	153	84	2	0	8	155	85	2	13	92	0	70	9	0	30	308	4	117	5	59	261	8	138	13	4	46	154	15	123	30	8	11	33
EPS15	6	172	80	0	0	15	176	66	0	8	166	0	74	9	3	61	349	0	92	6	100	318	0	104	6	2	95	260	9	98	35	19	14	34
ERBIN	10	189	110	4	3	10	196	99	1	11	134	1	77	30	0	41	540	4	167	17	63	234	5	142	11	15	79	263	19	85	136	51	8	36
ERICH1	5	130	90	0	1	15	126	54	1	8	104	0	86	2	1	65	408	0	116	2	52	208	0	136	8	9	80	257	2	98	32	39	9	35
ERN1	10	318	113	7	0	12	360	97	2	10	231	0	95	27	0	22	637	1	118	7	44	561	1	166	37	3	34	457	2	126	102	5	7	61
ETV6	4	83	79	2	1	6	47	63	1	7	35	0	73	7	1	17	154	0	135	2	27	90	0	115	5	4	23	102	1	80	31	17	4	18
EVI2B	10	267	472	10	0	47	227	363	14	54	187	1	405	76	1	210	959	0	638	58	152	464	0	777	100	0	240	512	12	653	434	6	23	97
EWSR1	9	214	148	0	0	15	217	111	1	15	133	0	106	9	0	48	419	0	164	1	79	375	2	184	9	2	96	371	10	159	22	5	12	35
EXOC7	4	110	31	0	0	7	76	27	1	7	64	0	26	4	0	23	260	1	50	4	21	147	5	59	4	2	21	94	8	47	14	7	6	12
FAAP20	7	132	61	0	0	9	130	50	0	8	81	0	41	5	1	45	368	1	119	1	49	250	1	104	5	3	57	284	3	67	17	15	13	41
FAM107B	19	497	129	1	1	47	583	89	2	53	442	0	83	27	0	144	1476	0	95	8	138	955	1	194	24	3	304	1111	20	243	186	19	22	141
FAM120AOS	20	403	159	2	0	31	377	93	1	18	242	0	108	17	1	91	933	1	213	14	154	664	6	230	33	0	156	548	16	136	78	12	29	90
FAM133B	22	661	324	8	0	29	597	248	4	51	452	1	247	33	0	161	1540	1	423	4	225	1146	7	477	52	1	271	1053	27	375	155	5	40	117
FAM177A1	7	432	51	5	1	11	397	56	2	34	319	1	54	15	2	79	619	0	116	4	101	626	2	90	17	15	99	586	10	73	113	40	12	63
FAM204A	5	161	75	0	2	10	151	46	3	19	104	1	58	3	1	48	409	2	105	1	63	300	10	120	1	6	89	346	38	152	14	25	9	49
FAM241A	10	462	144	6	0	30	449	127	9	23	280	0	111	33	0	123	959	1	195	12	149	543	1	187	30	2	127	429	12	163	104	2	18	49
FAM32A	4	74	67	0	2	5	87	37	1	5	60	0	39	6	4	18	230	0	77	3	29	154	0	118	6	3	36	186	5	169	30	14	4	26
FAM50A	2	108	47	0	1	4	96	42	1	7	72	0	43	0	1	18	212	0	73	2	19	151	3	70	3	4	23	186	15	106	8	20	6	30
FAM89B	2	111	36	1	2	2	96	38	1	4	59	1	44	4	5	17	268	0	87	0	20	186	5	82	3	10	24	189	33	150	22	34	2	43
FAU	208	5428	1553	10	7	372	5054	1345	19	473	4222	11	1541	65	3	1796	15326	14	2745	37	2074	8661	70	2041	100	23	3296	11547	296	2485	684	112	350	1570
FAUP4	4	193	75	1	1	6	175	45	2	21	126	0	46	18	0	47	476	1	86	6	53	255	4	115	20	0	32	187	0	59	45	7	3	42
FAXC	10	400	169	10	0	30	366	121	3	20	266	0	114	32	1	91	876	0	240	20	100	607	0	284	31	0	74	392	6	120	66	1	32	96
FBRS	6	88	37	1	3	4	69	42	0	5	58	0	25	5	1	31	174	0	51	2	43	110	4	64	16	4	46	141	9	50	35	12	4	13
FBXL20	4	94	37	1	1	8	114	45	1	7	100	0	30	9	0	23	277	0	51	5	15	147	8	58	13	1	27	104	24	37	27	0	8	21
FBXL3	5	92	43	1	0	9	97	22	2	6	66	0	49	2	0	21	182	0	43	2	41	147	0	52	9	3	39	146	19	80	41	8	3	11
FBXO11	2	119	67	2	0	7	105	50	0	5	92	0	53	6	0	31	225	0	112	7	33	144	2	108	4	4	53	177	9	97	48	11	6	23
FBXO48	37	875	251	15	1	53	783	257	17	44	570	1	198	43	5	252	2706	0	506	33	251	1436	5	482	59	0	286	1034	21	290	203	10	87	297
FBXO7	2	160	70	0	1	3	124	45	0	9	74	55	45	2	0	24	280	68	79	1	53	271	351	98	3	4	81	244	704	72	23	19	7	24
FBXO9	2	81	47	0	0	7	116	23	0	3	62	23	41	0	0	38	304	20	79	4	18	120	172	91	6	4	27	120	406	48	21	12	2	21
FBXW7	4	96	80	4	0	10	126	92	6	11	108	0	74	12	1	25	264	0	129	6	43	199	3	97	30	0	55	208	5	156	84	0	6	32
FEM1A	50	1227	431	11	0	74	1030	286	7	78	814	1	256	48	1	296	2636	0	553	25	365	1659	15	633	75	1	271	1142	35	291	220	3	52	245
FERMT3	1	89	125	2	58	4	137	90	1	1	69	0	68	8	60	25	325	0	205	2	24	226	0	245	24	205	20	204	14	190	68	609	6	30
FGFR1OP2	4	119	71	0	3	7	111	44	0	6	90	15	37	0	2	36	503	28	87	1	40	295	102	96	3	11	46	265	528	100	34	72	5	41
FIS1	4	224	87	0	0	9	207	81	1	16	174	14	67	5	1	56	553	20	116	2	52	313	153	101	5	8	78	461	459	120	22	31	15	49
FKBP1A	6	196	358	2	18	14	168	277	8	11	164	1	282	21	24	60	553	0	457	13	69	426	0	591	22	91	67	446	19	569	182	253	20	84
FKBP8	4	182	70	2	9	10	182	57	4	15	143	98	67	14	27	29	497	121	131	18	42	339	579	147	24	49	52	378	1527	120	96	118	10	47
FLNA	5	379	308	1	37	9	414	245	2	13	347	0	293	7	46	37	804	1	467	1	38	692	2	548	15	134	68	600	10	385	46	241	8	99
FLOT2	1	66	37	3	0	3	80	27	1	8	55	0	32	13	1	22	177	0	51	3	33	119	6	66	6	3	23	113	16	40	55	1	7	19
FMN1	31	604	178	5	0	41	554	171	7	37	421	1	184	44	1	174	1674	0	308	20	196	931	5	317	51	0	145	635	12	173	93	3	32	137
FMNL1	9	302	346	18	0	18	281	227	8	13	192	0	254	49	2	55	646	2	371	37	76	492	0	410	75	0	117	348	9	369	301	2	15	40
FNBP1	11	419	142	1	0	37	520	113	2	25	316	0	140	9	0	112	1154	0	220	6	114	701	1	201	13	0	251	639	9	198	89	6	31	98
FNIP1	3	86	86	2	0	13	113	82	2	14	65	0	67	17	0	34	219	0	134	6	68	174	1	161	39	0	108	234	11	153	145	14	14	23
FOS	26	2265	915	19	1	39	2657	520	47	21	1495	0	450	116	1	60	3135	4	1982	129	142	2778	13	1818	206	1	526	3963	60	779	484	17	12	164
FOSB	17	602	278	11	1	35	1039	325	20	25	403	0	151	52	0	49	830	2	422	22	46	371	2	418	35	0	136	481	5	109	113	2	8	23
FOXN3	5	249	123	1	0	18	272	120	0	15	142	1	77	14	2	29	480	0	156	1	70	310	9	129	11	0	89	283	15	94	31	7	8	36
FOXO3	2	54	136	6	4	4	57	87	13	1	35	17	65	31	0	18	163	22	93	18	17	72	125	161	49	4	19	89	448	138	175	20	0	9
FOXP1	45	926	123	1	0	96	828	111	1	90	546	2	117	12	1	282	2685	0	249	3	377	1196	18	225	7	0	383	1105	100	158	33	12	35	175
FTH1	90	3622	9843	155	330	186	3591	8862	375	194	2478	69	9374	2022	366	668	6412	204	10953	686	1196	6085	941	13876	1938	1338	1828	6925	2954	18485	14216	4459	163	625
FTL	135	2526	7552	57	111	228	3067	7164	204	231	2221	117	8353	736	157	986	7550	226	13307	451	1085	3881	1187	15293	1106	444	1730	6322	2953	17588	5846	1973	184	862
FUS	36	1046	226	1	1	53	1244	175	3	67	646	1	190	21	0	176	2234	0	279	14	283	1477	3	400	21	0	355	1605	22	355	162	9	47	164
FXR1	7	195	67	1	0	15	207	60	1	15	135	0	62	3	0	42	508	0	134	1	57	346	7	103	3	2	106	383	27	115	29	6	11	32
FXR2	10	272	26	2	0	10	239	19	1	8	162	0	17	3	1	24	356	0	37	2	28	279	2	46	9	0	41	164	5	30	14	2	3	28
FXYD5	11	491	187	1	4	18	410	162	0	29	362	1	194	1	0	87	1431	2	335	1	67	786	1	276	3	37	113	1071	9	310	25	93	12	179
FYTTD1	3	79	44	0	1	11	92	35	1	5	67	0	32	3	1	27	289	0	78	1	44	164	1	69	6	3	57	148	3	65	16	19	3	28
G3BP2	19	499	93	3	4	24	455	68	1	23	281	1	65	12	6	76	904	1	176	5	108	810	5	159	15	17	221	892	19	138	61	67	24	101
GABARAP	7	146	649	6	0	11	148	497	13	10	89	17	473	53	0	62	522	17	908	27	83	299	101	866	69	16	136	388	196	702	319	31	19	66
GABARAPL2	10	204	91	0	10	24	181	69	1	14	178	98	71	20	10	62	538	83	159	9	75	336	486	127	24	46	105	352	1700	140	178	147	8	54
GABRD	8	202	77	2	1	21	155	43	1	11	135	0	49	5	0	39	381	0	87	1	59	304	0	70	8	1	50	164	1	41	16	1	6	28
GALNT1	1	107	57	0	0	12	95	54	2	7	70	0	51	3	1	23	257	0	136	1	39	159	2	93	3	4	49	172	7	107	32	16	8	19
GAPDH	16	961	1237	3	39	42	1066	865	9	31	836	0	926	21	42	191	3361	2	2156	9	207	3420	10	2014	35	158	251	3223	27	1911	375	522	53	442
GAPVD1	2	71	44	0	0	5	63	33	1	2	34	1	27	4	1	12	180	1	65	0	19	118	34	64	7	2	33	129	129	47	21	13	3	16
GASK1A	172	4374	710	14	0	348	4135	836	4	304	3160	3	673	72	3	1086	10618	1	1263	39	1385	5998	35	1150	117	6	1800	5870	276	1175	423	11	135	628
GATAD2A	4	127	83	1	5	7	144	43	1	7	107	0	44	10	4	35	353	0	93	5	27	224	6	115	16	7	42	222	8	84	64	18	4	25
GATD1	13	438	175	4	0	17	355	134	6	30	272	1	108	44	1	96	769	0	167	14	95	543	3	213	40	0	79	328	6	95	100	0	26	63
GBF1	7	260	105	4	0	16	268	82	4	32	200	0	70	7	0	79	641	1	160	4	86	391	2	187	25	0	77	281	3	98	64	7	11	67
GCC2	27	907	131	2	1	36	763	85	4	30	444	1	63	10	0	138	1714	1	176	8	213	1577	4	176	28	3	318	1439	45	181	72	9	21	173
GGNBP2	10	192	125	2	0	17	230	72	2	12	155	0	92	6	0	67	477	0	163	1	106	348	0	144	5	2	154	385	3	185	33	6	9	26
GHITM	5	309	173	0	5	20	296	116	1	17	226	16	121	7	1	55	820	17	207	3	68	524	77	199	11	11	80	557	213	200	33	20	20	93
GIT2	6	67	48	1	3	4	75	22	4	7	61	0	38	6	1	33	249	0	96	4	24	177	0	75	13	0	26	127	2	44	49	0	3	26
GLRX5	1	85	30	0	4	6	100	41	0	4	79	124	34	3	1	17	296	241	55	2	22	201	604	55	0	7	18	265	2863	62	12	31	1	31
GLTP	5	143	142	3	0	9	131	111	4	6	100	0	95	5	0	24	357	0	147	4	61	250	0	168	20	2	49	184	2	197	92	1	5	46
GMFG	8	695	382	8	6	25	746	291	12	31	558	2	392	97	6	116	2156	0	583	54	97	1499	2	569	68	21	164	1949	19	861	718	98	16	243
GNA13	5	114	95	1	4	10	90	69	1	3	47	1	60	7	1	17	157	0	97	13	52	169	1	158	21	11	50	160	8	102	79	34	9	6
GNAI2	8	432	603	7	2	28	500	451	13	27	343	1	432	75	7	124	1385	0	888	20	100	818	2	892	64	33	161	835	5	849	365	77	34	132
GNAI3	4	130	120	3	0	14	138	99	6	12	125	0	109	35	1	50	365	0	167	9	43	258	4	169	18	4	86	261	17	220	191	18	9	40
GNAS	72	1455	523	2	76	95	1425	419	3	106	968	13	387	28	108	374	3308	23	671	14	646	2723	198	769	49	295	1056	3048	526	781	286	884	91	305
GNB1	8	221	175	3	1	6	266	124	4	11	152	0	146	9	2	42	459	0	259	5	51	322	0	235	21	12	97	402	13	265	128	39	8	28
GNB2	4	125	232	8	3	11	133	159	4	11	108	0	185	55	1	34	328	7	292	11	37	223	11	376	45	4	49	278	37	352	159	32	4	32
GNB5	21	522	129	5	3	37	444	131	3	28	359	0	77	17	3	133	1008	0	148	3	149	667	0	177	45	13	165	485	9	109	56	42	20	71
GNG5	9	244	326	0	4	15	235	260	2	8	176	3	249	21	8	63	753	2	505	14	60	479	12	509	15	9	123	689	129	821	391	60	23	109
GNL3L	21	460	144	6	2	45	423	118	4	29	361	1	105	14	0	101	1002	0	194	13	127	665	7	219	34	2	129	511	12	120	83	5	15	75
GNPTG	9	272	143	4	1	13	298	86	4	9	212	0	79	12	0	58	611	1	132	7	67	378	2	128	18	1	45	271	5	114	51	4	5	67
GOLGA2	4	103	59	4	0	10	100	29	1	6	75	0	31	8	1	39	358	0	82	6	46	200	0	69	27	10	28	172	5	61	62	40	7	42
GOLGA4	10	439	116	1	0	14	442	82	1	13	352	0	65	4	0	83	715	1	148	4	165	575	16	122	14	2	132	611	43	146	39	4	10	47
GOLGB1	25	688	214	13	0	44	782	171	7	34	648	0	160	38	0	145	1217	0	272	14	226	1012	8	266	53	4	308	954	25	245	186	16	16	104
GOLM2	7	102	42	0	0	6	94	28	0	7	74	0	31	7	2	24	217	0	59	4	43	158	0	80	9	2	42	178	2	71	93	9	4	19
GOSR1	12	341	108	0	1	19	308	88	0	19	239	0	78	9	5	69	710	0	137	5	128	467	2	132	14	10	126	434	18	84	54	7	17	47
GPATCH2L	2	112	61	3	0	21	88	50	1	12	100	1	55	15	0	32	304	1	84	1	46	195	1	86	14	3	30	134	6	84	57	9	2	23
GPBP1	13	436	103	2	2	30	359	81	1	29	321	1	74	12	0	86	879	2	137	3	173	616	3	129	24	3	265	749	32	143	74	23	18	83
GPBP1L1	5	78	49	0	2	6	110	36	0	7	74	0	48	7	1	30	250	3	67	2	42	170	16	76	5	2	50	145	37	83	16	4	5	11
GPCPD1	4	115	475	4	0	10	86	319	2	12	73	1	278	29	0	26	184	0	292	5	40	197	12	485	37	1	41	191	107	356	98	16	4	12
GPSM2	21	409	108	4	0	28	378	110	1	21	244	0	87	25	1	99	1072	0	178	9	123	595	1	172	29	0	82	452	18	87	52	1	23	109
GPX1	4	104	736	0	236	12	117	583	0	11	106	81	505	4	279	67	356	59	883	4	55	212	428	1285	11	999	110	350	2230	1143	82	3214	18	41
GPX4	12	353	243	1	48	12	311	213	1	18	217	16	236	5	36	85	876	7	330	2	82	469	7	371	6	154	128	579	128	413	23	605	29	89
GRB2	13	168	317	5	0	26	201	189	8	49	137	1	180	33	5	111	580	1	392	13	174	320	3	498	42	12	208	351	9	384	186	33	30	48
GRIPAP1	7	266	154	2	3	18	246	76	0	19	164	0	99	14	1	62	547	0	169	6	87	407	2	194	17	0	81	291	8	92	50	5	8	35
GRK2	6	181	158	3	1	4	137	99	3	12	106	2	92	9	0	54	457	0	213	7	50	310	0	199	13	1	45	214	4	134	61	10	8	40
GRK3	14	199	124	2	1	35	152	118	2	15	114	0	102	8	1	132	806	0	268	5	115	412	1	290	7	5	110	255	4	116	31	9	33	109
GRK6	6	133	89	0	0	9	123	60	2	10	84	2	40	6	1	41	361	3	86	2	29	207	8	116	5	7	46	230	15	118	26	13	9	47
GSK3B	0	102	44	1	1	5	114	36	0	6	68	0	34	8	0	29	293	1	79	7	30	143	0	81	12	3	41	130	7	65	25	7	5	14
GSPT1	3	150	37	0	0	4	191	26	2	6	108	61	25	0	0	21	424	66	52	2	35	453	315	44	1	4	56	421	1397	41	1	5	6	41
GSTK1	3	429	143	1	2	28	386	92	0	15	346	1	108	1	3	64	1139	4	222	1	38	808	7	181	3	3	95	837	8	200	28	20	8	158
GSTO1	3	90	233	1	54	3	101	211	1	4	72	0	185	3	21	19	340	0	378	3	24	250	15	321	2	146	21	196	39	408	31	700	7	38
GTDC1	13	316	108	6	1	19	327	80	3	24	213	0	87	13	1	101	955	0	156	10	117	549	1	183	26	1	67	317	8	61	48	8	44	110
GTF2I	4	100	37	1	1	9	95	47	1	17	60	1	34	9	0	53	297	1	118	1	35	162	14	117	13	4	44	122	12	43	37	3	10	16
GTPBP4	38	853	381	7	0	54	718	261	7	40	586	3	259	65	0	175	1873	2	398	21	211	1221	2	552	88	0	241	915	17	311	292	6	32	159
GUK1	3	391	153	1	2	15	477	116	4	12	360	111	141	7	1	38	945	222	231	8	55	855	705	233	17	13	128	970	1611	305	55	52	15	132
GYPC	10	323	40	0	0	10	361	22	6	12	227	106	31	3	0	51	960	205	54	7	62	763	703	62	4	7	81	1189	1787	76	11	17	9	167
H1-2	1	72	20	0	12	6	89	9	0	6	49	3	18	2	8	36	299	9	20	2	51	453	36	79	1	40	180	639	1130	181	14	229	8	45
H2AC18	3	92	147	18	67	2	57	61	18	4	27	0	73	127	7	48	141	0	96	49	25	186	0	182	276	40	71	339	170	375	1304	263	2	24
H2AC19	3	105	147	18	29	2	57	61	18	4	27	0	73	127	7	48	141	0	96	49	25	186	0	182	302	40	71	339	170	375	1310	263	2	24
H2AZ1	2	330	137	4	2	13	361	116	8	15	264	0	132	21	3	60	973	2	214	7	68	1058	1	208	16	18	69	980	13	268	141	48	8	85
H2AZ2	2	465	104	1	0	16	453	94	2	24	380	1	100	8	0	79	1055	0	172	9	76	1094	7	206	6	2	79	1063	19	209	59	6	9	91
H3-3A	97	1744	2175	34	258	145	1860	1588	92	164	1348	6	1713	439	223	607	5049	19	2771	240	641	3248	59	2867	475	712	897	4368	753	4058	4388	2251	104	488
H3-3B	39	2236	1036	43	12	135	2304	776	92	106	1449	1	852	382	18	361	3996	4	1442	194	584	5496	13	1687	335	49	1424	7438	118	1846	1748	135	135	490
HADHB	4	57	71	0	0	5	57	43	1	4	57	1	57	4	0	23	235	0	93	4	18	136	7	109	3	2	17	113	37	82	20	12	5	23
HAPSTR1	6	223	181	7	0	23	214	119	4	14	149	0	104	61	1	41	329	1	219	9	78	315	3	213	49	3	107	292	14	214	157	7	8	27
HAT1	2	55	25	0	1	6	66	29	1	3	52	0	23	3	0	21	191	0	50	2	19	135	0	46	6	1	21	161	1	39	24	5	6	15
HBA1	7	336	59	0	7	12	907	43	863	23	1949	45863	140	253	18	255	5869	66024	338	1415	339	2033	244837	792	931	1369	484	9601	929017	1244	3845	4363	132	776
HBA2	8	541	154	3	4	33	2018	188	2142	111	5132	96140	469	763	12	657	15717	112113	1334	3676	1159	7071	450645	2902	2914	3676	762	12072	725036	1994	4142	4234	177	888
HBB	17	638	218	9	7	29	3198	163	2357	130	9295	161218	656	1204	29	1012	23366	189278	1421	5136	2004	7451	572811	2965	5068	4331	1310	19849	1895218	4166	10813	13172	425	2517
HBP1	8	269	104	4	2	11	201	66	5	9	153	0	54	27	0	36	363	0	70	8	76	385	10	98	27	3	93	386	62	139	92	16	6	19
HCLS1	4	300	228	1	0	16	342	228	8	15	226	3	191	48	0	81	792	1	361	15	82	544	1	315	37	0	90	537	10	272	202	6	15	98
HCST	2	910	310	0	1	3	1287	283	4	0	816	0	251	4	6	30	3295	1	533	5	16	1587	0	365	3	17	38	1741	13	329	45	126	5	292
HDGF	2	84	88	2	1	3	106	52	0	0	75	8	63	2	2	12	244	14	75	0	20	188	64	114	4	25	21	185	172	86	11	54	6	26
HECTD1	9	214	90	1	1	14	255	56	2	23	203	1	67	5	0	68	586	1	145	1	90	470	6	177	6	0	106	343	10	132	17	6	18	43
HELZ	5	192	85	1	0	9	207	70	1	9	137	0	55	4	2	29	405	0	123	3	46	388	8	145	2	5	62	324	27	69	12	3	6	28
HERC1	7	157	39	0	2	8	186	61	0	10	94	2	44	1	1	30	409	3	63	1	53	280	24	91	4	4	54	287	68	49	19	21	4	26
HIF1A	15	139	264	12	3	15	109	154	16	16	83	1	164	77	0	44	263	0	247	40	73	277	0	468	113	5	97	299	12	460	746	16	6	21
HINT1	35	1266	251	1	0	61	1130	171	1	60	941	0	178	4	0	260	3260	4	412	2	327	2490	4	295	3	1	580	2744	36	305	51	30	55	287
HIPK1	1	225	72	1	2	4	220	60	1	10	137	5	43	8	0	22	306	4	88	3	18	272	32	84	7	2	37	288	75	63	39	15	1	37
HIPK3	2	75	82	3	3	5	42	75	1	3	41	0	82	15	2	17	151	0	129	5	24	69	1	124	6	5	27	74	11	94	53	10	1	13
HLA-A-3	31	1302	502	8	17	36	998	166	13	65	1155	2	363	56	20	517	6340	5	1500	102	408	3798	19	977	103	146	175	1236	51	317	194	225	29	219
HLA-A-6	31	1302	502	8	17	36	998	166	13	65	1155	2	363	56	20	517	6467	5	1566	102	408	3798	19	977	103	146	175	1236	51	317	194	225	29	219
HLA-B-1	14	687	132	13	7	101	1655	653	16	48	709	0	329	39	10	372	3540	1	1111	61	109	701	0	285	22	18	199	1219	2	211	151	44	12	63
HLA-B-2	36	1588	772	10	5	8	117	23	1	82	1484	2	603	67	17	289	3009	2	995	46	457	2772	1	1285	99	81	156	645	5	289	170	82	10	63
HLA-B-3	43	1296	603	10	5	4	65	10	1	82	1008	2	416	69	17	280	2855	2	839	46	503	3135	1	1225	109	89	120	551	5	228	154	70	6	53
HLA-B-5	47	2123	1216	13	18	28	734	198	13	51	629	0	298	37	10	292	2737	1	903	56	79	644	0	243	25	17	186	875	2	251	151	50	6	88
HLA-DQA1-2	121	1175	685	3	2	229	963	694	1	76	700	1	261	17	0	226	2266	0	457	5	368	1562	6	577	53	3	1126	1109	28	506	86	1	127	154
HLA-DQA1-4	4	1042	235	3	2	10	812	98	1	65	684	1	261	17	0	213	2237	0	435	5	336	1533	6	524	48	3	92	968	28	281	86	1	4	145
HLA-E	18	747	224	8	19	33	570	124	8	27	516	1	154	48	33	115	1298	0	186	33	84	686	1	212	84	52	208	996	14	253	342	191	11	68
HLA-E-1	24	1121	365	8	23	81	1703	491	12	73	1026	1	340	54	43	356	3658	0	731	46	359	2557	1	865	104	197	346	1865	15	851	404	292	56	354
HLA-E-2	20	915	292	8	19	33	737	136	8	27	596	1	186	48	33	147	1543	0	271	36	90	777	1	227	87	58	228	1133	14	374	347	194	13	82
HMGB1	52	1387	534	2	37	106	1471	467	8	71	1028	1	385	27	56	384	4257	3	803	34	483	3737	14	811	37	161	640	3270	57	616	231	270	73	411
HMGB1P6	3	127	61	0	5	10	161	66	0	5	113	1	50	4	12	44	471	2	105	4	47	498	2	121	5	39	31	359	9	61	22	45	4	37
HMGB2	6	227	88	1	0	12	269	69	2	6	202	0	77	3	1	37	881	0	138	5	38	1289	8	106	7	1	95	1142	70	61	114	5	9	59
HMGN1	15	472	100	1	7	40	505	97	3	38	344	0	112	1	10	186	1572	0	155	4	203	1008	0	139	2	64	286	1093	6	90	9	90	41	206
HMGN2	16	413	166	0	0	33	534	153	2	28	382	1	137	4	0	140	1625	1	377	6	142	1244	3	237	4	4	238	1460	26	255	22	7	32	138
HNRNPA2B1	70	1846	556	9	8	121	1729	465	3	121	1128	2	392	28	8	403	3960	2	799	12	550	2821	19	892	42	48	824	3210	126	902	192	167	76	385
HNRNPA3	36	971	391	4	2	56	929	316	1	58	697	0	276	23	0	186	2075	1	546	6	338	1673	11	461	48	4	571	2050	39	449	118	26	34	228
HNRNPC	32	763	307	6	2	47	817	229	9	50	632	1	240	34	3	143	1584	0	420	22	246	1375	11	445	31	6	440	1745	63	474	243	35	29	128
HNRNPD	16	339	186	1	0	26	398	143	1	21	253	0	138	11	0	76	941	1	262	1	125	808	5	238	10	1	152	750	9	200	35	6	19	82
HNRNPDL	27	747	255	1	0	53	900	246	2	40	587	0	254	4	1	181	1937	1	383	2	257	1463	1	395	4	0	368	1676	19	440	34	5	58	214
HNRNPF	6	189	107	1	2	12	227	70	1	10	141	1	78	5	1	73	854	0	151	4	57	503	3	125	9	4	45	476	12	143	27	15	9	79
HNRNPH2	5	96	81	1	1	8	82	48	0	5	82	0	59	15	0	21	206	0	98	13	22	170	0	105	18	7	38	190	9	116	57	15	5	8
HNRNPH3	14	280	95	0	0	20	293	88	3	14	218	0	75	4	0	52	627	0	150	5	112	581	2	171	16	10	171	626	10	167	72	21	10	54
HNRNPK	27	703	428	3	6	34	610	277	5	33	428	16	228	27	4	145	1599	3	544	14	211	1147	56	496	32	26	285	1221	201	453	162	79	32	172
HNRNPM	20	359	158	2	0	19	302	111	2	9	248	0	98	5	0	75	818	0	172	0	90	598	4	188	6	2	121	677	15	174	20	6	11	93
HNRNPU	24	892	356	3	3	40	776	308	4	53	562	0	237	39	0	222	2122	2	584	14	277	1381	5	498	27	2	455	1683	15	445	189	17	43	209
HNRNPUL1	28	901	287	5	0	54	724	205	7	53	571	0	187	36	4	170	1627	1	344	17	255	1263	6	394	60	3	207	1011	17	223	172	12	41	121
HOOK3	5	127	115	1	1	10	158	102	0	8	93	0	101	10	2	34	388	0	173	1	62	240	0	149	6	4	66	198	2	130	41	27	4	21
