taxon	count	fraction_of_reads	fraction_of_classified
Astyanax mexicanus	1	0.00000464	0.00000468
Obtectomera	1	0.00000464	0.00000468
Methanopyrus kandleri AV19	1	0.00000464	0.00000468
Haloferax volcanii	1	0.00000464	0.00000468
Empoasca fabae	1	0.00000464	0.00000468
Smiliogastrinae	1	0.00000464	0.00000468
Icteridae	1	0.00000464	0.00000468
Exogone	1	0.00000464	0.00000468
Sphaerozoum punctatum	1	0.00000464	0.00000468
Lactuca sativa	1	0.00000464	0.00000468
Pelomedusa subrufa	1	0.00000464	0.00000468
Epeorus longimanus	1	0.00000464	0.00000468
Pseudozyma hubeiensis SY62	1	0.00000464	0.00000468
Strigops habroptila	1	0.00000464	0.00000468
Candidatus Bathyarchaeota archaeon	1	0.00000464	0.00000468
Hepatovirus A	1	0.00000464	0.00000468
Rhea pennata	1	0.00000464	0.00000468
Pireneitega burqinensis	1	0.00000464	0.00000468
Phialemonium atrogriseum	1	0.00000464	0.00000468
Collembola	1	0.00000464	0.00000468
Prionailurus bengalensis	1	0.00000464	0.00000468
Oryzias melastigma	1	0.00000464	0.00000468
Molothrus ater	1	0.00000464	0.00000468
Lachnospiraceae bacterium oral taxon 096	1	0.00000464	0.00000468
Ogataea parapolymorpha	1	0.00000464	0.00000468
Roseomonas	1	0.00000464	0.00000468
fabids	1	0.00000464	0.00000468
Fusarium solani species complex	1	0.00000464	0.00000468
Cryptomeria japonica	1	0.00000464	0.00000468
unclassified Micromonospora	1	0.00000464	0.00000468
Halopteris liechtensternii	1	0.00000464	0.00000468
Neolamprologus brichardi	1	0.00000464	0.00000468
Trigonopterus	1	0.00000464	0.00000468
Anabas testudineus	1	0.00000464	0.00000468
Streptomyces sp. NBC_01351	1	0.00000464	0.00000468
Vespula pensylvanica	1	0.00000464	0.00000468
Kwoniella shandongensis	1	0.00000464	0.00000468
Tetraleberis sp. J57056	1	0.00000464	0.00000468
Dichotomopilus funicola	1	0.00000464	0.00000468
Macadamia integrifolia	1	0.00000464	0.00000468
Rhabditida	1	0.00000464	0.00000468
Neorhizobium sp. EC2-8	1	0.00000464	0.00000468
Physeteridae	1	0.00000464	0.00000468
Wadotes dixiensis	1	0.00000464	0.00000468
Tenualosa	1	0.00000464	0.00000468
Thamnaconus modestus	1	0.00000464	0.00000468
Scinax proboscideus	1	0.00000464	0.00000468
Eiseniella tetraedra	1	0.00000464	0.00000468
Brevundimonas albigilva	1	0.00000464	0.00000468
Oryza sativa Japonica Group	1	0.00000464	0.00000468
Eurypterygia	1	0.00000464	0.00000468
Candidatus Woesearchaeota archaeon	1	0.00000464	0.00000468
Streptomyces sp. CB00271	1	0.00000464	0.00000468
Achromobacter xylosoxidans A8	1	0.00000464	0.00000468
Bifurcata	1	0.00000464	0.00000468
Tinamidae	1	0.00000464	0.00000468
Monomorium pharaonis	1	0.00000464	0.00000468
Micrura rubramaculosa	1	0.00000464	0.00000468
Entelurus aequoreus	1	0.00000464	0.00000468
Pollicipes pollicipes	1	0.00000464	0.00000468
Laeocathaica amdoana	1	0.00000464	0.00000468
Raoultella	1	0.00000464	0.00000468
Vespa crabro	1	0.00000464	0.00000468
Naumovozyma castellii	1	0.00000464	0.00000468
Kockiozyma suomiensis	1	0.00000464	0.00000468
Cervidellus vexilliger	1	0.00000464	0.00000468
Papilio	1	0.00000464	0.00000468
Varroa destructor	1	0.00000464	0.00000468
Magnoliopsida	1	0.00000464	0.00000468
Ichthyophthirius multifiliis	1	0.00000464	0.00000468
Pectinaria gouldii	1	0.00000464	0.00000468
Austrodecus glaciale	1	0.00000464	0.00000468
Lachancea lanzarotensis	1	0.00000464	0.00000468
Entamoeba histolytica	1	0.00000464	0.00000468
Pseudotyrannochthonius sp.	1	0.00000464	0.00000468
Pseudomonas synxantha	1	0.00000464	0.00000468
Gasterosteidae	1	0.00000464	0.00000468
Actinomyces qiguomingii	1	0.00000464	0.00000468
Naegleria fowleri	1	0.00000464	0.00000468
Pseudomonas marincola	1	0.00000464	0.00000468
Actinomyces sp. oral taxon 414	1	0.00000464	0.00000468
Coturnix japonica	1	0.00000464	0.00000468
Tetraoninae	1	0.00000464	0.00000468
Aquilegia vulgaris	1	0.00000464	0.00000468
Diospyros lotus	1	0.00000464	0.00000468
Phyllomedusa bahiana	1	0.00000464	0.00000468
Triticum	1	0.00000464	0.00000468
Schistocerca piceifrons	1	0.00000464	0.00000468
unclassified Capnocytophaga	1	0.00000464	0.00000468
Dermacentor	1	0.00000464	0.00000468
Chrysanthemum indicum	1	0.00000464	0.00000468
Paradoxosomatidae sp. KMP-2008	1	0.00000464	0.00000468
Cobetia litoralis	1	0.00000464	0.00000468
Lacticaseibacillus zeae	1	0.00000464	0.00000468
Petrimonas sulfuriphila	1	0.00000464	0.00000468
Amycolatopsis sp. cg5	1	0.00000464	0.00000468
Seriola	1	0.00000464	0.00000468
Xerobiotus euxinus	1	0.00000464	0.00000468
Trypanosyllis luzonensis	1	0.00000464	0.00000468
Melanocharis nigra	1	0.00000464	0.00000468
Pseudomonas aeruginosa	1	0.00000464	0.00000468
Pseudopucrolia discrepans	1	0.00000464	0.00000468
Nitrosomonas	1	0.00000464	0.00000468
Anguilla celebesensis	1	0.00000464	0.00000468
Soleidae	1	0.00000464	0.00000468
Rubifabriciola	1	0.00000464	0.00000468
Falco peregrinus	1	0.00000464	0.00000468
Microbacterium schleiferi	1	0.00000464	0.00000468
Puccinia striiformis f. sp. tritici	1	0.00000464	0.00000468
Mycobacterium	1	0.00000464	0.00000468
Asaccus griseonotus	1	0.00000464	0.00000468
Aotus	1	0.00000464	0.00000468
Colletotrichum paranaense	1	0.00000464	0.00000468
Didelphinae	1	0.00000464	0.00000468
Oryza sativa Indica Group	1	0.00000464	0.00000468
Thraupidae	1	0.00000464	0.00000468
Penaeus japonicus	1	0.00000464	0.00000468
Saguinus labiatus	1	0.00000464	0.00000468
Corythoichthys intestinalis	1	0.00000464	0.00000468
Angaria	1	0.00000464	0.00000468
Exophiala oligosperma	1	0.00000464	0.00000468
Azumapecten farreri	1	0.00000464	0.00000468
Sirthenea nigronitens	1	0.00000464	0.00000468
uncultured Inocybe	1	0.00000464	0.00000468
Notothenia coriiceps	1	0.00000464	0.00000468
Devosia sp.	1	0.00000464	0.00000468
Musa acuminata subsp. malaccensis	1	0.00000464	0.00000468
Cyclobacteriaceae bacterium	1	0.00000464	0.00000468
Natronosalvus amylolyticus	1	0.00000464	0.00000468
Candidatus Nitrotoga fabula	1	0.00000464	0.00000468
Pseudonaja textilis	1	0.00000464	0.00000468
Calidris pugnax	1	0.00000464	0.00000468
Ceratodontiformes	1	0.00000464	0.00000468
Schistocerca	1	0.00000464	0.00000468
Mesonauta festivus	1	0.00000464	0.00000468
Lymnaea stagnalis	1	0.00000464	0.00000468
Mola mola	1	0.00000464	0.00000468
Osmeridae	1	0.00000464	0.00000468
Scylla paramamosain	1	0.00000464	0.00000468
Stylophora pistillata	1	0.00000464	0.00000468
Crotalinae	1	0.00000464	0.00000468
Ovis	1	0.00000464	0.00000468
Azospirillum sp. TSH58	1	0.00000464	0.00000468
Thermococcus sp. SY098	1	0.00000464	0.00000468
Falco rusticolus	1	0.00000464	0.00000468
Vidua	1	0.00000464	0.00000468
Oncorhynchus kisutch	1	0.00000464	0.00000468
Houttuynia cordata	1	0.00000464	0.00000468
Phocoena phocoena	1	0.00000464	0.00000468
Hoolock hoolock	1	0.00000464	0.00000468
Trypanosoma theileri	1	0.00000464	0.00000468
Larus michahellis	1	0.00000464	0.00000468
Cricetulus	1	0.00000464	0.00000468
Wenzhouxiangella marina	1	0.00000464	0.00000468
Vibrio phage JSF3	1	0.00000464	0.00000468
Emydidae	1	0.00000464	0.00000468
Methanogenium organophilum	1	0.00000464	0.00000468
Dikarya	1	0.00000464	0.00000468
Ambystoma mexicanum	1	0.00000464	0.00000468
Isichthys henryi	1	0.00000464	0.00000468
Juglandaceae	1	0.00000464	0.00000468
Tor khudree	1	0.00000464	0.00000468
Musaceae	1	0.00000464	0.00000468
Myripristis murdjan	1	0.00000464	0.00000468
Pleurotus	1	0.00000464	0.00000468
Euthyneura	1	0.00000464	0.00000468
Sphingomonas sp. NIBR02145	1	0.00000464	0.00000468
Maylandia zebra	1	0.00000464	0.00000468
Brassica napus	1	0.00000464	0.00000468
Blarina brevicauda	1	0.00000464	0.00000468
Poeciliinae	1	0.00000464	0.00000468
Streptomyces sp. NBC_01525	1	0.00000464	0.00000468
Oncorhynchus tshawytscha	1	0.00000464	0.00000468
Cottus poecilopus	1	0.00000464	0.00000468
Callithomia lenea	1	0.00000464	0.00000468
Leiodon cutcutia	1	0.00000464	0.00000468
Neurospora crassa OR74A	1	0.00000464	0.00000468
Salvia splendens	1	0.00000464	0.00000468
Coptotermes lacteus	1	0.00000464	0.00000468
Benincasa hispida	1	0.00000464	0.00000468
uncultured Tolumonas sp.	1	0.00000464	0.00000468
Paroosternum sp. MF434	1	0.00000464	0.00000468
Arbacia lixula	1	0.00000464	0.00000468
Sclomina xingrensis	1	0.00000464	0.00000468
Petromyzontidae	1	0.00000464	0.00000468
Titanoecidae	1	0.00000464	0.00000468
Panthera pardus	1	0.00000464	0.00000468
Poecilia	1	0.00000464	0.00000468
Trachypithecus johnii	1	0.00000464	0.00000468
Nanorana parkeri	1	0.00000464	0.00000468
Phallusia mammillata	1	0.00000464	0.00000468
Nitrosopumilus maritimus SCM1	1	0.00000464	0.00000468
Gopherus	1	0.00000464	0.00000468
Carabidae	1	0.00000464	0.00000468
Saguinus oedipus	1	0.00000464	0.00000468
Musca domestica	1	0.00000464	0.00000468
Mugil cephalus	1	0.00000464	0.00000468
Moorena producens PAL-8-15-08-1	1	0.00000464	0.00000468
Cylas formicarius	1	0.00000464	0.00000468
Bacteroidales bacterium F22	1	0.00000464	0.00000468
Cyberlindnera jadinii NRRL Y-1542	1	0.00000464	0.00000468
Raja asterias	1	0.00000464	0.00000468
Deinococcus wulumuqiensis R12	1	0.00000464	0.00000468
Laudakia tuberculata	1	0.00000464	0.00000468
Thunnus	1	0.00000464	0.00000468
Brevirhabdus pacifica	1	0.00000464	0.00000468
Escherichia coli	1	0.00000464	0.00000468
Colobus polykomos	1	0.00000464	0.00000468
Rhopalosiphum	1	0.00000464	0.00000468
Lolium perenne	1	0.00000464	0.00000468
Coccinella septempunctata	1	0.00000464	0.00000468
Guyanagaster necrorhizus MCA 3950	1	0.00000464	0.00000468
Pygathrix	1	0.00000464	0.00000468
Perca flavescens	1	0.00000464	0.00000468
uncultured Candidatus Binatia bacterium	1	0.00000464	0.00000468
Nocardia brasiliensis	1	0.00000464	0.00000468
Opisthocomus hoazin	1	0.00000464	0.00000468
Borreliaceae	1	0.00000464	0.00000468
Chrysomallon squamiferum	1	0.00000464	0.00000468
Mallinella sp. MHNG VN-12/03c	1	0.00000464	0.00000468
Sorangium	1	0.00000464	0.00000468
Lepus comus	1	0.00000464	0.00000468
Philantomba maxwellii	1	0.00000464	0.00000468
Cryptosporidium parvum	1	0.00000464	0.00000468
Cellulomonas sp. PSBB021	1	0.00000464	0.00000468
Alkalicella caledoniensis	1	0.00000464	0.00000468
Bufo gargarizans	1	0.00000464	0.00000468
Haliotis rubra	1	0.00000464	0.00000468
Sycotetra sp. 2248_06a	1	0.00000464	0.00000468
Mesoceration languidum	1	0.00000464	0.00000468
Apis cerana	1	0.00000464	0.00000468
Hypanus sabinus	1	0.00000464	0.00000468
Ctenocephalides felis	1	0.00000464	0.00000468
Chrysemys picta bellii	1	0.00000464	0.00000468
Platycleis cf. affinis 268	1	0.00000464	0.00000468
Trematomus bernacchii	1	0.00000464	0.00000468
Corvus moneduloides	1	0.00000464	0.00000468
Carassius	1	0.00000464	0.00000468
Alternaria ethzedia	1	0.00000464	0.00000468
Polychaeta	1	0.00000464	0.00000468
Salvelinus alpinus	1	0.00000464	0.00000468
Cicer arietinum	1	0.00000464	0.00000468
Pan troglodytes schweinfurthii	1	0.00000464	0.00000468
virilis group	1	0.00000464	0.00000468
Tursiops truncatus	1	0.00000464	0.00000468
Streptomyces parvus	1	0.00000464	0.00000468
Pygocentrus nattereri	1	0.00000464	0.00000468
Bradyrhizobium xenonodulans	1	0.00000464	0.00000468
Hyla sarda	1	0.00000464	0.00000468
Petaurista elegans caniceps	1	0.00000464	0.00000468
unclassified Roseovarius	1	0.00000464	0.00000468
Colobus guereza	1	0.00000464	0.00000468
Acetobacter pasteurianus	1	0.00000464	0.00000468
Etheostoma	1	0.00000464	0.00000468
Lilium longiflorum	1	0.00000464	0.00000468
Cyclopterus lumpus	1	0.00000464	0.00000468
Paridae	1	0.00000464	0.00000468
unclassified Microbacterium	1	0.00000464	0.00000468
Streptomyces venezuelae	1	0.00000464	0.00000468
Enterobacteria phage NC56	1	0.00000464	0.00000468
Sphingomonas sp. NY01	1	0.00000464	0.00000468
Bufo bufo	1	0.00000464	0.00000468
Vigna angularis	1	0.00000464	0.00000468
Pseudocercospora fijiensis CIRAD86	1	0.00000464	0.00000468
Periophthalmus magnuspinnatus	1	0.00000464	0.00000468
Ananas comosus var. bracteatus	1	0.00000464	0.00000468
Nicotiana tomentosiformis	1	0.00000464	0.00000468
Funambulus layardi	1	0.00000464	0.00000468
Ixodes scapularis	1	0.00000464	0.00000468
Dryobates pubescens	1	0.00000464	0.00000468
Microtus ochrogaster	1	0.00000464	0.00000468
Danaus plexippus	1	0.00000464	0.00000468
Natrialbaceae archaeon AArc-T1-2	1	0.00000464	0.00000468
Pomacea canaliculata	1	0.00000464	0.00000468
Calothrix sp. PCC 7716	1	0.00000464	0.00000468
Malpighia emarginata	1	0.00000464	0.00000468
Tokudaia muenninki	1	0.00000464	0.00000468
Amaurornis phoenicurus	1	0.00000464	0.00000468
Clupeidae	1	0.00000464	0.00000468
Acidobacteria bacterium Mor1	1	0.00000464	0.00000468
Nguyenibacter	1	0.00000464	0.00000468
Whippomorpha	1	0.00000464	0.00000468
Annelida	1	0.00000464	0.00000468
Mya arenaria	1	0.00000464	0.00000468
Terrabacteria group	1	0.00000464	0.00000468
Girardinichthys multiradiatus	1	0.00000464	0.00000468
Bacillariaceae	1	0.00000464	0.00000468
Hordeum vulgare subsp. vulgare	1	0.00000464	0.00000468
Perissodactyla	1	0.00000464	0.00000468
Helicoverpa zea	1	0.00000464	0.00000468
Amolops	1	0.00000464	0.00000468
Thecideidae	1	0.00000464	0.00000468
Etheostoma cragini	1	0.00000464	0.00000468
Larimichthys crocea	1	0.00000464	0.00000468
Hippoglossus stenolepis	1	0.00000464	0.00000468
Microlunatus soli	1	0.00000464	0.00000468
Pangasianodon hypophthalmus	1	0.00000464	0.00000468
Harpadon nehereus	1	0.00000464	0.00000468
Chalybion californicum	1	0.00000464	0.00000468
Bradyrhizobium sp. SK17	1	0.00000464	0.00000468
Halichoeres radiatus	1	0.00000464	0.00000468
Verrucomicrobiaceae bacterium NT6N	1	0.00000464	0.00000468
Acidithiobacillus ferrivorans	1	0.00000464	0.00000468
uncultured bacterium	1	0.00000464	0.00000468
Sirthenea obscura	1	0.00000464	0.00000468
Taphozous melanopogon	1	0.00000464	0.00000468
Boana faber	1	0.00000464	0.00000468
Histioteuthis reversa	1	0.00000464	0.00000468
Methanocaldococcus sp. FS406-22	1	0.00000464	0.00000468
Acipenseroidei	1	0.00000464	0.00000468
Tyrannidae	1	0.00000464	0.00000468
Hedychium coronarium	1	0.00000464	0.00000468
Anguis	1	0.00000464	0.00000468
Paracoccaceae bacterium	1	0.00000464	0.00000468
Hoolock tianxing	1	0.00000464	0.00000468
Myzus persicae	1	0.00000464	0.00000468
Streptomyces sp. R41	1	0.00000464	0.00000468
Actinomycetes	1	0.00000464	0.00000468
Macrosiphini	1	0.00000464	0.00000468
Leptothecata	1	0.00000464	0.00000468
Penicillium coprophilum	1	0.00000464	0.00000468
Lymnaeidae	1	0.00000464	0.00000468
Bacteria	1	0.00000464	0.00000468
Coregonus clupeaformis	1	0.00000464	0.00000468
Rana temporaria	1	0.00000464	0.00000468
Acetobacter	1	0.00000464	0.00000468
Heteropriacanthus cruentatus	1	0.00000464	0.00000468
Pedetes capensis	1	0.00000464	0.00000468
Streptomyces virginiae	1	0.00000464	0.00000468
Chaetomium strumarium	1	0.00000464	0.00000468
Argya altirostris	1	0.00000464	0.00000468
Triplophysa rosa	1	0.00000464	0.00000468
Lepus	1	0.00000464	0.00000468
Stereobalanus sp. KH-22-8	1	0.00000464	0.00000468
Aplosporella prunicola CBS 121167	1	0.00000464	0.00000468
Glomeromycotina	1	0.00000464	0.00000468
Bacteroidales bacterium	1	0.00000464	0.00000468
Lycodinae	1	0.00000464	0.00000468
Pyricularia oryzae	1	0.00000464	0.00000468
Dendroctonus valens	1	0.00000464	0.00000468
Lytechinus variegatus	1	0.00000464	0.00000468
Mycobacterium tuberculosis	1	0.00000464	0.00000468
Sphingobacterium sp. SRCM116780	1	0.00000464	0.00000468
Anopheles nili	1	0.00000464	0.00000468
Chlamydia pecorum PV3056/3	1	0.00000464	0.00000468
Hemichromis fasciatus	1	0.00000464	0.00000468
Juglans regia	1	0.00000464	0.00000468
Agaricomycetes incertae sedis	1	0.00000464	0.00000468
Fulgoroidea	1	0.00000464	0.00000468
Ylistrum balloti	1	0.00000464	0.00000468
Mastacembelidae	1	0.00000464	0.00000468
Triticum dicoccoides	1	0.00000464	0.00000468
Solanum habrochaites	1	0.00000464	0.00000468
Ophiotreta durbanensis	1	0.00000464	0.00000468
Cheloniidae	1	0.00000464	0.00000468
environmental samples	1	0.00000464	0.00000468
Microchloropsis salina	1	0.00000464	0.00000468
Melitaea cinxia	1	0.00000464	0.00000468
Acinonyx jubatus	1	0.00000464	0.00000468
Varanus komodoensis	1	0.00000464	0.00000468
Pandoravirus salinus	1	0.00000464	0.00000468
Stenonchulus troglodytes	1	0.00000464	0.00000468
Microsciurus	1	0.00000464	0.00000468
Tetraselmis striata	1	0.00000464	0.00000468
Scophthalmus maximus	1	0.00000464	0.00000468
Henophidia	1	0.00000464	0.00000468
Poaceae	1	0.00000464	0.00000468
Streptomyces lunaelactis	1	0.00000464	0.00000468
Sinocyclocheilus grahami	1	0.00000464	0.00000468
Circoviridae sp.	1	0.00000464	0.00000468
Amorphotheca resinae ATCC 22711	1	0.00000464	0.00000468
Notacanthus chemnitzii	1	0.00000464	0.00000468
Cynoglossus semilaevis	1	0.00000464	0.00000468
Mycobacterium sp. SVM_VP21	1	0.00000464	0.00000468
Papio kindae	1	0.00000464	0.00000468
Saccostomus umbriventer	1	0.00000464	0.00000468
Charadriiformes	1	0.00000464	0.00000468
Marichromatium purpuratum 984	1	0.00000464	0.00000468
Babesia bovis	1	0.00000464	0.00000468
Bremerella sp. P1	1	0.00000464	0.00000468
Coreidae sp.	1	0.00000464	0.00000468
Brachirus	1	0.00000464	0.00000468
Calcinus laevimanus	1	0.00000464	0.00000468
Cirratulidae sp. B ZW-2021	1	0.00000464	0.00000468
Symbiodinium sp. JCUCS-1	1	0.00000464	0.00000468
Castorimorpha	1	0.00000464	0.00000468
Leptomastix dactylopii	1	0.00000464	0.00000468
Nematoda	1	0.00000464	0.00000468
Sulfolobus islandicus	1	0.00000464	0.00000468
Dreissena polymorpha	1	0.00000464	0.00000468
Bacteriophage sp.	1	0.00000464	0.00000468
Azospirillum humicireducens	1	0.00000464	0.00000468
Desulfatiglandales bacterium	1	0.00000464	0.00000468
Anolis carolinensis	1	0.00000464	0.00000468
