gene	Control_#1_B_cell	Control_#1_monocyte	Control_#1_neutrophil	Control_#1_platelet	Control_#1_T_cell	Control_#2_B_cell	Control_#2_monocyte	Control_#2_neutrophil	Control_#2_T_cell	Control_#3_B_cell	Control_#3_erythroid_lineage_cell	Control_#3_monocyte	Control_#3_neutrophil	Control_#3_platelet	Control_#3_T_cell	SARS_CoV2_pos_Mild_B_cell	SARS_CoV2_pos_Mild_erythroid_lineage_cell	SARS_CoV2_pos_Mild_monocyte	SARS_CoV2_pos_Mild_neutrophil	SARS_CoV2_pos_Mild_T_cell	SARS_CoV2_pos_Severe_#1_B_cell	SARS_CoV2_pos_Severe_#1_erythroid_lineage_cell	SARS_CoV2_pos_Severe_#1_monocyte	SARS_CoV2_pos_Severe_#1_neutrophil	SARS_CoV2_pos_Severe_#1_platelet	SARS_CoV2_pos_Severe_#1_T_cell	SARS_CoV2_pos_Severe_#2_B_cell	SARS_CoV2_pos_Severe_#2_erythroid_lineage_cell	SARS_CoV2_pos_Severe_#2_monocyte	SARS_CoV2_pos_Severe_#2_neutrophil	SARS_CoV2_pos_Severe_#2_platelet	SARS_CoV2_pos_Severe_#2_T_cell	SARS_CoV2_pos_Severe_#3_B_cell	SARS_CoV2_pos_Severe_#3_T_cell
RPL28	274	2211	0	2	9254	511	1950	4	8010	626	6	2471	35	2	7680	2701	23	4358	14	29603	2845	47	3048	32	7	14972	4300	272	3581	276	43	20547	494	2618
TSPAN14	4	129	3	1	294	14	100	1	239	7	1	129	12	0	146	41	2	196	8	743	62	0	291	21	4	494	39	7	183	58	14	329	10	58
NUFIP2	6	130	2	0	218	10	104	2	266	14	0	82	21	0	155	35	0	157	14	489	46	3	166	16	3	284	58	3	174	78	3	332	3	30
RPL19	288	1764	3	1	9215	528	1672	1	8523	665	7	1912	8	2	7150	2447	8	3371	6	26143	2986	45	2150	8	3	13731	4152	226	2341	62	40	17378	493	2367
FBXL20	4	37	1	1	94	8	45	1	114	7	0	30	9	0	100	23	0	51	5	277	15	8	58	13	1	147	27	24	37	27	0	104	8	21
KPNB1	7	84	3	0	300	21	78	1	291	9	0	58	15	0	154	56	0	132	3	655	55	3	136	11	1	469	91	8	111	49	13	405	6	55
MED13	4	79	1	0	126	13	42	2	123	12	1	49	7	0	92	37	0	77	4	256	54	9	102	13	5	199	70	27	66	68	15	238	3	15
PFN1	19	687	5	15	1204	39	567	8	1500	42	1	565	28	17	891	219	2	1090	8	3783	263	9	1038	45	87	3419	380	54	1397	318	518	3274	56	429
SLC6A4	2	70	4	1	168	8	54	1	154	4	0	44	8	0	110	24	0	76	4	304	34	0	96	11	3	227	36	0	47	43	17	113	5	26
GOSR1	12	108	0	1	341	19	88	0	308	19	0	78	9	5	239	69	0	137	5	710	128	2	132	14	10	467	126	18	84	54	7	434	17	47
DDX5	82	864	7	0	2371	166	695	16	2271	135	2	652	69	0	1564	419	1	1070	28	4490	857	16	1218	96	4	3233	1154	63	1031	385	14	3293	101	509
RAB5C	3	146	2	1	126	9	115	4	124	8	0	99	12	4	92	39	4	200	8	272	48	6	242	19	3	304	51	19	209	99	29	264	7	43
MLX	39	224	12	0	627	36	197	1	566	37	0	151	29	0	347	249	1	435	14	1995	186	1	488	73	2	1019	125	11	163	98	3	656	66	250
PRKAR1A	9	111	0	1	202	10	105	7	189	17	1	80	23	0	157	52	0	175	8	370	100	1	166	10	12	410	161	8	180	102	45	373	9	25
WSB1	14	239	6	0	184	26	213	3	219	26	0	154	14	0	169	74	2	282	14	465	77	0	231	17	1	276	131	8	193	70	5	232	13	32
OCIAD1	5	53	0	1	186	10	49	0	168	13	3	54	1	2	111	58	4	122	4	559	44	6	74	5	6	319	64	22	103	24	10	277	9	52
UBE2D3	18	295	16	4	765	43	219	6	619	29	25	237	60	2	430	115	31	463	38	1455	171	117	502	80	13	1205	254	308	462	312	54	1387	19	158
ELF2	9	79	4	0	199	18	90	6	202	12	0	75	19	0	150	47	0	118	3	388	96	3	121	20	3	280	86	6	124	91	10	304	9	37
NDUFC1	3	65	1	1	193	5	41	1	154	8	1	80	3	3	141	34	2	118	1	569	24	21	107	1	9	360	50	27	97	9	25	393	11	59
RPL34	442	2743	0	1	13940	718	2351	2	12693	897	3	2760	23	0	10379	3615	13	4753	9	39975	3851	56	3012	41	2	19170	5571	404	2892	226	27	24202	743	3572
FBXW7	4	80	4	0	96	10	92	6	126	11	0	74	12	1	108	25	0	129	6	264	43	3	97	30	0	199	55	5	156	84	0	208	6	32
KLF3	9	138	1	2	356	13	133	3	327	9	4	132	10	0	275	35	4	251	10	741	71	47	241	26	7	510	99	176	430	123	36	589	7	68
KLHL5	9	86	0	5	165	60	69	0	211	20	1	63	6	1	123	125	0	119	3	442	150	0	88	6	18	305	111	5	59	39	51	260	16	46
CTSC	1	186	1	0	174	3	128	1	227	2	0	288	8	1	195	12	0	264	2	651	15	0	365	5	3	611	40	0	475	80	25	499	3	71
ATG2A	12	77	13	0	320	20	67	9	325	15	1	67	38	1	177	41	1	100	21	519	74	15	124	70	0	413	62	10	57	173	4	361	10	44
EHD1	0	56	13	9	85	5	61	5	116	3	0	72	17	3	87	23	0	77	4	236	17	2	215	24	11	131	17	8	190	150	29	133	10	25
PPP6R3	6	51	1	0	91	7	42	0	109	4	0	25	5	0	76	25	0	54	2	246	31	0	69	3	2	205	35	5	49	34	5	142	4	28
CPT1A	12	72	4	1	221	22	57	1	197	20	0	55	13	0	134	75	1	162	4	754	67	13	194	7	1	499	73	10	98	27	10	309	28	98
EIF4G2	18	315	2	6	420	30	250	1	521	33	1	207	24	12	299	100	0	353	5	909	150	8	426	29	26	747	203	48	433	149	131	781	21	82
BIRC2	4	47	1	1	158	8	35	2	160	5	3	36	8	1	123	17	9	64	6	323	29	39	88	5	2	311	35	297	71	49	3	246	0	21
DDX6	22	116	2	0	597	37	76	1	497	29	2	109	11	2	405	111	3	137	6	1227	164	17	161	27	6	904	156	55	127	64	10	803	24	130
CBL	2	29	0	0	43	7	42	0	62	6	0	36	6	1	41	29	0	68	3	221	30	0	83	8	5	71	21	0	82	44	30	87	5	11
HIPK3	2	82	3	3	75	5	75	1	42	3	0	82	15	2	41	17	0	129	5	151	24	1	124	6	5	69	27	11	94	53	10	74	1	13
C11orf58	21	227	1	0	840	55	174	3	773	54	2	184	18	3	614	216	7	413	12	2010	284	24	367	30	13	1374	336	73	298	90	36	1293	44	218
RPS13	187	1806	0	1	6666	370	1541	2	6310	439	6	1835	6	0	4641	1845	15	3107	3	19891	2568	57	2756	10	4	11893	3166	226	2414	60	34	14315	363	1767
CLEC2B	12	131	4	0	496	15	123	5	409	9	0	114	36	0	374	28	0	201	37	835	45	4	223	27	0	828	59	19	232	398	5	1047	5	88
BIN2	1	101	0	22	333	8	89	1	368	5	0	105	11	11	236	38	0	139	3	878	30	2	139	7	58	494	37	5	183	73	256	465	4	83
ATP5F1B	5	176	0	0	182	8	134	1	251	17	8	175	3	0	194	61	8	345	3	669	63	66	257	2	6	610	76	211	239	22	14	580	16	106
PTGES3	7	124	0	2	366	24	95	1	386	27	14	153	3	3	311	89	9	222	0	1161	66	40	199	3	13	737	158	203	417	15	61	865	26	113
RSRC2	29	175	1	1	586	42	116	4	595	34	1	128	8	2	354	100	2	210	6	912	277	7	266	10	6	1070	385	65	344	45	19	1075	17	66
ARPC3	48	833	7	5	811	89	663	8	856	101	2	826	46	5	645	396	4	1452	27	2327	385	20	1174	48	34	1648	677	75	1608	468	138	2051	98	276
ALDH2	41	685	15	0	1024	56	469	13	1005	82	1	460	71	2	670	255	0	786	19	2387	340	9	835	121	1	1619	256	27	454	323	3	1106	50	187
CDKN1B	5	45	0	1	347	14	34	0	312	21	0	50	8	0	268	52	0	73	0	860	66	25	63	7	0	496	111	83	86	67	7	598	16	67
ARHGDIB	27	407	5	29	1095	68	357	15	1243	48	0	365	58	24	822	264	3	642	15	3275	242	3	735	31	90	2532	331	28	879	368	392	2663	60	361
GAPDH	16	1237	3	39	961	42	865	9	1066	31	0	926	21	42	836	191	2	2156	9	3361	207	10	2014	35	158	3420	251	27	1911	375	522	3223	53	442
CHD4	13	50	6	1	167	24	58	6	244	11	0	37	25	4	124	53	0	130	6	418	92	1	101	31	4	258	86	4	52	87	10	223	17	32
TPI1	3	232	0	4	223	14	165	1	245	9	1	198	7	1	163	47	1	371	2	680	49	2	315	6	26	568	73	7	371	54	75	677	16	81
PTPN6	5	127	2	1	51	15	101	4	68	11	0	144	11	1	42	116	0	226	5	340	62	1	259	18	3	154	72	1	228	85	7	150	24	38
COX6A1	7	195	2	0	344	27	166	1	390	19	1	155	10	1	282	99	3	294	5	1083	148	23	330	10	13	873	202	69	401	83	72	1109	16	121
SRSF9	6	201	1	3	203	15	116	1	238	15	0	139	6	1	194	79	3	262	5	772	77	0	258	12	8	551	86	4	287	57	25	591	20	84
FGFR1OP2	4	71	0	3	119	7	44	0	111	6	15	37	0	2	90	36	28	87	1	503	40	102	96	3	11	295	46	528	100	34	72	265	5	41
RIPOR2	23	130	8	42	560	66	80	4	613	66	0	72	66	15	375	296	1	278	54	2369	160	3	230	47	58	640	212	9	149	383	352	716	40	201
RHAG	3	34	6	0	105	9	21	2	119	9	0	33	19	0	76	14	1	32	5	195	29	32	40	13	0	124	16	171	23	21	11	83	2	11
SRSF3	26	276	1	2	736	57	253	1	842	28	0	197	9	1	574	151	1	422	3	1692	184	7	334	15	5	1255	242	21	369	56	37	1409	28	106
PHACTR1	9	380	8	0	108	33	206	19	108	34	2	228	59	1	64	72	1	323	46	213	173	6	421	204	0	141	126	10	320	585	5	121	13	20
FBXO9	2	47	0	0	81	7	23	0	116	3	23	41	0	0	62	38	20	79	4	304	18	172	91	6	4	120	27	406	48	21	12	120	2	21
RPS12	446	2354	2	3	17072	812	2228	5	15647	994	74	2762	10	3	13017	3804	121	4494	10	47879	4503	344	2927	15	16	24781	6886	1271	3074	71	78	33553	845	4218
C6orf62	3	85	4	3	132	9	64	4	149	10	3	74	20	6	101	47	9	140	13	430	43	39	155	22	9	213	47	127	96	106	20	204	8	44
SNX3	16	165	0	15	155	26	131	0	164	38	32	164	6	19	135	132	47	275	4	512	173	157	264	4	49	304	245	586	349	102	472	383	29	54
QKI	5	231	2	2	156	10	202	2	149	8	0	167	19	1	88	24	0	297	7	252	38	1	370	26	10	162	54	9	268	148	34	187	8	18
CCND3	3	80	0	21	266	6	55	0	336	8	0	63	2	10	208	49	1	108	5	972	53	1	109	6	58	357	47	7	152	25	217	514	4	91
COX7A2	17	220	1	2	589	39	161	6	592	35	3	232	5	1	475	109	1	317	5	1467	168	33	313	6	6	1180	260	91	445	92	59	1480	33	199
ERBIN	10	110	4	3	189	10	99	1	196	11	1	77	30	0	134	41	4	167	17	540	63	5	142	11	15	234	79	19	85	136	51	263	8	36
NNT	9	100	0	3	400	17	95	0	417	18	0	77	4	1	232	106	1	204	1	989	122	2	200	15	5	510	97	5	82	30	12	411	17	65
HSPA9	8	153	2	1	365	22	83	3	274	17	1	110	21	0	261	46	1	193	8	717	125	1	192	31	0	653	161	11	160	126	6	690	20	82
IK	10	74	1	1	268	12	53	0	271	14	4	47	9	1	198	51	4	112	2	739	63	20	95	13	2	421	64	63	102	41	4	434	11	57
CERT1	6	100	1	0	94	13	97	3	79	4	0	80	7	0	73	28	0	163	1	240	32	0	192	9	1	144	49	4	129	58	18	121	10	16
CLINT1	5	85	0	7	140	9	51	1	124	12	0	62	3	0	122	40	0	123	1	368	63	2	122	4	8	253	84	8	122	17	35	275	3	37
SUB1	22	356	3	3	959	52	294	3	866	41	1	284	31	3	963	211	3	572	17	2334	233	6	436	24	11	2318	383	52	535	150	65	2466	73	335
LNPEP	4	54	1	2	211	9	56	1	214	9	1	52	0	0	136	46	0	115	2	630	32	0	100	1	4	271	47	7	64	19	8	305	7	30
SKP1	21	213	1	2	816	35	178	2	850	48	46	190	18	6	621	157	38	318	3	2327	168	166	316	13	48	1248	282	784	349	84	93	1494	41	221
MACROH2A1	5	422	1	1	159	9	346	3	182	11	0	342	16	0	117	44	0	565	10	534	28	0	673	19	2	414	40	7	627	95	7	439	8	46
CSNK1A1	9	226	6	7	320	15	185	7	312	18	1	171	29	1	228	79	3	309	3	879	77	20	336	33	13	618	123	60	326	138	38	557	5	84
ATP6V0E1	9	163	1	9	225	20	145	4	290	10	0	129	16	15	196	88	1	273	19	956	83	5	284	19	43	435	103	55	365	192	135	487	20	96
CPEB4	4	87	4	1	63	5	71	3	80	7	1	74	28	1	66	13	1	160	17	151	33	114	216	91	13	70	41	499	178	221	45	113	0	9
SELENOK	4	80	1	0	468	22	79	3	429	13	22	82	9	1	305	38	29	147	6	565	71	98	95	15	2	688	166	217	135	80	19	751	10	62
CRBN	5	79	0	2	266	8	39	0	235	10	0	35	1	4	162	44	0	89	4	627	46	2	92	3	15	369	57	17	84	18	67	428	6	67
RNF7	3	135	0	0	234	5	61	0	228	14	0	105	2	2	177	40	1	186	1	554	73	2	184	5	7	470	75	12	217	24	9	497	11	55
TFDP2	5	39	2	0	249	13	32	5	212	14	4	38	3	1	157	60	1	81	2	586	53	40	89	11	3	361	38	173	32	19	5	309	13	58
XRN1	6	66	2	0	190	13	48	1	181	12	5	38	8	0	136	34	2	83	7	488	52	14	92	13	1	323	83	66	69	28	5	307	5	42
PDCD10	5	50	0	13	78	7	30	0	109	7	10	32	5	1	60	39	16	67	3	374	37	21	85	0	35	214	39	205	78	23	110	209	6	22
ACAP2	9	229	2	1	259	18	151	2	279	20	1	141	28	1	184	68	0	309	15	612	106	1	299	54	1	293	122	12	181	210	11	297	14	46
GNAI2	8	603	7	2	432	28	451	13	500	27	1	432	75	7	343	124	0	888	20	1385	100	2	892	64	33	818	161	5	849	365	77	835	34	132
TFG	9	55	4	1	121	9	39	1	106	3	0	35	15	1	91	26	1	64	4	289	58	1	62	21	3	204	58	6	78	93	11	283	0	21
RPL24	107	938	0	0	4264	203	829	3	3758	254	3	1051	2	0	3235	978	4	1619	4	11834	1116	35	1198	7	1	6507	1688	216	1470	56	36	8608	211	1127
FXR1	7	67	1	0	195	15	60	1	207	15	0	62	3	0	135	42	0	134	1	508	57	7	103	3	2	346	106	27	115	29	6	383	11	32
ABTB1	1	35	6	4	46	4	18	4	64	4	4	20	21	2	32	16	8	71	9	138	12	33	71	25	13	89	23	71	38	77	18	82	6	18
EIF1B	20	115	0	3	256	38	70	4	193	28	24	104	11	4	160	103	66	148	6	507	239	209	161	8	19	448	326	710	201	70	68	463	15	31
KLHL24	13	98	0	0	236	23	68	2	227	19	0	68	7	1	202	58	0	93	1	417	94	0	127	19	1	350	133	18	98	68	7	350	9	14
NKTR	12	200	0	3	587	19	129	3	479	30	0	132	9	0	351	100	0	194	1	1249	171	0	214	9	1	910	169	6	237	31	5	768	18	84
FOXP1	45	123	1	0	926	96	111	1	828	90	2	117	12	1	546	282	0	249	3	2685	377	18	225	7	0	1196	383	100	158	33	12	1105	35	175
SPCS1	19	236	2	1	600	22	181	7	583	25	0	187	18	3	462	138	1	331	7	1591	147	2	318	18	8	989	197	13	272	70	30	1058	22	174
MOB1A	15	197	1	8	211	20	159	3	212	24	0	140	11	13	169	85	0	339	9	549	136	0	346	33	31	441	229	8	328	178	89	433	19	48
ACTR3	16	191	7	3	271	33	163	10	297	26	1	174	52	4	196	122	3	411	16	1042	126	16	360	49	24	673	150	121	337	438	126	592	26	125
SF3B6	6	81	1	0	215	15	56	3	241	12	2	89	4	0	161	52	0	151	10	581	81	6	127	11	1	500	93	33	160	109	26	627	14	72
RPS15	277	1554	2	1	7172	449	1256	1	6732	497	8	1562	8	1	5653	2016	26	2846	3	20006	2252	145	1911	18	18	11951	3700	379	2298	107	68	15437	376	2013
RTN4	4	272	3	7	152	9	186	4	203	9	1	179	28	7	126	40	2	419	10	494	35	0	368	41	21	319	69	12	415	184	117	362	12	46
USP34	8	72	2	0	250	29	51	1	282	23	0	51	5	0	189	75	0	108	2	583	108	9	118	16	2	395	152	24	73	44	17	371	13	41
COQ10B	5	69	0	1	137	7	58	4	142	4	0	51	5	0	87	26	1	80	5	229	27	3	77	17	2	250	40	9	91	88	5	258	4	22
SF3B1	16	264	5	0	640	48	190	8	576	45	0	189	21	0	422	122	0	329	13	1324	195	9	316	29	5	908	235	38	307	163	11	978	28	105
HPCAL1	24	321	11	2	839	54	261	17	911	39	0	216	46	1	655	181	4	470	29	2029	209	5	500	61	19	1200	190	15	183	182	72	804	55	184
ODC1	10	22	0	68	95	23	26	0	136	12	16	30	0	67	112	61	21	30	0	243	83	56	38	0	122	302	141	57	32	1	215	311	17	37
BIRC6	3	87	2	0	211	8	70	0	217	14	0	56	2	0	122	42	0	125	5	527	80	2	128	16	2	340	79	3	102	37	6	296	7	49
PLEKHB2	12	222	3	1	417	34	183	1	376	30	1	168	27	1	250	126	1	322	11	945	127	7	343	48	6	666	107	18	231	131	13	432	21	97
SOS1	31	169	1	0	649	34	132	2	573	49	0	140	30	0	398	189	1	326	17	1694	161	4	361	46	0	968	108	12	145	80	17	686	44	199
WIPF1	9	77	6	13	494	17	89	7	454	13	1	95	39	13	332	44	1	211	39	940	88	0	209	29	36	658	122	7	143	189	108	618	13	64
ORC4	92	416	8	0	1880	135	328	1	1675	146	0	301	27	0	1299	380	0	477	9	3197	515	9	406	51	0	2003	561	47	378	112	5	1708	54	159
PLEK	5	616	18	15	80	10	547	48	124	12	3	443	154	20	84	54	1	389	35	305	45	0	651	261	105	210	108	16	762	1541	480	239	11	18
SUMO1	7	71	0	1	204	16	56	1	263	6	0	60	7	0	182	48	0	116	0	605	72	10	125	7	5	511	83	34	162	52	18	560	10	71
NFE2L2	2	124	4	1	154	4	103	7	210	11	1	101	26	1	98	30	1	130	13	334	31	2	164	28	3	155	45	12	162	184	22	258	2	23
TMEM59	8	157	2	2	286	10	119	2	285	5	6	145	13	2	200	63	11	237	11	776	50	40	257	15	7	571	67	220	323	140	38	686	14	99
STXBP3	1	38	1	3	76	2	31	1	69	4	0	24	3	0	51	18	2	70	2	214	29	5	61	5	6	97	19	18	45	44	27	109	5	23
PARK7	15	232	2	7	489	23	176	2	541	22	0	185	10	18	354	124	0	329	3	1453	121	6	285	16	68	972	194	26	353	37	220	1062	46	213
ELAPOR1	21	241	11	0	603	40	161	7	614	33	0	173	59	1	397	142	1	330	16	1587	196	2	388	78	1	983	148	8	179	125	1	609	45	187
SRSF4	24	266	4	4	492	24	202	3	438	21	0	161	12	0	371	87	0	290	8	1087	168	1	305	17	1	725	183	12	250	75	13	759	14	92
RAP1A	2	175	0	6	222	16	88	5	228	7	3	106	25	3	147	38	3	205	10	540	35	29	197	24	16	328	60	79	207	207	69	400	10	62
CAPZA1	16	187	3	0	221	22	129	5	259	16	0	141	19	5	129	80	0	303	10	618	91	0	278	24	7	578	89	5	244	116	41	412	10	69
SFPQ	34	452	1	0	900	63	324	5	932	72	1	293	11	0	565	163	0	532	7	1670	323	6	545	20	2	1527	520	32	466	62	16	1347	39	154
PRDM2	24	91	2	0	276	58	53	2	279	52	0	69	12	1	174	101	0	90	10	509	253	1	122	17	0	408	376	7	81	110	3	433	29	40
RO60	9	49	0	0	155	15	43	0	163	4	0	37	5	2	111	32	4	90	3	446	54	1	55	4	5	296	73	24	61	30	21	271	5	43
AKT3	26	94	2	0	522	57	100	2	660	36	0	79	7	1	415	170	0	195	1	1623	177	4	144	13	0	773	203	20	107	21	11	632	24	140
CTBS	3	61	4	1	68	6	67	1	75	5	0	49	16	0	51	12	0	98	15	205	24	0	108	20	1	129	31	5	108	87	4	180	3	10
CD46	9	145	13	1	224	9	118	17	241	11	0	97	41	7	163	55	0	202	33	713	34	2	221	66	3	338	55	9	202	299	30	338	10	44
APH1A	2	63	2	0	98	9	43	1	110	12	0	44	1	1	63	35	0	92	1	231	45	0	99	4	4	174	72	3	83	15	10	185	5	32
ATP6V0B	7	288	9	2	117	20	247	12	139	18	3	293	44	2	112	44	1	427	18	293	58	15	462	71	4	238	89	42	548	234	22	296	12	44
TMED5	2	155	1	2	101	5	95	4	107	8	0	89	13	0	88	27	0	197	1	244	22	1	159	6	3	139	70	8	168	63	9	177	1	19
DR1	4	76	0	1	155	12	57	1	158	7	0	63	9	1	143	36	1	98	4	314	47	9	115	3	5	288	44	49	86	35	34	294	11	31
PRRC2C	43	318	5	3	1201	91	232	5	1072	54	1	227	30	5	858	225	1	408	14	2221	428	4	442	37	13	1944	524	21	414	184	31	2036	48	195
PRDX6	3	92	0	24	188	6	72	2	190	6	32	64	4	29	119	34	87	136	1	543	49	200	137	7	79	331	87	496	149	21	251	512	14	57
SYF2	27	175	3	1	449	27	135	4	421	36	4	131	11	2	297	116	2	238	5	1047	173	6	273	23	6	790	232	55	269	174	12	894	19	105
RSRP1	17	132	4	1	863	52	139	4	905	43	1	124	12	0	637	109	1	220	5	1410	146	4	209	21	0	953	231	86	187	58	7	1004	12	101
RCOR3	6	25	1	1	72	7	29	0	80	3	2	17	4	0	62	21	2	37	4	204	42	8	64	10	9	125	23	27	48	14	35	120	3	8
ARID1A	9	99	6	0	231	18	85	6	224	11	0	85	16	1	143	55	0	175	6	552	77	2	168	29	5	325	68	11	73	90	7	251	10	33
CREB1	4	32	4	1	73	5	25	0	80	13	0	23	5	0	69	40	0	72	6	270	43	5	49	6	2	127	48	19	22	36	5	116	6	19
IRAG2	7	39	5	1	45	14	28	2	43	7	0	32	18	1	27	47	0	72	6	160	76	0	59	20	6	101	105	0	41	44	10	55	8	15
SPCS2	13	89	0	0	224	18	71	1	305	17	0	72	3	2	265	80	0	126	2	836	96	1	126	3	4	519	119	16	154	20	11	673	15	112
PHF3	18	138	2	0	460	28	112	2	459	26	1	83	11	1	288	101	0	182	11	1120	165	12	210	10	1	716	188	19	152	74	9	678	13	76
TNFAIP3	7	198	43	0	2343	3	189	58	2385	2	7	163	185	1	2059	29	1	100	41	1959	46	2	126	227	1	2601	44	14	149	1268	11	2444	1	45
MED28	9	81	1	0	127	10	53	1	108	1	1	49	9	1	112	41	3	102	4	379	45	11	101	5	4	212	58	21	84	26	1	220	7	29
MYL12B	14	323	2	5	861	35	252	5	882	30	2	311	33	9	706	147	6	499	22	2261	144	14	471	38	33	1766	259	98	678	320	157	1869	26	242
FOXO3	2	136	6	4	54	4	87	13	57	1	17	65	31	0	35	18	22	93	18	163	17	125	161	49	4	72	19	448	138	175	20	89	0	9
CCNI	39	414	6	6	975	63	381	16	966	82	11	410	36	2	664	270	33	675	26	2448	331	154	607	59	13	1575	558	318	637	181	86	1900	48	218
UBN1	1	73	3	3	124	3	40	5	99	4	1	60	12	2	90	16	2	86	4	263	20	2	78	35	5	166	16	17	97	91	17	153	3	14
CYP20A1	6	122	6	0	267	20	100	2	282	12	0	87	12	1	177	68	0	157	3	742	90	1	206	28	1	397	99	3	125	74	1	361	15	54
UBE2B	5	128	7	3	419	21	90	6	317	19	31	135	50	0	262	68	61	186	43	845	75	111	202	71	16	672	125	364	211	369	58	695	8	77
PTBP3	10	121	2	1	197	22	124	3	218	8	1	110	20	1	160	49	1	208	20	500	56	2	232	22	1	315	92	11	184	146	8	343	8	45
RAD23B	6	88	1	0	105	13	65	0	96	3	0	60	11	0	81	35	0	117	6	273	45	8	132	22	4	248	45	28	133	60	25	273	7	26
SET	17	229	1	3	716	56	172	2	757	49	0	178	9	3	468	206	0	350	4	1989	233	2	347	17	24	1422	342	20	255	46	57	1538	71	190
RAB14	6	55	0	1	149	9	42	2	164	7	1	66	3	0	111	37	0	116	1	340	63	1	107	10	5	290	67	12	100	49	22	332	7	35
VPS4B	8	73	1	1	190	13	57	1	171	13	0	65	9	1	135	47	0	112	10	424	84	1	115	18	1	317	71	1	132	94	8	317	6	34
NPC2	8	390	1	1	104	9	374	4	77	9	0	413	5	4	94	48	0	547	6	236	65	1	650	13	5	167	81	3	512	42	8	144	6	8
YPEL5	27	189	4	11	1141	48	167	7	1012	53	3	124	50	8	888	50	5	209	15	1060	197	24	166	69	31	1440	331	129	289	268	61	1197	6	45
YIPF4	11	131	7	0	383	28	91	2	337	14	0	94	41	0	233	113	2	208	11	1123	99	8	250	29	3	618	89	39	154	109	3	386	19	99
MXI1	3	34	1	1	132	13	19	5	105	3	57	25	11	0	89	25	69	34	3	210	51	247	25	14	0	201	52	941	42	47	3	209	1	22
SMNDC1	5	40	1	0	104	7	56	0	86	8	0	27	3	1	62	24	0	65	3	199	54	0	67	5	1	161	56	7	58	44	10	169	5	20
GNA13	5	95	1	4	114	10	69	1	90	3	1	60	7	1	47	17	0	97	13	157	52	1	158	21	11	169	50	8	102	79	34	160	9	6
DUSP1	41	836	54	0	1789	49	532	158	2891	43	7	754	351	4	1229	155	2	1778	232	2458	146	3	1811	421	0	1862	416	32	1252	1199	7	2111	28	84
ELF1	10	142	0	7	387	20	134	3	371	28	0	106	13	7	264	77	0	178	8	916	184	3	135	20	49	756	256	10	182	108	193	852	16	59
PAIP2	13	163	1	10	431	24	144	5	442	19	7	148	12	10	358	77	4	201	7	949	125	58	243	20	25	653	145	189	270	94	116	813	14	71
SERP1	21	378	1	3	522	28	306	9	483	34	1	359	21	5	427	137	1	627	7	1367	201	3	543	11	20	925	290	47	618	131	73	1211	22	158
LYPLA1	4	91	1	0	84	8	69	0	98	13	0	65	6	0	90	40	0	138	2	282	41	0	131	5	6	164	53	1	127	46	15	194	9	31
ZMYM2	4	54	1	0	147	13	50	1	144	12	1	35	6	0	99	34	1	85	2	366	41	4	84	8	2	217	63	11	66	22	6	225	9	16
TBC1D15	22	171	2	3	726	43	139	3	631	41	0	141	33	1	458	169	0	247	11	1679	222	15	300	34	15	1278	312	57	233	272	39	1524	10	115
KHDRBS1	12	108	4	0	225	23	90	1	245	19	1	103	9	0	147	75	0	184	2	726	65	2	139	10	1	425	135	7	185	66	12	462	14	62
ZNF639	8	56	2	0	194	7	44	0	195	19	0	39	6	1	141	61	1	119	7	751	83	1	113	12	0	378	95	6	61	31	6	294	21	93
GPSM2	21	108	4	0	409	28	110	1	378	21	0	87	25	1	244	99	0	178	9	1072	123	1	172	29	0	595	82	18	87	52	1	452	23	109
GTDC1	13	108	6	1	316	19	80	3	327	24	0	87	13	1	213	101	0	156	10	955	117	1	183	26	1	549	67	8	61	48	8	317	44	110
CXCR4	71	414	15	0	1841	141	311	25	1675	75	0	204	87	1	1541	250	4	378	51	2907	409	5	421	206	1	3006	608	26	279	814	10	3456	29	108
RPL21	381	2203	2	9	11498	646	2133	2	11504	847	51	2270	9	1	8350	2982	67	3759	7	32324	3611	433	2846	7	14	15536	5025	1179	2602	57	61	21699	602	2889
UBL3	3	56	0	1	111	11	52	3	110	7	0	56	7	0	97	23	0	101	3	281	27	2	92	5	2	232	40	12	74	50	6	204	3	33
FYTTD1	3	44	0	1	79	11	35	1	92	5	0	32	3	1	67	27	0	78	1	289	44	1	69	6	3	164	57	3	65	16	19	148	3	28
COPA	13	171	8	1	486	39	155	2	474	29	2	99	12	0	351	62	1	236	11	815	142	3	211	24	7	785	189	36	182	111	6	729	13	71
RBBP6	14	110	0	23	273	22	100	1	264	21	0	61	5	15	174	41	0	122	5	446	92	4	148	14	30	462	130	21	156	41	78	554	11	31
ZC3H7A	6	75	0	0	187	12	52	1	139	4	0	46	3	0	111	32	0	70	2	318	66	0	96	7	10	272	91	7	68	37	24	326	6	31
ANXA11	1	105	3	3	198	5	82	6	211	12	3	87	17	5	174	44	0	164	12	616	62	0	153	18	14	436	71	6	173	114	29	370	13	75
NAA60	6	55	3	1	137	5	40	0	125	13	0	51	4	0	87	34	0	74	3	427	40	3	96	6	2	234	46	4	61	20	7	150	6	39
RPL5	170	1032	0	0	4932	259	906	0	4621	308	2	1118	2	1	3590	1212	4	1574	0	13229	1524	33	1260	4	2	7819	2144	140	1279	23	14	9819	207	1417
