category	over_represented_pvalue	under_represented_pvalue	numDEInCat	numInCat	term	ontology	p_adjust_over_represented	p_adjust_under_represented
GO:0021766	0.799642848153702	0.361334267431106	4	84	hippocampus development	BP	1	1
GO:0009755	0.799789474621669	0.299294827992721	10	193	hormone-mediated signaling pathway	BP	1	1
GO:0043038	0.800045981104	0.432399593823679	2	45	amino acid activation	BP	1	1
GO:0031061	0.801230281167712	0.531673832121645	1	23	negative regulation of histone methylation	BP	1	1
GO:0006007	0.801383610368915	0.530485032849521	1	25	glucose catabolic process	BP	1	1
GO:2000772	0.801589541579024	0.428647683783559	2	55	regulation of cellular senescence	BP	1	1
GO:0070935	0.801610101914554	0.530573592940015	1	24	3'-UTR-mediated mRNA stabilization	BP	1	1
GO:0042744	0.80190087134668	0.527855990730271	1	30	hydrogen peroxide catabolic process	BP	1	1
GO:0071624	0.801993807450887	0.528347751293781	1	28	positive regulation of granulocyte chemotaxis	BP	1	1
GO:0044728	0.802248953663356	0.339741526504299	5	104	DNA methylation or demethylation	BP	1	1
GO:0061371	0.802335055820364	0.383561144498881	3	71	determination of heart left/right asymmetry	BP	1	1
GO:1901017	0.802337099042266	0.527463630431194	1	29	negative regulation of potassium ion transmembrane transporter activity	BP	1	1
GO:0031058	0.802727736572043	0.339186897440902	5	102	positive regulation of histone modification	BP	1	1
GO:0120031	0.802916937068029	0.248751209023316	35	569	plasma membrane bounded cell projection assembly	BP	1	1
GO:0007292	0.803006443113649	0.307458587124782	8	159	female gamete generation	BP	1	1
GO:0050912	0.803061159064865	0.523287725379138	1	43	detection of chemical stimulus involved in sensory perception of taste	BP	1	1
GO:0060307	0.80387856082392	0.526923244629838	1	24	regulation of ventricular cardiac muscle cell membrane repolarization	BP	1	1
GO:0044774	0.803986249471235	0.355243643099917	4	85	mitotic DNA integrity checkpoint signaling	BP	1	1
GO:0051650	0.804512042759412	0.288766553797372	11	198	establishment of vesicle localization	BP	1	1
GO:2000272	0.804566871695842	0.424531082449677	2	52	negative regulation of signaling receptor activity	BP	1	1
GO:0007548	0.805018407800854	0.273940518007595	15	290	sex differentiation	BP	1	1
GO:1903306	0.805055588722795	0.52456487599655	1	25	negative regulation of regulated secretory pathway	BP	1	1
GO:0034587	0.805086163968691	0.524969037823968	1	24	piRNA metabolic process	BP	1	1
GO:0051180	0.805389813620777	0.424013127071225	2	47	vitamin transport	BP	1	1
GO:0051932	0.805573805777669	0.380205200842125	3	58	synaptic transmission, GABAergic	BP	1	1
GO:0010640	0.805718790678415	0.523942225815378	1	24	regulation of platelet-derived growth factor receptor signaling pathway	BP	1	1
GO:0072207	0.805872693319005	0.522432465699473	1	27	metanephric epithelium development	BP	1	1
GO:0050686	0.80623433617624	0.522649465186126	1	25	negative regulation of mRNA processing	BP	1	1
GO:0003071	0.807240020996647	0.521009460592038	1	25	renal system process involved in regulation of systemic arterial blood pressure	BP	1	1
GO:0046426	0.807663918967161	0.519897108455118	1	26	negative regulation of receptor signaling pathway via JAK-STAT	BP	1	1
GO:0051450	0.808121457778035	0.516693428732441	1	34	myoblast proliferation	BP	1	1
GO:0045665	0.808303188136106	0.374785755013237	3	73	negative regulation of neuron differentiation	BP	1	1
GO:0046823	0.808968769119877	0.519130297686001	1	23	negative regulation of nucleocytoplasmic transport	BP	1	1
GO:0016101	0.809013462960213	0.347972432154201	4	89	diterpenoid metabolic process	BP	1	1
GO:0032011	0.809014742330125	0.520193703025858	1	21	ARF protein signal transduction	BP	1	1
GO:0032012	0.809014742330125	0.520193703025858	1	21	regulation of ARF protein signal transduction	BP	1	1
GO:0050860	0.809041603689167	0.518058080188957	1	25	negative regulation of T cell receptor signaling pathway	BP	1	1
GO:0016575	0.809157487416612	0.330431899125927	5	102	histone deacetylation	BP	1	1
GO:1900078	0.809258233099855	0.51770202307422	1	25	positive regulation of cellular response to insulin stimulus	BP	1	1
GO:0002690	0.809317196545567	0.347125631762665	4	97	positive regulation of leukocyte chemotaxis	BP	1	1
GO:0048247	0.810295718308814	0.414621973011669	2	63	lymphocyte chemotaxis	BP	1	1
GO:0010507	0.810556919835276	0.345860266550731	4	88	negative regulation of autophagy	BP	1	1
GO:0008535	0.811013320032433	0.512988010123802	1	30	respiratory chain complex IV assembly	BP	1	1
GO:0006706	0.81105912207725	0.514311016032097	1	26	steroid catabolic process	BP	1	1
GO:2000278	0.81116042542323	0.314752843193743	6	122	regulation of DNA biosynthetic process	BP	1	1
GO:0010875	0.811370168790297	0.513406623663267	1	27	positive regulation of cholesterol efflux	BP	1	1
GO:0090068	0.81204744841178	0.271282816991671	13	260	positive regulation of cell cycle process	BP	1	1
GO:0051204	0.81217273395405	0.51024063007168	1	33	protein insertion into mitochondrial membrane	BP	1	1
GO:0043491	0.812341120963212	0.283027603320411	10	218	protein kinase B signaling	BP	1	1
GO:2000112	0.81333832314342	0.243363034141496	27	570	regulation of cellular macromolecule biosynthetic process	BP	1	1
GO:0097503	0.813981961715092	0.511379183500104	1	22	sialylation	BP	1	1
GO:0061008	0.8140668570565	0.300888902892422	7	144	hepaticobiliary system development	BP	1	1
GO:0008090	0.814146071654694	0.511705051867688	1	21	retrograde axonal transport	BP	1	1
GO:0097164	0.814503809552316	0.509961372062838	1	23	ammonium ion metabolic process	BP	1	1
GO:0019083	0.814558355918927	0.4093733913562	2	51	viral transcription	BP	1	1
GO:0006063	0.815014013727352	0.508607530854132	1	24	uronic acid metabolic process	BP	1	1
GO:0019585	0.815014013727352	0.508607530854132	1	24	glucuronate metabolic process	BP	1	1
GO:0071466	0.815374713405289	0.284852000000799	9	181	cellular response to xenobiotic stimulus	BP	1	1
GO:2000209	0.815697848466826	0.507001073337501	1	25	regulation of anoikis	BP	1	1
GO:1902932	0.81637400771953	0.505048597131879	1	27	positive regulation of alcohol biosynthetic process	BP	1	1
GO:0021884	0.816417425370565	0.506251121542304	1	24	forebrain neuron development	BP	1	1
GO:0061162	0.816421765471982	0.506243817178264	1	24	establishment of monopolar cell polarity	BP	1	1
GO:0050687	0.816444029184322	0.504930655282767	1	27	negative regulation of defense response to virus	BP	1	1
GO:0032386	0.81665166499595	0.252818987725035	18	336	regulation of intracellular transport	BP	1	1
GO:0051085	0.817039930660529	0.502339583909233	1	32	chaperone cofactor-dependent protein refolding	BP	1	1
GO:0098534	0.817104755768562	0.406011826554044	2	47	centriole assembly	BP	1	1
GO:0048596	0.817173512637351	0.504092428756947	1	26	embryonic camera-type eye morphogenesis	BP	1	1
GO:0000469	0.817194437516635	0.503301415634449	1	28	cleavage involved in rRNA processing	BP	1	1
GO:0051503	0.817434860460086	0.503258788974315	1	27	adenine nucleotide transport	BP	1	1
GO:0034766	0.817610445806106	0.318212441833378	5	116	negative regulation of ion transmembrane transport	BP	1	1
GO:1903115	0.817775217960873	0.406301731238076	2	40	regulation of actin filament-based movement	BP	1	1
GO:0060117	0.81793817311301	0.504735753503089	1	22	auditory receptor cell development	BP	1	1
GO:0046626	0.817959357337803	0.360708171396155	3	72	regulation of insulin receptor signaling pathway	BP	1	1
GO:1901983	0.818127870671811	0.33513065567645	4	88	regulation of protein acetylation	BP	1	1
GO:0032288	0.818575324386808	0.503657580774701	1	22	myelin assembly	BP	1	1
GO:0044772	0.818940990519601	0.239215539682432	25	473	mitotic cell cycle phase transition	BP	1	1
GO:0016540	0.819422995712786	0.499887457994473	1	27	protein autoprocessing	BP	1	1
GO:0071577	0.819471942100266	0.500622560442485	1	25	zinc ion transmembrane transport	BP	1	1
GO:0030539	0.819658227202701	0.500767295556836	1	24	male genitalia development	BP	1	1
GO:1900016	0.819670778034817	0.496168799888594	1	40	negative regulation of cytokine production involved in inflammatory response	BP	1	1
GO:0001963	0.819936642230655	0.499012812151628	1	27	synaptic transmission, dopaminergic	BP	1	1
GO:0001835	0.819970514832395	0.49934839673539	1	26	blastocyst hatching	BP	1	1
GO:0035188	0.819970514832395	0.49934839673539	1	26	hatching	BP	1	1
GO:0071684	0.819970514832395	0.49934839673539	1	26	organism emergence from protective structure	BP	1	1
GO:0002639	0.82024415613566	0.400246211367382	2	53	positive regulation of immunoglobulin production	BP	1	1
GO:1901799	0.820653450631267	0.400300943001072	2	48	negative regulation of proteasomal protein catabolic process	BP	1	1
GO:0070925	0.820722766697365	0.218237815989689	55	937	organelle assembly	BP	1	1
GO:0048538	0.821272338759172	0.399327638703475	2	48	thymus development	BP	1	1
GO:0046639	0.821358497754984	0.496977685645009	1	26	negative regulation of alpha-beta T cell differentiation	BP	1	1
GO:0006517	0.821360942951424	0.497399632683146	1	25	protein deglycosylation	BP	1	1
GO:0006921	0.821528698262534	0.495587461460305	1	29	cellular component disassembly involved in execution phase of apoptosis	BP	1	1
GO:0030431	0.821726608119645	0.49524810609315	1	29	sleep	BP	1	1
GO:0000288	0.821904833319524	0.355178486080708	3	68	nuclear-transcribed mRNA catabolic process, deadenylation-dependent decay	BP	1	1
GO:0036010	0.821917009900221	0.496909760443962	1	24	protein localization to endosome	BP	1	1
GO:0019985	0.822104609887083	0.496125195002773	1	25	translesion synthesis	BP	1	1
GO:0051937	0.822322193288672	0.354145675690445	3	73	catecholamine transport	BP	1	1
GO:0009435	0.822574279782328	0.494891992673721	1	26	NAD biosynthetic process	BP	1	1
GO:0031057	0.822818147560339	0.396890193992358	2	48	negative regulation of histone modification	BP	1	1
GO:0030239	0.823252587641791	0.353164877268362	3	68	myofibril assembly	BP	1	1
GO:0001885	0.823297160629259	0.353375262861029	3	65	endothelial cell development	BP	1	1
GO:0051957	0.823473584165326	0.493343713468181	1	26	positive regulation of amino acid transport	BP	1	1
GO:0062098	0.823609540678411	0.490381612808821	1	35	regulation of programmed necrotic cell death	BP	1	1
GO:2000677	0.823704504276153	0.394791420228197	2	53	regulation of transcription regulatory region DNA binding	BP	1	1
GO:0062125	0.824035192807129	0.490955595842538	1	30	regulation of mitochondrial gene expression	BP	1	1
GO:0071356	0.824042116110503	0.267824018870467	10	234	cellular response to tumor necrosis factor	BP	1	1
GO:0003143	0.824115811311108	0.351540207789492	3	72	embryonic heart tube morphogenesis	BP	1	1
GO:0071625	0.82470091257581	0.495190656141583	1	19	vocalization behavior	BP	1	1
GO:0006760	0.825725398976852	0.489446170692903	1	26	folic acid-containing compound metabolic process	BP	1	1
GO:0034502	0.826010878087311	0.306493280942836	5	116	protein localization to chromosome	BP	1	1
GO:0051168	0.826196101650826	0.277009682857679	8	164	nuclear export	BP	1	1
GO:0098927	0.826392176864397	0.391894338232868	2	44	vesicle-mediated transport between endosomal compartments	BP	1	1
GO:0060055	0.827032402734867	0.485449984453731	1	31	angiogenesis involved in wound healing	BP	1	1
GO:0032528	0.827175140644809	0.487814928251172	1	24	microvillus organization	BP	1	1
GO:0015868	0.827462934791169	0.485654632391378	1	28	purine ribonucleotide transport	BP	1	1
GO:0043114	0.827630823837627	0.389091291368234	2	49	regulation of vascular permeability	BP	1	1
GO:0039529	0.827745075806412	0.485528563292275	1	27	RIG-I signaling pathway	BP	1	1
GO:0031639	0.828916725923226	0.483474261060558	1	27	plasminogen activation	BP	1	1
GO:0016048	0.829104047293322	0.484437448594573	1	24	detection of temperature stimulus	BP	1	1
GO:0046513	0.829517263931081	0.343645892493118	3	69	ceramide biosynthetic process	BP	1	1
GO:0030325	0.829545581228408	0.482000160565247	1	28	adrenal gland development	BP	1	1
GO:2000737	0.829718765097329	0.482063257296549	1	27	negative regulation of stem cell differentiation	BP	1	1
GO:0086065	0.829835434556549	0.343936463943571	3	61	cell communication involved in cardiac conduction	BP	1	1
GO:0006749	0.829875079563031	0.384593028999925	2	56	glutathione metabolic process	BP	1	1
GO:0031664	0.830268287679493	0.480725913387423	1	28	regulation of lipopolysaccharide-mediated signaling pathway	BP	1	1
GO:0055002	0.830307024108437	0.34244818369228	3	69	striated muscle cell development	BP	1	1
GO:0032388	0.830511708544554	0.259893133488653	10	199	positive regulation of intracellular transport	BP	1	1
GO:0006613	0.830876936813354	0.478988399789853	1	30	cotranslational protein targeting to membrane	BP	1	1
GO:0009065	0.831076897263469	0.479296454776444	1	28	glutamine family amino acid catabolic process	BP	1	1
GO:0009066	0.831093580599128	0.383682986207659	2	48	aspartate family amino acid metabolic process	BP	1	1
GO:0051972	0.831176119754649	0.383549888749549	2	48	regulation of telomerase activity	BP	1	1
GO:0030031	0.831603093537195	0.215520325623235	35	580	cell projection assembly	BP	1	1
GO:1903319	0.832322520133048	0.477086650472265	1	28	positive regulation of protein maturation	BP	1	1
GO:0006986	0.832460809731367	0.28514261127391	6	140	response to unfolded protein	BP	1	1
GO:1902041	0.832652720063775	0.38086908176367	2	50	regulation of extrinsic apoptotic signaling pathway via death domain receptors	BP	1	1
GO:0035774	0.833115461552334	0.47604423337481	1	27	positive regulation of insulin secretion involved in cellular response to glucose stimulus	BP	1	1
GO:0002043	0.83383109010951	0.469555425881404	1	55	blood vessel endothelial cell proliferation involved in sprouting angiogenesis	BP	1	1
GO:0006695	0.834134761785099	0.377495094375645	2	58	cholesterol biosynthetic process	BP	1	1
GO:1902653	0.834134761785099	0.377495094375645	2	58	secondary alcohol biosynthetic process	BP	1	1
GO:0032469	0.834184731022711	0.474964821751955	1	25	endoplasmic reticulum calcium ion homeostasis	BP	1	1
GO:0045912	0.834203820381953	0.378082144967129	2	52	negative regulation of carbohydrate metabolic process	BP	1	1
GO:0051560	0.834848584916103	0.473776243168507	1	25	mitochondrial calcium ion homeostasis	BP	1	1
GO:0070373	0.835059913146382	0.334528071390693	3	78	negative regulation of ERK1 and ERK2 cascade	BP	1	1
GO:0047496	0.83518043585793	0.377380792099195	2	46	vesicle transport along microtubule	BP	1	1
GO:1903321	0.835229522113989	0.30989496149175	4	97	negative regulation of protein modification by small protein conjugation or removal	BP	1	1
GO:0048169	0.835411399177806	0.473745580034628	1	23	regulation of long-term neuronal synaptic plasticity	BP	1	1
GO:0031146	0.836179295476265	0.375430347094102	2	48	SCF-dependent proteasomal ubiquitin-dependent protein catabolic process	BP	1	1
GO:1903861	0.836239166892546	0.472815978313015	1	22	positive regulation of dendrite extension	BP	1	1
GO:0060249	0.837188147107745	0.227667745766717	18	335	anatomical structure homeostasis	BP	1	1
GO:0070372	0.837369813640323	0.233693687542385	15	314	regulation of ERK1 and ERK2 cascade	BP	1	1
GO:0006308	0.838040619806922	0.46557237745574	1	32	DNA catabolic process	BP	1	1
GO:0014047	0.83849485527027	0.466765612094433	1	26	glutamate secretion	BP	1	1
GO:0061337	0.838628671956666	0.289192035129559	5	101	cardiac conduction	BP	1	1
GO:0010758	0.838779328119475	0.465132911456778	1	29	regulation of macrophage chemotaxis	BP	1	1
GO:0006515	0.839024236038107	0.465032217032877	1	28	protein quality control for misfolded or incompletely synthesized proteins	BP	1	1
GO:0070646	0.839132746887102	0.259476272388793	8	175	protein modification by small protein removal	BP	1	1
GO:0007097	0.839585267866754	0.465685147512192	1	24	nuclear migration	BP	1	1
GO:0015865	0.840102753034084	0.462720609977755	1	29	purine nucleotide transport	BP	1	1
GO:0009299	0.840125756928249	0.368952677483783	2	48	mRNA transcription	BP	1	1
GO:0031954	0.840263020381774	0.463144229159553	1	27	positive regulation of protein autophosphorylation	BP	1	1
GO:0006783	0.840727649701435	0.461255850640438	1	30	heme biosynthetic process	BP	1	1
GO:0034643	0.840909045301352	0.462363003370064	1	26	establishment of mitochondrion localization, microtubule-mediated	BP	1	1
GO:0047497	0.840909045301352	0.462363003370064	1	26	mitochondrion transport along microtubule	BP	1	1
GO:0097254	0.841173246416491	0.460439199033671	1	30	renal tubular secretion	BP	1	1
GO:0060295	0.841241019509959	0.459732564107084	1	32	regulation of cilium movement involved in cell motility	BP	1	1
GO:1902019	0.841241019509959	0.459732564107084	1	32	regulation of cilium-dependent cell motility	BP	1	1
GO:0050792	0.841607124881886	0.263259080964373	7	162	regulation of viral process	BP	1	1
GO:0051438	0.84213638879499	0.364582244088037	2	56	regulation of ubiquitin-protein transferase activity	BP	1	1
GO:1902042	0.842782874301999	0.457177425182175	1	31	negative regulation of extrinsic apoptotic signaling pathway via death domain receptors	BP	1	1
GO:0008206	0.843207359315244	0.363698974518851	2	49	bile acid metabolic process	BP	1	1
GO:1903900	0.843238527102291	0.270032179316164	6	142	regulation of viral life cycle	BP	1	1
GO:0035966	0.843784699606003	0.260254874249697	7	162	response to topologically incorrect protein	BP	1	1
GO:0045824	0.843835056814601	0.321023245836773	3	77	negative regulation of innate immune response	BP	1	1
GO:2001258	0.843915527983605	0.360850022063297	2	64	negative regulation of cation channel activity	BP	1	1
GO:0032410	0.844082899710954	0.296042959112243	4	116	negative regulation of transporter activity	BP	1	1
GO:0021697	0.84464762437432	0.455905027751085	1	25	cerebellar cortex formation	BP	1	1
GO:0007029	0.84482274439973	0.295854286483498	4	93	endoplasmic reticulum organization	BP	1	1
GO:0019359	0.844945713904634	0.45414240334656	1	28	nicotinamide nucleotide biosynthetic process	BP	1	1
GO:0019363	0.844945713904634	0.45414240334656	1	28	pyridine nucleotide biosynthetic process	BP	1	1
GO:0006312	0.844990676019413	0.454833212750968	1	26	mitotic recombination	BP	1	1
GO:1902459	0.845349425187235	0.360432923230913	2	47	positive regulation of stem cell population maintenance	BP	1	1
GO:0031668	0.84536619699247	0.229125159729216	13	262	cellular response to extracellular stimulus	BP	1	1
GO:0071385	0.845392843632178	0.359274898458299	2	55	cellular response to glucocorticoid stimulus	BP	1	1
GO:0000209	0.845696836325204	0.228859257748883	13	246	protein polyubiquitination	BP	1	1
GO:0099623	0.845906846669357	0.452006615389506	1	29	regulation of cardiac muscle cell membrane repolarization	BP	1	1
GO:0051570	0.845993600764033	0.45296612884206	1	26	regulation of histone H3-K9 methylation	BP	1	1
GO:0050951	0.84612989223977	0.45271188307598	1	26	sensory perception of temperature stimulus	BP	1	1
GO:0060795	0.8464117026856	0.44989190213055	1	33	cell fate commitment involved in formation of primary germ layer	BP	1	1
GO:0039694	0.846951709164986	0.449731099076075	1	30	viral RNA genome replication	BP	1	1
GO:0099072	0.84702372777676	0.317172790965143	3	63	regulation of postsynaptic membrane neurotransmitter receptor levels	BP	1	1
GO:0048024	0.847324054036238	0.27628236077739	5	109	regulation of mRNA splicing, via spliceosome	BP	1	1
GO:0002548	0.847385837596539	0.354656374550805	2	69	monocyte chemotaxis	BP	1	1
GO:1903170	0.847900913591922	0.354846399725633	2	57	negative regulation of calcium ion transmembrane transport	BP	1	1
GO:2001032	0.848101761871637	0.447896690718038	1	29	regulation of double-strand break repair via nonhomologous end joining	BP	1	1
GO:0006829	0.848268845044657	0.447929439044625	1	28	zinc ion transport	BP	1	1
GO:0042537	0.848637806825587	0.447235021004903	1	28	benzene-containing compound metabolic process	BP	1	1
GO:0009081	0.848657391966518	0.44757145720395	1	27	branched-chain amino acid metabolic process	BP	1	1
GO:0016482	0.848746432166704	0.240974243048832	9	171	cytosolic transport	BP	1	1
GO:0010528	0.849650410432147	0.444977235686098	1	29	regulation of transposition	BP	1	1
GO:0010529	0.849650410432147	0.444977235686098	1	29	negative regulation of transposition	BP	1	1
GO:0007263	0.849909683407638	0.444486860651595	1	29	nitric oxide mediated signal transduction	BP	1	1
GO:0060986	0.850036505817989	0.351243107835025	2	57	endocrine hormone secretion	BP	1	1
GO:0007631	0.850419943727591	0.286827298827788	4	107	feeding behavior	BP	1	1
GO:0042059	0.850959088316297	0.443218554229294	1	27	negative regulation of epidermal growth factor receptor signaling pathway	BP	1	1
GO:0032801	0.851097400859147	0.44258201337081	1	28	receptor catabolic process	BP	1	1
GO:0016072	0.851235258879878	0.224483427278556	12	267	rRNA metabolic process	BP	1	1
GO:0061028	0.85147349784961	0.34995318429469	2	48	establishment of endothelial barrier	BP	1	1
GO:0008306	0.851484315485168	0.286133769027142	4	87	associative learning	BP	1	1
GO:0046339	0.851858440927205	0.441911186283779	1	26	diacylglycerol metabolic process	BP	1	1
GO:0045185	0.852025047182594	0.285044842374103	4	92	maintenance of protein location	BP	1	1
GO:0090151	0.852133586871719	0.438168720898314	1	37	establishment of protein localization to mitochondrial membrane	BP	1	1
GO:1903959	0.852152992386482	0.440572239039591	1	28	regulation of anion transmembrane transport	BP	1	1
GO:0035967	0.852230985139586	0.268722304229475	5	120	cellular response to topologically incorrect protein	BP	1	1
GO:2000765	0.852601655300065	0.439367953817194	1	29	regulation of cytoplasmic translation	BP	1	1
GO:0036258	0.852833436178368	0.438298063160286	1	31	multivesicular body assembly	BP	1	1
GO:0007274	0.853105754025689	0.439966163222475	1	25	neuromuscular synaptic transmission	BP	1	1
GO:0070371	0.853447967521554	0.211035886149377	16	339	ERK1 and ERK2 cascade	BP	1	1
GO:0009048	0.854177505869134	0.436695864826392	1	28	dosage compensation by inactivation of X chromosome	BP	1	1
GO:0034620	0.854279581208829	0.281244281179895	4	100	cellular response to unfolded protein	BP	1	1
GO:0003416	0.854385860935771	0.436295281504194	1	28	endochondral bone growth	BP	1	1
GO:1902017	0.854483991121617	0.305051649323931	3	66	regulation of cilium assembly	BP	1	1
GO:0008209	0.854491216263846	0.43542031360878	1	30	androgen metabolic process	BP	1	1
GO:0021761	0.854633956490659	0.265422441651867	5	113	limbic system development	BP	1	1
GO:0048333	0.854716504775359	0.433883685868662	1	34	mesodermal cell differentiation	BP	1	1
GO:0051443	0.854762509169917	0.434311357441002	1	32	positive regulation of ubiquitin-protein transferase activity	BP	1	1
GO:0006622	0.854965752568764	0.435178758188963	1	28	protein targeting to lysosome	BP	1	1
GO:0019433	0.854998982856611	0.434139267274183	1	31	triglyceride catabolic process	BP	1	1
GO:0006516	0.855210442452486	0.433731394152395	1	31	glycoprotein catabolic process	BP	1	1
GO:0032369	0.855343396379792	0.430403923100934	1	47	negative regulation of lipid transport	BP	1	1
GO:0015908	0.855367366799341	0.279542348059271	4	101	fatty acid transport	BP	1	1
GO:0051205	0.855873380632005	0.340389846847008	2	67	protein insertion into membrane	BP	1	1
GO:0007205	0.856027297045749	0.433503269474329	1	27	protein kinase C-activating G protein-coupled receptor signaling pathway	BP	1	1
GO:0034698	0.856167869821352	0.432508323709687	1	29	response to gonadotropin	BP	1	1
GO:0006656	0.856266908414733	0.432316529575818	1	29	phosphatidylcholine biosynthetic process	BP	1	1
GO:0071295	0.85750872389916	0.429277726742481	1	31	cellular response to vitamin	BP	1	1
GO:0000422	0.858555245140101	0.275015514606768	4	93	autophagy of mitochondrion	BP	1	1
GO:0061726	0.858555245140101	0.275015514606768	4	93	mitochondrion disassembly	BP	1	1
GO:1903779	0.8591084603069	0.427132052281571	1	28	regulation of cardiac conduction	BP	1	1
GO:0015872	0.859207988901005	0.336245234059476	2	51	dopamine transport	BP	1	1
GO:0003094	0.859335795394081	0.426338255271494	1	29	glomerular filtration	BP	1	1
GO:0002711	0.859551116152894	0.334833638717071	2	58	positive regulation of T cell mediated immunity	BP	1	1
GO:0043370	0.860167687251172	0.333974068769394	2	56	regulation of CD4-positive, alpha-beta T cell differentiation	BP	1	1
GO:0048240	0.860424147686365	0.423288861693116	1	32	sperm capacitation	BP	1	1
GO:0006805	0.860453945622962	0.256692399983346	5	116	xenobiotic metabolic process	BP	1	1
GO:1904893	0.861241692237536	0.421411193209542	1	33	negative regulation of receptor signaling pathway via STAT	BP	1	1
GO:0071479	0.861494236832684	0.293044695913508	3	75	cellular response to ionizing radiation	BP	1	1
GO:0060765	0.861699730064516	0.422034967993846	1	28	regulation of androgen receptor signaling pathway	BP	1	1
GO:0001894	0.862265627135119	0.204501468088831	14	277	tissue homeostasis	BP	1	1
GO:0015721	0.862270460803568	0.420231599593936	1	30	bile acid and bile salt transport	BP	1	1
GO:0002719	0.862324935815378	0.418782023424116	1	35	negative regulation of cytokine production involved in immune response	BP	1	1
GO:0030512	0.862755769127527	0.268254809693824	4	99	negative regulation of transforming growth factor beta receptor signaling pathway	BP	1	1
GO:0099625	0.863235902583488	0.418640638112984	1	29	ventricular cardiac muscle cell membrane repolarization	BP	1	1
GO:0008089	0.86378527758049	0.328528973891179	2	49	anterograde axonal transport	BP	1	1
GO:1902914	0.864041156686076	0.41671185267288	1	30	regulation of protein polyubiquitination	BP	1	1
GO:1903955	0.864849485749965	0.414508874152172	1	32	positive regulation of protein targeting to mitochondrion	BP	1	1
GO:0035051	0.864983516286817	0.23054441329413	7	159	cardiocyte differentiation	BP	1	1
GO:0043094	0.865072969698935	0.414649863767841	1	30	cellular metabolic compound salvage	BP	1	1
GO:0000910	0.865721988048834	0.217546215957056	9	186	cytokinesis	BP	1	1
GO:0008156	0.865743788534908	0.412716548326387	1	32	negative regulation of DNA replication	BP	1	1
GO:0070988	0.866267061846866	0.285318875687896	3	74	demethylation	BP	1	1
GO:0045995	0.866674491165839	0.262572070866405	4	90	regulation of embryonic development	BP	1	1
GO:0034641	0.866858623090577	0.147321896092685	384	6954	cellular nitrogen compound metabolic process	BP	1	1
GO:2000756	0.86719504796877	0.283793050350978	3	74	regulation of peptidyl-lysine acetylation	BP	1	1
GO:0021695	0.868119114611574	0.320725245855512	2	50	cerebellar cortex development	BP	1	1
GO:2000036	0.868563352068994	0.281754848941653	3	71	regulation of stem cell population maintenance	BP	1	1
GO:2000406	0.868678532697242	0.406037187399002	1	35	positive regulation of T cell migration	BP	1	1
GO:0031669	0.868758118691901	0.204838542594212	11	231	cellular response to nutrient levels	BP	1	1
GO:0045839	0.86898528681868	0.31845089905962	2	56	negative regulation of mitotic nuclear division	BP	1	1
GO:0022602	0.869277139604751	0.318527470755985	2	51	ovulation cycle process	BP	1	1
GO:0098801	0.869410316345779	0.40503651492914	1	33	regulation of renal system process	BP	1	1
GO:0002360	0.869962141022163	0.404767210382022	1	30	T cell lineage commitment	BP	1	1
GO:0010039	0.870176806196412	0.404025010807472	1	31	response to iron ion	BP	1	1
GO:0051084	0.870368394677202	0.402161134051433	1	37	'de novo' post-translational protein folding	BP	1	1
GO:0006721	0.870471550268525	0.256152620953368	4	100	terpenoid metabolic process	BP	1	1
GO:2000819	0.87068743955726	0.403959797268301	1	28	regulation of nucleotide-excision repair	BP	1	1
GO:0045786	0.870805974794249	0.183573986281666	19	406	negative regulation of cell cycle	BP	1	1
GO:1903859	0.870952183542903	0.40463778958526	1	25	regulation of dendrite extension	BP	1	1
GO:0014829	0.871101581608991	0.402762373867487	1	29	vascular associated smooth muscle contraction	BP	1	1
GO:0060314	0.871169777233883	0.403753079523655	1	26	regulation of ryanodine-sensitive calcium-release channel activity	BP	1	1
GO:0000154	0.87120496395719	0.400448582619743	1	37	rRNA modification	BP	1	1
GO:0010743	0.871241818037984	0.401560864126433	1	32	regulation of macrophage derived foam cell differentiation	BP	1	1
GO:0048488	0.871690823983658	0.276975307537436	3	66	synaptic vesicle endocytosis	BP	1	1
GO:0140238	0.871690823983658	0.276975307537436	3	66	presynaptic endocytosis	BP	1	1
GO:1901990	0.871729968822063	0.18572646755959	17	355	regulation of mitotic cell cycle phase transition	BP	1	1
GO:0045727	0.871769999525096	0.228877425905901	6	142	positive regulation of translation	BP	1	1
GO:0080111	0.871879678998218	0.400251111389429	1	32	DNA demethylation	BP	1	1
GO:1902624	0.872432970679008	0.398594467271893	1	34	positive regulation of neutrophil migration	BP	1	1
GO:0044403	0.872481316964366	0.19091556513404	14	306	biological process involved in symbiotic interaction	BP	1	1
GO:0051654	0.872541129490622	0.399803401493711	1	29	establishment of mitochondrion localization	BP	1	1
GO:0045943	0.873688216292984	0.396252715036481	1	33	positive regulation of transcription by RNA polymerase I	BP	1	1
GO:0007549	0.874094846877905	0.396265430395121	1	30	dosage compensation	BP	1	1
GO:0006835	0.874319660162836	0.250369898102739	4	93	dicarboxylic acid transport	BP	1	1
GO:0008053	0.874424368631836	0.395906927575441	1	29	mitochondrial fusion	BP	1	1
GO:0043372	0.874474639947026	0.394134674215887	1	35	positive regulation of CD4-positive, alpha-beta T cell differentiation	BP	1	1
