gene	SARS_CoV2_pos_Mild_T_cell	SARS_CoV2_pos_Severe_#2_T_cell	SARS_CoV2_pos_Severe_#2_neutrophil	SARS_CoV2_pos_Severe_#1_T_cell	SARS_CoV2_pos_Severe_#2_erythroid_lineage_cell	Control_#2_T_cell	Control_#1_T_cell	Control_#3_T_cell	SARS_CoV2_pos_Severe_#2_platelet	SARS_CoV2_pos_Severe_#2_B_cell	SARS_CoV2_pos_Severe_#1_neutrophil	SARS_CoV2_pos_Severe_#2_monocyte	SARS_CoV2_pos_Severe_#1_monocyte	SARS_CoV2_pos_Severe_#1_B_cell	SARS_CoV2_pos_Severe_#1_erythroid_lineage_cell	SARS_CoV2_pos_Mild_monocyte	Control_#3_neutrophil	SARS_CoV2_pos_Mild_B_cell	SARS_CoV2_pos_Severe_#3_T_cell	Control_#1_monocyte	SARS_CoV2_pos_Severe_#1_platelet	Control_#3_monocyte	Control_#2_monocyte	SARS_CoV2_pos_Mild_neutrophil	SARS_CoV2_pos_Mild_erythroid_lineage_cell	Control_#3_erythroid_lineage_cell	Control_#3_B_cell	Control_#2_neutrophil	Control_#3_platelet	Control_#2_B_cell	Control_#1_platelet	Control_#1_neutrophil	SARS_CoV2_pos_Severe_#3_B_cell	Control_#1_B_cell
RPL28	29603	20547	276	14972	272	8010	9254	7680	43	4300	32	3581	3048	2845	47	4358	35	2701	2618	2211	7	2471	1950	14	23	6	626	4	2	511	2	0	494	274
TSPAN14	743	329	58	494	7	239	294	146	14	39	21	183	291	62	0	196	12	41	58	129	4	129	100	8	2	1	7	1	0	14	1	3	10	4
NUFIP2	489	332	78	284	3	266	218	155	3	58	16	174	166	46	3	157	21	35	30	130	3	82	104	14	0	0	14	2	0	10	0	2	3	6
RPL19	26143	17378	62	13731	226	8523	9215	7150	40	4152	8	2341	2150	2986	45	3371	8	2447	2367	1764	3	1912	1672	6	8	7	665	1	2	528	1	3	493	288
FBXL20	277	104	27	147	24	114	94	100	0	27	13	37	58	15	8	51	9	23	21	37	1	30	45	5	0	0	7	1	0	8	1	1	8	4
KPNB1	655	405	49	469	8	291	300	154	13	91	11	111	136	55	3	132	15	56	55	84	1	58	78	3	0	0	9	1	0	21	0	3	6	7
MED13	256	238	68	199	27	123	126	92	15	70	13	66	102	54	9	77	7	37	15	79	5	49	42	4	0	1	12	2	0	13	0	1	3	4
PFN1	3783	3274	318	3419	54	1500	1204	891	518	380	45	1397	1038	263	9	1090	28	219	429	687	87	565	567	8	2	1	42	8	17	39	15	5	56	19
SLC6A4	304	113	43	227	0	154	168	110	17	36	11	47	96	34	0	76	8	24	26	70	3	44	54	4	0	0	4	1	0	8	1	4	5	2
GOSR1	710	434	54	467	18	308	341	239	7	126	14	84	132	128	2	137	9	69	47	108	10	78	88	5	0	0	19	0	5	19	1	0	17	12
DDX5	4490	3293	385	3233	63	2271	2371	1564	14	1154	96	1031	1218	857	16	1070	69	419	509	864	4	652	695	28	1	2	135	16	0	166	0	7	101	82
RAB5C	272	264	99	304	19	124	126	92	29	51	19	209	242	48	6	200	12	39	43	146	3	99	115	8	4	0	8	4	4	9	1	2	7	3
MLX	1995	656	98	1019	11	566	627	347	3	125	73	163	488	186	1	435	29	249	250	224	2	151	197	14	1	0	37	1	0	36	0	12	66	39
PRKAR1A	370	373	102	410	8	189	202	157	45	161	10	180	166	100	1	175	23	52	25	111	12	80	105	8	0	1	17	7	0	10	1	0	9	9
WSB1	465	232	70	276	8	219	184	169	5	131	17	193	231	77	0	282	14	74	32	239	1	154	213	14	2	0	26	3	0	26	0	6	13	14
OCIAD1	559	277	24	319	22	168	186	111	10	64	5	103	74	44	6	122	1	58	52	53	6	54	49	4	4	3	13	0	2	10	1	0	9	5
UBE2D3	1455	1387	312	1205	308	619	765	430	54	254	80	462	502	171	117	463	60	115	158	295	13	237	219	38	31	25	29	6	2	43	4	16	19	18
ELF2	388	304	91	280	6	202	199	150	10	86	20	124	121	96	3	118	19	47	37	79	3	75	90	3	0	0	12	6	0	18	0	4	9	9
NDUFC1	569	393	9	360	27	154	193	141	25	50	1	97	107	24	21	118	3	34	59	65	9	80	41	1	2	1	8	1	3	5	1	1	11	3
RPL34	39975	24202	226	19170	404	12693	13940	10379	27	5571	41	2892	3012	3851	56	4753	23	3615	3572	2743	2	2760	2351	9	13	3	897	2	0	718	1	0	743	442
FBXW7	264	208	84	199	5	126	96	108	0	55	30	156	97	43	3	129	12	25	32	80	0	74	92	6	0	0	11	6	1	10	0	4	6	4
KLF3	741	589	123	510	176	327	356	275	36	99	26	430	241	71	47	251	10	35	68	138	7	132	133	10	4	4	9	3	0	13	2	1	7	9
KLHL5	442	260	39	305	5	211	165	123	51	111	6	59	88	150	0	119	6	125	46	86	18	63	69	3	0	1	20	0	1	60	5	0	16	9
CTSC	651	499	80	611	0	227	174	195	25	40	5	475	365	15	0	264	8	12	71	186	3	288	128	2	0	0	2	1	1	3	0	1	3	1
ATG2A	519	361	173	413	10	325	320	177	4	62	70	57	124	74	15	100	38	41	44	77	0	67	67	21	1	1	15	9	1	20	0	13	10	12
EHD1	236	133	150	131	8	116	85	87	29	17	24	190	215	17	2	77	17	23	25	56	11	72	61	4	0	0	3	5	3	5	9	13	10	0
PPP6R3	246	142	34	205	5	109	91	76	5	35	3	49	69	31	0	54	5	25	28	51	2	25	42	2	0	0	4	0	0	7	0	1	4	6
CPT1A	754	309	27	499	10	197	221	134	10	73	7	98	194	67	13	162	13	75	98	72	1	55	57	4	1	0	20	1	0	22	1	4	28	12
EIF4G2	909	781	149	747	48	521	420	299	131	203	29	433	426	150	8	353	24	100	82	315	26	207	250	5	0	1	33	1	12	30	6	2	21	18
BIRC2	323	246	49	311	297	160	158	123	3	35	5	71	88	29	39	64	8	17	21	47	2	36	35	6	9	3	5	2	1	8	1	1	0	4
DDX6	1227	803	64	904	55	497	597	405	10	156	27	127	161	164	17	137	11	111	130	116	6	109	76	6	3	2	29	1	2	37	0	2	24	22
CBL	221	87	44	71	0	62	43	41	30	21	8	82	83	30	0	68	6	29	11	29	5	36	42	3	0	0	6	0	1	7	0	0	5	2
HIPK3	151	74	53	69	11	42	75	41	10	27	6	94	124	24	1	129	15	17	13	82	5	82	75	5	0	0	3	1	2	5	3	3	1	2
C11orf58	2010	1293	90	1374	73	773	840	614	36	336	30	298	367	284	24	413	18	216	218	227	13	184	174	12	7	2	54	3	3	55	0	1	44	21
RPS13	19891	14315	60	11893	226	6310	6666	4641	34	3166	10	2414	2756	2568	57	3107	6	1845	1767	1806	4	1835	1541	3	15	6	439	2	0	370	1	0	363	187
CLEC2B	835	1047	398	828	19	409	496	374	5	59	27	232	223	45	4	201	36	28	88	131	0	114	123	37	0	0	9	5	0	15	0	4	5	12
BIN2	878	465	73	494	5	368	333	236	256	37	7	183	139	30	2	139	11	38	83	101	58	105	89	3	0	0	5	1	11	8	22	0	4	1
ATP5F1B	669	580	22	610	211	251	182	194	14	76	2	239	257	63	66	345	3	61	106	176	6	175	134	3	8	8	17	1	0	8	0	0	16	5
PTGES3	1161	865	15	737	203	386	366	311	61	158	3	417	199	66	40	222	3	89	113	124	13	153	95	0	9	14	27	1	3	24	2	0	26	7
RSRC2	912	1075	45	1070	65	595	586	354	19	385	10	344	266	277	7	210	8	100	66	175	6	128	116	6	2	1	34	4	2	42	1	1	17	29
ARPC3	2327	2051	468	1648	75	856	811	645	138	677	48	1608	1174	385	20	1452	46	396	276	833	34	826	663	27	4	2	101	8	5	89	5	7	98	48
ALDH2	2387	1106	323	1619	27	1005	1024	670	3	256	121	454	835	340	9	786	71	255	187	685	1	460	469	19	0	1	82	13	2	56	0	15	50	41
CDKN1B	860	598	67	496	83	312	347	268	7	111	7	86	63	66	25	73	8	52	67	45	0	50	34	0	0	0	21	0	0	14	1	0	16	5
ARHGDIB	3275	2663	368	2532	28	1243	1095	822	392	331	31	879	735	242	3	642	58	264	361	407	90	365	357	15	3	0	48	15	24	68	29	5	60	27
GAPDH	3361	3223	375	3420	27	1066	961	836	522	251	35	1911	2014	207	10	2156	21	191	442	1237	158	926	865	9	2	0	31	9	42	42	39	3	53	16
CHD4	418	223	87	258	4	244	167	124	10	86	31	52	101	92	1	130	25	53	32	50	4	37	58	6	0	0	11	6	4	24	1	6	17	13
TPI1	680	677	54	568	7	245	223	163	75	73	6	371	315	49	2	371	7	47	81	232	26	198	165	2	1	1	9	1	1	14	4	0	16	3
PTPN6	340	150	85	154	1	68	51	42	7	72	18	228	259	62	1	226	11	116	38	127	3	144	101	5	0	0	11	4	1	15	1	2	24	5
COX6A1	1083	1109	83	873	69	390	344	282	72	202	10	401	330	148	23	294	10	99	121	195	13	155	166	5	3	1	19	1	1	27	0	2	16	7
SRSF9	772	591	57	551	4	238	203	194	25	86	12	287	258	77	0	262	6	79	84	201	8	139	116	5	3	0	15	1	1	15	3	1	20	6
FGFR1OP2	503	265	34	295	528	111	119	90	72	46	3	100	96	40	102	87	0	36	41	71	11	37	44	1	28	15	6	0	2	7	3	0	5	4
RIPOR2	2369	716	383	640	9	613	560	375	352	212	47	149	230	160	3	278	66	296	201	130	58	72	80	54	1	0	66	4	15	66	42	8	40	23
RHAG	195	83	21	124	171	119	105	76	11	16	13	23	40	29	32	32	19	14	11	34	0	33	21	5	1	0	9	2	0	9	0	6	2	3
SRSF3	1692	1409	56	1255	21	842	736	574	37	242	15	369	334	184	7	422	9	151	106	276	5	197	253	3	1	0	28	1	1	57	2	1	28	26
PHACTR1	213	121	585	141	10	108	108	64	5	126	204	320	421	173	6	323	59	72	20	380	0	228	206	46	1	2	34	19	1	33	0	8	13	9
FBXO9	304	120	21	120	406	116	81	62	12	27	6	48	91	18	172	79	0	38	21	47	4	41	23	4	20	23	3	0	0	7	0	0	2	2
RPS12	47879	33553	71	24781	1271	15647	17072	13017	78	6886	15	3074	2927	4503	344	4494	10	3804	4218	2354	16	2762	2228	10	121	74	994	5	3	812	3	2	845	446
C6orf62	430	204	106	213	127	149	132	101	20	47	22	96	155	43	39	140	20	47	44	85	9	74	64	13	9	3	10	4	6	9	3	4	8	3
SNX3	512	383	102	304	586	164	155	135	472	245	4	349	264	173	157	275	6	132	54	165	49	164	131	4	47	32	38	0	19	26	15	0	29	16
QKI	252	187	148	162	9	149	156	88	34	54	26	268	370	38	1	297	19	24	18	231	10	167	202	7	0	0	8	2	1	10	2	2	8	5
CCND3	972	514	25	357	7	336	266	208	217	47	6	152	109	53	1	108	2	49	91	80	58	63	55	5	1	0	8	0	10	6	21	0	4	3
COX7A2	1467	1480	92	1180	91	592	589	475	59	260	6	445	313	168	33	317	5	109	199	220	6	232	161	5	1	3	35	6	1	39	2	1	33	17
ERBIN	540	263	136	234	19	196	189	134	51	79	11	85	142	63	5	167	30	41	36	110	15	77	99	17	4	1	11	1	0	10	3	4	8	10
NNT	989	411	30	510	5	417	400	232	12	97	15	82	200	122	2	204	4	106	65	100	5	77	95	1	1	0	18	0	1	17	3	0	17	9
HSPA9	717	690	126	653	11	274	365	261	6	161	31	160	192	125	1	193	21	46	82	153	0	110	83	8	1	1	17	3	0	22	1	2	20	8
IK	739	434	41	421	63	271	268	198	4	64	13	102	95	63	20	112	9	51	57	74	2	47	53	2	4	4	14	0	1	12	1	1	11	10
CERT1	240	121	58	144	4	79	94	73	18	49	9	129	192	32	0	163	7	28	16	100	1	80	97	1	0	0	4	3	0	13	0	1	10	6
CLINT1	368	275	17	253	8	124	140	122	35	84	4	122	122	63	2	123	3	40	37	85	8	62	51	1	0	0	12	1	0	9	7	0	3	5
SUB1	2334	2466	150	2318	52	866	959	963	65	383	24	535	436	233	6	572	31	211	335	356	11	284	294	17	3	1	41	3	3	52	3	3	73	22
LNPEP	630	305	19	271	7	214	211	136	8	47	1	64	100	32	0	115	0	46	30	54	4	52	56	2	0	1	9	1	0	9	2	1	7	4
SKP1	2327	1494	84	1248	784	850	816	621	93	282	13	349	316	168	166	318	18	157	221	213	48	190	178	3	38	46	48	2	6	35	2	1	41	21
MACROH2A1	534	439	95	414	7	182	159	117	7	40	19	627	673	28	0	565	16	44	46	422	2	342	346	10	0	0	11	3	0	9	1	1	8	5
CSNK1A1	879	557	138	618	60	312	320	228	38	123	33	326	336	77	20	309	29	79	84	226	13	171	185	3	3	1	18	7	1	15	7	6	5	9
ATP6V0E1	956	487	192	435	55	290	225	196	135	103	19	365	284	83	5	273	16	88	96	163	43	129	145	19	1	0	10	4	15	20	9	1	20	9
CPEB4	151	113	221	70	499	80	63	66	45	41	91	178	216	33	114	160	28	13	9	87	13	74	71	17	1	1	7	3	1	5	1	4	0	4
SELENOK	565	751	80	688	217	429	468	305	19	166	15	135	95	71	98	147	9	38	62	80	2	82	79	6	29	22	13	3	1	22	0	1	10	4
CRBN	627	428	18	369	17	235	266	162	67	57	3	84	92	46	2	89	1	44	67	79	15	35	39	4	0	0	10	0	4	8	2	0	6	5
RNF7	554	497	24	470	12	228	234	177	9	75	5	217	184	73	2	186	2	40	55	135	7	105	61	1	1	0	14	0	2	5	0	0	11	3
TFDP2	586	309	19	361	173	212	249	157	5	38	11	32	89	53	40	81	3	60	58	39	3	38	32	2	1	4	14	5	1	13	0	2	13	5
XRN1	488	307	28	323	66	181	190	136	5	83	13	69	92	52	14	83	8	34	42	66	1	38	48	7	2	5	12	1	0	13	0	2	5	6
PDCD10	374	209	23	214	205	109	78	60	110	39	0	78	85	37	21	67	5	39	22	50	35	32	30	3	16	10	7	0	1	7	13	0	6	5
ACAP2	612	297	210	293	12	279	259	184	11	122	54	181	299	106	1	309	28	68	46	229	1	141	151	15	0	1	20	2	1	18	1	2	14	9
GNAI2	1385	835	365	818	5	500	432	343	77	161	64	849	892	100	2	888	75	124	132	603	33	432	451	20	0	1	27	13	7	28	2	7	34	8
TFG	289	283	93	204	6	106	121	91	11	58	21	78	62	58	1	64	15	26	21	55	3	35	39	4	1	0	3	1	1	9	1	4	0	9
RPL24	11834	8608	56	6507	216	3758	4264	3235	36	1688	7	1470	1198	1116	35	1619	2	978	1127	938	1	1051	829	4	4	3	254	3	0	203	0	0	211	107
FXR1	508	383	29	346	27	207	195	135	6	106	3	115	103	57	7	134	3	42	32	67	2	62	60	1	0	0	15	1	0	15	0	1	11	7
ABTB1	138	82	77	89	71	64	46	32	18	23	25	38	71	12	33	71	21	16	18	35	13	20	18	9	8	4	4	4	2	4	4	6	6	1
EIF1B	507	463	70	448	710	193	256	160	68	326	8	201	161	239	209	148	11	103	31	115	19	104	70	6	66	24	28	4	4	38	3	0	15	20
KLHL24	417	350	68	350	18	227	236	202	7	133	19	98	127	94	0	93	7	58	14	98	1	68	68	1	0	0	19	2	1	23	0	0	9	13
NKTR	1249	768	31	910	6	479	587	351	5	169	9	237	214	171	0	194	9	100	84	200	1	132	129	1	0	0	30	3	0	19	3	0	18	12
FOXP1	2685	1105	33	1196	100	828	926	546	12	383	7	158	225	377	18	249	12	282	175	123	0	117	111	3	0	2	90	1	1	96	0	1	35	45
SPCS1	1591	1058	70	989	13	583	600	462	30	197	18	272	318	147	2	331	18	138	174	236	8	187	181	7	1	0	25	7	3	22	1	2	22	19
MOB1A	549	433	178	441	8	212	211	169	89	229	33	328	346	136	0	339	11	85	48	197	31	140	159	9	0	0	24	3	13	20	8	1	19	15
ACTR3	1042	592	438	673	121	297	271	196	126	150	49	337	360	126	16	411	52	122	125	191	24	174	163	16	3	1	26	10	4	33	3	7	26	16
SF3B6	581	627	109	500	33	241	215	161	26	93	11	160	127	81	6	151	4	52	72	81	1	89	56	10	0	2	12	3	0	15	0	1	14	6
RPS15	20006	15437	107	11951	379	6732	7172	5653	68	3700	18	2298	1911	2252	145	2846	8	2016	2013	1554	18	1562	1256	3	26	8	497	1	1	449	1	2	376	277
RTN4	494	362	184	319	12	203	152	126	117	69	41	415	368	35	0	419	28	40	46	272	21	179	186	10	2	1	9	4	7	9	7	3	12	4
USP34	583	371	44	395	24	282	250	189	17	152	16	73	118	108	9	108	5	75	41	72	2	51	51	2	0	0	23	1	0	29	0	2	13	8
COQ10B	229	258	88	250	9	142	137	87	5	40	17	91	77	27	3	80	5	26	22	69	2	51	58	5	1	0	4	4	0	7	1	0	4	5
SF3B1	1324	978	163	908	38	576	640	422	11	235	29	307	316	195	9	329	21	122	105	264	5	189	190	13	0	0	45	8	0	48	0	5	28	16
HPCAL1	2029	804	182	1200	15	911	839	655	72	190	61	183	500	209	5	470	46	181	184	321	19	216	261	29	4	0	39	17	1	54	2	11	55	24
ODC1	243	311	1	302	57	136	95	112	215	141	0	32	38	83	56	30	0	61	37	22	122	30	26	0	21	16	12	0	67	23	68	0	17	10
BIRC6	527	296	37	340	3	217	211	122	6	79	16	102	128	80	2	125	2	42	49	87	2	56	70	5	0	0	14	0	0	8	0	2	7	3
PLEKHB2	945	432	131	666	18	376	417	250	13	107	48	231	343	127	7	322	27	126	97	222	6	168	183	11	1	1	30	1	1	34	1	3	21	12
SOS1	1694	686	80	968	12	573	649	398	17	108	46	145	361	161	4	326	30	189	199	169	0	140	132	17	1	0	49	2	0	34	0	1	44	31
WIPF1	940	618	189	658	7	454	494	332	108	122	29	143	209	88	0	211	39	44	64	77	36	95	89	39	1	1	13	7	13	17	13	6	13	9
ORC4	3197	1708	112	2003	47	1675	1880	1299	5	561	51	378	406	515	9	477	27	380	159	416	0	301	328	9	0	0	146	1	0	135	0	8	54	92
PLEK	305	239	1541	210	16	124	80	84	480	108	261	762	651	45	0	389	154	54	18	616	105	443	547	35	1	3	12	48	20	10	15	18	11	5
SUMO1	605	560	52	511	34	263	204	182	18	83	7	162	125	72	10	116	7	48	71	71	5	60	56	0	0	0	6	1	0	16	1	0	10	7
NFE2L2	334	258	184	155	12	210	154	98	22	45	28	162	164	31	2	130	26	30	23	124	3	101	103	13	1	1	11	7	1	4	1	4	2	2
TMEM59	776	686	140	571	220	285	286	200	38	67	15	323	257	50	40	237	13	63	99	157	7	145	119	11	11	6	5	2	2	10	2	2	14	8
STXBP3	214	109	44	97	18	69	76	51	27	19	5	45	61	29	5	70	3	18	23	38	6	24	31	2	2	0	4	1	0	2	3	1	5	1
PARK7	1453	1062	37	972	26	541	489	354	220	194	16	353	285	121	6	329	10	124	213	232	68	185	176	3	0	0	22	2	18	23	7	2	46	15
ELAPOR1	1587	609	125	983	8	614	603	397	1	148	78	179	388	196	2	330	59	142	187	241	1	173	161	16	1	0	33	7	1	40	0	11	45	21
SRSF4	1087	759	75	725	12	438	492	371	13	183	17	250	305	168	1	290	12	87	92	266	1	161	202	8	0	0	21	3	0	24	4	4	14	24
RAP1A	540	400	207	328	79	228	222	147	69	60	24	207	197	35	29	205	25	38	62	175	16	106	88	10	3	3	7	5	3	16	6	0	10	2
CAPZA1	618	412	116	578	5	259	221	129	41	89	24	244	278	91	0	303	19	80	69	187	7	141	129	10	0	0	16	5	5	22	0	3	10	16
SFPQ	1670	1347	62	1527	32	932	900	565	16	520	20	466	545	323	6	532	11	163	154	452	2	293	324	7	0	1	72	5	0	63	0	1	39	34
PRDM2	509	433	110	408	7	279	276	174	3	376	17	81	122	253	1	90	12	101	40	91	0	69	53	10	0	0	52	2	1	58	0	2	29	24
RO60	446	271	30	296	24	163	155	111	21	73	4	61	55	54	1	90	5	32	43	49	5	37	43	3	4	0	4	0	2	15	0	0	5	9
AKT3	1623	632	21	773	20	660	522	415	11	203	13	107	144	177	4	195	7	170	140	94	0	79	100	1	0	0	36	2	1	57	0	2	24	26
CTBS	205	180	87	129	5	75	68	51	4	31	20	108	108	24	0	98	16	12	10	61	1	49	67	15	0	0	5	1	0	6	1	4	3	3
CD46	713	338	299	338	9	241	224	163	30	55	66	202	221	34	2	202	41	55	44	145	3	97	118	33	0	0	11	17	7	9	1	13	10	9
APH1A	231	185	15	174	3	110	98	63	10	72	4	83	99	45	0	92	1	35	32	63	4	44	43	1	0	0	12	1	1	9	0	2	5	2
ATP6V0B	293	296	234	238	42	139	117	112	22	89	71	548	462	58	15	427	44	44	44	288	4	293	247	18	1	3	18	12	2	20	2	9	12	7
TMED5	244	177	63	139	8	107	101	88	9	70	6	168	159	22	1	197	13	27	19	155	3	89	95	1	0	0	8	4	0	5	2	1	1	2
DR1	314	294	35	288	49	158	155	143	34	44	3	86	115	47	9	98	9	36	31	76	5	63	57	4	1	0	7	1	1	12	1	0	11	4
PRRC2C	2221	2036	184	1944	21	1072	1201	858	31	524	37	414	442	428	4	408	30	225	195	318	13	227	232	14	1	1	54	5	5	91	3	5	48	43
PRDX6	543	512	21	331	496	190	188	119	251	87	7	149	137	49	200	136	4	34	57	92	79	64	72	1	87	32	6	2	29	6	24	0	14	3
SYF2	1047	894	174	790	55	421	449	297	12	232	23	269	273	173	6	238	11	116	105	175	6	131	135	5	2	4	36	4	2	27	1	3	19	27
RSRP1	1410	1004	58	953	86	905	863	637	7	231	21	187	209	146	4	220	12	109	101	132	0	124	139	5	1	1	43	4	0	52	1	4	12	17
RCOR3	204	120	14	125	27	80	72	62	35	23	10	48	64	42	8	37	4	21	8	25	9	17	29	4	2	2	3	0	0	7	1	1	3	6
ARID1A	552	251	90	325	11	224	231	143	7	68	29	73	168	77	2	175	16	55	33	99	5	85	85	6	0	0	11	6	1	18	0	6	10	9
CREB1	270	116	36	127	19	80	73	69	5	48	6	22	49	43	5	72	5	40	19	32	2	23	25	6	0	0	13	0	0	5	1	4	6	4
IRAG2	160	55	44	101	0	43	45	27	10	105	20	41	59	76	0	72	18	47	15	39	6	32	28	6	0	0	7	2	1	14	1	5	8	7
SPCS2	836	673	20	519	16	305	224	265	11	119	3	154	126	96	1	126	3	80	112	89	4	72	71	2	0	0	17	1	2	18	0	0	15	13
PHF3	1120	678	74	716	19	459	460	288	9	188	10	152	210	165	12	182	11	101	76	138	1	83	112	11	0	1	26	2	1	28	0	2	13	18
TNFAIP3	1959	2444	1268	2601	14	2385	2343	2059	11	44	227	149	126	46	2	100	185	29	45	198	1	163	189	41	1	7	2	58	1	3	0	43	1	7
MED28	379	220	26	212	21	108	127	112	1	58	5	84	101	45	11	102	9	41	29	81	4	49	53	4	3	1	1	1	1	10	0	1	7	9
MYL12B	2261	1869	320	1766	98	882	861	706	157	259	38	678	471	144	14	499	33	147	242	323	33	311	252	22	6	2	30	5	9	35	5	2	26	14
FOXO3	163	89	175	72	448	57	54	35	20	19	49	138	161	17	125	93	31	18	9	136	4	65	87	18	22	17	1	13	0	4	4	6	0	2
CCNI	2448	1900	181	1575	318	966	975	664	86	558	59	637	607	331	154	675	36	270	218	414	13	410	381	26	33	11	82	16	2	63	6	6	48	39
UBN1	263	153	91	166	17	99	124	90	17	16	35	97	78	20	2	86	12	16	14	73	5	60	40	4	2	1	4	5	2	3	3	3	3	1
CYP20A1	742	361	74	397	3	282	267	177	1	99	28	125	206	90	1	157	12	68	54	122	1	87	100	3	0	0	12	2	1	20	0	6	15	6
UBE2B	845	695	369	672	364	317	419	262	58	125	71	211	202	75	111	186	50	68	77	128	16	135	90	43	61	31	19	6	0	21	3	7	8	5
PTBP3	500	343	146	315	11	218	197	160	8	92	22	184	232	56	2	208	20	49	45	121	1	110	124	20	1	1	8	3	1	22	1	2	8	10
RAD23B	273	273	60	248	28	96	105	81	25	45	22	133	132	45	8	117	11	35	26	88	4	60	65	6	0	0	3	0	0	13	0	1	7	6
SET	1989	1538	46	1422	20	757	716	468	57	342	17	255	347	233	2	350	9	206	190	229	24	178	172	4	0	0	49	2	3	56	3	1	71	17
RAB14	340	332	49	290	12	164	149	111	22	67	10	100	107	63	1	116	3	37	35	55	5	66	42	1	0	1	7	2	0	9	1	0	7	6
VPS4B	424	317	94	317	1	171	190	135	8	71	18	132	115	84	1	112	9	47	34	73	1	65	57	10	0	0	13	1	1	13	1	1	6	8
NPC2	236	144	42	167	3	77	104	94	8	81	13	512	650	65	1	547	5	48	8	390	5	413	374	6	0	0	9	4	4	9	1	1	6	8
YPEL5	1060	1197	268	1440	129	1012	1141	888	61	331	69	289	166	197	24	209	50	50	45	189	31	124	167	15	5	3	53	7	8	48	11	4	6	27
YIPF4	1123	386	109	618	39	337	383	233	3	89	29	154	250	99	8	208	41	113	99	131	3	94	91	11	2	0	14	2	0	28	0	7	19	11
MXI1	210	209	47	201	941	105	132	89	3	52	14	42	25	51	247	34	11	25	22	34	0	25	19	3	69	57	3	5	0	13	1	1	1	3
SMNDC1	199	169	44	161	7	86	104	62	10	56	5	58	67	54	0	65	3	24	20	40	1	27	56	3	0	0	8	0	1	7	0	1	5	5
GNA13	157	160	79	169	8	90	114	47	34	50	21	102	158	52	1	97	7	17	6	95	11	60	69	13	0	1	3	1	1	10	4	1	9	5
DUSP1	2458	2111	1199	1862	32	2891	1789	1229	7	416	421	1252	1811	146	3	1778	351	155	84	836	0	754	532	232	2	7	43	158	4	49	0	54	28	41
ELF1	916	852	108	756	10	371	387	264	193	256	20	182	135	184	3	178	13	77	59	142	49	106	134	8	0	0	28	3	7	20	7	0	16	10
PAIP2	949	813	94	653	189	442	431	358	116	145	20	270	243	125	58	201	12	77	71	163	25	148	144	7	4	7	19	5	10	24	10	1	14	13
SERP1	1367	1211	131	925	47	483	522	427	73	290	11	618	543	201	3	627	21	137	158	378	20	359	306	7	1	1	34	9	5	28	3	1	22	21
LYPLA1	282	194	46	164	1	98	84	90	15	53	5	127	131	41	0	138	6	40	31	91	6	65	69	2	0	0	13	0	0	8	0	1	9	4
ZMYM2	366	225	22	217	11	144	147	99	6	63	8	66	84	41	4	85	6	34	16	54	2	35	50	2	1	1	12	1	0	13	0	1	9	4
TBC1D15	1679	1524	272	1278	57	631	726	458	39	312	34	233	300	222	15	247	33	169	115	171	15	141	139	11	0	0	41	3	1	43	3	2	10	22
KHDRBS1	726	462	66	425	7	245	225	147	12	135	10	185	139	65	2	184	9	75	62	108	1	103	90	2	0	1	19	1	0	23	0	4	14	12
ZNF639	751	294	31	378	6	195	194	141	6	95	12	61	113	83	1	119	6	61	93	56	0	39	44	7	1	0	19	0	1	7	0	2	21	8
GPSM2	1072	452	52	595	18	378	409	244	1	82	29	87	172	123	1	178	25	99	109	108	0	87	110	9	0	0	21	1	1	28	0	4	23	21
GTDC1	955	317	48	549	8	327	316	213	8	67	26	61	183	117	1	156	13	101	110	108	1	87	80	10	0	0	24	3	1	19	1	6	44	13
CXCR4	2907	3456	814	3006	26	1675	1841	1541	10	608	206	279	421	409	5	378	87	250	108	414	1	204	311	51	4	0	75	25	1	141	0	15	29	71
RPL21	32324	21699	57	15536	1179	11504	11498	8350	61	5025	7	2602	2846	3611	433	3759	9	2982	2889	2203	14	2270	2133	7	67	51	847	2	1	646	9	2	602	381
UBL3	281	204	50	232	12	110	111	97	6	40	5	74	92	27	2	101	7	23	33	56	2	56	52	3	0	0	7	3	0	11	1	0	3	3
FYTTD1	289	148	16	164	3	92	79	67	19	57	6	65	69	44	1	78	3	27	28	44	3	32	35	1	0	0	5	1	1	11	1	0	3	3
COPA	815	729	111	785	36	474	486	351	6	189	24	182	211	142	3	236	12	62	71	171	7	99	155	11	1	2	29	2	0	39	1	8	13	13
RBBP6	446	554	41	462	21	264	273	174	78	130	14	156	148	92	4	122	5	41	31	110	30	61	100	5	0	0	21	1	15	22	23	0	11	14
ZC3H7A	318	326	37	272	7	139	187	111	24	91	7	68	96	66	0	70	3	32	31	75	10	46	52	2	0	0	4	1	0	12	0	0	6	6
ANXA11	616	370	114	436	6	211	198	174	29	71	18	173	153	62	0	164	17	44	75	105	14	87	82	12	0	3	12	6	5	5	3	3	13	1
NAA60	427	150	20	234	4	125	137	87	7	46	6	61	96	40	3	74	4	34	39	55	2	51	40	3	0	0	13	0	0	5	1	3	6	6
RPL5	13229	9819	23	7819	140	4621	4932	3590	14	2144	4	1279	1260	1524	33	1574	2	1212	1417	1032	2	1118	906	0	4	2	308	0	1	259	0	0	207	170
